,,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE
date,,total,total,total,total,total,total,total,2025-07-29 00:00:00,2025-07-29 00:00:00,2025-07-29 00:00:00,2025-07-29 00:00:00,2025-07-29 00:00:00,2025-07-29 00:00:00,2025-07-29 00:00:00,2025-06-29 00:00:00,2025-06-29 00:00:00,2025-06-29 00:00:00,2025-06-29 00:00:00,2025-06-29 00:00:00,2025-06-29 00:00:00,2025-06-29 00:00:00,2025-05-29 00:00:00,2025-05-29 00:00:00,2025-05-29 00:00:00,2025-05-29 00:00:00,2025-05-29 00:00:00,2025-05-29 00:00:00,2025-05-29 00:00:00,2025-04-29 00:00:00,2025-04-29 00:00:00,2025-04-29 00:00:00,2025-04-29 00:00:00,2025-04-29 00:00:00,2025-04-29 00:00:00,2025-04-29 00:00:00,2025-03-29 00:00:00,2025-03-29 00:00:00,2025-03-29 00:00:00,2025-03-29 00:00:00,2025-03-29 00:00:00,2025-03-29 00:00:00,2025-03-29 00:00:00
area,unit_no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
その他,483,8384,849,28,33,1.034,254.1,137.4,4166.0,-70.0,13.0,16.0,0.994,260.4,143.7,4218.0,919.0,15.0,17.0,1.073,248.1,131.8,,,,,,,,,,,,,,,,,,,,,
その他,484,696,-632,1,0,0.697,,696.0,214.0,-246.0,0.0,0.0,0.617,,,482.0,-386.0,1.0,0.0,0.733,,482.0,,,,,,,,,,,,,,,,,,,,,
その他,485,9292,154,37,19,1.006,489.1,165.9,3189.0,344.0,16.0,2.0,1.036,1594.5,177.2,6103.0,-190.0,21.0,17.0,0.99,359.0,160.6,,,,,,,,,,,,,,,,,,,,,
その他,486,3647,-821,13,7,0.925,521.0,182.4,1684.0,-779.0,5.0,2.0,0.846,842.0,240.6,1963.0,-42.0,8.0,5.0,0.993,392.6,151.0,,,,,,,,,,,,,,,,,,,,,
その他,487,4735,252,18,15,1.018,315.7,143.5,1776.0,105.0,7.0,4.0,1.02,444.0,161.5,2959.0,147.0,11.0,11.0,1.017,269.0,134.5,,,,,,,,,,,,,,,,,,,,,
その他,488,1821,-281,6,2,0.949,910.5,227.6,1033.0,217.0,5.0,1.0,1.07,1033.0,172.2,788.0,-498.0,1.0,1.0,0.789,788.0,394.0,,,,,,,,,,,,,,,,,,,,,
その他,489,7196,1712,33,28,1.079,257.0,118.0,4863.0,849.0,22.0,19.0,1.058,255.9,118.6,2333.0,863.0,11.0,9.0,1.123,259.2,116.6,,,,,,,,,,,,,,,,,,,,,
その他,490,6053,-1179,16,22,0.935,275.1,159.3,1152.0,-779.0,1.0,5.0,0.775,230.4,192.0,4901.0,-400.0,15.0,17.0,0.973,288.3,153.2,,,,,,,,,,,,,,,,,,,,,
その他,491,1800,-702,5,2,0.87,900.0,257.1,773.0,-330.0,2.0,0.0,0.858,,386.5,1027.0,-372.0,3.0,2.0,0.879,513.5,205.4,,,,,,,,,,,,,,,,,,,,,
その他,492,5412,-1109,16,17,0.932,318.4,164.0,1702.0,-400.0,5.0,4.0,0.922,425.5,189.1,3710.0,-709.0,11.0,13.0,0.936,285.4,154.6,,,,,,,,,,,,,,,,,,,,,
その他,493,10871,3007,57,26,1.092,418.1,131.0,3493.0,133.0,15.0,9.0,1.013,388.1,145.5,7378.0,2874.0,42.0,17.0,1.13,434.0,125.1,,,,,,,,,,,,,,,,,,,,,
その他,494,4574,-604,13,14,0.956,326.7,169.4,3651.0,-316.0,11.0,11.0,0.971,331.9,166.0,923.0,-288.0,2.0,3.0,0.896,307.7,184.6,,,,,,,,,,,,,,,,,,,,,
その他,495,4267,-1502,8,13,0.883,328.2,203.2,2037.0,-695.0,4.0,6.0,0.886,339.5,203.7,2230.0,-807.0,4.0,7.0,0.879,318.6,202.7,,,,,,,,,,,,,,,,,,,,,
その他,496,24613,-3333,83,57,0.955,431.8,175.8,5465.0,-667.0,16.0,21.0,0.959,260.2,147.7,3805.0,-1691.0,11.0,3.0,0.852,1268.3,271.8,5346.0,-28.0,20.0,15.0,0.998,356.4,152.7,4921.0,-863.0,17.0,7.0,0.942,703.0,205.0,5076.0,-84.0,19.0,11.0,0.994,461.5,169.2
その他,497,20802,1670,88,47,1.027,442.6,154.1,5979.0,1211.0,29.0,15.0,1.068,398.6,135.9,4018.0,-218.0,15.0,6.0,0.982,669.7,191.3,1349.0,-246.0,4.0,3.0,0.939,449.7,192.7,7051.0,1969.0,34.0,19.0,1.093,371.1,133.0,2405.0,-1046.0,6.0,4.0,0.855,601.2,240.5
その他,498,25188,456,100,68,1.006,370.4,149.9,2516.0,-190.0,10.0,5.0,0.975,503.2,167.7,7595.0,1396.0,35.0,21.0,1.061,361.7,135.6,6649.0,-877.0,20.0,24.0,0.956,277.0,151.1,5053.0,232.0,21.0,12.0,1.015,421.1,153.1,3375.0,-105.0,14.0,6.0,0.99,562.5,168.8
その他,499,12098,-22,49,23,0.999,526.0,168.0,922.0,316.0,5.0,1.0,1.114,922.0,153.7,2549.0,428.0,12.0,4.0,1.056,637.2,159.3,2556.0,-667.0,9.0,4.0,0.913,639.0,196.6,4256.0,105.0,17.0,10.0,1.008,425.6,157.6,1815.0,-204.0,6.0,4.0,0.963,453.8,181.5
その他,500,18448,-737,68,47,0.987,392.5,160.4,2515.0,-260.0,9.0,7.0,0.966,359.3,157.2,4789.0,372.0,19.0,14.0,1.026,342.1,145.1,2102.0,-274.0,7.0,4.0,0.957,525.5,191.1,3866.0,-105.0,15.0,8.0,0.991,483.2,168.1,5176.0,-470.0,18.0,14.0,0.97,369.7,161.8
その他,501,29497,2738,113,106,1.031,278.3,134.7,6621.0,1590.0,27.0,27.0,1.08,245.2,122.6,5208.0,428.0,20.0,19.0,1.027,274.1,133.5,3242.0,-1551.0,6.0,11.0,0.841,294.7,190.7,5886.0,-56.0,23.0,14.0,0.997,420.4,159.1,8540.0,2327.0,37.0,35.0,1.091,244.0,118.6
その他,502,14732,-1860,47,46,0.958,320.3,158.4,320.0,-358.0,0.0,0.0,0.627,,,2004.0,-175.0,7.0,5.0,0.971,400.8,167.0,6049.0,203.0,21.0,23.0,1.011,263.0,137.5,4334.0,-1256.0,12.0,13.0,0.903,333.4,173.4,2025.0,-274.0,7.0,5.0,0.955,405.0,168.8
その他,503,18753,3355,79,59,1.06,317.8,135.9,3050.0,863.0,15.0,6.0,1.094,508.3,145.2,7138.0,4057.0,39.0,29.0,1.189,246.1,105.0,2208.0,-498.0,6.0,8.0,0.925,276.0,157.7,2255.0,-639.0,7.0,4.0,0.906,563.8,205.0,4102.0,-428.0,12.0,12.0,0.965,341.8,170.9
その他,504,15489,-2014,50,42,0.957,368.8,168.4,2278.0,-554.0,8.0,2.0,0.919,1139.0,227.8,998.0,-597.0,2.0,0.0,0.801,,499.0,7132.0,-302.0,22.0,28.0,0.986,254.7,142.6,3615.0,260.0,15.0,10.0,1.024,361.5,144.6,1466.0,-821.0,3.0,2.0,0.813,733.0,293.2
