,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE
day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,total
model_name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アイムジャグラーEX-TP,1.004,0.987,0.993,0.987,0.996,1.003,0.997,0.972,0.977,0.983,0.988,0.987,0.978,0.973,0.994,0.988,0.989,0.988,0.978,0.994,1.014,0.983,0.986,0.994,0.987,1.004,0.985,0.995,0.982,0.985,1.002,0.991
ウルトラミラクルジャグラー,0.997,0.977,0.99,0.978,0.993,0.974,0.999,0.985,0.964,1.002,0.977,0.977,0.985,1.004,1.012,0.996,1.012,0.943,0.99,1.022,0.978,0.989,1.019,0.944,0.967,0.994,0.975,1.031,0.979,0.988,0.996,0.991
ゴーゴージャグラー3,0.993,0.972,0.985,0.997,1.025,0.993,0.972,0.987,0.976,0.978,0.989,0.997,1.002,0.981,0.992,1.009,1.0,0.994,0.979,0.976,0.988,0.989,0.988,1.015,0.995,0.971,0.978,0.981,0.98,0.995,1.028,0.992
ジャグラーガールズ,1.005,0.989,1.01,0.99,0.995,0.977,0.962,1.003,1.0,0.983,0.97,0.957,0.989,0.96,0.968,0.989,0.975,1.003,0.953,0.958,0.99,0.988,0.973,0.983,1.012,1.009,1.009,0.996,1.002,1.029,0.975,0.99
ハッピージャグラーVIII,0.994,0.984,0.995,1.009,1.003,1.004,0.972,0.965,0.987,0.977,0.99,1.022,0.978,1.007,1.01,0.975,1.003,1.008,1.004,0.997,0.995,1.004,0.955,1.024,0.991,0.986,0.937,0.989,0.976,0.993,0.966,0.993
ファンキージャグラー2,1.002,0.974,1.001,0.957,1.0,0.995,0.961,1.036,0.989,1.014,0.993,0.99,0.986,1.004,1.001,0.996,0.985,0.968,0.957,0.966,0.991,0.984,0.989,0.984,1.013,0.978,0.955,0.987,0.953,0.997,0.988,0.99
マイジャグラーV,1.001,0.986,0.987,0.995,1.01,0.986,0.991,0.985,0.997,1.0,1.002,0.994,0.995,0.999,1.018,0.994,1.03,0.996,1.011,0.996,1.004,0.995,0.977,0.987,1.009,1.007,0.993,0.984,0.99,0.979,1.004,0.998
ミスタージャグラー,0.961,0.978,0.994,0.948,1.009,1.005,0.962,1.041,1.008,0.954,0.99,0.967,1.019,0.974,1.003,1.002,0.977,0.994,0.978,0.915,0.959,1.004,0.984,0.992,1.0,0.991,1.023,0.983,1.013,1.006,0.988,0.99
total,0.999,0.984,0.991,0.989,1.005,0.993,0.986,0.988,0.988,0.991,0.992,0.991,0.991,0.989,1.005,0.993,1.006,0.992,0.991,0.99,1.001,0.991,0.983,0.993,0.999,0.999,0.986,0.99,0.985,0.988,1.0,0.994
