,,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE
day,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,total,count_1.05+
その他,483,0.893,,,,,,,,,,,,,,,,0.992,0.86,0.909,1.093,0.896,0.849,0.691,1.01,1.021,0.686,0.84,0.99,1.073,0.834,,0.962,2
その他,484,0.862,,,,,,,,,,,,,,,,0.818,0.911,1.057,1.074,0.985,1.012,0.723,0.93,0.813,1.182,0.786,0.91,0.733,0.943,,0.971,3
その他,485,1.039,,,,,,,,,,,,,,,,1.141,1.081,1.082,1.033,1.145,1.095,0.687,,0.795,0.596,1.054,1.111,0.99,0.907,,1.061,7
その他,486,1.013,,,,,,,,,,,,,,,,1.073,1.141,0.729,1.165,1.069,0.89,0.967,1.082,0.957,0.923,1.181,0.825,0.993,0.768,,1.043,6
その他,487,0.859,,,,,,,,,,,,,,,,1.029,0.796,1.179,0.987,0.924,1.142,0.684,0.919,0.911,0.91,0.707,1.132,1.017,0.943,,1.013,3
その他,488,1.123,,,,,,,,,,,,,,,,1.031,0.903,0.999,0.947,1.075,0.942,0.888,0.934,1.044,0.909,0.61,0.933,0.789,0.915,,1.007,2
その他,489,1.057,,,,,,,,,,,,,,,,0.916,1.017,0.84,0.913,1.153,1.149,0.942,0.929,1.003,1.366,1.015,1.101,1.123,0.81,,1.036,6
その他,490,1.063,,,,,,,,,,,,,,,,1.021,0.951,0.971,0.847,1.044,1.068,0.884,1.104,0.918,0.944,0.784,0.827,0.973,1.188,,1.018,4
その他,491,1.007,,,,,,,,,,,,,,,,0.977,0.941,1.073,1.095,0.925,0.745,1.058,0.697,0.972,0.728,0.982,0.86,0.879,0.698,,0.971,3
その他,492,0.966,,,,,,,,,,,,,,,,0.966,1.088,0.813,0.692,1.032,0.977,0.627,0.886,1.008,1.067,0.951,1.036,0.936,0.688,,0.984,2
その他,493,1.129,,,,,,,,,,,,,,,,0.904,0.945,1.01,0.884,0.758,0.935,1.035,0.75,0.918,0.73,1.082,0.799,1.13,1.007,,1.005,3
その他,494,0.996,,,,,,,,,,,,,,,,1.049,1.099,1.06,0.772,1.063,1.08,0.854,1.086,0.936,0.88,0.955,0.939,0.896,0.959,,1.012,5
その他,495,0.809,,,,,,,,,,,,,,,,1.074,0.984,1.046,0.917,0.913,0.945,0.766,0.809,0.817,0.996,1.024,0.934,0.879,0.817,,0.935,1
その他,496,1.037,1.003,0.979,1.0,1.008,0.976,0.938,1.021,1.017,1.001,0.994,1.007,0.991,1.021,0.961,0.931,1.001,0.993,0.97,1.008,0.97,0.999,1.021,1.044,0.991,0.981,1.028,0.995,0.954,0.993,0.99,0.995,0
その他,497,0.976,1.029,0.991,0.996,1.011,0.968,1.013,0.948,1.02,0.985,0.981,0.904,0.977,0.992,0.956,0.944,0.962,0.997,0.998,1.036,1.04,1.016,1.034,0.958,1.048,0.996,0.916,0.905,1.012,1.001,1.011,0.993,0
その他,498,1.015,0.975,1.021,0.997,1.018,1.038,1.025,0.973,0.978,1.007,0.972,0.977,0.995,0.993,1.0,0.995,1.018,1.067,0.907,0.981,0.987,0.973,0.976,0.987,0.994,0.972,1.065,0.952,1.026,0.963,0.907,0.997,2
その他,499,1.042,1.023,0.951,1.018,1.055,1.002,1.045,0.962,0.981,0.946,1.022,1.022,0.962,0.987,0.952,1.018,0.941,0.998,1.035,0.969,0.99,1.05,0.953,0.96,0.981,0.956,0.93,0.956,0.967,0.956,0.982,0.993,2
その他,500,1.027,0.948,0.995,0.983,1.019,1.017,0.972,0.953,0.918,0.914,1.031,0.978,1.057,0.994,0.985,1.012,0.981,0.967,0.934,0.99,0.994,1.009,0.946,0.996,0.995,0.977,1.021,0.983,0.99,1.016,1.031,0.994,1
その他,501,1.008,1.058,0.987,1.057,1.057,0.966,1.007,0.937,1.012,0.987,0.949,0.973,0.977,0.915,0.997,0.958,0.986,0.96,1.012,0.987,1.031,1.05,0.918,0.956,0.948,0.939,0.914,0.97,1.008,0.981,1.065,0.991,5
その他,502,1.025,0.94,1.011,0.975,1.019,1.034,0.995,0.944,0.956,0.991,0.982,0.921,0.94,0.969,0.998,0.951,0.98,0.999,1.005,0.975,1.009,0.985,0.979,1.008,0.981,0.989,0.957,1.007,0.975,0.957,1.02,0.987,0
その他,503,0.984,0.971,1.008,1.025,0.965,1.049,0.98,1.021,0.995,0.968,1.036,0.969,0.956,1.012,0.982,0.991,0.998,0.997,0.946,0.965,1.005,0.948,1.003,0.933,0.996,1.019,1.033,1.025,1.042,0.958,0.952,0.995,0
その他,504,1.017,1.062,0.912,0.981,0.935,1.016,0.926,0.997,0.968,0.994,0.981,1.061,0.95,0.935,1.019,1.007,0.99,1.049,1.002,0.997,1.012,1.002,0.981,0.987,0.995,0.979,1.067,1.003,0.987,0.977,1.011,0.997,3
その他,505,1.025,0.956,0.965,0.997,1.002,0.968,0.93,1.011,0.995,1.013,0.998,0.957,0.961,1.005,1.016,0.973,0.984,1.006,1.021,0.995,0.967,0.996,0.952,0.944,0.983,0.991,0.965,1.021,0.962,0.979,0.981,0.987,0
その他,506,1.0,0.97,1.03,0.996,0.992,0.971,0.996,0.968,0.964,0.982,0.968,1.031,0.964,0.975,1.01,0.999,1.02,0.941,0.993,0.992,0.953,0.931,0.982,0.965,0.97,1.058,0.985,0.972,1.016,0.953,1.054,0.989,2
その他,507,1.014,1.0,0.957,1.03,1.023,0.971,1.003,1.007,1.02,0.975,1.022,0.982,1.012,0.964,0.96,0.992,0.966,0.977,0.974,1.027,0.932,0.972,0.95,0.996,1.039,0.968,0.976,0.997,0.966,0.977,1.036,0.992,0
その他,508,1.021,0.968,0.961,0.961,1.001,0.977,0.954,0.94,0.906,0.965,0.961,0.964,0.964,0.905,0.986,0.987,1.014,0.929,1.002,1.015,1.025,0.991,1.034,0.91,1.012,1.032,0.931,0.993,0.985,1.008,1.063,0.989,1
その他,509,0.973,0.98,0.968,1.074,1.004,1.052,1.021,0.963,0.99,0.968,0.958,0.985,0.996,1.039,1.025,0.989,1.017,0.965,1.068,1.03,0.952,0.956,0.99,0.972,0.993,0.969,0.999,1.032,1.011,1.012,0.979,0.999,3
その他,510,0.969,0.989,0.976,0.961,1.031,1.045,0.99,1.042,0.988,1.027,1.036,1.001,0.942,1.012,0.999,1.015,0.993,0.972,1.056,0.98,1.007,1.007,1.005,0.965,1.004,0.989,1.003,1.002,0.944,0.913,1.0,0.998,1
その他,511,0.971,1.016,0.991,0.956,0.945,1.019,0.944,0.988,0.916,0.991,1.039,1.034,0.96,0.995,1.014,0.999,1.071,1.026,0.881,0.968,0.995,1.049,1.002,0.989,1.0,1.033,0.971,0.998,0.982,1.054,0.97,1.0,2
その他,512,0.967,0.977,1.067,0.949,1.008,0.926,0.999,1.072,0.968,1.012,0.909,0.984,0.983,1.028,1.023,1.02,0.961,1.012,0.958,1.018,1.069,1.002,1.048,1.037,1.027,0.957,0.963,0.955,0.994,0.986,1.018,1.002,3
その他,513,1.056,0.966,0.967,0.86,0.993,0.975,0.961,1.021,1.08,1.009,1.015,1.026,1.023,1.02,0.971,0.98,0.986,0.933,0.995,0.976,0.963,0.954,0.96,0.99,0.997,0.965,1.018,1.021,0.96,0.986,0.941,0.99,2
その他,514,1.042,0.954,1.044,1.016,0.966,1.017,1.006,1.0,1.061,1.005,0.985,0.997,0.957,0.943,0.98,1.021,0.959,0.93,0.966,0.984,0.987,1.033,0.988,1.002,1.01,0.99,0.967,0.995,0.946,0.997,0.948,0.995,1
その他,515,1.018,0.96,0.997,0.995,0.954,0.964,1.033,0.987,0.846,0.933,0.971,0.986,1.016,0.944,0.988,0.954,1.01,0.998,0.997,1.018,1.027,0.906,0.96,1.013,1.018,1.039,1.051,1.015,0.967,0.993,1.001,0.992,1
その他,516,0.983,0.979,0.986,0.932,0.99,1.009,0.993,0.93,0.933,1.006,0.973,0.929,1.009,1.009,0.989,0.931,1.012,0.988,0.996,1.009,0.991,0.965,1.013,0.912,1.047,0.989,0.951,1.045,1.019,0.936,1.02,0.989,0
