,,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE
date,,total,total,total,total,total,total,total,2025-07-23 00:00:00,2025-07-23 00:00:00,2025-07-23 00:00:00,2025-07-23 00:00:00,2025-07-23 00:00:00,2025-07-23 00:00:00,2025-07-23 00:00:00,2025-06-23 00:00:00,2025-06-23 00:00:00,2025-06-23 00:00:00,2025-06-23 00:00:00,2025-06-23 00:00:00,2025-06-23 00:00:00,2025-06-23 00:00:00,2025-04-23 00:00:00,2025-04-23 00:00:00,2025-04-23 00:00:00,2025-04-23 00:00:00,2025-04-23 00:00:00,2025-04-23 00:00:00,2025-04-23 00:00:00,2025-03-23 00:00:00,2025-03-23 00:00:00,2025-03-23 00:00:00,2025-03-23 00:00:00,2025-03-23 00:00:00,2025-03-23 00:00:00,2025-03-23 00:00:00
area,unit_no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
その他,315,15006,0,48,41,1.0,366.0,168.6,3362.0,0.0,4.0,7.0,1.0,480.3,305.6,2187.0,0.0,6.0,7.0,1.0,312.4,168.2,4131.0,0.0,17.0,12.0,1.0,344.2,142.4,5326.0,0.0,21.0,15.0,1.0,355.1,147.9
その他,316,10237,0,42,28,1.0,365.6,146.2,3199.0,0.0,6.0,12.0,1.0,266.6,177.7,3917.0,0.0,23.0,7.0,1.0,559.6,130.6,1140.0,0.0,7.0,6.0,1.0,190.0,87.7,1981.0,0.0,6.0,3.0,1.0,660.3,220.1
その他,317,18137,0,77,67,1.0,270.7,126.0,5876.0,0.0,29.0,23.0,1.0,255.5,113.0,5534.0,0.0,22.0,21.0,1.0,263.5,128.7,3132.0,0.0,13.0,11.0,1.0,284.7,130.5,3595.0,0.0,13.0,12.0,1.0,299.6,143.8
その他,318,9395,0,30,27,1.0,348.0,164.8,814.0,0.0,2.0,1.0,1.0,814.0,271.3,968.0,0.0,2.0,3.0,1.0,322.7,193.6,2971.0,0.0,9.0,8.0,1.0,371.4,174.8,4642.0,0.0,17.0,15.0,1.0,309.5,145.1
その他,319,11242,0,56,28,1.0,401.5,133.8,4107.0,0.0,17.0,11.0,1.0,373.4,146.7,2285.0,0.0,21.0,5.0,1.0,457.0,87.9,2078.0,0.0,6.0,5.0,1.0,415.6,188.9,2772.0,0.0,12.0,7.0,1.0,396.0,145.9
その他,320,6667,0,30,16,1.0,416.7,144.9,436.0,0.0,0.0,0.0,1.0,,,3493.0,0.0,19.0,12.0,1.0,291.1,112.7,806.0,0.0,4.0,0.0,1.0,,201.5,1932.0,0.0,7.0,4.0,1.0,483.0,175.6
その他,321,17190,0,59,51,1.0,337.1,156.3,4977.0,0.0,18.0,14.0,1.0,355.5,155.5,3035.0,0.0,11.0,5.0,1.0,607.0,189.7,5986.0,0.0,21.0,23.0,1.0,260.3,136.0,3192.0,0.0,9.0,9.0,1.0,354.7,177.3
その他,322,6645,0,21,14,1.0,474.6,189.9,1593.0,0.0,5.0,1.0,1.0,1593.0,265.5,1436.0,0.0,4.0,2.0,1.0,718.0,239.3,1425.0,0.0,6.0,6.0,1.0,237.5,118.8,2191.0,0.0,6.0,5.0,1.0,438.2,199.2
その他,323,12052,0,41,38,1.0,317.2,152.6,3009.0,0.0,13.0,8.0,1.0,376.1,143.3,2328.0,0.0,9.0,7.0,1.0,332.6,145.5,4351.0,0.0,13.0,17.0,1.0,255.9,145.0,2364.0,0.0,6.0,6.0,1.0,394.0,197.0
その他,324,9072,0,38,27,1.0,336.0,139.6,4132.0,0.0,19.0,13.0,1.0,317.8,129.1,1222.0,0.0,4.0,6.0,1.0,203.7,122.2,2119.0,0.0,14.0,3.0,1.0,706.3,124.6,1599.0,0.0,1.0,5.0,1.0,319.8,266.5
その他,325,9613,0,29,26,1.0,369.7,174.8,1174.0,0.0,4.0,3.0,1.0,391.3,167.7,1987.0,0.0,2.0,8.0,1.0,248.4,198.7,382.0,0.0,0.0,0.0,1.0,,,6070.0,0.0,23.0,15.0,1.0,404.7,159.7
その他,326,10024,0,46,25,1.0,401.0,141.2,6070.0,0.0,32.0,16.0,1.0,379.4,126.5,487.0,0.0,1.0,0.0,1.0,,487.0,1708.0,0.0,7.0,3.0,1.0,569.3,170.8,1759.0,0.0,6.0,6.0,1.0,293.2,146.6
