,,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE
date,,total,total,total,total,total,total,total,2025-07-29 00:00:00,2025-07-29 00:00:00,2025-07-29 00:00:00,2025-07-29 00:00:00,2025-07-29 00:00:00,2025-07-29 00:00:00,2025-07-29 00:00:00,2025-06-29 00:00:00,2025-06-29 00:00:00,2025-06-29 00:00:00,2025-06-29 00:00:00,2025-06-29 00:00:00,2025-06-29 00:00:00,2025-06-29 00:00:00
area,unit_no,,,,,,,,,,,,,,,,,,,,,
その他,201,2956,-721,10,5,0.919,591.2,197.1,1578,109,7,3,1.023,526.0,157.8,1378,-830,3,2,0.799,689.0,275.6
その他,202,4088,-1451,11,10,0.882,408.8,194.7,632,-51,2,2,0.973,316.0,158.0,3456,-1400,9,8,0.865,432.0,203.3
その他,203,2629,362,13,6,1.046,438.2,138.4,944,-199,4,0,0.93,,236.0,1685,561,9,6,1.111,280.8,112.3
その他,204,3073,-1266,8,7,0.863,439.0,204.9,1345,-778,3,3,0.807,448.3,224.2,1728,-488,5,4,0.906,432.0,192.0
その他,205,5496,322,21,24,1.02,229.0,122.1,4726,828,19,23,1.058,205.5,112.5,770,-506,2,1,0.781,770.0,256.7
その他,206,2091,-890,5,4,0.858,522.8,232.3,281,-378,0,0,0.552,,,1810,-512,5,4,0.906,452.5,201.1
その他,207,2938,-1168,8,7,0.867,419.7,195.9,1798,-964,3,6,0.821,299.7,199.8,1140,-204,5,1,0.94,1140.0,190.0
その他,208,3420,-1662,7,10,0.838,342.0,201.2,2002,-662,6,6,0.89,333.7,166.8,1418,-1000,1,4,0.765,354.5,283.6
その他,209,2861,-797,11,4,0.907,715.2,190.7,1825,-546,6,3,0.9,608.3,202.8,1036,-251,5,1,0.919,1036.0,172.7
その他,210,5596,-823,18,17,0.951,329.2,159.9,1390,-546,3,6,0.869,231.7,154.4,4206,-277,15,11,0.978,382.4,161.8
その他,211,8867,-894,31,26,0.966,341.0,155.6,3255,-2161,6,7,0.779,465.0,250.4,5612,1267,25,19,1.075,295.4,127.5
