,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE
day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,total
model_name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アイムジャグラーEX-TP,1.0,1.041,0.796,0.971,0.902,0.976,0.794,0.904,0.998,0.833,0.832,0.929,0.941,0.99,1.137,0.941,1.115,0.59,0.906,0.939,0.861,0.834,0.993,0.89,0.913,1.039,1.009,0.958,1.049,0.944,0.864,0.97
ウルトラミラクルジャグラー,0.82,0.968,0.977,1.069,0.928,0.955,0.846,0.988,0.944,0.963,0.916,0.997,0.975,0.871,0.94,0.897,1.121,1.025,1.006,0.999,0.994,0.914,1.0,1.029,1.044,1.009,0.971,0.883,1.072,0.94,0.756,0.985
ゴーゴージャグラー3,0.946,1.034,1.004,0.965,0.995,0.999,0.92,1.044,0.974,0.893,0.899,0.983,1.02,0.813,1.032,1.032,0.975,1.003,0.976,0.988,1.01,1.011,0.979,0.982,1.028,0.949,0.984,0.985,0.923,0.951,1.02,0.984
ジャグラーガールズ,1.017,0.974,0.918,0.959,1.03,1.021,1.016,0.946,0.95,1.178,0.903,0.915,1.043,1.111,0.927,0.864,1.07,1.014,1.012,0.994,0.903,0.98,0.926,0.69,0.994,0.956,0.928,1.041,1.057,0.999,0.895,0.993
ファンキージャグラー2,1.043,0.988,0.948,0.897,1.111,0.943,0.971,0.918,0.7,0.967,0.824,1.007,1.059,0.928,0.593,0.874,0.702,0.956,0.981,0.952,1.098,1.042,1.044,0.923,0.926,0.955,0.853,1.029,0.956,0.798,1.147,0.98
マイジャグラーV,0.96,0.974,0.966,0.968,1.033,0.988,0.974,1.03,1.001,0.964,1.035,1.008,1.003,1.028,0.986,1.012,0.988,1.0,1.013,1.009,0.997,1.05,0.989,1.032,1.014,0.97,0.95,0.986,0.993,1.019,1.016,0.999
ミスタージャグラー,1.012,1.024,0.996,0.96,0.956,1.038,0.947,0.9,0.963,0.84,0.91,0.823,1.005,1.057,1.052,0.984,0.997,0.522,0.996,0.973,0.955,1.043,0.946,0.966,1.012,0.915,0.985,0.97,0.96,0.975,1.058,0.981
total,0.966,0.997,0.972,0.97,1.012,0.993,0.953,1.012,0.982,0.952,0.975,0.979,1.01,1.001,1.014,0.995,0.995,0.994,0.999,0.993,0.992,1.024,0.984,0.995,1.011,0.964,0.963,0.983,1.001,0.988,1.009,0.991
