,,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE
day,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,total,count_1.05+
その他,201,0.958,1.069,0.963,0.9,0.939,0.901,0.874,0.897,1.015,1.025,0.713,1.051,0.479,0.824,0.724,0.769,0.907,1.072,0.933,1.075,1.031,1.016,1.027,0.861,0.843,1.038,0.997,0.943,0.919,0.91,0.825,0.969,4
その他,202,0.979,1.121,0.912,1.013,0.877,1.101,0.926,0.886,0.86,0.912,0.843,0.992,1.067,0.992,1.02,0.742,1.148,1.013,1.019,0.799,0.917,1.101,1.074,0.99,1.05,0.935,0.758,0.984,0.882,0.861,0.992,0.993,7
その他,203,0.842,0.806,0.972,0.874,1.078,0.854,0.854,1.142,0.986,0.832,0.851,0.754,0.982,0.784,1.049,1.123,0.909,1.042,0.963,1.07,1.122,1.147,0.88,0.7,0.993,0.898,0.931,0.915,1.046,0.844,0.878,0.988,6
その他,204,0.924,0.782,1.069,0.767,1.141,1.117,1.056,0.97,0.958,0.947,0.908,0.834,0.729,0.571,1.109,0.838,1.07,1.029,1.044,0.99,0.94,0.832,0.987,1.056,1.116,1.013,1.065,0.873,0.863,0.933,0.579,1.01,9
その他,205,1.049,1.106,0.795,0.962,1.0,0.859,0.975,0.987,0.826,0.752,1.017,0.998,1.129,1.041,0.72,1.129,0.559,1.018,0.877,0.951,0.967,0.989,0.972,1.024,1.001,0.653,0.977,1.104,1.02,0.775,1.27,1.005,5
その他,206,0.851,0.999,0.907,0.66,0.947,0.873,0.853,0.999,1.021,0.81,0.833,0.906,0.622,0.832,1.093,0.883,0.842,0.891,1.036,1.018,1.003,1.027,1.039,0.693,0.907,0.957,1.001,0.986,0.858,1.013,1.114,0.961,2
その他,207,0.985,1.11,1.125,1.002,0.963,1.041,0.82,0.759,0.991,0.768,0.88,1.039,1.048,0.716,1.076,0.823,0.887,1.274,0.988,0.819,1.021,0.886,0.894,1.037,1.032,0.885,1.035,0.805,0.867,0.933,0.956,0.986,4
その他,208,0.91,0.973,0.872,1.014,0.971,0.847,0.922,1.147,1.059,0.94,0.934,0.931,0.902,0.887,1.043,0.827,0.842,0.893,0.923,0.971,0.954,0.985,0.909,0.566,1.067,0.776,0.885,1.047,0.838,0.91,0.956,0.965,3
その他,209,0.938,0.885,1.053,1.014,1.038,1.062,0.824,1.107,0.925,0.935,0.835,0.873,0.862,0.573,1.002,1.271,1.105,1.092,0.968,1.027,0.833,0.899,0.849,0.95,1.121,0.902,0.952,0.977,0.907,1.009,1.417,0.988,8
その他,210,0.889,1.068,1.011,0.996,1.001,0.981,0.875,0.942,0.878,0.777,0.946,1.083,0.867,0.601,1.137,1.104,0.812,0.768,0.909,0.762,1.085,0.988,1.04,1.063,0.964,0.98,0.98,0.939,0.951,1.018,1.011,0.978,6
その他,211,0.999,0.987,0.986,0.935,1.063,0.978,0.88,1.006,1.028,1.048,0.849,1.029,0.97,0.994,0.861,1.011,0.949,0.937,0.956,0.933,1.079,1.035,0.962,1.084,0.858,0.956,0.98,0.938,0.966,0.869,0.952,0.977,3
その他,212,1.002,0.913,1.015,0.965,1.025,0.899,0.824,0.626,1.033,0.843,1.092,0.952,1.025,0.915,0.968,0.903,1.049,0.737,1.081,0.793,1.079,1.018,1.084,0.993,1.075,0.987,0.927,0.86,1.048,1.042,0.994,1.01,5
その他,213,0.879,1.001,1.035,0.816,0.828,0.896,0.983,1.176,0.985,0.794,0.997,1.002,0.865,1.079,0.83,1.124,1.013,1.085,1.069,1.143,1.021,0.964,0.895,0.976,1.065,0.901,0.845,0.865,0.916,1.012,0.87,0.98,7
その他,214,0.886,0.977,0.975,0.885,1.056,0.866,0.983,1.045,0.917,0.958,1.148,0.833,0.939,1.137,0.993,0.952,0.956,1.057,1.074,0.987,0.946,1.028,1.138,1.071,0.905,0.891,0.875,1.004,1.055,0.978,1.118,0.998,9
その他,215,1.092,0.962,0.932,1.017,0.968,1.061,0.964,1.086,1.054,1.005,0.787,0.985,1.037,1.1,0.892,0.895,0.837,0.801,1.031,1.019,0.999,1.114,0.734,1.088,0.994,0.908,0.912,0.962,0.997,0.924,1.007,0.996,7
