,,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE
date,,total,total,total,total,total,total,total,2025-07-23 00:00:00,2025-07-23 00:00:00,2025-07-23 00:00:00,2025-07-23 00:00:00,2025-07-23 00:00:00,2025-07-23 00:00:00,2025-07-23 00:00:00,2025-06-23 00:00:00,2025-06-23 00:00:00,2025-06-23 00:00:00,2025-06-23 00:00:00,2025-06-23 00:00:00,2025-06-23 00:00:00,2025-06-23 00:00:00,2025-04-23 00:00:00,2025-04-23 00:00:00,2025-04-23 00:00:00,2025-04-23 00:00:00,2025-04-23 00:00:00,2025-04-23 00:00:00,2025-04-23 00:00:00,2025-03-23 00:00:00,2025-03-23 00:00:00,2025-03-23 00:00:00,2025-03-23 00:00:00,2025-03-23 00:00:00,2025-03-23 00:00:00,2025-03-23 00:00:00
area,unit_no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
その他,803,7004,0,35,8,1.0,875.5,162.9,2018,0,10,5,1.0,403.6,134.5,511,0,2,0,1.0,,255.5,1174,0,6,0,1.0,,195.7,3301,0,17,3,1.0,1100.3,165.0
その他,804,10268,0,32,29,1.0,354.1,168.3,1153,0,5,2,1.0,576.5,164.7,3100,0,10,8,1.0,387.5,172.2,4763,0,16,16,1.0,297.7,148.8,1252,0,1,3,1.0,417.3,313.0
その他,805,4880,0,18,9,1.0,542.2,180.7,1877,0,9,4,1.0,469.2,144.4,1270,0,5,3,1.0,423.3,158.8,547,0,2,0,1.0,,273.5,1186,0,2,2,1.0,593.0,296.5
その他,806,5154,0,15,7,1.0,736.3,234.3,2472,0,8,4,1.0,618.0,206.0,472,0,0,0,1.0,,,721,0,3,1,1.0,721.0,180.2,1489,0,4,2,1.0,744.5,248.2
その他,807,8135,0,38,13,1.0,625.8,159.5,1051,0,6,3,1.0,350.3,116.8,601,0,3,0,1.0,,200.3,3277,0,13,7,1.0,468.1,163.8,3206,0,16,3,1.0,1068.7,168.7
その他,808,7904,0,37,12,1.0,658.7,161.3,1808,0,10,2,1.0,904.0,150.7,1303,0,8,2,1.0,651.5,130.3,2553,0,10,4,1.0,638.2,182.4,2240,0,9,4,1.0,560.0,172.3
その他,809,5630,0,29,7,1.0,804.3,156.4,417,0,0,1,1.0,417.0,417.0,2388,0,17,3,1.0,796.0,119.4,1072,0,3,2,1.0,536.0,214.4,1753,0,9,1,1.0,1753.0,175.3
その他,810,7356,0,24,13,1.0,565.8,198.8,1791,0,6,2,1.0,895.5,223.9,2232,0,11,5,1.0,446.4,139.5,2065,0,4,4,1.0,516.2,258.1,1268,0,3,2,1.0,634.0,253.6
その他,811,16104,0,57,44,1.0,366.0,159.4,3350,0,11,11,1.0,304.5,152.3,599,0,2,1,1.0,599.0,199.7,8946,0,34,21,1.0,426.0,162.7,3209,0,10,11,1.0,291.7,152.8
その他,812,3929,0,13,6,1.0,654.8,206.8,1225,0,1,3,1.0,408.3,306.2,352,0,1,0,1.0,,352.0,1611,0,8,3,1.0,537.0,146.5,741,0,3,0,1.0,,247.0
その他,813,10356,0,50,26,1.0,398.3,136.3,2423,0,13,4,1.0,605.8,142.5,401,0,0,0,1.0,,,1398,0,7,2,1.0,699.0,155.3,6134,0,30,20,1.0,306.7,122.7
その他,814,6324,0,16,10,1.0,632.4,243.2,2740,0,9,5,1.0,548.0,195.7,1411,0,2,2,1.0,705.5,352.8,1799,0,4,3,1.0,599.7,257.0,374,0,1,0,1.0,,374.0
その他,815,3471,0,10,5,1.0,694.2,231.4,881,0,3,2,1.0,440.5,176.2,748,0,2,1,1.0,748.0,249.3,1266,0,3,2,1.0,633.0,253.2,576,0,2,0,1.0,,288.0
その他,816,12999,0,49,45,1.0,288.9,138.3,2141,0,8,9,1.0,237.9,125.9,3339,0,11,16,1.0,208.7,123.7,2322,0,11,1,1.0,2322.0,193.5,5197,0,19,19,1.0,273.5,136.8
その他,817,3248,0,9,9,1.0,360.9,180.4,618,0,1,1,1.0,618.0,309.0,198,0,0,1,1.0,198.0,198.0,899,0,2,1,1.0,899.0,299.7,1533,0,6,6,1.0,255.5,127.8
その他,818,8136,0,24,19,1.0,428.2,189.2,1386,0,2,5,1.0,277.2,198.0,2919,0,12,7,1.0,417.0,153.6,2771,0,7,5,1.0,554.2,230.9,1060,0,3,2,1.0,530.0,212.0
