,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE
day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,total
area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a: MYV,1.002,1.011,0.997,0.976,1.003,0.991,1.002,0.999,0.996,0.982,1.006,1.011,1.003,0.995,1.014,0.997,0.998,1.019,0.972,0.992,0.993,1.016,1.0,0.982,1.017,0.987,1.027,0.995,0.99,1.012,0.991,1.002
b: MYV,0.999,1.01,1.008,0.996,1.017,0.993,1.012,0.989,0.994,0.995,1.005,0.997,0.998,0.999,1.014,0.992,0.992,0.998,0.982,0.995,1.01,1.005,0.994,0.991,1.014,1.012,1.012,0.992,0.976,1.01,0.998,1.002
c-1: GO3,0.979,0.966,1.021,0.989,1.014,0.97,1.001,0.992,0.99,0.948,1.008,1.022,0.993,0.981,1.017,1.01,1.012,0.979,0.955,0.975,1.008,1.032,0.976,0.983,1.015,1.002,0.997,0.981,1.004,0.985,0.959,0.997
c: GO3,0.996,1.005,0.975,0.985,1.032,1.002,0.97,0.984,0.991,0.953,0.987,1.009,0.977,0.975,1.009,0.967,0.963,0.975,0.991,0.986,1.017,1.025,0.957,0.966,1.001,0.973,0.998,0.97,0.948,1.006,0.983,0.992
d: IMJ,1.003,1.004,0.997,0.978,1.011,1.0,0.995,0.977,1.011,0.985,0.988,1.01,1.001,0.994,1.008,0.968,0.982,0.985,0.976,0.975,0.979,1.025,0.997,0.996,1.002,0.995,1.003,1.001,0.999,0.992,0.98,0.997
e: FJ2,1.03,0.996,1.007,0.984,1.003,0.988,0.987,0.988,0.965,0.967,0.993,0.997,0.983,0.978,1.014,0.967,0.992,1.011,0.969,0.979,0.988,1.001,0.979,0.96,1.032,1.0,1.005,0.99,0.993,0.958,0.999,0.994
f: MRJ,1.002,1.008,1.002,1.014,1.009,1.012,1.032,0.987,0.982,0.991,1.004,1.024,1.025,0.981,1.007,0.981,1.0,0.977,0.982,1.015,0.987,1.029,0.993,0.983,0.993,1.028,1.013,1.006,0.986,0.978,0.992,1.004
g: UMJ,1.003,1.004,1.014,0.979,0.982,1.006,0.999,0.969,0.995,1.016,0.998,1.009,0.988,0.998,1.028,0.96,0.974,0.994,0.982,1.0,1.009,1.0,0.957,0.98,1.004,0.998,0.993,1.002,0.981,1.008,1.012,0.997
h: JGS,1.006,1.015,0.999,0.962,1.002,0.965,0.992,0.978,0.984,1.008,1.028,1.018,1.008,0.991,0.999,0.995,1.001,0.978,0.953,0.97,1.008,1.011,0.998,0.98,1.011,1.016,1.018,0.986,0.953,0.997,0.98,1.0
i: HPV3,0.993,1.004,0.957,0.986,1.036,0.987,0.973,0.986,0.986,1.021,0.976,1.006,0.954,0.931,1.001,0.978,0.998,0.962,0.962,0.946,0.956,1.008,0.957,0.996,0.987,0.962,0.985,0.954,0.945,0.962,1.009,0.984
その他,0.964,0.945,0.995,1.009,1.021,0.96,1.009,0.949,0.955,0.997,0.995,0.991,0.954,0.944,1.005,0.959,0.96,0.951,1.063,0.91,1.015,0.989,0.991,0.983,0.973,0.999,0.968,0.967,0.991,0.987,0.94,0.983
total,1.001,1.005,1.001,0.987,1.013,0.993,1.001,0.986,0.993,0.987,1.001,1.007,0.997,0.989,1.011,0.983,0.99,0.991,0.977,0.987,1.0,1.015,0.988,0.985,1.009,1.002,1.008,0.991,0.98,0.998,0.991,0.998
