,,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE
date,,total,total,total,total,total,total,total,2025-07-29 00:00:00,2025-07-29 00:00:00,2025-07-29 00:00:00,2025-07-29 00:00:00,2025-07-29 00:00:00,2025-07-29 00:00:00,2025-07-29 00:00:00,2025-06-29 00:00:00,2025-06-29 00:00:00,2025-06-29 00:00:00,2025-06-29 00:00:00,2025-06-29 00:00:00,2025-06-29 00:00:00,2025-06-29 00:00:00,2025-05-29 00:00:00,2025-05-29 00:00:00,2025-05-29 00:00:00,2025-05-29 00:00:00,2025-05-29 00:00:00,2025-05-29 00:00:00,2025-05-29 00:00:00,2025-04-29 00:00:00,2025-04-29 00:00:00,2025-04-29 00:00:00,2025-04-29 00:00:00,2025-04-29 00:00:00,2025-04-29 00:00:00,2025-04-29 00:00:00,2025-03-29 00:00:00,2025-03-29 00:00:00,2025-03-29 00:00:00,2025-03-29 00:00:00,2025-03-29 00:00:00,2025-03-29 00:00:00,2025-03-29 00:00:00
area,unit_no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a: マイジャグラーV,600,28273,751,113,74,1.009,382.1,151.2,7319,1324,33,21,1.06,348.5,135.5,8138,695,34,24,1.028,339.1,140.3,5482,-882,18,16,0.946,342.6,161.2,4870,500,21,11,1.034,442.7,152.2,2464,-886,7,2,0.88,1232.0,273.8
a: マイジャグラーV,601,23560,564,97,65,1.008,362.5,145.4,7987,-745,28,22,0.969,363.0,159.7,2968,-390,11,6,0.956,494.7,174.6,2368,-556,8,6,0.922,394.7,169.1,6754,2222,36,21,1.11,321.6,118.5,3483,33,14,10,1.003,348.3,145.1
a: マイジャグラーV,602,16662,-1098,56,49,0.978,340.0,158.7,4400,-582,15,8,0.956,550.0,191.3,3833,-709,12,9,0.938,425.9,182.5,679,-373,1,2,0.817,339.5,226.3,6855,1460,28,28,1.071,244.8,122.4,895,-894,0,2,0.667,447.5,447.5
a: マイジャグラーV,603,22714,1917,93,65,1.028,349.4,143.8,5184,135,22,12,1.009,432.0,152.5,6642,960,30,14,1.048,474.4,151.0,1009,-205,3,3,0.932,336.3,168.2,5951,1116,24,22,1.063,270.5,129.4,3928,-89,14,14,0.992,280.6,140.3
a: マイジャグラーV,604,14931,-3191,49,32,0.929,466.6,184.3,2457,-809,6,6,0.89,409.5,204.8,2484,-686,8,5,0.908,496.8,191.1,1025,-667,2,0,0.783,,512.5,1775,-332,7,0,0.938,,253.6,7190,-697,26,21,0.968,342.4,153.0
a: マイジャグラーV,605,15395,-2455,48,46,0.947,334.7,163.8,6221,-235,23,20,0.987,311.0,144.7,3687,-387,13,10,0.965,368.7,160.3,847,-655,0,4,0.742,211.8,211.8,3606,-436,11,9,0.96,400.7,180.3,1034,-742,1,3,0.761,344.7,258.5
a: マイジャグラーV,606,20600,968,87,55,1.016,374.5,145.1,2739,-933,8,7,0.886,391.3,182.6,6342,656,28,17,1.034,373.1,140.9,2816,328,11,12,1.039,234.7,122.4,4057,94,16,10,1.008,405.7,156.0,4646,823,24,9,1.059,516.2,140.8
a: マイジャグラーV,607,20167,41,73,56,1.001,360.1,156.3,8975,2061,36,33,1.077,272.0,130.1,3078,-481,11,6,0.948,513.0,181.1,365,-80,1,0,0.927,,365.0,5544,-895,18,14,0.946,396.0,173.2,2205,-564,7,3,0.915,735.0,220.5
a: マイジャグラーV,608,28991,2401,117,86,1.028,337.1,142.8,6393,-856,19,22,0.955,290.6,155.9,4836,392,22,9,1.027,537.3,156.0,4626,1609,22,16,1.116,289.1,121.7,8290,1146,34,27,1.046,307.0,135.9,4846,110,20,12,1.008,403.8,151.4
b: マイジャグラーV,657,22752,-4487,71,57,0.934,399.2,177.8,7220,-1411,24,16,0.935,451.2,180.5,2700,-851,8,4,0.895,675.0,225.0,5793,-601,17,20,0.965,289.6,156.6,5063,-81,20,13,0.995,389.5,153.4,1976,-1543,2,4,0.74,494.0,329.3
b: マイジャグラーV,658,14512,-251,54,43,0.994,337.5,149.6,2706,-953,7,6,0.883,451.0,208.2,2360,-427,8,5,0.94,472.0,181.5,553,-657,0,0,0.604,,,6386,1791,29,27,1.093,236.5,114.0,2507,-5,10,5,0.999,501.4,167.1
b: マイジャグラーV,659,21272,688,82,61,1.011,348.7,148.8,4382,1416,21,15,1.108,292.1,121.7,5298,294,19,18,1.018,294.3,143.2,5870,27,23,16,1.002,366.9,150.5,3963,-544,13,10,0.954,396.3,172.3,1759,-505,6,2,0.904,879.5,219.9
b: マイジャグラーV,660,18896,2797,86,46,1.049,410.8,143.2,7433,1431,35,17,1.064,437.2,142.9,2365,376,12,3,1.053,788.3,157.7,1617,-402,5,2,0.917,808.5,231.0,6562,2103,33,23,1.107,285.3,117.2,919,-711,1,1,0.742,919.0,459.5
b: マイジャグラーV,661,20856,971,89,50,1.016,417.1,150.0,3450,-1026,12,4,0.901,862.5,215.6,6837,1231,32,19,1.06,359.8,134.1,1273,-316,4,0,0.917,,318.2,2336,-267,9,6,0.962,389.3,155.7,6960,1349,32,21,1.065,331.4,131.3
b: マイジャグラーV,662,22046,-1179,81,55,0.982,400.8,162.1,5706,-1105,17,16,0.935,356.6,172.9,1872,-212,7,3,0.962,624.0,187.2,1517,-325,5,2,0.929,758.5,216.7,6735,863,29,17,1.043,396.2,146.4,6216,-400,23,17,0.979,365.6,155.4
b: マイジャグラーV,663,11353,-1000,41,24,0.971,473.0,174.7,2859,-291,10,4,0.966,714.8,204.2,2176,-549,7,5,0.916,435.2,181.3,3086,691,14,10,1.075,308.6,128.6,1638,-292,5,3,0.941,546.0,204.8,1594,-559,5,2,0.883,797.0,227.7
b: マイジャグラーV,664,28004,3932,126,77,1.047,363.7,138.0,7779,2526,42,16,1.108,486.2,134.1,4925,-1484,13,14,0.9,351.8,182.4,2928,689,15,6,1.078,488.0,139.4,6177,32,22,22,1.002,280.8,140.4,6195,2169,34,19,1.117,326.1,116.9
b: マイジャグラーV,665,20044,-923,71,57,0.985,351.6,156.6,2381,-1076,6,4,0.849,595.2,238.1,3322,58,14,9,1.006,369.1,144.4,5772,-401,18,17,0.977,339.5,164.9,6165,1002,25,22,1.054,280.2,131.2,2404,-506,8,5,0.93,480.8,184.9
b: マイジャグラーV,666,14258,-759,54,31,0.982,459.9,167.7,5832,905,27,15,1.052,388.8,138.9,2574,-372,10,3,0.952,858.0,198.0,2056,-233,7,5,0.962,411.2,171.3,2239,-417,7,3,0.938,746.3,223.9,1557,-642,3,5,0.863,311.4,194.6
b: マイジャグラーV,667,27047,-2443,99,62,0.97,436.2,168.0,4551,-1043,14,12,0.924,379.2,175.0,4713,-389,20,7,0.972,673.3,174.6,6566,174,25,18,1.009,364.8,152.7,5415,-192,18,17,0.988,318.5,154.7,5802,-993,22,8,0.943,725.2,193.4
b: マイジャグラーV,668,9390,-2685,29,18,0.905,521.7,199.8,3884,-1536,9,11,0.868,353.1,194.2,1680,-665,4,3,0.868,560.0,240.0,1234,-290,5,1,0.922,1234.0,205.7,1244,-206,5,1,0.945,1244.0,207.3,1348,12,6,2,1.003,674.0,168.5
