,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE
day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,total
model_name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アイムジャグラーEX-TP,1.002,1.001,0.997,0.981,1.01,0.997,0.994,0.978,1.01,0.986,0.987,1.011,1.0,0.993,1.009,0.966,0.981,0.984,0.976,0.976,0.978,1.026,0.996,0.993,1.001,0.997,1.002,0.999,0.999,0.99,0.979,0.996
ウルトラミラクルジャグラー,1.006,1.008,1.014,0.982,0.973,0.998,0.997,0.969,0.997,1.012,0.996,1.008,0.991,1.001,1.028,0.943,0.976,0.982,0.977,0.974,1.009,1.0,0.954,0.986,1.0,1.006,0.996,1.007,0.979,1.007,1.008,0.996
ゴーゴージャグラー3,0.989,0.992,0.994,0.989,1.026,0.988,0.984,0.984,0.989,0.955,0.995,1.012,0.98,0.974,1.011,0.981,0.98,0.975,0.985,0.979,1.014,1.026,0.966,0.972,1.005,0.984,0.997,0.973,0.969,0.998,0.974,0.993
ジャグラーガールズ,1.006,1.015,0.999,0.962,1.002,0.965,0.992,0.978,0.984,1.008,1.028,1.018,1.008,0.991,0.999,0.995,1.001,0.978,0.953,0.97,1.008,1.011,0.998,0.98,1.011,1.016,1.018,0.986,0.953,0.997,0.98,1.0
ハッピージャグラーVIII,0.993,1.004,0.957,0.986,1.036,0.987,0.973,0.986,0.986,1.021,0.976,1.006,0.954,0.931,1.001,0.978,0.998,0.962,0.962,0.946,0.956,1.008,0.957,0.996,0.987,0.962,0.985,0.954,0.945,0.962,1.009,0.984
ファンキージャグラー2,1.03,1.0,1.009,0.974,1.006,1.0,0.992,0.985,0.966,0.971,0.996,0.998,0.984,0.98,1.015,0.978,0.995,1.02,0.975,0.997,0.993,0.997,0.98,0.964,1.036,0.988,1.004,0.991,0.992,0.97,1.008,0.997
マイジャグラーV,1.0,1.01,1.006,0.992,1.014,0.993,1.01,0.991,0.995,0.992,1.005,1.0,0.999,0.998,1.014,0.993,0.994,1.003,0.98,0.994,1.007,1.008,0.995,0.989,1.015,1.006,1.016,0.993,0.979,1.011,0.996,1.002
ミスタージャグラー,1.002,1.008,1.002,1.014,1.009,1.012,1.032,0.987,0.982,0.991,1.004,1.024,1.025,0.981,1.007,0.981,1.0,0.977,0.982,1.015,0.987,1.029,0.993,0.983,0.993,1.028,1.013,1.006,0.986,0.978,0.992,1.004
total,1.001,1.005,1.001,0.987,1.013,0.993,1.001,0.986,0.993,0.987,1.001,1.007,0.997,0.989,1.011,0.983,0.99,0.991,0.977,0.987,1.0,1.015,0.988,0.985,1.009,1.002,1.008,0.991,0.98,0.998,0.991,0.998
