,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE
day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,total
area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a マイジャグラーV,1.0,1.0,1.019,0.999,1.017,0.983,1.003,0.996,1.009,0.997,0.994,0.998,1.016,0.985,0.993,0.992,0.994,0.976,1.015,0.983,0.997,1.002,1.02,0.999,1.006,0.995,0.998,0.997,1.014,0.994,0.985,1.003
b ゴーゴージャグラー3,1.002,1.017,0.989,0.969,0.973,1.024,1.011,0.977,1.029,0.983,0.96,0.99,1.027,1.004,1.011,0.996,1.007,0.991,1.011,0.976,0.965,1.013,1.003,0.964,1.009,0.971,1.023,0.994,0.984,0.986,1.0,0.999
b-1 ゴーゴージャグラー3,1.022,1.043,1.088,1.055,0.975,0.936,1.101,0.959,1.058,0.588,1.156,0.985,0.87,0.808,0.492,1.054,1.052,0.972,0.992,0.959,0.964,0.994,0.884,0.965,0.945,1.007,1.067,0.865,0.95,0.82,,1.001
c アイムジャグラーEX-TP,0.988,0.997,1.015,1.009,1.01,1.015,0.973,0.989,1.015,1.015,0.98,0.961,1.028,0.969,1.018,0.979,1.01,0.967,1.004,0.976,1.015,0.996,0.993,1.02,0.972,0.982,0.995,0.986,0.99,1.012,0.982,0.999
d ハッピージャグラーVIII,0.996,0.965,0.991,1.01,1.008,0.994,1.033,1.011,1.025,1.013,1.005,1.006,1.032,1.015,0.983,0.921,0.956,0.995,1.011,0.983,0.987,1.075,0.973,0.995,1.04,0.988,0.961,0.965,1.051,0.921,1.011,1.003
e ジャグラーガールズ,0.99,1.009,1.011,0.965,1.014,1.007,1.003,0.988,1.0,0.94,1.022,0.945,1.006,0.965,0.985,0.987,0.995,0.977,1.018,1.037,0.973,0.978,1.005,0.956,1.045,0.984,0.97,0.996,1.019,0.909,1.007,0.997
f ウルトラミラクルジャグラー,1.0,0.997,0.99,1.038,0.979,0.89,1.014,1.028,1.035,0.99,0.971,0.996,1.035,1.013,0.998,0.964,0.971,0.979,1.009,0.992,1.037,0.944,1.019,1.001,0.956,1.027,0.974,0.947,1.032,1.03,0.95,1.0
total,0.998,1.001,1.011,0.998,1.007,0.994,1.004,0.994,1.014,0.994,0.99,0.988,1.02,0.988,0.999,0.985,0.996,0.979,1.013,0.987,0.994,1.005,1.008,0.995,1.007,0.991,0.997,0.989,1.012,0.985,0.989,1.001
