,,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE
date,,total,total,total,total,total,total,total,2025-06-26 00:00:00,2025-06-26 00:00:00,2025-06-26 00:00:00,2025-06-26 00:00:00,2025-06-26 00:00:00,2025-06-26 00:00:00,2025-06-26 00:00:00
area,unit_no,,,,,,,,,,,,,,
a マイジャグラーV,49,877,-1035,0,1,0.607,877.0,877.0,877,-1035,0,1,0.607,877.0,877.0
a マイジャグラーV,50,2994,-629,9,7,0.93,427.7,187.1,2994,-629,9,7,0.93,427.7,187.1
a マイジャグラーV,51,4860,1279,24,9,1.088,540.0,147.3,4860,1279,24,9,1.088,540.0,147.3
a マイジャグラーV,52,7376,1563,34,25,1.071,295.0,125.0,7376,1563,34,25,1.071,295.0,125.0
a マイジャグラーV,53,660,-124,2,1,0.937,660.0,220.0,660,-124,2,1,0.937,660.0,220.0
a マイジャグラーV,54,2379,-280,9,2,0.961,1189.5,216.3,2379,-280,9,2,0.961,1189.5,216.3
a マイジャグラーV,55,2735,-849,8,8,0.897,341.9,170.9,2735,-849,8,8,0.897,341.9,170.9
a マイジャグラーV,56,4759,-1188,14,12,0.917,396.6,183.0,4759,-1188,14,12,0.917,396.6,183.0
a マイジャグラーV,57,7209,4828,41,34,1.223,212.0,96.1,7209,4828,41,34,1.223,212.0,96.1
a マイジャグラーV,58,62,-97,0,0,0.478,,,62,-97,0,0,0.478,,
a マイジャグラーV,59,66,-104,0,0,0.475,,,66,-104,0,0,0.475,,
a マイジャグラーV,60,7338,1903,30,33,1.086,222.4,116.5,7338,1903,30,33,1.086,222.4,116.5
a マイジャグラーV,61,303,-358,0,0,0.606,,,303,-358,0,0,0.606,,
a マイジャグラーV,62,2319,61,8,9,1.009,257.7,136.4,2319,61,8,9,1.009,257.7,136.4
a マイジャグラーV,63,2577,-719,8,4,0.907,644.2,214.8,2577,-719,8,4,0.907,644.2,214.8
a マイジャグラーV,64,2892,864,15,7,1.1,413.1,131.5,2892,864,15,7,1.1,413.1,131.5
a マイジャグラーV,65,881,-107,4,0,0.96,,220.2,881,-107,4,0,0.96,,220.2
a マイジャグラーV,66,2505,1237,15,6,1.165,417.5,119.3,2505,1237,15,6,1.165,417.5,119.3
a マイジャグラーV,67,1609,634,9,4,1.131,402.2,123.8,1609,634,9,4,1.131,402.2,123.8
a マイジャグラーV,68,2465,-665,8,5,0.91,493.0,189.6,2465,-665,8,5,0.91,493.0,189.6
a マイジャグラーV,69,901,57,5,0,1.021,,180.2,901,57,5,0,1.021,,180.2
b ゴーゴージャグラー3,84,2109,73,7,9,1.012,234.3,131.8,2109,73,7,9,1.012,234.3,131.8
b ゴーゴージャグラー3,85,548,-376,1,1,0.771,548.0,274.0,548,-376,1,1,0.771,548.0,274.0
b ゴーゴージャグラー3,86,636,32,3,1,1.017,636.0,159.0,636,32,3,1,1.017,636.0,159.0
b ゴーゴージャグラー3,87,1091,-694,2,2,0.788,545.5,272.8,1091,-694,2,2,0.788,545.5,272.8
b ゴーゴージャグラー3,88,1046,-557,3,0,0.822,,348.7,1046,-557,3,0,0.822,,348.7
b ゴーゴージャグラー3,89,1679,-278,6,4,0.945,419.8,167.9,1679,-278,6,4,0.945,419.8,167.9
b ゴーゴージャグラー3,90,1264,226,5,3,1.06,421.3,158.0,1264,226,5,3,1.06,421.3,158.0
b ゴーゴージャグラー3,91,821,-85,4,0,0.965,,205.2,821,-85,4,0,0.965,,205.2
b-1 ゴーゴージャグラー3,99,1903,-766,4,6,0.866,317.2,190.3,1903,-766,4,6,0.866,317.2,190.3
c アイムジャグラーEX-TP,77,860,-338,2,3,0.869,286.7,172.0,860,-338,2,3,0.869,286.7,172.0
c アイムジャグラーEX-TP,78,778,-713,1,0,0.695,,778.0,778,-713,1,0,0.695,,778.0
c アイムジャグラーEX-TP,79,1308,-778,1,5,0.802,261.6,218.0,1308,-778,1,5,0.802,261.6,218.0
c アイムジャグラーEX-TP,80,1439,-593,3,5,0.863,287.8,179.9,1439,-593,3,5,0.863,287.8,179.9
c アイムジャグラーEX-TP,81,391,-261,1,0,0.777,,391.0,391,-261,1,0,0.777,,391.0
c アイムジャグラーEX-TP,82,631,-355,1,1,0.812,631.0,315.5,631,-355,1,1,0.812,631.0,315.5
c アイムジャグラーEX-TP,83,2377,838,12,9,1.118,264.1,113.2,2377,838,12,9,1.118,264.1,113.2
d ハッピージャグラーVIII,92,432,-285,1,1,0.78,432.0,216.0,432,-285,1,1,0.78,432.0,216.0
d ハッピージャグラーVIII,93,2003,999,12,7,1.166,286.1,105.4,2003,999,12,7,1.166,286.1,105.4
d ハッピージャグラーVIII,94,632,-155,2,2,0.918,316.0,158.0,632,-155,2,2,0.918,316.0,158.0
d ハッピージャグラーVIII,95,29,-46,0,0,0.471,,,29,-46,0,0,0.471,,
d ハッピージャグラーVIII,96,3097,411,15,7,1.044,442.4,140.8,3097,411,15,7,1.044,442.4,140.8
d ハッピージャグラーVIII,97,395,-276,1,0,0.767,,395.0,395,-276,1,0,0.767,,395.0
d ハッピージャグラーVIII,98,1528,772,10,4,1.168,382.0,109.1,1528,772,10,4,1.168,382.0,109.1
e ジャグラーガールズ,72,3987,1126,20,13,1.094,306.7,120.8,3987,1126,20,13,1.094,306.7,120.8
e ジャグラーガールズ,73,336,-414,0,0,0.589,,,336,-414,0,0,0.589,,
e ジャグラーガールズ,74,1429,296,7,5,1.069,285.8,119.1,1429,296,7,5,1.069,285.8,119.1
e ジャグラーガールズ,75,990,-441,2,1,0.852,990.0,330.0,990,-441,2,1,0.852,990.0,330.0
e ジャグラーガールズ,76,462,-469,0,1,0.662,462.0,462.0,462,-469,0,1,0.662,462.0,462.0
f ウルトラミラクルジャグラー,70,2477,1459,16,6,1.196,412.8,112.6,2477,1459,16,6,1.196,412.8,112.6
f ウルトラミラクルジャグラー,71,2303,-153,9,6,0.978,383.8,153.5,2303,-153,9,6,0.978,383.8,153.5
total,,96748,4470,394,269,1.015,359.7,145.9,96748,4470,394,269,1.015,359.7,145.9
