,,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE
day,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,total,count_1.05+
a マイジャグラーV,49,0.913,0.913,0.854,0.988,0.977,0.961,1.0,1.041,1.052,0.872,0.951,1.044,0.976,0.873,0.957,1.038,1.163,1.017,1.002,0.918,0.855,0.998,1.007,1.013,1.028,0.607,0.826,0.865,1.013,1.104,0.979,3
a マイジャグラーV,50,0.655,1.134,0.999,0.877,1.013,0.833,1.055,0.85,1.01,0.967,1.019,0.954,1.037,0.916,0.98,0.791,1.022,1.07,0.795,1.016,0.942,0.905,0.972,0.995,1.101,0.93,0.939,0.676,1.053,0.536,0.996,5
a マイジャグラーV,51,1.008,0.838,0.961,0.995,1.103,1.068,0.868,0.539,1.073,0.943,0.988,1.132,1.128,0.863,0.94,1.15,0.972,0.885,0.923,1.084,1.035,1.016,0.843,1.004,0.647,1.088,0.936,0.848,1.031,1.126,1.034,9
a マイジャグラーV,52,0.979,0.989,1.041,1.063,0.892,0.903,0.92,1.162,0.99,0.993,0.94,0.984,0.985,1.01,0.938,0.745,0.994,0.843,0.978,0.72,1.099,0.936,1.004,0.677,0.832,1.071,0.958,0.733,0.915,1.104,0.997,5
a マイジャグラーV,53,1.012,1.035,0.901,0.89,0.88,0.911,0.986,0.795,0.955,1.005,1.0,0.965,0.938,0.954,1.082,1.108,1.175,1.048,1.066,1.045,1.071,0.972,0.971,0.966,0.752,0.937,1.069,0.894,0.92,1.063,0.99,7
a マイジャグラーV,54,1.022,1.053,1.029,0.778,0.89,0.956,1.088,0.825,1.088,1.017,1.104,1.009,1.041,0.808,0.957,0.911,0.906,0.893,0.849,1.051,1.044,1.16,1.025,1.032,1.047,0.961,1.095,0.803,0.843,1.011,1.007,7
a マイジャグラーV,55,1.13,0.868,1.024,0.847,0.97,0.942,1.023,1.018,0.933,0.98,1.023,0.972,0.974,0.959,0.953,0.895,1.212,0.882,0.967,0.966,1.082,0.922,1.115,0.773,0.923,0.897,0.922,1.071,0.88,0.998,0.976,5
a マイジャグラーV,56,1.023,0.992,1.021,0.993,0.863,1.012,1.012,1.102,0.821,0.967,0.932,0.958,1.048,0.955,0.976,1.062,1.068,0.883,1.021,1.025,0.972,0.991,0.983,0.643,1.016,0.917,1.019,1.081,1.015,0.87,0.998,4
a マイジャグラーV,57,1.112,0.826,1.034,1.016,0.979,0.9,1.056,0.972,1.059,1.067,0.939,0.975,1.102,0.931,1.058,0.936,0.667,1.006,1.025,0.917,0.956,0.953,1.011,1.077,0.724,1.223,1.159,0.92,1.035,1.027,1.027,9
