,,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE
date,,total,total,total,total,total,2025-05-13 00:00:00,2025-05-13 00:00:00,2025-05-13 00:00:00,2025-05-13 00:00:00,2025-05-13 00:00:00,2025-04-13 00:00:00,2025-04-13 00:00:00,2025-04-13 00:00:00,2025-04-13 00:00:00,2025-04-13 00:00:00,2025-03-13 00:00:00,2025-03-13 00:00:00,2025-03-13 00:00:00,2025-03-13 00:00:00,2025-03-13 00:00:00,2025-02-13 00:00:00,2025-02-13 00:00:00,2025-02-13 00:00:00,2025-02-13 00:00:00,2025-02-13 00:00:00
area,unit_no,,,,,,,,,,,,,,,,,,,,,,,,,
a: アイムジャグラーEX-TP,331,13854,-2455,0.941,494.8,182.3,3800.0,-1209.0,0.894,345.5,181.0,4884.0,199.0,1.014,814.0,174.4,3277.0,204.0,1.021,364.1,142.5,1893.0,-1649.0,0.71,946.5,473.2
a: アイムジャグラーEX-TP,332,15063,-1872,0.959,418.4,171.2,5600.0,-351.0,0.979,430.8,169.7,4340.0,-457.0,0.965,289.3,149.7,1211.0,-442.0,0.878,1211.0,302.8,3912.0,-622.0,0.947,558.9,177.8
b: アイムジャグラーEX-TP,380,20112,4060,1.067,346.8,136.8,4512.0,1765.0,1.13,347.1,121.9,5500.0,786.0,1.048,305.6,144.7,5833.0,2300.0,1.131,364.6,119.0,4267.0,-791.0,0.938,387.9,185.5
b: アイムジャグラーEX-TP,381,15189,4259,1.093,303.8,122.5,4945.0,1122.0,1.076,329.7,130.1,1740.0,-288.0,0.945,290.0,158.2,2538.0,525.0,1.069,507.6,141.0,5966.0,2900.0,1.162,248.6,104.7
b: アイムジャグラーEX-TP,382,16843,188,1.004,601.5,170.1,1888.0,-155.0,0.973,944.0,188.8,3590.0,-925.0,0.914,359.0,179.5,6730.0,303.0,1.015,673.0,168.2,4635.0,965.0,1.069,772.5,159.8
b: アイムジャグラーEX-TP,383,9953,-525,0.982,552.9,171.6,3938.0,1197.0,1.101,492.2,131.3,1515.0,-571.0,0.874,,303.0,1879.0,-448.0,0.921,313.2,156.6,2621.0,-703.0,0.911,655.2,238.3
b: アイムジャグラーEX-TP,384,6991,-3518,0.832,537.8,241.1,685.0,-552.0,0.731,,685.0,2704.0,-1023.0,0.874,450.7,193.1,2475.0,-1359.0,0.817,353.6,225.0,1127.0,-584.0,0.827,,375.7
b: アイムジャグラーEX-TP,385,11087,-3674,0.89,396.0,191.2,4431.0,787.0,1.059,443.1,142.9,970.0,-1261.0,0.567,485.0,485.0,2815.0,-1481.0,0.825,351.9,216.5,2871.0,-1719.0,0.8,358.9,239.2
b: アイムジャグラーEX-TP,386,11086,-2086,0.937,346.4,173.2,3576.0,-225.0,0.979,298.0,149.0,3366.0,-1064.0,0.895,280.5,187.0,1770.0,-758.0,0.857,590.0,252.9,2374.0,-39.0,0.995,474.8,158.3
b: アイムジャグラーEX-TP,387,17050,59,1.001,362.8,155.0,6580.0,3013.0,1.153,313.3,117.5,2535.0,-1243.0,0.837,633.8,281.7,5775.0,-525.0,0.97,385.0,165.0,2160.0,-1186.0,0.817,308.6,216.0
b: アイムジャグラーEX-TP,388,14108,1672,1.04,300.2,131.9,5797.0,2626.0,1.151,263.5,109.4,3523.0,-251.0,0.976,320.3,146.8,2855.0,-177.0,0.979,259.5,136.0,1933.0,-526.0,0.909,644.3,214.8
b: アイムジャグラーEX-TP,389,12592,-1370,0.964,524.7,179.9,1870.0,741.0,1.132,467.5,133.6,5358.0,-832.0,0.948,595.3,191.4,2551.0,-401.0,0.948,637.8,196.2,2813.0,-878.0,0.896,401.9,187.5
b: アイムジャグラーEX-TP,390,16114,-2014,0.958,503.6,183.1,3860.0,-1452.0,0.875,643.3,241.2,1264.0,-146.0,0.961,421.3,180.6,4912.0,-617.0,0.958,446.5,181.9,6078.0,201.0,1.011,506.5,159.9
b: アイムジャグラーEX-TP,391,15974,-1821,0.962,371.5,164.7,3199.0,-1313.0,0.863,639.8,266.6,5746.0,1232.0,1.071,319.2,130.6,5561.0,-1220.0,0.927,308.9,163.6,1468.0,-520.0,0.882,734.0,209.7
b: アイムジャグラーEX-TP,392,10319,-2295,0.926,430.0,187.6,1584.0,-196.0,0.959,792.0,198.0,2380.0,-723.0,0.899,595.0,216.4,3370.0,-225.0,0.978,259.2,140.4,2985.0,-1151.0,0.871,597.0,248.8
b: アイムジャグラーEX-TP,393,13977,-1841,0.956,399.3,166.4,2166.0,-686.0,0.894,433.2,196.9,3341.0,-181.0,0.982,417.6,159.1,4707.0,-436.0,0.969,470.7,168.1,3763.0,-538.0,0.952,313.6,156.8
b: アイムジャグラーEX-TP,394,18556,4093,1.074,241.0,121.3,3318.0,1787.0,1.18,144.3,89.7,7328.0,1562.0,1.071,293.1,128.6,6421.0,1487.0,1.077,256.8,123.5,1489.0,-743.0,0.834,372.2,212.7
b: アイムジャグラーEX-TP,395,10309,-1198,0.961,355.5,163.6,2560.0,-91.0,0.988,365.7,150.6,1842.0,-378.0,0.932,368.4,167.5,4656.0,584.0,1.042,332.6,145.5,1251.0,-1313.0,0.65,417.0,417.0
b: アイムジャグラーEX-TP,396,19335,852,1.015,411.4,155.9,5876.0,796.0,1.045,419.7,146.9,3864.0,1145.0,1.099,772.8,148.6,3415.0,-170.0,0.983,379.4,162.6,6180.0,-919.0,0.95,325.3,167.0
b: アイムジャグラーEX-TP,397,13880,144,1.003,365.3,152.5,1342.0,-981.0,0.756,671.0,335.5,3135.0,541.0,1.058,447.9,142.5,5825.0,843.0,1.048,342.6,142.1,3578.0,-259.0,0.976,298.2,149.1
b: アイムジャグラーEX-TP,398,18312,1114,1.02,295.4,138.7,4233.0,651.0,1.051,282.2,132.3,5292.0,-268.0,0.983,330.8,155.6,3471.0,-33.0,0.997,347.1,150.9,5316.0,764.0,1.048,253.1,123.6
c: マイジャグラーV,350,24465,-2115,0.971,388.3,163.1,4158.0,-797.0,0.936,319.8,173.2,6467.0,693.0,1.036,380.4,140.6,7180.0,-1081.0,0.95,478.7,184.1,6660.0,-930.0,0.953,370.0,162.4
c: マイジャグラーV,351,16451,-929,0.981,350.0,158.2,2563.0,-77.0,0.99,427.2,150.8,5094.0,132.0,1.009,318.4,149.8,2342.0,-94.0,0.987,585.5,180.2,6452.0,-890.0,0.954,307.2,161.3
c: マイジャグラーV,352,13476,-2514,0.938,374.3,172.8,2706.0,-1290.0,0.841,451.0,225.5,3195.0,-768.0,0.92,355.0,177.5,3026.0,-228.0,0.975,378.2,159.3,4549.0,-228.0,0.983,349.9,156.9
c: マイジャグラーV,353,12466,-1599,0.957,461.7,175.6,1228.0,-828.0,0.775,614.0,307.0,4872.0,55.0,1.004,541.3,162.4,4239.0,-19.0,0.999,353.2,151.4,2127.0,-807.0,0.874,531.8,236.3
c: マイジャグラーV,354,22748,2991,1.044,361.1,137.9,6302.0,-720.0,0.962,450.1,170.3,6300.0,1935.0,1.102,420.0,126.0,6604.0,486.0,1.025,287.1,137.6,3542.0,1290.0,1.121,322.0,118.1
c: マイジャグラーV,355,13461,-3311,0.918,320.5,177.1,1347.0,-1001.0,0.752,673.5,449.0,2430.0,-888.0,0.878,607.5,243.0,4447.0,-780.0,0.942,277.9,158.8,5237.0,-642.0,0.959,261.8,149.6
c: マイジャグラーV,356,18993,-69,0.999,345.3,154.4,5940.0,378.0,1.021,258.3,138.1,6748.0,681.0,1.034,374.9,146.7,2857.0,-814.0,0.905,476.2,204.1,3448.0,-314.0,0.97,431.0,172.4
c: マイジャグラーV,357,23771,-295,0.996,396.2,158.5,3360.0,-1864.0,0.815,672.0,280.0,8365.0,1622.0,1.065,321.7,137.1,5201.0,1417.0,1.091,577.9,144.5,6845.0,-1470.0,0.928,342.2,167.0
c: マイジャグラーV,358,9702,-2219,0.924,373.2,179.7,2695.0,-543.0,0.933,336.9,179.7,2860.0,-62.0,0.993,286.0,143.0,2486.0,-694.0,0.907,497.2,191.2,1661.0,-920.0,0.815,553.7,276.8
d: マイジャグラーV,369,9675,-3987,0.863,483.8,219.9,1820.0,-865.0,0.842,364.0,202.2,2556.0,-1058.0,0.862,365.1,196.6,2441.0,-1464.0,0.8,813.7,348.7,2858.0,-600.0,0.93,571.6,190.5
d: マイジャグラーV,370,19815,3137,1.053,347.6,140.5,3564.0,-407.0,0.962,324.0,162.0,5888.0,601.0,1.034,346.4,147.2,8347.0,4007.0,1.16,298.1,115.9,2016.0,-1064.0,0.824,2016.0,288.0
d: マイジャグラーV,371,12618,-661,0.983,435.1,163.9,1332.0,-512.0,0.872,666.0,222.0,3978.0,642.0,1.054,361.6,137.2,2258.0,-842.0,0.876,752.7,250.9,5050.0,51.0,1.003,388.5,153.0
d: マイジャグラーV,372,18496,-326,0.994,393.5,155.4,2794.0,-233.0,0.972,399.1,155.2,4065.0,-526.0,0.957,508.1,176.7,7338.0,465.0,1.021,349.4,141.1,4299.0,-32.0,0.998,390.8,165.3
d: マイジャグラーV,373,12355,-1997,0.946,494.2,184.4,4185.0,-123.0,0.99,465.0,174.4,5040.0,-1017.0,0.933,360.0,168.0,1416.0,-1116.0,0.737,708.0,354.0,1714.0,259.0,1.05,,190.4
d: マイジャグラーV,374,16999,731,1.014,414.6,156.0,4114.0,1470.0,1.119,514.2,137.1,6776.0,810.0,1.04,376.4,147.3,3624.0,-375.0,0.966,402.7,164.7,2485.0,-1174.0,0.843,414.2,225.9
d: マイジャグラーV,375,11158,-2010,0.94,464.9,180.0,1794.0,-83.0,0.985,256.3,138.0,2548.0,-520.0,0.932,364.0,182.0,2893.0,-1035.0,0.881,1446.5,222.5,3923.0,-372.0,0.968,490.4,178.3
d: マイジャグラーV,376,17828,-2935,0.945,469.2,174.8,4056.0,-390.0,0.968,312.0,156.0,4528.0,-1290.0,0.905,566.0,188.7,5052.0,-1587.0,0.895,459.3,194.3,4192.0,332.0,1.026,698.7,161.2
e: ゴーゴージャグラー3,359,13057,-955,0.976,384.0,151.8,3420.0,-304.0,0.97,488.6,155.5,3945.0,-419.0,0.965,358.6,151.7,2695.0,-862.0,0.893,385.0,179.7,2997.0,630.0,1.07,333.0,130.3
e: ゴーゴージャグラー3,360,11938,-2667,0.926,341.1,165.8,4212.0,-642.0,0.949,300.9,156.0,1860.0,-1087.0,0.805,310.0,186.0,3802.0,532.0,1.047,292.5,131.1,2064.0,-1470.0,0.763,1032.0,344.0
e: ゴーゴージャグラー3,361,17247,1198,1.023,338.2,136.9,5236.0,2378.0,1.151,290.9,113.8,4465.0,-422.0,0.968,496.1,159.5,1699.0,-1180.0,0.768,339.8,212.4,5847.0,422.0,1.024,307.7,132.9
e: ゴーゴージャグラー3,362,14319,-2184,0.949,292.2,152.3,2315.0,-520.0,0.925,210.5,144.7,3504.0,-1458.0,0.861,318.5,184.4,4787.0,-355.0,0.975,341.9,154.4,3713.0,149.0,1.013,285.6,132.6
e: ゴーゴージャグラー3,363,14399,-1050,0.976,464.5,163.6,2660.0,599.0,1.075,886.7,156.5,4352.0,-1435.0,0.89,1088.0,217.6,2093.0,-91.0,0.986,697.7,174.4,5294.0,-123.0,0.992,252.1,135.7
e: ゴーゴージャグラー3,364,16198,-3361,0.931,317.6,160.4,2910.0,-1603.0,0.816,415.7,242.5,5700.0,-1499.0,0.912,211.1,146.2,3132.0,142.0,1.015,348.0,136.2,4456.0,-401.0,0.97,557.0,165.0
e: ゴーゴージャグラー3,365,10632,-3617,0.887,366.6,183.3,822.0,-303.0,0.877,,274.0,4290.0,-1052.0,0.918,286.0,165.0,3789.0,-1284.0,0.887,378.9,180.4,1731.0,-978.0,0.812,432.8,216.4
e: ゴーゴージャグラー3,366,9278,416,1.015,463.9,142.7,570.0,-433.0,0.747,,285.0,1652.0,-1145.0,0.769,1652.0,330.4,1496.0,-332.0,0.926,,249.3,5560.0,2326.0,1.139,292.6,106.9
e: ゴーゴージャグラー3,367,7222,-3400,0.843,343.9,190.1,1430.0,-1070.0,0.751,357.5,238.3,1928.0,-990.0,0.829,321.3,192.8,1722.0,-265.0,0.949,861.0,191.3,2142.0,-1075.0,0.833,238.0,164.8
e: ゴーゴージャグラー3,368,17346,-808,0.984,340.1,148.3,1698.0,-790.0,0.845,283.0,188.7,5566.0,426.0,1.026,253.0,126.5,4774.0,-367.0,0.974,530.4,164.6,5308.0,-77.0,0.995,379.1,151.7
f: ファンキージャグラー2,337,14010,-2984,0.929,483.1,189.3,1834.0,-286.0,0.948,611.3,183.4,2764.0,-1574.0,0.81,345.5,230.3,4305.0,-1330.0,0.897,538.1,215.2,5107.0,206.0,1.013,510.7,159.6
f: ファンキージャグラー2,338,13369,-1144,0.971,371.4,159.2,2259.0,-54.0,0.992,322.7,141.2,5888.0,-36.0,0.998,392.5,154.9,1453.0,-1093.0,0.749,726.5,363.2,3769.0,39.0,1.003,314.1,145.0
f: ファンキージャグラー2,339,13927,1731,1.041,435.2,146.6,3553.0,1186.0,1.111,444.1,131.6,6480.0,1330.0,1.068,360.0,135.0,2477.0,-210.0,0.972,495.4,165.1,1417.0,-575.0,0.865,1417.0,283.4
f: ファンキージャグラー2,340,15506,-1688,0.964,369.2,159.9,4592.0,-965.0,0.93,417.5,183.7,3640.0,-558.0,0.949,455.0,173.3,5409.0,407.0,1.025,284.7,131.9,1865.0,-572.0,0.898,466.2,186.5
f: ファンキージャグラー2,341,8361,-3272,0.87,597.2,226.0,3408.0,251.0,1.025,568.0,154.9,2130.0,-1823.0,0.715,1065.0,426.0,1242.0,-572.0,0.846,414.0,248.4,1581.0,-1128.0,0.762,527.0,316.2
f: ファンキージャグラー2,342,14892,2750,1.062,381.8,136.6,3880.0,868.0,1.075,554.3,143.7,1359.0,-729.0,0.821,679.5,271.8,7627.0,3357.0,1.147,305.1,113.8,2026.0,-746.0,0.877,405.2,202.6
f: ファンキージャグラー2,343,16764,-1862,0.963,408.9,166.0,3860.0,-717.0,0.938,296.9,167.8,4200.0,-1870.0,0.852,420.0,210.0,2926.0,1087.0,1.124,365.8,117.0,5778.0,-362.0,0.979,577.8,175.1
g: ハッピージャグラーVIII,399,12026,-1303,0.964,400.9,160.3,1540.0,-770.0,0.833,1540.0,256.7,4914.0,-1574.0,0.893,327.6,175.5,1387.0,364.0,1.087,1387.0,154.1,4185.0,677.0,1.054,321.9,130.8
g: ハッピージャグラーVIII,400,12151,-391,0.989,328.4,146.4,1876.0,-323.0,0.943,375.2,156.3,2678.0,654.0,1.081,334.8,127.5,6368.0,219.0,1.011,335.2,144.7,1229.0,-941.0,0.745,245.8,204.8
g: ハッピージャグラーVIII,401,16625,-2020,0.959,313.7,156.8,6153.0,-651.0,0.965,341.8,157.8,7140.0,-448.0,0.979,238.0,140.0,1506.0,-430.0,0.905,,251.0,1826.0,-491.0,0.91,365.2,182.6
g: ハッピージャグラーVIII,402,9871,-1169,0.961,493.6,176.3,888.0,-819.0,0.693,296.0,296.0,1017.0,-799.0,0.738,508.5,339.0,2724.0,-332.0,0.959,681.0,181.6,5242.0,781.0,1.05,476.5,149.8
g: ハッピージャグラーVIII,403,13598,656,1.016,367.5,147.8,3856.0,386.0,1.033,350.5,142.8,3146.0,-210.0,0.978,393.2,165.6,4999.0,1116.0,1.074,312.4,128.2,1597.0,-636.0,0.867,798.5,228.1
g: ハッピージャグラーVIII,404,16104,-1882,0.961,342.6,161.0,4950.0,-1070.0,0.928,353.6,170.7,4624.0,-204.0,0.985,308.3,149.2,3183.0,-1122.0,0.883,530.5,227.4,3347.0,514.0,1.051,278.9,128.7
h: ジャグラーガールズ,333,10050,-3241,0.893,335.0,182.7,1689.0,-996.0,0.803,563.0,281.5,2840.0,-478.0,0.944,284.0,157.8,4139.0,-1493.0,0.88,243.5,165.6,1382.0,-274.0,0.934,,230.3
h: ジャグラーガールズ,334,16752,-188,0.996,372.3,155.1,5405.0,601.0,1.037,360.3,142.2,7263.0,200.0,1.009,330.1,148.2,1955.0,-190.0,0.968,488.8,162.9,2129.0,-799.0,0.875,532.2,236.6
h: ジャグラーガールズ,335,13421,-268,0.993,383.5,154.3,1944.0,-199.0,0.966,972.0,194.4,3510.0,-1007.0,0.904,351.0,175.5,6359.0,1626.0,1.085,353.3,129.8,1608.0,-688.0,0.857,321.6,201.0
h: ジャグラーガールズ,336,9496,-798,0.972,351.7,155.7,1668.0,-865.0,0.827,556.0,238.3,1216.0,-543.0,0.851,,304.0,1206.0,-552.0,0.847,402.0,201.0,5406.0,1162.0,1.072,257.4,122.9
i: ミスタージャグラー,344,19487,-841,0.986,389.7,153.4,3680.0,865.0,1.078,460.0,131.4,6233.0,-809.0,0.957,415.5,164.0,3920.0,57.0,1.005,392.0,156.8,5654.0,-954.0,0.944,332.6,157.1
i: ミスタージャグラー,345,16963,967,1.019,434.9,152.8,4085.0,439.0,1.036,408.5,140.9,4494.0,-1070.0,0.921,408.5,179.8,2699.0,-259.0,0.968,337.4,168.7,5685.0,1857.0,1.109,568.5,138.7
i: ミスタージャグラー,346,12820,-3664,0.905,377.1,180.6,2488.0,-1354.0,0.819,414.7,248.8,3883.0,-1377.0,0.882,388.3,184.9,3491.0,-532.0,0.949,349.1,166.2,2958.0,-401.0,0.955,369.8,155.7
i: ミスタージャグラー,347,16660,794,1.016,378.6,147.4,3960.0,1017.0,1.086,396.0,132.0,3789.0,-1684.0,0.852,631.5,252.6,2591.0,-222.0,0.971,323.9,152.4,6320.0,1683.0,1.089,316.0,123.9
その他,348,23107,-3125,0.955,334.9,161.6,7825.0,-1157.0,0.951,313.0,156.5,3454.0,-1029.0,0.901,575.7,203.2,5611.0,-1035.0,0.939,330.1,170.0,6217.0,96.0,1.005,296.0,144.6
その他,349,22595,2242,1.033,293.4,136.1,3552.0,-845.0,0.921,394.7,169.1,4400.0,106.0,1.008,366.7,157.1,7231.0,2126.0,1.098,249.3,116.6,7412.0,855.0,1.038,274.5,134.8
その他,379,6396,671,1.035,266.5,136.1,,,,,,,,,,,2413.0,-677.0,0.906,219.4,150.8,3983.0,1348.0,1.113,306.4,128.5
total,,1051768,-62793,0.98,375.8,158.1,233936.0,-8757.0,0.988,377.9,156.5,284251.0,-27717.0,0.967,374.5,161.8,271008.0,-9552.0,0.988,375.4,155.8,262573.0,-16767.0,0.979,375.6,158.2
