,,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE
date,,total,total,total,total,total,2025-04-23 00:00:00,2025-04-23 00:00:00,2025-04-23 00:00:00,2025-04-23 00:00:00,2025-04-23 00:00:00,2025-03-23 00:00:00,2025-03-23 00:00:00,2025-03-23 00:00:00,2025-03-23 00:00:00,2025-03-23 00:00:00,2025-02-23 00:00:00,2025-02-23 00:00:00,2025-02-23 00:00:00,2025-02-23 00:00:00,2025-02-23 00:00:00,2025-01-23 00:00:00,2025-01-23 00:00:00,2025-01-23 00:00:00,2025-01-23 00:00:00,2025-01-23 00:00:00,2024-12-23 00:00:00,2024-12-23 00:00:00,2024-12-23 00:00:00,2024-12-23 00:00:00,2024-12-23 00:00:00
area,unit_no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a: アイムジャグラーEX-TP,331,21959,-221,0.997,318.2,149.4,3600.0,-629.0,0.942,450.0,180.0,4601.0,-486.0,0.965,418.3,170.4,7257.0,-183.0,0.992,259.2,142.3,3830.0,1412.0,1.123,225.3,109.4,2671.0,-335.0,0.958,534.2,190.8
a: アイムジャグラーEX-TP,332,22621,1519,1.022,337.6,144.1,6240.0,2326.0,1.124,249.6,113.5,6535.0,1387.0,1.071,343.9,133.4,3467.0,-1823.0,0.825,433.4,231.1,5490.0,65.0,1.004,392.1,156.9,889.0,-436.0,0.837,889.0,296.3
b: アイムジャグラーEX-TP,380,16641,48,1.001,378.2,152.7,3230.0,-625.0,0.936,293.6,153.8,2232.0,-204.0,0.97,558.0,186.0,4449.0,491.0,1.037,370.8,143.5,1787.0,-784.0,0.854,357.4,198.6,4943.0,1170.0,1.079,411.9,137.3
b: アイムジャグラーEX-TP,381,26283,4869,1.062,298.7,131.4,5709.0,2926.0,1.171,335.8,114.2,8002.0,1684.0,1.07,266.7,127.0,7669.0,671.0,1.029,232.4,127.8,1774.0,-816.0,0.847,591.3,253.4,3129.0,404.0,1.043,625.8,156.4
b: アイムジャグラーEX-TP,382,19266,1517,1.026,279.2,135.7,3692.0,-387.0,0.965,410.2,167.8,2293.0,-416.0,0.94,764.3,191.1,3825.0,1388.0,1.121,212.5,106.2,3034.0,-688.0,0.924,337.1,178.5,6422.0,1620.0,1.084,214.1,116.8
b: アイムジャグラーEX-TP,383,23245,2584,1.037,352.2,143.5,4224.0,-535.0,0.958,844.8,201.1,5880.0,-506.0,0.971,309.5,158.9,5757.0,1255.0,1.073,319.8,130.8,1449.0,-604.0,0.861,724.5,241.5,5935.0,2974.0,1.167,269.8,109.9
b: アイムジャグラーEX-TP,384,17807,-1340,0.975,434.3,169.6,3630.0,1846.0,1.17,453.8,121.0,3386.0,-170.0,0.983,1128.7,199.2,3917.0,468.0,1.04,326.4,139.9,3458.0,-1632.0,0.843,288.2,203.4,3416.0,-1852.0,0.819,569.3,262.8
b: アイムジャグラーEX-TP,385,18916,961,1.017,411.2,153.8,5643.0,1226.0,1.072,376.2,134.4,3269.0,196.0,1.02,653.8,172.1,7014.0,1413.0,1.067,350.7,137.5,1791.0,-1400.0,0.739,358.2,298.5,1199.0,-474.0,0.868,1199.0,239.8
b: アイムジャグラーEX-TP,386,18539,-351,0.994,363.5,154.5,5117.0,-594.0,0.961,284.3,146.2,4188.0,119.0,1.009,465.3,161.1,1887.0,-622.0,0.89,629.0,209.7,3585.0,426.0,1.04,398.3,155.9,3762.0,320.0,1.028,313.5,139.3
b: アイムジャグラーEX-TP,387,25501,2558,1.033,331.2,140.9,7672.0,575.0,1.025,255.7,132.3,3945.0,686.0,1.058,657.5,157.8,5665.0,-472.0,0.972,333.2,157.4,1149.0,-135.0,0.961,1149.0,191.5,7070.0,1904.0,1.09,307.4,126.2
b: アイムジャグラーEX-TP,388,23992,-1205,0.983,387.0,159.9,2912.0,-1359.0,0.844,416.0,208.0,7712.0,2596.0,1.112,405.9,130.7,4180.0,-1800.0,0.856,464.4,232.2,7889.0,-258.0,0.989,292.2,143.4,1299.0,-384.0,0.901,,324.8
b: アイムジャグラーEX-TP,389,24515,780,1.011,471.4,161.3,3794.0,-271.0,0.976,474.2,172.5,7823.0,925.0,1.039,460.2,153.4,4979.0,1145.0,1.077,553.2,150.9,2372.0,-581.0,0.918,790.7,215.6,5547.0,-438.0,0.974,369.8,158.5
b: アイムジャグラーEX-TP,390,22787,-3046,0.955,465.0,178.0,5784.0,390.0,1.022,385.6,148.3,4972.0,-188.0,0.987,414.3,160.4,4852.0,-2483.0,0.829,539.1,269.6,4137.0,-761.0,0.939,827.4,206.8,3042.0,-4.0,1.0,380.2,152.1
b: アイムジャグラーEX-TP,391,16189,-3260,0.933,770.9,204.9,2892.0,-1.0,1.0,964.0,192.8,6829.0,-1458.0,0.929,682.9,200.9,2774.0,-845.0,0.898,693.5,213.4,2242.0,-1070.0,0.841,2242.0,320.3,1452.0,114.0,1.026,484.0,145.2
b: アイムジャグラーEX-TP,392,17235,-4761,0.908,506.9,200.4,3078.0,-1081.0,0.883,615.6,219.9,5371.0,-2283.0,0.858,767.3,255.8,3132.0,4.0,1.0,522.0,164.8,3486.0,-65.0,0.994,290.5,145.2,2168.0,-1336.0,0.795,542.0,271.0
b: アイムジャグラーEX-TP,393,16888,-3685,0.927,511.8,185.6,4056.0,-1383.0,0.886,579.4,202.8,5409.0,-720.0,0.956,386.4,169.0,4940.0,239.0,1.016,548.9,159.4,1727.0,-1214.0,0.766,575.7,287.8,756.0,-607.0,0.732,,378.0
b: アイムジャグラーEX-TP,394,20162,-933,0.985,366.6,157.5,4326.0,-641.0,0.951,393.3,173.0,3939.0,-799.0,0.932,358.1,179.0,3816.0,-738.0,0.936,477.0,190.8,3849.0,320.0,1.028,296.1,132.7,4232.0,925.0,1.073,352.7,132.2
