,,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE
date,,total,total,total,total,total,2025-05-13 00:00:00,2025-05-13 00:00:00,2025-05-13 00:00:00,2025-05-13 00:00:00,2025-05-13 00:00:00,2025-05-03 00:00:00,2025-05-03 00:00:00,2025-05-03 00:00:00,2025-05-03 00:00:00,2025-05-03 00:00:00,2025-04-23 00:00:00,2025-04-23 00:00:00,2025-04-23 00:00:00,2025-04-23 00:00:00,2025-04-23 00:00:00,2025-04-13 00:00:00,2025-04-13 00:00:00,2025-04-13 00:00:00,2025-04-13 00:00:00,2025-04-13 00:00:00,2025-04-03 00:00:00,2025-04-03 00:00:00,2025-04-03 00:00:00,2025-04-03 00:00:00,2025-04-03 00:00:00,2025-03-23 00:00:00,2025-03-23 00:00:00,2025-03-23 00:00:00,2025-03-23 00:00:00,2025-03-23 00:00:00,2025-03-13 00:00:00,2025-03-13 00:00:00,2025-03-13 00:00:00,2025-03-13 00:00:00,2025-03-13 00:00:00,2025-03-03 00:00:00,2025-03-03 00:00:00,2025-03-03 00:00:00,2025-03-03 00:00:00,2025-03-03 00:00:00,2025-02-23 00:00:00,2025-02-23 00:00:00,2025-02-23 00:00:00,2025-02-23 00:00:00,2025-02-23 00:00:00,2025-02-13 00:00:00,2025-02-13 00:00:00,2025-02-13 00:00:00,2025-02-13 00:00:00,2025-02-13 00:00:00,2025-02-03 00:00:00,2025-02-03 00:00:00,2025-02-03 00:00:00,2025-02-03 00:00:00,2025-02-03 00:00:00
model_name,unit_no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アイムジャグラーEX-TP,331,48382,-1376,0.991,403.2,160.2,3800.0,-1209.0,0.894,345.5,181.0,6438.0,1099.0,1.057,495.2,153.3,3600.0,-629.0,0.942,450.0,180.0,4884.0,199.0,1.014,814.0,174.4,2970.0,659.0,1.074,371.2,135.0,4601.0,-486.0,0.965,418.3,170.4,3277.0,204.0,1.021,364.1,142.5,6714.0,768.0,1.038,394.9,146.0,7257.0,-183.0,0.992,259.2,142.3,1893.0,-1649.0,0.71,946.5,473.2,2948.0,-149.0,0.983,421.1,163.8
アイムジャグラーEX-TP,332,22780,1393,1.02,299.7,140.6,5600.0,-351.0,0.979,430.8,169.7,6600.0,-125.0,0.994,287.0,146.7,6240.0,2326.0,1.124,249.6,113.5,4340.0,-457.0,0.965,289.3,149.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アイムジャグラーEX-TP,379,19830,-3731,0.937,314.8,165.2,,,,,,,,,,,,,,,,,,,,,2340.0,-109.0,0.984,260.0,146.2,3030.0,-1330.0,0.854,378.8,202.0,2413.0,-677.0,0.906,219.4,150.8,2172.0,-1325.0,0.797,310.3,217.2,4863.0,-787.0,0.946,324.2,162.1,3983.0,1348.0,1.113,306.4,128.5,1029.0,-851.0,0.724,,514.5
アイムジャグラーEX-TP,380,42510,2993,1.023,342.8,145.1,4512.0,1765.0,1.13,347.1,121.9,5719.0,-497.0,0.971,260.0,139.5,3230.0,-625.0,0.936,293.6,153.8,5500.0,786.0,1.048,305.6,144.7,706.0,-599.0,0.717,,706.0,2232.0,-204.0,0.97,558.0,186.0,5833.0,2300.0,1.131,364.6,119.0,2553.0,-662.0,0.914,364.7,196.4,4449.0,491.0,1.037,370.8,143.5,4267.0,-791.0,0.938,387.9,185.5,3509.0,1029.0,1.098,350.9,130.0
アイムジャグラーEX-TP,381,55630,8081,1.048,312.5,134.0,4945.0,1122.0,1.076,329.7,130.1,4284.0,387.0,1.03,428.4,153.0,5709.0,2926.0,1.171,335.8,114.2,1740.0,-288.0,0.945,290.0,158.2,5195.0,-1070.0,0.931,346.3,173.2,8002.0,1684.0,1.07,266.7,127.0,2538.0,525.0,1.069,507.6,141.0,5308.0,-825.0,0.948,408.3,165.9,7669.0,671.0,1.029,232.4,127.8,5966.0,2900.0,1.162,248.6,104.7,4274.0,49.0,1.004,427.4,152.6
アイムジャグラーEX-TP,382,38669,-2006,0.983,495.8,168.9,1888.0,-155.0,0.973,944.0,188.8,5436.0,-1661.0,0.898,1087.2,236.3,3692.0,-387.0,0.965,410.2,167.8,3590.0,-925.0,0.914,359.0,179.5,846.0,-123.0,0.952,282.0,141.0,2293.0,-416.0,0.94,764.3,191.1,6730.0,303.0,1.015,673.0,168.2,3501.0,-733.0,0.93,389.0,184.3,3825.0,1388.0,1.121,212.5,106.2,4635.0,965.0,1.069,772.5,159.8,2233.0,-262.0,0.961,744.3,186.1
アイムジャグラーEX-TP,383,44316,-1951,0.985,418.1,162.9,3938.0,1197.0,1.101,492.2,131.3,5292.0,-1742.0,0.89,378.0,189.0,4224.0,-535.0,0.958,844.8,201.1,1515.0,-571.0,0.874,,303.0,5148.0,433.0,1.028,396.0,151.4,5880.0,-506.0,0.971,309.5,158.9,1879.0,-448.0,0.921,313.2,156.6,4052.0,-306.0,0.975,368.4,162.1,5757.0,1255.0,1.073,319.8,130.8,2621.0,-703.0,0.911,655.2,238.3,4010.0,-25.0,0.998,501.2,160.4
アイムジャグラーEX-TP,384,31091,-5701,0.939,493.5,186.2,685.0,-552.0,0.731,,685.0,5253.0,-1052.0,0.933,477.5,187.6,3630.0,1846.0,1.17,453.8,121.0,2704.0,-1023.0,0.874,450.7,193.1,968.0,257.0,1.088,968.0,161.3,3386.0,-170.0,0.983,1128.7,199.2,2475.0,-1359.0,0.817,353.6,225.0,2921.0,-936.0,0.893,730.2,224.7,3917.0,468.0,1.04,326.4,139.9,1127.0,-584.0,0.827,,375.7,4025.0,-2596.0,0.785,365.9,251.6
アイムジャグラーEX-TP,385,42683,-4076,0.968,444.6,170.1,4431.0,787.0,1.059,443.1,142.9,4452.0,283.0,1.021,636.0,159.0,5643.0,1226.0,1.072,376.2,134.4,970.0,-1261.0,0.567,485.0,485.0,2607.0,-1928.0,0.753,372.4,289.7,3269.0,196.0,1.02,653.8,172.1,2815.0,-1481.0,0.825,351.9,216.5,5984.0,-749.0,0.958,544.0,187.0,7014.0,1413.0,1.067,350.7,137.5,2871.0,-1719.0,0.8,358.9,239.2,2627.0,-843.0,0.893,875.7,218.9
アイムジャグラーEX-TP,386,38156,-3684,0.968,356.6,161.7,3576.0,-225.0,0.979,298.0,149.0,7805.0,1570.0,1.067,339.3,134.6,5117.0,-594.0,0.961,284.3,146.2,3366.0,-1064.0,0.895,280.5,187.0,1665.0,-503.0,0.899,555.0,208.1,4188.0,119.0,1.009,465.3,161.1,1770.0,-758.0,0.857,590.0,252.9,2912.0,-796.0,0.909,416.0,194.1,1887.0,-622.0,0.89,629.0,209.7,2374.0,-39.0,0.995,474.8,158.3,3496.0,-772.0,0.926,291.3,166.5
アイムジャグラーEX-TP,387,44844,-2373,0.982,361.6,158.5,6580.0,3013.0,1.153,313.3,117.5,4260.0,-867.0,0.932,327.7,170.4,7672.0,575.0,1.025,255.7,132.3,2535.0,-1243.0,0.837,633.8,281.7,1033.0,-868.0,0.72,,516.5,3945.0,686.0,1.058,657.5,157.8,5775.0,-525.0,0.97,385.0,165.0,1853.0,-1232.0,0.778,926.5,308.8,5665.0,-472.0,0.972,333.2,157.4,2160.0,-1186.0,0.817,308.6,216.0,3366.0,-254.0,0.975,374.0,160.3
アイムジャグラーEX-TP,388,48500,1916,1.013,364.7,148.3,5797.0,2626.0,1.151,263.5,109.4,6210.0,84.0,1.005,365.3,155.2,2912.0,-1359.0,0.844,416.0,208.0,3523.0,-251.0,0.976,320.3,146.8,3052.0,-117.0,0.987,339.1,152.6,7712.0,2596.0,1.112,405.9,130.7,2855.0,-177.0,0.979,259.5,136.0,4107.0,-1330.0,0.892,373.4,186.7,4180.0,-1800.0,0.856,464.4,232.2,1933.0,-526.0,0.909,644.3,214.8,6219.0,2170.0,1.116,444.2,132.3
アイムジャグラーEX-TP,389,51156,-4520,0.971,491.9,176.4,1870.0,741.0,1.132,467.5,133.6,5805.0,-2022.0,0.884,446.5,207.3,3794.0,-271.0,0.976,474.2,172.5,5358.0,-832.0,0.948,595.3,191.4,4370.0,-668.0,0.949,364.2,174.8,7823.0,925.0,1.039,460.2,153.4,2551.0,-401.0,0.948,637.8,196.2,6904.0,-500.0,0.976,575.3,181.7,4979.0,1145.0,1.077,553.2,150.9,2813.0,-878.0,0.896,401.9,187.5,4889.0,-1759.0,0.88,543.2,212.6
アイムジャグラーEX-TP,390,52204,-4094,0.974,417.6,165.7,3860.0,-1452.0,0.875,643.3,241.2,7308.0,-9.0,1.0,304.5,140.5,5784.0,390.0,1.022,385.6,148.3,1264.0,-146.0,0.961,421.3,180.6,3353.0,30.0,1.003,419.1,152.4,4972.0,-188.0,0.987,414.3,160.4,4912.0,-617.0,0.958,446.5,181.9,2709.0,-629.0,0.923,387.0,169.3,4852.0,-2483.0,0.829,539.1,269.6,6078.0,201.0,1.011,506.5,159.9,7112.0,809.0,1.038,395.1,145.1
アイムジャグラーEX-TP,391,42188,-2548,0.98,439.5,167.4,3199.0,-1313.0,0.863,639.8,266.6,4825.0,1441.0,1.1,536.1,141.9,2892.0,-1.0,1.0,964.0,192.8,5746.0,1232.0,1.071,319.2,130.6,1532.0,1052.0,1.229,306.4,102.1,6829.0,-1458.0,0.929,682.9,200.9,5561.0,-1220.0,0.927,308.9,163.6,5466.0,-9.0,0.999,273.3,143.8,2774.0,-845.0,0.898,693.5,213.4,1468.0,-520.0,0.882,734.0,209.7,1896.0,-907.0,0.841,948.0,316.0
アイムジャグラーEX-TP,392,37462,-3589,0.968,474.2,172.6,1584.0,-196.0,0.959,792.0,198.0,6930.0,1243.0,1.06,407.6,138.6,3078.0,-1081.0,0.883,615.6,219.9,2380.0,-723.0,0.899,595.0,216.4,670.0,-532.0,0.735,670.0,335.0,5371.0,-2283.0,0.858,767.3,255.8,3370.0,-225.0,0.978,259.2,140.4,3772.0,-584.0,0.948,628.7,188.6,3132.0,4.0,1.0,522.0,164.8,2985.0,-1151.0,0.871,597.0,248.8,4190.0,1939.0,1.154,322.3,116.4
アイムジャグラーEX-TP,393,42232,-3369,0.973,426.6,164.3,2166.0,-686.0,0.894,433.2,196.9,4730.0,832.0,1.059,394.2,139.1,4056.0,-1383.0,0.886,579.4,202.8,3341.0,-181.0,0.982,417.6,159.1,1464.0,-77.0,0.982,488.0,162.7,5409.0,-720.0,0.956,386.4,169.0,4707.0,-436.0,0.969,470.7,168.1,2603.0,-907.0,0.884,433.8,200.2,4940.0,239.0,1.016,548.9,159.4,3763.0,-538.0,0.952,313.6,156.8,5053.0,488.0,1.032,388.7,148.6
アイムジャグラーEX-TP,394,49269,3670,1.025,304.1,140.4,3318.0,1787.0,1.18,144.3,89.7,6160.0,664.0,1.036,228.1,125.7,4326.0,-641.0,0.951,393.3,173.0,7328.0,1562.0,1.071,293.1,128.6,4013.0,548.0,1.046,445.9,143.3,3939.0,-799.0,0.932,358.1,179.0,6421.0,1487.0,1.077,256.8,123.5,3478.0,-712.0,0.932,695.6,217.4,3816.0,-738.0,0.936,477.0,190.8,1489.0,-743.0,0.834,372.2,212.7,4981.0,1255.0,1.084,355.8,131.1
アイムジャグラーEX-TP,395,41356,-1428,0.988,393.9,159.7,2560.0,-91.0,0.988,365.7,150.6,4842.0,-419.0,0.971,484.2,172.9,2259.0,72.0,1.011,564.8,173.8,1842.0,-378.0,0.932,368.4,167.5,4233.0,386.0,1.03,604.7,169.3,2738.0,-1151.0,0.86,456.3,210.6,4656.0,584.0,1.042,332.6,145.5,7481.0,426.0,1.019,393.7,149.6,4770.0,-961.0,0.933,433.6,176.7,1251.0,-1313.0,0.65,417.0,417.0,4724.0,1417.0,1.1,248.6,118.1
アイムジャグラーEX-TP,396,42878,446,1.003,397.0,157.6,5876.0,796.0,1.045,419.7,146.9,3672.0,610.0,1.055,408.0,141.2,3564.0,-1412.0,0.868,594.0,237.6,3864.0,1145.0,1.099,772.8,148.6,432.0,25.0,1.019,,216.0,5147.0,-30.0,0.998,428.9,171.6,3415.0,-170.0,0.983,379.4,162.6,1674.0,-1035.0,0.794,558.0,279.0,6316.0,1458.0,1.077,287.1,126.3,6180.0,-919.0,0.95,325.3,167.0,2738.0,-22.0,0.997,304.2,144.1
アイムジャグラーEX-TP,397,40335,-4162,0.966,380.5,166.7,1342.0,-981.0,0.756,671.0,335.5,4718.0,-546.0,0.961,362.9,174.7,7689.0,2291.0,1.099,240.3,118.3,3135.0,541.0,1.058,447.9,142.5,691.0,-346.0,0.833,691.0,230.3,3232.0,-1348.0,0.861,1077.3,269.3,5825.0,843.0,1.048,342.6,142.1,4310.0,-1458.0,0.887,718.3,239.4,3216.0,-1829.0,0.81,643.2,268.0,3578.0,-259.0,0.976,298.2,149.1,2599.0,-1070.0,0.863,324.9,185.6
アイムジャグラーEX-TP,398,51036,980,1.006,340.2,149.2,4233.0,651.0,1.051,282.2,132.3,4185.0,-884.0,0.93,1395.0,232.5,2772.0,488.0,1.059,462.0,154.0,5292.0,-268.0,0.983,330.8,155.6,6339.0,2267.0,1.119,301.9,119.6,4057.0,-874.0,0.928,225.4,144.9,3471.0,-33.0,0.997,347.1,150.9,3898.0,-401.0,0.966,974.5,205.2,4922.0,-1052.0,0.929,289.5,164.1,5316.0,764.0,1.048,253.1,123.6,6551.0,322.0,1.016,344.8,148.9
ウルトラミラクルジャグラー,348,46322,-7854,0.943,345.7,165.4,7825.0,-1157.0,0.951,313.0,156.5,5088.0,-2457.0,0.839,462.5,221.2,1386.0,42.0,1.01,693.0,173.2,3454.0,-1029.0,0.901,575.7,203.2,4387.0,-664.0,0.95,313.4,156.7,4759.0,-86.0,0.994,317.3,144.2,5611.0,-1035.0,0.939,330.1,170.0,1215.0,-888.0,0.756,607.5,303.8,3669.0,-935.0,0.915,366.9,183.4,6217.0,96.0,1.005,296.0,144.6,2711.0,259.0,1.032,246.5,129.1
ウルトラミラクルジャグラー,349,48034,-3592,0.975,369.5,158.5,3552.0,-845.0,0.921,394.7,169.1,3213.0,-1632.0,0.831,459.0,229.5,2748.0,-1336.0,0.838,458.0,229.0,4400.0,106.0,1.008,366.7,157.1,1587.0,-659.0,0.862,1587.0,317.4,5324.0,-101.0,0.994,409.5,152.1,7231.0,2126.0,1.098,249.3,116.6,6227.0,-814.0,0.956,518.9,168.3,2899.0,-1122.0,0.871,414.1,207.1,7412.0,855.0,1.038,274.5,134.8,3441.0,-170.0,0.984,491.6,172.0
ゴーゴージャグラー3,359,46658,-3495,0.975,350.8,150.0,3420.0,-304.0,0.97,488.6,155.5,6498.0,-1371.0,0.93,282.5,154.7,6912.0,-843.0,0.959,314.2,150.3,3945.0,-419.0,0.965,358.6,151.7,1011.0,-268.0,0.912,337.0,168.5,5045.0,-1533.0,0.899,388.1,180.2,2695.0,-862.0,0.893,385.0,179.7,3610.0,-335.0,0.969,328.2,157.0,7147.0,988.0,1.046,310.7,127.6,2997.0,630.0,1.07,333.0,130.3,3378.0,822.0,1.081,844.5,140.8
ゴーゴージャグラー3,360,38986,-6954,0.941,342.0,160.4,4212.0,-642.0,0.949,300.9,156.0,5000.0,94.0,1.006,384.6,151.5,504.0,-503.0,0.667,504.0,504.0,1860.0,-1087.0,0.805,310.0,186.0,6912.0,-809.0,0.961,329.1,150.3,1950.0,-1394.0,0.762,,487.5,3802.0,532.0,1.047,292.5,131.1,3402.0,-1707.0,0.833,340.2,200.1,4819.0,770.0,1.053,200.8,112.1,2064.0,-1470.0,0.763,1032.0,344.0,4461.0,-738.0,0.945,446.1,165.2
ゴーゴージャグラー3,361,43579,-2884,0.978,332.7,147.7,5236.0,2378.0,1.151,290.9,113.8,5301.0,-349.0,0.978,331.3,151.5,7366.0,1487.0,1.067,199.1,111.6,4465.0,-422.0,0.968,496.1,159.5,1963.0,-570.0,0.903,280.4,151.0,4578.0,-913.0,0.934,572.2,183.1,1699.0,-1180.0,0.768,339.8,212.4,2016.0,-810.0,0.866,504.0,224.0,2602.0,-1765.0,0.774,520.4,260.2,5847.0,422.0,1.024,307.7,132.9,2506.0,-1162.0,0.845,835.3,227.8
ゴーゴージャグラー3,362,42552,-7720,0.94,322.4,158.8,2315.0,-520.0,0.925,210.5,144.7,3960.0,-1603.0,0.865,304.6,180.0,2600.0,-277.0,0.964,260.0,144.4,3504.0,-1458.0,0.861,318.5,184.4,4623.0,664.0,1.048,271.9,124.9,5542.0,-326.0,0.98,426.3,153.9,4787.0,-355.0,0.975,341.9,154.4,5400.0,-1046.0,0.935,337.5,163.6,5461.0,-2561.0,0.844,390.1,210.0,3713.0,149.0,1.013,285.6,132.6,647.0,-387.0,0.801,,323.5
ゴーゴージャグラー3,363,58311,-2425,0.986,335.1,145.8,2660.0,599.0,1.075,886.7,156.5,7056.0,1765.0,1.083,261.3,112.0,6432.0,-316.0,0.984,378.4,156.9,4352.0,-1435.0,0.89,1088.0,217.6,5049.0,-358.0,0.976,252.4,136.5,6015.0,-2926.0,0.838,401.0,200.5,2093.0,-91.0,0.986,697.7,174.4,7754.0,1568.0,1.067,242.3,115.7,6125.0,-2091.0,0.886,471.2,197.6,5294.0,-123.0,0.992,252.1,135.7,5481.0,983.0,1.06,288.5,127.5
ゴーゴージャグラー3,364,52000,-8488,0.946,344.4,158.1,2910.0,-1603.0,0.816,415.7,242.5,4381.0,-1568.0,0.881,625.9,219.0,5334.0,-351.0,0.978,280.7,133.4,5700.0,-1499.0,0.912,211.1,146.2,2927.0,-542.0,0.938,731.8,195.1,5221.0,-175.0,0.989,290.1,141.1,3132.0,142.0,1.015,348.0,136.2,5933.0,-1191.0,0.933,329.6,160.4,7407.0,-1742.0,0.922,352.7,161.0,4456.0,-401.0,0.97,557.0,165.0,4599.0,442.0,1.032,353.8,139.4
ゴーゴージャグラー3,365,39028,-7755,0.934,364.7,163.3,822.0,-303.0,0.877,,274.0,6588.0,-193.0,0.99,329.4,140.2,4777.0,-884.0,0.938,398.1,164.7,4290.0,-1052.0,0.918,286.0,165.0,1678.0,-668.0,0.867,335.6,186.4,7209.0,-978.0,0.955,379.4,156.7,3789.0,-1284.0,0.887,378.9,180.4,951.0,-555.0,0.805,951.0,317.0,4257.0,-343.0,0.973,387.0,157.7,1731.0,-978.0,0.812,432.8,216.4,2936.0,-517.0,0.941,293.6,146.8
