,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE
day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,total
area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331: アイムジャグラーEX-TP,0.973,0.942,1.034,1.003,1.018,1.017,0.973,0.933,0.96,0.959,0.9,1.018,0.953,0.954,1.005,0.953,0.991,1.006,0.999,0.975,1.002,0.997,0.988,1.033,0.987,0.973,1.0,0.943,1.025,0.97,0.952,0.986
332-: ジャグラーガールズ,1.0,0.98,0.994,0.953,1.0,0.971,0.969,0.989,1.006,0.967,0.97,0.988,0.967,0.952,0.981,0.976,0.985,0.973,1.013,1.0,0.986,0.973,1.017,1.011,0.971,1.012,0.963,0.949,1.006,0.982,0.974,0.986
336-: ファンキージャグラー2,1.002,0.974,0.985,0.985,0.97,0.978,0.989,0.966,0.99,0.966,0.949,1.028,0.981,0.956,0.959,0.98,0.976,0.998,0.987,0.989,0.984,0.983,0.985,0.962,0.977,0.98,0.965,0.994,0.993,0.97,0.955,0.981
344-: ミスタージャグラー,1.01,0.984,0.963,0.989,0.966,0.997,1.006,0.964,1.024,0.949,0.963,0.963,0.978,0.98,0.986,0.991,0.974,0.963,1.01,0.98,0.985,1.013,0.992,0.983,0.983,0.959,1.001,0.951,0.989,0.997,0.987,0.985
348-: ウルトラミラクルジャグラー,0.984,0.979,0.946,1.014,0.998,0.937,0.961,0.979,1.025,0.974,0.943,0.97,1.01,1.01,0.978,0.976,0.976,0.983,1.013,0.983,1.008,0.968,0.929,0.974,0.945,0.937,0.976,0.951,1.012,0.926,0.975,0.978
350-: マイジャグラー V,0.982,1.0,0.966,0.982,1.0,1.004,0.969,0.992,0.981,0.972,0.982,0.998,0.989,0.959,0.961,0.97,0.971,0.98,1.0,0.982,0.98,0.971,0.993,0.966,0.998,0.981,0.971,0.977,0.989,0.997,0.984,0.983
359-: ゴーゴージャグラー3,0.978,0.993,0.989,1.003,0.978,0.948,0.975,0.956,1.005,0.996,0.975,0.983,0.977,1.003,0.986,0.972,0.984,0.973,0.993,0.988,0.976,0.947,0.981,0.981,0.976,0.986,0.947,0.974,0.975,0.968,0.931,0.979
364-: ゴーゴージャグラー3,0.991,0.992,0.999,0.981,0.962,0.978,0.968,0.988,0.975,0.99,0.992,0.955,0.947,1.005,0.979,0.972,0.993,0.983,0.98,1.0,0.983,0.954,0.964,0.983,0.987,1.013,0.952,0.979,0.983,0.985,0.99,0.981
369-: マイジャグラーV,0.992,0.973,0.982,0.974,0.967,0.991,0.977,0.987,0.987,1.006,0.985,0.985,0.974,0.973,0.985,0.968,0.971,0.962,0.986,0.98,0.991,0.985,0.993,0.989,0.957,0.969,0.999,0.969,1.0,0.975,0.966,0.981
379-: アイムジャグラーEX-TP 赤,0.979,0.967,0.971,0.973,0.976,0.965,0.997,1.013,1.008,0.977,1.007,0.975,0.992,0.994,0.954,0.971,0.97,0.98,1.001,0.974,0.998,0.97,0.997,1.013,0.984,0.995,0.983,0.985,0.985,0.984,0.975,0.985
387-: アイムジャグラーEX-TP 緑,0.961,0.974,0.962,0.964,0.993,0.952,0.959,0.992,0.962,0.969,0.97,0.964,1.0,0.981,0.989,0.982,0.989,0.978,0.991,0.918,0.94,0.923,1.0,0.998,0.975,0.986,0.98,0.94,1.053,0.971,0.987,0.976
390-: アイムジャグラーEX-TP 緑,0.973,0.962,1.017,1.0,0.987,0.967,0.98,0.997,0.985,0.978,1.017,0.983,0.97,0.955,0.955,0.976,1.016,0.992,0.967,0.98,0.971,0.975,0.957,0.953,1.001,1.005,0.981,0.967,0.974,0.998,0.981,0.982
393-: アイムジャグラーEX-TP 赤,0.975,0.958,1.003,0.973,0.999,0.992,0.974,0.977,0.98,0.998,0.97,0.982,0.982,0.996,0.97,0.993,0.957,0.993,0.97,0.975,0.965,0.988,0.981,0.969,0.985,0.989,0.984,0.992,0.984,0.982,0.98,0.981
399-: ハッピージャグラーVIII,0.978,0.97,0.994,0.987,0.967,0.984,1.004,0.99,0.984,0.971,0.994,0.994,0.982,0.979,0.996,0.965,0.963,0.966,0.993,0.961,0.953,0.983,0.978,0.99,0.989,0.982,0.962,0.966,0.984,0.948,0.981,0.979
その他,0.951,0.88,0.919,1.015,0.894,0.982,0.975,0.883,0.968,1.099,0.972,1.028,,,,0.982,0.897,0.988,0.975,0.848,0.894,1.12,1.012,0.915,0.867,0.952,0.901,1.001,1.045,0.899,,0.97
total,0.986,0.978,0.983,0.982,0.982,0.981,0.98,0.984,0.991,0.981,0.979,0.987,0.981,0.978,0.974,0.975,0.976,0.979,0.992,0.98,0.98,0.976,0.986,0.983,0.981,0.985,0.976,0.973,0.993,0.979,0.974,0.982
