,,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE
date,,total,total,total,total,total,total,total,2025-06-26 00:00:00,2025-06-26 00:00:00,2025-06-26 00:00:00,2025-06-26 00:00:00,2025-06-26 00:00:00,2025-06-26 00:00:00,2025-06-26 00:00:00
area,unit_no,,,,,,,,,,,,,,
331: アイムジャグラーEX-TP,331,3330,-943,9,8,0.906,416.2,195.9,3330,-943,9,8,0.906,416.2,195.9
332-: ジャグラーガールズ,332,2700,1522,18,6,1.188,450.0,112.5,2700,1522,18,6,1.188,450.0,112.5
332-: ジャグラーガールズ,333,2346,-422,6,8,0.94,293.2,167.6,2346,-422,6,8,0.94,293.2,167.6
332-: ジャグラーガールズ,334,3248,642,14,14,1.066,232.0,116.0,3248,642,14,14,1.066,232.0,116.0
332-: ジャグラーガールズ,335,5566,-90,22,14,0.995,397.6,154.6,5566,-90,22,14,0.995,397.6,154.6
336-: ファンキージャグラー2,336,2149,-593,7,5,0.908,429.8,179.1,2149,-593,7,5,0.908,429.8,179.1
336-: ファンキージャグラー2,337,1152,-857,2,1,0.752,1152.0,384.0,1152,-857,2,1,0.752,1152.0,384.0
336-: ファンキージャグラー2,338,3064,-1087,8,6,0.882,510.7,218.9,3064,-1087,8,6,0.882,510.7,218.9
336-: ファンキージャグラー2,339,1720,-28,8,0,0.995,,215.0,1720,-28,8,0,0.995,,215.0
336-: ファンキージャグラー2,340,5040,480,21,15,1.032,336.0,140.0,5040,480,21,15,1.032,336.0,140.0
336-: ファンキージャグラー2,341,1936,-1122,4,4,0.807,484.0,242.0,1936,-1122,4,4,0.807,484.0,242.0
336-: ファンキージャグラー2,342,5292,1257,28,10,1.079,529.2,139.3,5292,1257,28,10,1.079,529.2,139.3
336-: ファンキージャグラー2,343,3900,1243,20,10,1.106,390.0,130.0,3900,1243,20,10,1.106,390.0,130.0
344-: ミスタージャグラー,344,1050,-517,2,2,0.836,525.0,262.5,1050,-517,2,2,0.836,525.0,262.5
344-: ミスタージャグラー,345,2640,22,11,5,1.003,528.0,165.0,2640,22,11,5,1.003,528.0,165.0
344-: ミスタージャグラー,346,5430,2674,30,19,1.164,285.8,110.8,5430,2674,30,19,1.164,285.8,110.8
344-: ミスタージャグラー,347,2016,-204,7,6,0.966,336.0,155.1,2016,-204,7,6,0.966,336.0,155.1
348-: ウルトラミラクルジャグラー,348,1230,-683,3,1,0.815,1230.0,307.5,1230,-683,3,1,0.815,1230.0,307.5
348-: ウルトラミラクルジャグラー,349,5480,-683,20,10,0.958,548.0,182.7,5480,-683,20,10,0.958,548.0,182.7
350-: マイジャグラー V,350,4344,-1493,12,11,0.885,394.9,188.9,4344,-1493,12,11,0.885,394.9,188.9
350-: マイジャグラー V,351,2688,-1562,6,6,0.806,448.0,224.0,2688,-1562,6,6,0.806,448.0,224.0
350-: マイジャグラー V,352,2955,-2065,3,9,0.767,328.3,246.2,2955,-2065,3,9,0.767,328.3,246.2
350-: マイジャグラー V,353,4230,523,18,11,1.041,384.5,145.9,4230,523,18,11,1.041,384.5,145.9
350-: マイジャグラー V,354,3686,1000,19,8,1.09,460.8,136.5,3686,1000,19,8,1.09,460.8,136.5
350-: マイジャグラー V,355,2095,-914,5,4,0.855,523.8,232.8,2095,-914,5,4,0.855,523.8,232.8
350-: マイジャグラー V,356,4541,-123,19,7,0.991,648.7,174.7,4541,-123,19,7,0.991,648.7,174.7
350-: マイジャグラー V,357,4065,-187,15,14,0.985,290.4,140.2,4065,-187,15,14,0.985,290.4,140.2
350-: マイジャグラー V,358,3684,-886,12,9,0.92,409.3,175.4,3684,-886,12,9,0.92,409.3,175.4
359-: ゴーゴージャグラー3,359,3686,316,19,8,1.029,460.8,136.5,3686,316,19,8,1.029,460.8,136.5
359-: ゴーゴージャグラー3,360,1981,-503,7,5,0.915,396.2,165.1,1981,-503,7,5,0.915,396.2,165.1
359-: ゴーゴージャグラー3,361,5356,745,26,12,1.046,446.3,140.9,5356,745,26,12,1.046,446.3,140.9
359-: ゴーゴージャグラー3,362,2824,-1116,8,6,0.868,470.7,201.7,2824,-1116,8,6,0.868,470.7,201.7
359-: ゴーゴージャグラー3,363,3470,-903,10,12,0.913,289.2,157.7,3470,-903,10,12,0.913,289.2,157.7
364-: ゴーゴージャグラー3,364,3840,-936,12,10,0.919,384.0,174.5,3840,-936,12,10,0.919,384.0,174.5
364-: ゴーゴージャグラー3,365,2219,-732,7,4,0.89,554.8,201.7,2219,-732,7,4,0.89,554.8,201.7
364-: ゴーゴージャグラー3,366,3120,442,15,8,1.047,390.0,135.7,3120,442,15,8,1.047,390.0,135.7
364-: ゴーゴージャグラー3,367,3842,10,17,9,1.001,426.9,147.8,3842,10,17,9,1.001,426.9,147.8
364-: ゴーゴージャグラー3,368,3500,-346,14,9,0.967,388.9,152.2,3500,-346,14,9,0.967,388.9,152.2
369-: マイジャグラーV,369,2334,-645,6,8,0.908,291.8,166.7,2334,-645,6,8,0.908,291.8,166.7
369-: マイジャグラーV,370,6870,796,30,18,1.039,381.7,143.1,6870,796,30,18,1.039,381.7,143.1
369-: マイジャグラーV,371,2080,-378,8,4,0.939,520.0,173.3,2080,-378,8,4,0.939,520.0,173.3
369-: マイジャグラーV,372,5295,-865,15,16,0.946,330.9,170.8,5295,-865,15,16,0.946,330.9,170.8
369-: マイジャグラーV,373,1587,-1186,3,2,0.751,793.5,317.4,1587,-1186,3,2,0.751,793.5,317.4
369-: マイジャグラーV,374,6048,1991,28,24,1.11,252.0,116.3,6048,1991,28,24,1.11,252.0,116.3
369-: マイジャグラーV,375,1520,300,8,1,1.066,1520.0,168.9,1520,300,8,1,1.066,1520.0,168.9
369-: マイジャグラーV,376,5040,19,20,11,1.001,458.2,162.6,5040,19,20,11,1.001,458.2,162.6
379-: アイムジャグラーEX-TP 赤,379,3070,-587,10,5,0.936,614.0,204.7,3070,-587,10,5,0.936,614.0,204.7
379-: アイムジャグラーEX-TP 赤,380,1458,-717,3,3,0.836,486.0,243.0,1458,-717,3,3,0.836,486.0,243.0
379-: アイムジャグラーEX-TP 赤,381,1648,-926,4,2,0.813,824.0,274.7,1648,-926,4,2,0.813,824.0,274.7
379-: アイムジャグラーEX-TP 赤,382,2792,-567,8,8,0.932,349.0,174.5,2792,-567,8,8,0.932,349.0,174.5
379-: アイムジャグラーEX-TP 赤,383,2630,-54,10,7,0.993,375.7,154.7,2630,-54,10,7,0.993,375.7,154.7
379-: アイムジャグラーEX-TP 赤,384,4674,-177,19,8,0.987,584.2,173.1,4674,-177,19,8,0.987,584.2,173.1
379-: アイムジャグラーEX-TP 赤,385,1120,-607,2,2,0.819,560.0,280.0,1120,-607,2,2,0.819,560.0,280.0
379-: アイムジャグラーEX-TP 赤,386,5568,925,24,19,1.055,293.1,129.5,5568,925,24,19,1.055,293.1,129.5
387-: アイムジャグラーEX-TP 緑,387,1602,-42,6,4,0.991,400.5,160.2,1602,-42,6,4,0.991,400.5,160.2
387-: アイムジャグラーEX-TP 緑,388,2975,975,17,4,1.109,743.8,141.7,2975,975,17,4,1.109,743.8,141.7
387-: アイムジャグラーEX-TP 緑,389,1680,-407,5,4,0.919,420.0,186.7,1680,-407,5,4,0.919,420.0,186.7
390-: アイムジャグラーEX-TP 緑,390,7359,1883,33,23,1.085,320.0,131.4,7359,1883,33,23,1.085,320.0,131.4
390-: アイムジャグラーEX-TP 緑,391,5112,1787,24,20,1.117,255.6,116.2,5112,1787,24,20,1.117,255.6,116.2
390-: アイムジャグラーEX-TP 緑,392,4332,-254,19,5,0.98,866.4,180.5,4332,-254,19,5,0.98,866.4,180.5
393-: アイムジャグラーEX-TP 赤,393,2800,-1093,7,7,0.87,400.0,200.0,2800,-1093,7,7,0.87,400.0,200.0
393-: アイムジャグラーEX-TP 赤,394,1167,-517,3,1,0.852,1167.0,291.8,1167,-517,3,1,0.852,1167.0,291.8
393-: アイムジャグラーEX-TP 赤,395,3780,71,15,8,1.006,472.5,164.3,3780,71,15,8,1.006,472.5,164.3
393-: アイムジャグラーEX-TP 赤,396,798,-462,2,0,0.807,,399.0,798,-462,2,0,0.807,,399.0
393-: アイムジャグラーEX-TP 赤,397,1520,-257,4,4,0.944,380.0,190.0,1520,-257,4,4,0.944,380.0,190.0
393-: アイムジャグラーEX-TP 赤,398,4012,665,17,13,1.055,308.6,133.7,4012,665,17,13,1.055,308.6,133.7
399-: ハッピージャグラーVIII,399,618,-317,2,0,0.829,,309.0,618,-317,2,0,0.829,,309.0
399-: ハッピージャグラーVIII,400,2937,13,11,7,1.001,419.6,163.2,2937,13,11,7,1.001,419.6,163.2
399-: ハッピージャグラーVIII,401,1625,-413,5,4,0.915,406.2,180.6,1625,-413,5,4,0.915,406.2,180.6
399-: ハッピージャグラーVIII,402,658,-370,1,2,0.813,329.0,219.3,658,-370,1,2,0.813,329.0,219.3
399-: ハッピージャグラーVIII,403,3933,1690,19,14,1.143,280.9,119.2,3933,1690,19,14,1.143,280.9,119.2
399-: ハッピージャグラーVIII,404,3042,-503,9,7,0.945,434.6,190.1,3042,-503,9,7,0.945,434.6,190.1
total,,229099,-8348,881,571,0.988,401.2,157.8,229099,-8348,881,571,0.988,401.2,157.8
