,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE
day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,total
model_name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アイムジャグラーEX-TP,0.978,0.973,0.976,0.979,0.991,0.976,0.988,0.988,0.984,0.991,0.988,0.981,0.984,0.981,0.971,0.984,0.981,0.984,0.989,0.974,0.978,0.968,0.986,0.985,0.985,0.982,0.981,0.977,0.995,0.981,0.975,0.982
ウルトラミラクルジャグラー,0.967,0.976,0.935,1.05,1.007,0.943,0.929,0.986,1.01,0.953,0.981,0.965,0.997,1.05,0.975,0.983,0.963,0.984,1.011,0.985,1.0,0.989,0.973,0.963,0.961,0.954,0.966,0.967,0.998,0.945,0.966,0.981
ゴーゴージャグラー3,0.983,0.974,0.991,0.963,0.967,0.96,0.971,0.974,0.999,0.995,0.981,0.964,0.959,0.987,0.983,0.987,0.988,0.987,0.979,0.973,0.967,0.944,0.977,0.979,0.979,0.995,0.944,0.99,0.984,0.988,0.964,0.978
ジャグラーガールズ,0.994,0.988,1.011,0.984,0.995,0.964,0.966,1.015,0.979,0.938,0.975,0.985,1.0,0.966,0.976,0.957,0.973,0.994,1.008,0.993,0.994,0.983,1.015,1.017,0.972,1.03,0.969,0.977,0.988,0.985,0.957,0.988
ハッピージャグラーVIII,0.984,0.991,1.001,0.975,0.971,0.993,0.988,0.976,0.988,0.986,0.979,0.98,0.981,0.984,0.99,0.956,0.963,0.971,0.992,0.981,0.939,0.963,0.973,0.969,1.021,0.981,0.975,0.978,0.989,0.946,0.99,0.981
ファンキージャグラー2,0.99,0.973,0.974,0.982,0.971,0.995,0.984,0.982,0.984,0.983,0.911,1.015,0.969,0.95,0.945,0.981,0.981,1.002,0.983,0.977,0.997,0.971,0.983,0.975,0.975,0.986,0.967,0.991,0.991,0.961,0.936,0.978
マイジャグラーV,0.988,0.986,0.978,0.967,1.003,0.997,0.974,0.987,0.984,0.995,0.979,0.99,0.984,0.955,0.972,0.974,0.959,0.975,0.989,0.971,0.98,0.989,0.986,0.969,0.98,0.969,0.979,0.973,0.996,0.982,0.986,0.981
ミスタージャグラー,1.004,0.983,0.944,0.991,0.971,0.975,0.992,0.953,1.035,0.973,0.988,0.981,0.969,0.994,0.984,0.996,0.968,0.975,0.994,0.968,0.977,0.98,0.989,1.003,0.981,0.972,1.011,0.949,1.041,0.982,0.973,0.986
total,0.985,0.979,0.98,0.976,0.987,0.982,0.979,0.983,0.99,0.987,0.976,0.984,0.98,0.974,0.973,0.979,0.974,0.983,0.99,0.975,0.978,0.973,0.985,0.98,0.983,0.982,0.975,0.978,0.996,0.977,0.973,0.981
