,,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE
day,,1,2,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,total,count_1.05+
331: アイムジャグラーEX-TP,331,0.812,0.879,0.976,0.961,1.022,0.907,1.084,0.941,0.96,1.052,0.948,1.01,0.986,0.956,0.992,0.965,1.086,0.92,0.857,0.895,0.906,1.052,0.835,1.088,1.037,0.985,5
332-: ジャグラーガールズ,332,0.977,1.018,0.935,1.073,0.953,0.864,0.968,1.053,0.834,0.879,1.113,0.909,1.081,1.137,0.748,0.971,0.88,1.08,0.982,1.055,1.188,0.806,0.823,0.87,0.721,0.996,8
332-: ジャグラーガールズ,333,1.002,0.939,0.958,0.873,0.851,0.961,0.764,1.115,1.008,0.904,1.035,1.102,0.823,0.929,0.942,0.929,0.955,1.112,0.973,1.206,0.94,0.699,0.744,0.947,0.817,0.964,4
332-: ジャグラーガールズ,334,0.861,0.958,1.114,0.953,0.94,1.088,0.957,0.959,1.006,1.068,1.02,1.065,1.024,0.921,0.837,1.046,0.945,0.753,1.015,1.027,1.066,0.917,0.908,1.057,1.131,0.997,7
332-: ジャグラーガールズ,335,0.976,1.139,0.965,0.953,0.868,0.709,1.067,0.993,0.986,0.79,0.864,1.029,0.832,1.024,1.093,0.941,0.97,1.048,0.971,0.969,0.995,0.996,0.96,0.824,1.06,0.992,4
336-: ファンキージャグラー2,336,0.833,0.951,0.996,0.964,1.006,0.781,1.055,0.972,0.944,0.881,0.873,0.968,1.08,0.844,0.959,1.004,0.988,0.912,0.745,0.734,0.908,1.116,0.784,1.024,0.773,0.966,3
336-: ファンキージャグラー2,337,1.064,1.012,0.985,0.92,0.955,0.862,1.087,0.894,1.033,0.866,1.097,0.992,0.98,1.026,0.948,1.024,0.972,1.074,1.025,0.936,0.752,0.929,0.986,0.897,0.868,0.986,4
336-: ファンキージャグラー2,338,1.258,1.019,0.98,0.946,0.774,0.853,0.994,1.035,0.905,0.947,0.922,0.944,0.97,0.942,0.788,0.991,0.892,1.047,0.876,0.895,0.882,1.071,1.086,0.963,0.938,0.977,3
336-: ファンキージャグラー2,339,1.012,0.929,1.008,0.928,0.914,0.998,1.061,0.956,0.999,0.974,1.02,0.995,0.951,1.061,0.902,1.014,0.949,0.779,0.895,1.011,0.995,0.686,0.983,1.042,0.844,0.973,2
336-: ファンキージャグラー2,340,0.969,0.924,1.021,1.159,0.865,0.658,1.035,0.909,0.879,0.933,0.786,0.916,0.934,1.081,1.154,0.869,1.024,0.984,0.77,1.008,1.032,0.777,0.868,1.035,0.957,0.98,3
336-: ファンキージャグラー2,341,0.998,0.835,0.959,0.918,1.008,1.063,1.089,0.966,0.904,0.97,0.908,1.162,1.14,0.841,0.844,1.085,1.043,0.782,0.959,1.014,0.807,1.073,0.934,0.816,0.927,0.983,6
336-: ファンキージャグラー2,342,0.583,0.848,0.897,0.99,1.054,0.88,0.987,0.916,0.97,0.777,0.849,0.669,0.982,0.889,0.847,0.916,0.947,1.045,0.879,1.161,1.079,0.891,1.037,1.048,0.886,0.951,3
336-: ファンキージャグラー2,343,1.02,0.893,0.975,0.796,1.057,0.998,1.017,0.885,0.864,1.085,0.927,1.031,0.992,0.949,1.17,1.035,0.995,0.705,0.957,0.998,1.106,0.83,0.82,0.896,0.929,0.976,4
344-: ミスタージャグラー,344,1.109,0.97,0.943,0.972,0.897,0.849,1.023,0.939,1.061,0.916,1.01,1.115,0.992,0.901,0.851,1.036,1.039,0.903,0.981,0.896,0.836,0.954,0.875,1.032,0.882,0.982,3
344-: ミスタージャグラー,345,1.04,0.897,0.849,0.945,1.09,1.025,0.999,0.952,0.854,0.935,1.032,1.1,1.031,0.863,0.91,1.068,1.134,1.081,1.181,0.984,1.003,1.008,0.89,0.999,1.022,0.989,6
344-: ミスタージャグラー,346,1.246,0.953,0.933,1.0,0.949,0.911,1.072,1.035,1.118,0.962,1.239,0.9,1.039,0.976,0.987,1.035,0.933,0.881,0.852,1.092,1.164,0.996,1.0,0.941,0.972,1.026,6
344-: ミスタージャグラー,347,0.872,0.9,0.891,0.993,0.926,0.993,0.959,0.955,1.008,1.041,0.898,1.023,1.013,0.944,0.87,1.042,0.892,0.949,1.026,0.857,0.966,1.054,1.055,0.96,1.029,0.985,2
