,,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE
date,,total,total,total,total,total,total,total,2025-06-26 00:00:00,2025-06-26 00:00:00,2025-06-26 00:00:00,2025-06-26 00:00:00,2025-06-26 00:00:00,2025-06-26 00:00:00,2025-06-26 00:00:00
area,unit_no,,,,,,,,,,,,,,
a,1063,6194,-882,26,17,0.953,364.4,144.0,6194,-882,26,17,0.953,364.4,144.0
a,1065,1422,-338,5,3,0.921,474.0,177.8,1422,-338,5,3,0.921,474.0,177.8
a,1066,4057,2074,27,14,1.17,289.8,99.0,4057,2074,27,14,1.17,289.8,99.0
a,1067,4310,1353,19,17,1.105,253.5,119.7,4310,1353,19,17,1.105,253.5,119.7
a,1068,2041,-553,8,4,0.91,510.2,170.1,2041,-553,8,4,0.91,510.2,170.1
a,1070,4433,-691,17,13,0.948,341.0,147.8,4433,-691,17,13,0.948,341.0,147.8
a,1071,4835,-300,17,19,0.979,254.5,134.3,4835,-300,17,19,0.979,254.5,134.3
a,1072,5252,-82,21,15,0.995,350.1,145.9,5252,-82,21,15,0.995,350.1,145.9
b,1073,7047,-679,19,31,0.968,227.3,140.9,7047,-679,19,31,0.968,227.3,140.9
b,1075,3543,-2153,7,8,0.797,442.9,236.2,3543,-2153,7,8,0.797,442.9,236.2
b,1076,1800,-371,7,4,0.931,450.0,163.6,1800,-371,7,4,0.931,450.0,163.6
b,1077,5584,-1162,18,19,0.931,293.9,150.9,5584,-1162,18,19,0.931,293.9,150.9
b,1078,2578,-238,9,7,0.969,368.3,161.1,2578,-238,9,7,0.969,368.3,161.1
b,1080,6196,771,29,14,1.041,442.6,144.1,6196,771,29,14,1.041,442.6,144.1
b,1081,1682,106,7,3,1.021,560.7,168.2,1682,106,7,3,1.021,560.7,168.2
b,1082,2939,-556,10,7,0.937,419.9,172.9,2939,-556,10,7,0.937,419.9,172.9
c,1123,4474,-4262,13,6,0.682,745.7,235.5,4474,-4262,13,6,0.682,745.7,235.5
c,1125,1838,-1456,3,3,0.736,612.7,306.3,1838,-1456,3,3,0.736,612.7,306.3
c,1126,3433,274,13,13,1.027,264.1,132.0,3433,274,13,13,1.027,264.1,132.0
c,1127,6400,1174,29,23,1.061,278.3,123.1,6400,1174,29,23,1.061,278.3,123.1
c,1128,875,-1174,1,0,0.553,,875.0,875,-1174,1,0,0.553,,875.0
c,1130,3916,-1350,9,11,0.885,356.0,195.8,3916,-1350,9,11,0.885,356.0,195.8
c,1131,2954,-2947,5,9,0.667,328.2,211.0,2954,-2947,5,9,0.667,328.2,211.0
c,1132,6181,-5088,20,13,0.726,475.5,187.3,6181,-5088,20,13,0.726,475.5,187.3
c,1133,3485,688,13,11,1.066,316.8,145.2,3485,688,13,11,1.066,316.8,145.2
c,1135,4819,-162,19,16,0.989,301.2,137.7,4819,-162,19,16,0.989,301.2,137.7
c,1136,4954,1259,21,16,1.085,309.6,133.9,4954,1259,21,16,1.085,309.6,133.9
c,1137,2617,-194,11,6,0.975,436.2,153.9,2617,-194,11,6,0.975,436.2,153.9
c,1138,2651,-2162,6,5,0.728,530.2,241.0,2651,-2162,6,5,0.728,530.2,241.0
d,1150,2304,-803,8,3,0.884,768.0,209.5,2304,-803,8,3,0.884,768.0,209.5
d,1151,3873,-59,15,14,0.995,276.6,133.6,3873,-59,15,14,0.995,276.6,133.6
d,1152,901,-979,1,1,0.638,901.0,450.5,901,-979,1,1,0.638,901.0,450.5
d,1153,5199,-1782,20,11,0.886,472.6,167.7,5199,-1782,20,11,0.886,472.6,167.7
d,1155,1784,-1306,5,3,0.756,594.7,223.0,1784,-1306,5,3,0.756,594.7,223.0
d,1156,1357,-432,5,1,0.894,1357.0,226.2,1357,-432,5,1,0.894,1357.0,226.2
d,1157,6648,79,27,15,1.004,443.2,158.3,6648,79,27,15,1.004,443.2,158.3
e,1025,2172,-2162,5,4,0.668,543.0,241.3,2172,-2162,5,4,0.668,543.0,241.3
e,1026,6275,662,24,26,1.035,241.3,125.5,6275,662,24,26,1.035,241.3,125.5
e,1027,4139,-735,14,9,0.941,459.9,180.0,4139,-735,14,9,0.941,459.9,180.0
e,1028,4426,62,16,13,1.005,340.5,152.6,4426,62,16,13,1.005,340.5,152.6
e,1030,2117,-1918,7,0,0.698,,302.4,2117,-1918,7,0,0.698,,302.4
e,1031,3647,-5691,8,7,0.48,521.0,243.1,3647,-5691,8,7,0.48,521.0,243.1
e,1032,3849,-962,13,6,0.917,641.5,202.6,3849,-962,13,6,0.917,641.5,202.6
e,1033,1016,-1068,2,1,0.65,1016.0,338.7,1016,-1068,2,1,0.65,1016.0,338.7
e,1035,5098,-1332,14,13,0.913,392.2,188.8,5098,-1332,14,13,0.913,392.2,188.8
e,1036,2992,-318,10,10,0.965,299.2,149.6,2992,-318,10,10,0.965,299.2,149.6
e,1037,2585,-1421,6,8,0.817,323.1,184.6,2585,-1421,6,8,0.817,323.1,184.6
e,1038,1699,-3835,4,3,0.248,566.3,242.7,1699,-3835,4,3,0.248,566.3,242.7
e,1050,4788,-2691,13,9,0.813,532.0,217.6,4788,-2691,13,9,0.813,532.0,217.6
e,1051,4247,-2294,11,8,0.82,530.9,223.5,4247,-2294,11,8,0.82,530.9,223.5
e,1052,2243,-100,8,3,0.985,747.7,203.9,2243,-100,8,3,0.985,747.7,203.9
e,1053,1774,300,8,3,1.056,591.3,161.3,1774,300,8,3,1.056,591.3,161.3
e,1055,2975,-1588,7,8,0.822,371.9,198.3,2975,-1588,7,8,0.822,371.9,198.3
e,1056,4562,-512,15,14,0.963,325.9,157.3,4562,-512,15,14,0.963,325.9,157.3
f,1057,1377,-309,5,2,0.925,688.5,196.7,1377,-309,5,2,0.925,688.5,196.7
f,1058,1694,159,9,1,1.031,1694.0,169.4,1694,159,9,1,1.031,1694.0,169.4
f,1060,4753,835,21,13,1.059,365.6,139.8,4753,835,21,13,1.059,365.6,139.8
f,1061,2210,-556,8,5,0.916,442.0,170.0,2210,-556,8,5,0.916,442.0,170.0
f,1062,1445,-456,5,4,0.895,361.2,160.6,1445,-456,5,4,0.895,361.2,160.6
その他,1083,5291,-2735,14,15,0.828,352.7,182.4,5291,-2735,14,15,0.828,352.7,182.4
その他,1085,2914,-468,10,8,0.946,364.2,161.9,2914,-468,10,8,0.946,364.2,161.9
その他,1086,884,-688,2,1,0.741,884.0,294.7,884,-688,2,1,0.741,884.0,294.7
その他,1087,3585,-868,13,8,0.919,448.1,170.7,3585,-868,13,8,0.919,448.1,170.7
その他,1088,963,-318,4,1,0.89,963.0,192.6,963,-318,4,1,0.89,963.0,192.6
その他,1100,5019,-2074,17,14,0.862,358.5,161.9,5019,-2074,17,14,0.862,358.5,161.9
その他,1101,3868,1132,16,10,1.098,386.8,148.8,3868,1132,16,10,1.098,386.8,148.8
その他,1102,3233,-326,11,7,0.966,461.9,179.6,3233,-326,11,7,0.966,461.9,179.6
その他,1103,2880,-888,6,7,0.897,411.4,221.5,2880,-888,6,7,0.897,411.4,221.5
その他,1105,890,-1282,1,1,0.52,890.0,445.0,890,-1282,1,1,0.52,890.0,445.0
その他,1106,3982,591,16,13,1.049,306.3,137.3,3982,591,16,13,1.049,306.3,137.3
その他,1107,2907,-2065,8,10,0.763,290.7,161.5,2907,-2065,8,10,0.763,290.7,161.5
total,,243075,-60302,841,640,0.917,379.8,164.1,243075,-60302,841,640,0.917,379.8,164.1
