,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE
day,2,3,4,5,6,7,9,10,11,12,13,14,15,16,17,19,20,21,22,23,24,25,26,27,28,29,30,total
model_name,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アイムジャグラーEX-TP,0.979,0.985,1.007,1.012,1.006,1.005,1.004,0.992,0.971,0.967,1.004,0.977,0.998,0.966,0.973,0.959,0.964,0.945,0.998,0.991,0.967,0.992,0.859,0.942,0.978,0.98,0.998,0.982
ウルトラミラクルジャグラー,0.864,1.005,0.947,1.019,0.99,0.997,1.05,1.02,1.042,1.035,1.005,0.976,1.007,0.946,0.97,0.922,0.921,0.932,0.976,1.001,0.987,0.987,0.991,0.951,1.001,0.953,0.949,0.991
ゴーゴージャグラー3,0.927,0.966,0.949,0.981,0.926,0.997,0.979,0.982,1.009,1.006,0.988,1.004,0.992,0.976,0.987,0.976,1.001,0.969,0.949,1.003,0.938,0.981,1.006,0.969,0.942,0.957,1.008,0.981
ジャグラーガールズ,0.987,1.033,0.957,0.971,1.039,1.019,1.036,0.999,1.003,0.945,0.986,0.928,0.947,0.959,0.955,1.034,1.017,0.971,0.979,0.988,0.943,1.019,0.886,0.832,0.92,0.945,1.047,0.977
ファンキージャグラー2,0.999,0.981,0.92,0.948,0.898,0.946,0.906,0.969,0.97,1.012,1.026,0.999,0.992,0.996,0.882,0.997,0.959,0.908,0.931,1.022,0.916,0.981,0.96,0.785,0.905,1.035,0.843,0.971
マイジャグラーV,0.953,0.996,0.98,0.995,0.984,0.99,0.97,0.968,0.952,1.007,0.993,0.985,0.994,0.977,0.962,0.996,0.978,0.967,0.979,0.997,0.972,1.015,0.918,0.98,0.975,0.978,0.967,0.983
ミスタージャグラー,0.99,0.994,0.952,1.018,1.004,0.95,0.976,0.952,0.956,0.933,1.01,1.035,0.964,0.961,0.993,1.003,0.989,1.028,1.0,1.025,0.911,0.988,0.875,0.901,1.003,0.988,0.928,0.98
total,0.96,0.992,0.977,0.997,0.985,0.992,0.987,0.98,0.973,0.995,0.999,0.986,0.991,0.972,0.966,0.984,0.975,0.961,0.979,0.999,0.961,1.001,0.917,0.943,0.968,0.976,0.976,0.982
