,,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE
day,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,total,count_1.05+
a,1063,0.978,0.993,1.032,1.026,0.986,0.971,1.024,0.94,1.034,1.02,0.946,1.037,0.993,0.932,1.023,0.985,1.071,0.956,0.985,0.976,1.024,0.99,0.961,0.956,1.022,0.954,0.991,0.985,1.024,1.023,0.932,0.995,1
a,1065,0.966,0.994,1.003,1.049,1.018,0.994,0.984,0.996,0.937,1.002,0.933,1.037,1.018,0.98,0.996,0.954,0.997,1.058,1.016,0.982,0.96,1.003,0.988,1.003,1.024,0.987,1.01,0.999,0.931,0.945,0.985,0.997,1
a,1066,0.968,1.013,0.993,1.006,1.015,0.938,1.012,1.015,1.003,0.925,1.003,0.982,0.993,0.948,0.995,0.958,0.972,0.986,0.95,0.945,0.969,0.972,1.033,0.974,0.942,1.02,0.947,0.987,0.993,0.968,0.943,0.984,0
a,1067,1.028,0.932,0.98,0.992,1.03,0.922,0.988,1.002,1.014,0.999,0.889,0.909,1.021,1.008,0.978,0.921,0.946,0.939,0.978,0.961,0.959,0.985,1.014,0.951,1.049,1.01,1.02,0.955,0.873,0.951,0.923,0.983,0
a,1068,0.972,0.93,0.987,0.906,0.983,0.942,0.91,0.991,0.994,0.936,1.005,0.94,0.993,1.006,1.022,0.951,0.975,0.946,0.966,1.018,0.971,0.964,0.99,0.949,1.01,1.03,0.978,0.952,0.943,1.077,1.048,0.982,1
a,1070,0.998,0.849,1.071,0.991,0.989,0.962,1.014,1.0,0.924,0.945,1.01,1.088,0.997,0.951,1.007,0.936,0.94,1.005,0.931,1.003,1.021,0.9,1.008,0.971,0.982,0.949,0.959,0.954,1.011,0.986,0.877,0.988,2
a,1071,1.034,0.949,0.948,0.916,1.019,0.994,0.923,0.978,1.003,0.915,0.95,0.95,1.015,1.037,1.02,0.987,1.033,1.0,0.965,0.964,0.95,1.003,1.022,0.991,0.964,1.029,0.955,0.96,1.018,0.876,0.96,0.985,0
a,1072,0.905,1.038,1.031,0.995,1.01,0.944,0.995,0.987,0.984,1.008,0.978,0.952,0.985,1.014,0.965,0.958,0.903,0.999,0.903,1.048,1.023,0.919,1.009,0.977,0.96,1.012,0.943,0.988,1.025,0.933,0.917,0.983,0
b,1073,0.963,0.925,0.957,0.983,1.033,0.98,1.007,0.907,0.937,0.971,0.912,1.026,1.001,0.977,1.002,1.023,0.928,0.975,0.99,0.986,0.991,1.069,0.993,0.945,0.99,0.951,0.988,0.966,1.029,0.919,0.978,0.982,1
