,,GAME_RANK,7RANK,3RANK,1RANK,7ROLLING,3ROLLING,MEDALS,BB,RB,RATE_MEDAL,GAME,RB_RATE,TOTAL_RATE,GRAPE_RATE,5MORE,GAME_RANK,7RANK,3RANK,1RANK,7ROLLING,3ROLLING,MEDALS,BB,RB,RATE_MEDAL,GAME,RB_RATE,TOTAL_RATE,GRAPE_RATE,5MORE,GAME_RANK,7RANK,3RANK,1RANK,7ROLLING,3ROLLING,MEDALS,BB,RB,RATE_MEDAL,GAME,RB_RATE,TOTAL_RATE,GRAPE_RATE,5MORE,GAME_RANK,7RANK,3RANK,1RANK,7ROLLING,3ROLLING,MEDALS,BB,RB,RATE_MEDAL,GAME,RB_RATE,TOTAL_RATE,GRAPE_RATE,5MORE,GAME_RANK,7RANK,3RANK,1RANK,7ROLLING,3ROLLING,MEDALS,BB,RB,RATE_MEDAL,GAME,RB_RATE,TOTAL_RATE,GRAPE_RATE,5MORE,GAME_RANK,7RANK,3RANK,1RANK,7ROLLING,3ROLLING,MEDALS,BB,RB,RATE_MEDAL,GAME,RB_RATE,TOTAL_RATE,GRAPE_RATE,5MORE,GAME_RANK,7RANK,3RANK,1RANK,7ROLLING,3ROLLING,MEDALS,BB,RB,RATE_MEDAL,GAME,RB_RATE,TOTAL_RATE,GRAPE_RATE,5MORE,GAME_RANK,7RANK,3RANK,1RANK,7ROLLING,3ROLLING,MEDALS,BB,RB,RATE_MEDAL,GAME,RB_RATE,TOTAL_RATE,GRAPE_RATE,5MORE,GAME_RANK,7RANK,3RANK,1RANK,7ROLLING,3ROLLING,MEDALS,BB,RB,RATE_MEDAL,GAME,RB_RATE,TOTAL_RATE,GRAPE_RATE,5MORE,GAME_RANK,7RANK,3RANK,1RANK,7ROLLING,3ROLLING,MEDALS,BB,RB,RATE_MEDAL,GAME,RB_RATE,TOTAL_RATE,GRAPE_RATE,5MORE,GAME_RANK,7RANK,3RANK,1RANK,7ROLLING,3ROLLING,MEDALS,BB,RB,RATE_MEDAL,GAME,RB_RATE,TOTAL_RATE,GRAPE_RATE,5MORE,GAME_RANK,7RANK,3RANK,1RANK,7ROLLING,3ROLLING,MEDALS,BB,RB,RATE_MEDAL,GAME,RB_RATE,TOTAL_RATE,GRAPE_RATE,5MORE,GAME_RANK,7RANK,3RANK,1RANK,7ROLLING,3ROLLING,MEDALS,BB,RB,RATE_MEDAL,GAME,RB_RATE,TOTAL_RATE,GRAPE_RATE,5MORE,GAME_RANK,7RANK,3RANK,1RANK,7ROLLING,3ROLLING,MEDALS,BB,RB,RATE_MEDAL,GAME,RB_RATE,TOTAL_RATE,GRAPE_RATE,5MORE,GAME_RANK,7RANK,3RANK,1RANK,7ROLLING,3ROLLING,MEDALS,BB,RB,RATE_MEDAL,GAME,RB_RATE,TOTAL_RATE,GRAPE_RATE,5MORE,GAME_RANK,7RANK,3RANK,1RANK,7ROLLING,3ROLLING,MEDALS,BB,RB,RATE_MEDAL,GAME,RB_RATE,TOTAL_RATE,GRAPE_RATE,5MORE,GAME_RANK,7RANK,3RANK,1RANK,7ROLLING,3ROLLING,MEDALS,BB,RB,RATE_MEDAL,GAME,RB_RATE,TOTAL_RATE,GRAPE_RATE,5MORE,GAME_RANK,7RANK,3RANK,1RANK,7ROLLING,3ROLLING,MEDALS,BB,RB,RATE_MEDAL,GAME,RB_RATE,TOTAL_RATE,GRAPE_RATE,5MORE,GAME_RANK,7RANK,3RANK,1RANK,7ROLLING,3ROLLING,MEDALS,BB,RB,RATE_MEDAL,GAME,RB_RATE,TOTAL_RATE,GRAPE_RATE,5MORE,GAME_RANK,7RANK,3RANK,1RANK,7ROLLING,3ROLLING,MEDALS,BB,RB,RATE_MEDAL,GAME,RB_RATE,TOTAL_RATE,GRAPE_RATE,5MORE
date,,2025-08-06 00:00:00,2025-08-06 00:00:00,2025-08-06 00:00:00,2025-08-06 00:00:00,2025-08-06 00:00:00,2025-08-06 00:00:00,2025-08-06 00:00:00,2025-08-06 00:00:00,2025-08-06 00:00:00,2025-08-06 00:00:00,2025-08-06 00:00:00,2025-08-06 00:00:00,2025-08-06 00:00:00,2025-08-06 00:00:00,2025-08-06 00:00:00,2025-07-29 00:00:00,2025-07-29 00:00:00,2025-07-29 00:00:00,2025-07-29 00:00:00,2025-07-29 00:00:00,2025-07-29 00:00:00,2025-07-29 00:00:00,2025-07-29 00:00:00,2025-07-29 00:00:00,2025-07-29 00:00:00,2025-07-29 00:00:00,2025-07-29 00:00:00,2025-07-29 00:00:00,2025-07-29 00:00:00,2025-07-29 00:00:00,2025-07-26 00:00:00,2025-07-26 00:00:00,2025-07-26 00:00:00,2025-07-26 00:00:00,2025-07-26 00:00:00,2025-07-26 00:00:00,2025-07-26 00:00:00,2025-07-26 00:00:00,2025-07-26 00:00:00,2025-07-26 00:00:00,2025-07-26 00:00:00,2025-07-26 00:00:00,2025-07-26 00:00:00,2025-07-26 00:00:00,2025-07-26 00:00:00,2025-07-19 00:00:00,2025-07-19 00:00:00,2025-07-19 00:00:00,2025-07-19 00:00:00,2025-07-19 00:00:00,2025-07-19 00:00:00,2025-07-19 00:00:00,2025-07-19 00:00:00,2025-07-19 00:00:00,2025-07-19 00:00:00,2025-07-19 00:00:00,2025-07-19 00:00:00,2025-07-19 00:00:00,2025-07-19 00:00:00,2025-07-19 00:00:00,2025-07-16 00:00:00,2025-07-16 00:00:00,2025-07-16 00:00:00,2025-07-16 00:00:00,2025-07-16 00:00:00,2025-07-16 00:00:00,2025-07-16 00:00:00,2025-07-16 00:00:00,2025-07-16 00:00:00,2025-07-16 00:00:00,2025-07-16 00:00:00,2025-07-16 00:00:00,2025-07-16 00:00:00,2025-07-16 00:00:00,2025-07-16 00:00:00,2025-07-09 00:00:00,2025-07-09 00:00:00,2025-07-09 00:00:00,2025-07-09 00:00:00,2025-07-09 00:00:00,2025-07-09 00:00:00,2025-07-09 00:00:00,2025-07-09 00:00:00,2025-07-09 00:00:00,2025-07-09 00:00:00,2025-07-09 00:00:00,2025-07-09 00:00:00,2025-07-09 00:00:00,2025-07-09 00:00:00,2025-07-09 00:00:00,2025-07-06 00:00:00,2025-07-06 00:00:00,2025-07-06 00:00:00,2025-07-06 00:00:00,2025-07-06 00:00:00,2025-07-06 00:00:00,2025-07-06 00:00:00,2025-07-06 00:00:00,2025-07-06 00:00:00,2025-07-06 00:00:00,2025-07-06 00:00:00,2025-07-06 00:00:00,2025-07-06 00:00:00,2025-07-06 00:00:00,2025-07-06 00:00:00,2025-06-29 00:00:00,2025-06-29 00:00:00,2025-06-29 00:00:00,2025-06-29 00:00:00,2025-06-29 00:00:00,2025-06-29 00:00:00,2025-06-29 00:00:00,2025-06-29 00:00:00,2025-06-29 00:00:00,2025-06-29 00:00:00,2025-06-29 00:00:00,2025-06-29 00:00:00,2025-06-29 00:00:00,2025-06-29 00:00:00,2025-06-29 00:00:00,2025-06-26 00:00:00,2025-06-26 00:00:00,2025-06-26 00:00:00,2025-06-26 00:00:00,2025-06-26 00:00:00,2025-06-26 00:00:00,2025-06-26 00:00:00,2025-06-26 00:00:00,2025-06-26 00:00:00,2025-06-26 00:00:00,2025-06-26 00:00:00,2025-06-26 00:00:00,2025-06-26 00:00:00,2025-06-26 00:00:00,2025-06-26 00:00:00,2025-06-19 00:00:00,2025-06-19 00:00:00,2025-06-19 00:00:00,2025-06-19 00:00:00,2025-06-19 00:00:00,2025-06-19 00:00:00,2025-06-19 00:00:00,2025-06-19 00:00:00,2025-06-19 00:00:00,2025-06-19 00:00:00,2025-06-19 00:00:00,2025-06-19 00:00:00,2025-06-19 00:00:00,2025-06-19 00:00:00,2025-06-19 00:00:00,2025-06-16 00:00:00,2025-06-16 00:00:00,2025-06-16 00:00:00,2025-06-16 00:00:00,2025-06-16 00:00:00,2025-06-16 00:00:00,2025-06-16 00:00:00,2025-06-16 00:00:00,2025-06-16 00:00:00,2025-06-16 00:00:00,2025-06-16 00:00:00,2025-06-16 00:00:00,2025-06-16 00:00:00,2025-06-16 00:00:00,2025-06-16 00:00:00,2025-06-09 00:00:00,2025-06-09 00:00:00,2025-06-09 00:00:00,2025-06-09 00:00:00,2025-06-09 00:00:00,2025-06-09 00:00:00,2025-06-09 00:00:00,2025-06-09 00:00:00,2025-06-09 00:00:00,2025-06-09 00:00:00,2025-06-09 00:00:00,2025-06-09 00:00:00,2025-06-09 00:00:00,2025-06-09 00:00:00,2025-06-09 00:00:00,2025-06-06 00:00:00,2025-06-06 00:00:00,2025-06-06 00:00:00,2025-06-06 00:00:00,2025-06-06 00:00:00,2025-06-06 00:00:00,2025-06-06 00:00:00,2025-06-06 00:00:00,2025-06-06 00:00:00,2025-06-06 00:00:00,2025-06-06 00:00:00,2025-06-06 00:00:00,2025-06-06 00:00:00,2025-06-06 00:00:00,2025-06-06 00:00:00,2025-05-31 00:00:00,2025-05-31 00:00:00,2025-05-31 00:00:00,2025-05-31 00:00:00,2025-05-31 00:00:00,2025-05-31 00:00:00,2025-05-31 00:00:00,2025-05-31 00:00:00,2025-05-31 00:00:00,2025-05-31 00:00:00,2025-05-31 00:00:00,2025-05-31 00:00:00,2025-05-31 00:00:00,2025-05-31 00:00:00,2025-05-31 00:00:00,2025-05-29 00:00:00,2025-05-29 00:00:00,2025-05-29 00:00:00,2025-05-29 00:00:00,2025-05-29 00:00:00,2025-05-29 00:00:00,2025-05-29 00:00:00,2025-05-29 00:00:00,2025-05-29 00:00:00,2025-05-29 00:00:00,2025-05-29 00:00:00,2025-05-29 00:00:00,2025-05-29 00:00:00,2025-05-29 00:00:00,2025-05-29 00:00:00,2025-05-26 00:00:00,2025-05-26 00:00:00,2025-05-26 00:00:00,2025-05-26 00:00:00,2025-05-26 00:00:00,2025-05-26 00:00:00,2025-05-26 00:00:00,2025-05-26 00:00:00,2025-05-26 00:00:00,2025-05-26 00:00:00,2025-05-26 00:00:00,2025-05-26 00:00:00,2025-05-26 00:00:00,2025-05-26 00:00:00,2025-05-26 00:00:00,2025-05-19 00:00:00,2025-05-19 00:00:00,2025-05-19 00:00:00,2025-05-19 00:00:00,2025-05-19 00:00:00,2025-05-19 00:00:00,2025-05-19 00:00:00,2025-05-19 00:00:00,2025-05-19 00:00:00,2025-05-19 00:00:00,2025-05-19 00:00:00,2025-05-19 00:00:00,2025-05-19 00:00:00,2025-05-19 00:00:00,2025-05-19 00:00:00,2025-05-16 00:00:00,2025-05-16 00:00:00,2025-05-16 00:00:00,2025-05-16 00:00:00,2025-05-16 00:00:00,2025-05-16 00:00:00,2025-05-16 00:00:00,2025-05-16 00:00:00,2025-05-16 00:00:00,2025-05-16 00:00:00,2025-05-16 00:00:00,2025-05-16 00:00:00,2025-05-16 00:00:00,2025-05-16 00:00:00,2025-05-16 00:00:00,2025-05-09 00:00:00,2025-05-09 00:00:00,2025-05-09 00:00:00,2025-05-09 00:00:00,2025-05-09 00:00:00,2025-05-09 00:00:00,2025-05-09 00:00:00,2025-05-09 00:00:00,2025-05-09 00:00:00,2025-05-09 00:00:00,2025-05-09 00:00:00,2025-05-09 00:00:00,2025-05-09 00:00:00,2025-05-09 00:00:00,2025-05-09 00:00:00,2025-05-06 00:00:00,2025-05-06 00:00:00,2025-05-06 00:00:00,2025-05-06 00:00:00,2025-05-06 00:00:00,2025-05-06 00:00:00,2025-05-06 00:00:00,2025-05-06 00:00:00,2025-05-06 00:00:00,2025-05-06 00:00:00,2025-05-06 00:00:00,2025-05-06 00:00:00,2025-05-06 00:00:00,2025-05-06 00:00:00,2025-05-06 00:00:00
model_name,unit_no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ミスタージャグラー,1338,3,2,2,2,-2053.0,-1823.0,-665,21,11,0.96,5480,498.2,171.2,0.0,0.01,3,3,2,3,-2038.0,-2208.0,-450,10,0,0.934,2290,0.0,229.0,0.0,0.0,2,3,1,4,-3067.0,-2523.0,-708,17,7,0.947,4460,637.1,185.8,0.0,0.0,2,3,1,1,-2459.0,-2080.0,-1050,19,8,0.934,5264,658.0,195.0,0.0,0.0,4,3,3,2,-2345.0,820.0,-765,25,20,0.963,6906,345.3,153.5,0.0,0.05,3,3,3,3,-1637.0,935.0,-265,15,5,0.977,3850,770.0,192.5,0.0,0.0,4,3,3,4,-1622.0,-279.0,1850,38,34,1.067,9139,268.8,126.9,0.0,0.5700000000000001,2,1,1,3,-4494.0,-2229.0,-650,9,7,0.931,3148,449.7,196.8,0.0,0.0,2,1,3,1,-3294.0,-2515.0,-1479,16,16,0.915,5789,361.8,180.9,0.0,0.01,4,1,3,3,-69.0,-1093.0,-100,24,18,0.995,6223,345.7,148.2,0.0,0.08,4,1,2,4,-877.0,-1243.0,-936,25,17,0.956,7083,416.6,168.6,0.0,0.01,3,2,1,3,1548.0,-1329.0,-57,17,11,0.996,4553,413.9,162.6,0.0,0.0,2,1,1,2,983.0,-722.0,-250,24,17,0.988,6814,400.8,166.2,0.0,0.01,3,2,1,1,4436.0,1274.0,-1022,24,20,0.953,7242,362.1,164.6,0.0,0.01,2,4,2,2,6236.0,1388.0,550,27,24,1.026,6995,291.5,137.2,0.0,0.27,4,3,4,3,4693.0,2327.0,1746,34,29,1.069,8405,289.8,133.4,0.0,0.33,3,0,3,2,,-41.0,-908,21,17,0.954,6570,386.5,172.9,0.0,0.01,4,0,4,4,,4070.0,1489,32,27,1.065,7581,280.8,128.5,0.0,0.46,3,0,4,3,,3359.0,-622,14,8,0.947,3897,487.1,177.1,0.0,0.0,3,0,2,4,,2988.0,3203,44,29,1.124,8604,296.7,117.9,0.0,0.5700000000000001
ミスタージャグラー,1339,1,1,3,3,-3096.0,-1423.0,121,14,13,1.01,4008,308.3,148.4,0.0,0.0,4,2,4,1,-3353.0,-80.0,-765,8,7,0.904,2665,380.7,177.7,0.0,0.0,3,2,4,3,-3910.0,-123.0,-779,15,14,0.946,4804,343.1,165.7,0.0,0.0,3,1,3,3,-3553.0,20.0,1464,27,32,1.07,6958,217.4,117.9,0.0,0.87,1,1,1,1,-6225.0,-3137.0,-808,15,14,0.944,4836,345.4,166.8,0.0,0.0,1,1,1,1,-7039.0,-2465.0,-636,1,0,0.714,740,0.0,740.0,0.0,0.0,2,1,1,1,-3864.0,-3151.0,-1693,17,18,0.911,6372,354.0,182.1,0.0,0.01,4,2,3,4,-1764.0,-1880.0,-136,26,16,0.993,6719,419.9,160.0,0.0,0.01,3,2,1,2,-2350.0,-2952.0,-1322,17,22,0.931,6383,290.1,163.7,0.0,0.1,1,3,1,2,1383.0,-3252.0,-422,4,2,0.9,1411,705.5,235.2,0.0,0.0,2,2,4,2,569.0,-291.0,-1208,10,15,0.909,4427,295.1,177.1,0.0,0.0,2,1,3,1,1298.0,1324.0,-1622,10,10,0.874,4293,429.3,214.6,0.0,0.0,3,2,3,4,1112.0,2224.0,2539,38,26,1.112,7528,289.5,117.6,0.0,0.5900000000000001,2,1,2,2,-1935.0,2096.0,407,24,16,1.024,5660,353.8,141.5,0.0,0.11,1,1,1,1,-2007.0,453.0,-722,18,6,0.946,4431,738.5,184.6,0.0,0.0,3,1,2,4,-2664.0,696.0,2411,30,20,1.142,5674,283.7,113.5,0.0,0.63,1,0,1,1,,-3523.0,-1236,14,8,0.909,4550,568.8,206.8,0.0,0.0,1,0,1,2,,-2795.0,-479,12,7,0.953,3403,486.1,179.1,0.0,0.0,2,0,1,1,,-1981.0,-1808,3,8,0.78,2744,343.0,249.5,0.0,0.0,4,0,1,1,,-1552.0,-508,28,34,0.98,8632,253.9,139.2,0.0,0.45999999999999996
ミスタージャグラー,1340,4,3,4,4,-1785.0,-1040.0,1446,32,16,1.069,6973,435.8,145.3,0.0,0.02,1,1,1,2,-3939.0,-2394.0,-693,1,0,0.669,698,0.0,698.0,0.0,0.0,1,1,2,1,-3982.0,-1266.0,-1793,4,5,0.777,2686,537.2,298.4,0.0,0.0,1,2,2,2,-2711.0,-9.0,92,9,1,1.017,1756,1756.0,175.6,0.0,0.0,2,2,2,4,-4282.0,-837.0,435,23,13,1.026,5564,428.0,154.6,0.0,0.03,2,2,2,2,-4196.0,-1980.0,-536,7,4,0.915,2097,524.2,190.6,0.0,0.0,1,2,2,2,-3310.0,-2180.0,-736,12,11,0.939,4001,363.7,174.0,0.0,0.0,1,3,2,2,-1496.0,-1966.0,-708,4,4,0.868,1786,446.5,223.2,0.0,0.0,1,4,2,3,2887.0,-2737.0,-736,7,6,0.902,2515,419.2,193.5,0.0,0.0,3,4,2,1,3444.0,-1480.0,-522,19,14,0.967,5220,372.9,158.2,0.0,0.05,1,4,3,1,4916.0,-608.0,-1479,10,7,0.877,4008,572.6,235.8,0.0,0.0,1,4,4,4,5759.0,1949.0,521,17,5,1.053,3252,650.4,147.8,0.0,0.0,4,4,4,3,3988.0,5103.0,350,33,19,1.015,7901,415.8,151.9,0.0,0.01,4,3,4,4,5016.0,4574.0,1078,31,30,1.043,8347,278.2,136.8,0.0,0.33,3,3,4,4,5245.0,4446.0,3675,45,21,1.158,7732,368.2,117.2,0.0,0.29000000000000004,2,2,1,2,2048.0,135.0,-179,19,20,0.989,5660,283.0,145.1,0.0,0.25,2,0,2,3,,-936.0,950,27,17,1.05,6283,369.6,142.8,0.0,0.07,3,0,2,1,,-508.0,-636,17,20,0.963,5730,286.5,154.9,0.0,0.16,4,0,2,2,,1435.0,-1250,21,20,0.938,6699,335.0,163.4,0.0,0.04,1,0,3,2,,3163.0,1378,29,30,1.06,7623,254.1,129.2,0.0,0.6000000000000001
ミスタージャグラー,1341,2,4,1,1,1618.0,-3166.0,-1322,14,19,0.915,5212,274.3,157.9,0.0,0.19,2,4,3,4,2075.0,-291.0,-265,2,2,0.894,834,417.0,208.5,0.0,0.0,4,4,3,2,3832.0,-191.0,-1579,14,15,0.902,5384,358.9,185.7,0.0,0.02,4,4,4,4,5775.0,4206.0,1553,35,28,1.063,8226,293.8,130.6,0.0,0.35,3,4,4,3,3200.0,3231.0,-165,24,19,0.992,6586,346.6,153.2,0.0,0.05,4,4,4,4,2986.0,2531.0,2818,37,14,1.149,6299,449.9,123.5,0.0,0.1,3,4,4,3,-1300.0,1205.0,578,28,28,1.026,7449,266.0,133.0,0.0,0.46,3,4,4,1,-1328.0,991.0,-865,15,16,0.943,5087,317.9,164.1,0.0,0.08,4,3,4,4,2183.0,834.0,1492,33,27,1.064,7813,289.4,130.2,0.0,0.38,2,2,4,4,341.0,-1037.0,364,14,12,1.038,3233,269.4,124.3,0.0,0.0,3,3,1,3,1209.0,-2869.0,-1022,15,14,0.934,5162,368.7,178.0,0.0,0.03,4,3,2,2,2081.0,-1297.0,-379,20,16,0.977,5526,345.4,153.5,0.0,0.07,1,3,2,1,2581.0,1728.0,-1468,21,14,0.924,6477,462.6,185.1,0.0,0.0,1,4,3,3,5470.0,2846.0,550,20,10,1.041,4450,445.0,148.3,0.0,0.0,4,2,3,3,5227.0,3528.0,2646,40,24,1.11,8043,335.1,125.7,0.0,0.25,1,4,3,1,5956.0,732.0,-350,16,17,0.978,5318,312.8,161.2,0.0,0.09,4,0,4,4,,1203.0,1232,35,14,1.055,7443,531.6,151.9,0.0,0.0,2,0,3,3,,1392.0,-150,14,7,0.987,3810,544.3,181.4,0.0,0.0,1,0,3,4,,1849.0,121,10,5,1.018,2260,452.0,150.7,0.0,0.0,2,0,4,3,,5103.0,1421,32,35,1.056,8386,239.6,125.2,0.0,0.76
 , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ウルトラミラクルジャグラー,1342,1,1,1,3,-1253.0,-1509.0,592,11,6,1.082,2394,399.0,140.8,0.0,0.0,2,1,1,1,-2881.0,-2880.0,-222,24,25,0.99,7103,284.1,145.0,0.0,0.41000000000000003,1,2,2,1,-3209.0,-1923.0,-1879,6,4,0.783,2892,723.0,289.2,0.0,0.0,1,3,2,1,-952.0,-494.0,-779,3,2,0.806,1341,670.5,268.2,0.0,0.0,3,3,3,3,-1995.0,1035.0,735,24,17,1.043,5740,337.6,140.0,0.0,0.3,1,3,3,1,-3252.0,-736.0,-450,1,1,0.786,702,702.0,351.0,0.0,0.0,3,2,3,3,-2524.0,-836.0,750,31,21,1.033,7497,357.0,144.2,0.0,0.2,3,2,3,2,79.0,-1208.0,-1036,10,5,0.904,3595,719.0,239.7,0.0,0.0,3,2,2,2,622.0,-1994.0,-550,26,14,0.973,6779,484.2,169.5,0.0,0.02,3,2,1,3,2836.0,-1966.0,378,30,9,1.019,6798,755.3,174.3,0.0,0.0,2,2,2,1,2165.0,-2066.0,-1822,13,11,0.873,4774,434.0,198.9,0.0,0.0,2,3,2,3,6569.0,3109.0,-522,7,3,0.915,2054,684.7,205.4,0.0,0.0,3,3,2,2,8198.0,3138.0,278,30,16,1.013,7263,453.9,157.9,0.0,0.04,3,3,3,3,7370.0,4524.0,3353,39,34,1.139,8025,236.0,109.9,0.0,0.9299999999999999,1,3,2,2,3695.0,878.0,-493,4,2,0.888,1469,734.5,244.8,0.0,0.0,2,3,3,3,4480.0,3953.0,1664,39,35,1.06,9249,264.3,125.0,0.0,0.78,3,3,3,3,3023.0,3396.0,-293,22,21,0.984,6219,296.1,144.6,0.0,0.37,2,3,3,3,2708.0,3139.0,2582,37,34,1.108,7966,234.3,112.2,0.0,0.93,3,2,2,3,490.0,235.0,1107,31,13,1.057,6498,499.8,147.7,0.0,0.05,1,1,2,1,-2153.0,-580.0,-550,23,10,0.967,5627,562.7,170.5,0.0,0.02
ウルトラミラクルジャグラー,1343,3,2,2,2,-1091.0,1217.0,-1022,18,13,0.938,5460,420.0,176.1,0.0,0.05,1,2,2,3,-1491.0,2139.0,3589,38,30,1.171,6982,232.7,102.7,0.0,0.95,2,1,1,2,-5630.0,-2300.0,-1350,15,16,0.918,5514,344.6,177.9,0.0,0.09000000000000001,3,1,1,2,-5102.0,-1329.0,-100,25,25,0.995,7077,283.1,141.5,0.0,0.45,1,1,1,1,-5073.0,-2208.0,-850,5,2,0.849,1873,936.5,267.6,0.0,0.0,2,2,1,2,-4773.0,-2780.0,-379,3,5,0.897,1221,244.2,152.6,0.0,0.0,2,3,2,2,-1641.0,-2951.0,-979,24,19,0.956,7389,388.9,171.8,0.0,0.04,1,3,1,1,1256.0,-2794.0,-1422,3,3,0.774,2095,698.3,349.2,0.0,0.0,2,3,3,2,1313.0,-1443.0,-550,23,10,0.967,5557,555.7,168.4,0.0,0.02,2,3,3,1,3113.0,-1443.0,-822,5,7,0.879,2265,323.6,188.8,0.0,0.0,3,3,3,3,3242.0,2132.0,-71,24,13,0.996,5556,427.4,150.2,0.0,0.11,1,2,3,2,3663.0,4121.0,-550,5,1,0.88,1525,1525.0,254.2,0.0,0.0,2,2,3,3,3834.0,3306.0,2753,43,12,1.129,7113,592.8,129.3,0.0,0.08,2,2,2,2,1488.0,1803.0,1918,28,25,1.102,6277,251.1,118.4,0.0,0.8,2,1,1,1,-723.0,-808.0,-1365,6,6,0.855,3136,522.7,261.3,0.0,0.0,1,1,2,1,-266.0,907.0,1250,37,30,1.048,8613,287.1,128.6,0.0,0.63,1,1,2,1,-1481.0,-722.0,-693,8,10,0.926,3132,313.2,174.0,0.0,0.0,3,1,2,2,-467.0,378.0,350,30,37,1.012,9435,255.0,140.8,0.0,0.62,1,1,1,2,-1525.0,-265.0,-379,6,5,0.935,1954,390.8,177.6,0.0,0.0,3,2,1,2,-1439.0,-794.0,407,30,25,1.018,7501,300.0,136.4,0.0,0.45
