,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE
day,6,9,16,19,26,29,total
area,,,,,,,
FJ2 a,1.021,0.968,0.953,1.005,1.054,0.964,1.001
FJ2 b,1.016,0.972,1.073,1.045,1.002,0.967,1.017
GJ3 a,0.92,0.98,1.019,1.044,1.028,1.014,1.003
GJ3 b,1.011,0.993,1.014,0.989,1.015,0.956,0.998
HPJ a,0.998,1.009,0.965,1.039,0.93,0.949,0.984
I'm a,1.021,1.026,0.965,1.004,1.021,0.958,1.0
I'm b,0.948,0.956,1.016,0.975,0.942,0.976,0.971
JGS,1.019,0.93,1.035,1.011,1.063,0.909,1.014
MJV,0.988,0.966,0.983,0.973,0.985,0.954,0.975
MRJ,1.0,1.035,0.925,0.986,0.97,0.953,0.976
UMJ,0.968,0.933,0.925,0.98,0.948,0.889,0.947
total,0.995,0.986,0.999,1.014,1.001,0.963,0.994
