,,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE
date,,total,total,total,total,total,total,total,2025-06-29 00:00:00,2025-06-29 00:00:00,2025-06-29 00:00:00,2025-06-29 00:00:00,2025-06-29 00:00:00,2025-06-29 00:00:00,2025-06-29 00:00:00,2025-05-29 00:00:00,2025-05-29 00:00:00,2025-05-29 00:00:00,2025-05-29 00:00:00,2025-05-29 00:00:00,2025-05-29 00:00:00,2025-05-29 00:00:00,2025-04-29 00:00:00,2025-04-29 00:00:00,2025-04-29 00:00:00,2025-04-29 00:00:00,2025-04-29 00:00:00,2025-04-29 00:00:00,2025-04-29 00:00:00,2025-03-29 00:00:00,2025-03-29 00:00:00,2025-03-29 00:00:00,2025-03-29 00:00:00,2025-03-29 00:00:00,2025-03-29 00:00:00,2025-03-29 00:00:00
area,unit_no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FJ2 a,1421,23246,2955,107,48,1.042,484.3,150.0,7859.0,1703.0,39.0,16.0,1.072,491.2,142.9,2868.0,-222.0,10.0,6.0,0.974,478.0,179.2,8675.0,2496.0,47.0,15.0,1.096,578.3,139.9,3844.0,-1022.0,11.0,11.0,0.911,349.5,174.7
FJ2 a,1422,12121,-2602,39,28,0.928,432.9,180.9,3014.0,-1122.0,9.0,7.0,0.876,430.6,188.4,981.0,-322.0,3.0,1.0,0.891,981.0,245.2,3033.0,-1065.0,8.0,8.0,0.883,379.1,189.6,5093.0,-93.0,19.0,12.0,0.994,424.4,164.3
FJ2 a,1423,20946,670,87,49,1.011,427.5,154.0,2480.0,-822.0,8.0,3.0,0.89,826.7,225.5,5669.0,1121.0,26.0,15.0,1.066,377.9,138.3,6883.0,164.0,29.0,16.0,1.008,430.2,153.0,5914.0,207.0,24.0,15.0,1.012,394.3,151.6
FJ2 a,1424,21076,2417,89,55,1.038,383.2,146.4,4507.0,-1493.0,13.0,8.0,0.89,563.4,214.6,7042.0,3439.0,37.0,25.0,1.163,281.7,113.6,2962.0,-450.0,10.0,5.0,0.949,592.4,197.5,6565.0,921.0,29.0,17.0,1.047,386.2,142.7
FJ2 a,1425,16146,569,64,40,1.012,403.6,155.2,5231.0,-322.0,20.0,12.0,0.979,435.9,163.5,1236.0,-765.0,2.0,3.0,0.794,412.0,247.2,3911.0,178.0,15.0,10.0,1.015,391.1,156.4,5768.0,1478.0,27.0,15.0,1.085,384.5,137.3
FJ2 a,1426,14290,602,59,36,1.014,396.9,150.4,2843.0,-422.0,12.0,4.0,0.951,710.8,177.7,2190.0,-908.0,5.0,5.0,0.862,438.0,219.0,7992.0,2003.0,37.0,25.0,1.084,319.7,128.9,1265.0,-71.0,5.0,2.0,0.981,632.5,180.7
FJ2 a,1427,14297,-601,58,33,0.986,433.2,157.1,2875.0,-2025.0,6.0,3.0,0.765,958.3,319.4,571.0,-222.0,1.0,1.0,0.87,571.0,285.5,4220.0,307.0,19.0,9.0,1.024,468.9,150.7,6631.0,1339.0,32.0,20.0,1.067,331.6,127.5
FJ2 a,1428,15051,-2030,50,40,0.955,376.3,167.2,5308.0,235.0,22.0,11.0,1.015,482.5,160.8,3107.0,-493.0,9.0,9.0,0.947,345.2,172.6,5524.0,-1422.0,15.0,19.0,0.914,290.7,162.5,1112.0,-350.0,4.0,1.0,0.895,1112.0,222.4
