,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE
day,6,9,16,19,26,29,total
model_name,,,,,,,
アイムジャグラーEX-TP,0.986,0.997,0.992,0.993,0.986,0.966,0.986
ウルトラミラクルジャグラー,0.968,0.933,0.925,0.98,0.948,0.889,0.947
ゴーゴージャグラー3,0.972,0.986,1.016,1.022,1.021,0.987,1.0
ジャグラーガールズ,1.019,0.93,1.035,1.011,1.063,0.909,1.014
ハッピージャグラーVIII,0.998,1.009,0.965,1.039,0.93,0.949,0.984
ファンキージャグラー2,1.018,0.97,1.022,1.029,1.029,0.966,1.009
マイジャグラーV,0.988,0.966,0.983,0.973,0.985,0.954,0.975
ミスタージャグラー,1.0,1.035,0.925,0.986,0.97,0.953,0.976
total,0.995,0.986,0.999,1.014,1.001,0.963,0.994
