,,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE
day,,6,9,16,19,26,29,31,total,count_1.05+
FJ2 a,1421,0.975,0.965,1.011,1.018,0.934,1.042,1.052,0.992,1
FJ2 a,1422,0.993,1.004,0.979,0.997,1.026,0.928,0.917,0.993,0
FJ2 a,1423,1.056,1.011,0.928,1.036,1.02,1.011,0.861,1.011,1
FJ2 a,1424,1.005,1.042,0.975,1.075,1.028,1.038,0.935,1.023,1
FJ2 a,1425,1.005,1.028,0.982,1.071,0.997,1.012,0.988,1.011,1
FJ2 a,1426,1.0,1.056,0.966,1.031,1.014,1.014,1.153,1.016,2
FJ2 a,1427,0.995,1.001,0.981,1.033,1.043,0.986,0.927,1.005,0
FJ2 a,1428,0.958,1.016,0.987,1.01,0.934,0.955,1.043,0.981,0
FJ2 a,1429,0.989,1.021,0.977,1.038,0.961,0.948,0.887,0.992,0
FJ2 b,1446,1.006,1.0,0.997,0.992,0.984,1.011,0.817,0.996,0
FJ2 b,1447,1.062,0.988,1.012,1.026,1.004,0.934,0.996,1.012,1
FJ2 b,1448,0.973,0.949,0.986,0.992,0.999,0.985,0.934,0.981,0
FJ2 b,1449,0.997,0.966,1.021,0.958,0.998,0.956,0.837,0.987,0
FJ2 b,1450,0.985,0.964,0.986,0.985,1.04,1.008,0.788,0.994,0
FJ2 b,1451,0.983,0.93,1.04,1.051,0.918,0.983,1.023,0.993,1
FJ2 b,1452,0.991,0.955,1.024,0.985,1.014,0.947,0.892,0.993,0
FJ2 b,1453,0.953,1.04,1.004,0.939,0.978,0.998,0.994,0.989,0
FJ2 b,1454,0.963,0.894,0.994,1.004,1.001,0.943,0.899,0.971,0
GJ3 a,1521,0.953,0.954,0.998,1.025,1.02,0.996,1.107,0.996,1
GJ3 a,1522,0.96,1.021,1.039,0.955,1.02,1.05,0.985,1.008,1
GJ3 a,1523,0.968,0.977,0.978,1.025,1.036,0.958,1.1,0.994,1
GJ3 a,1524,1.004,1.004,1.029,1.039,1.031,1.02,1.013,1.021,0
GJ3 a,1525,0.969,0.972,1.054,1.048,0.994,0.957,1.033,1.006,1
GJ3 a,1526,0.954,0.925,1.036,0.998,0.986,0.95,0.871,0.979,0
GJ3 a,1527,0.99,0.973,0.969,1.055,0.986,0.996,0.992,0.993,1
