,,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE
date,,total,total,total,total,total,total,total,2025-07-29 00:00:00,2025-07-29 00:00:00,2025-07-29 00:00:00,2025-07-29 00:00:00,2025-07-29 00:00:00,2025-07-29 00:00:00,2025-07-29 00:00:00,2025-06-29 00:00:00,2025-06-29 00:00:00,2025-06-29 00:00:00,2025-06-29 00:00:00,2025-06-29 00:00:00,2025-06-29 00:00:00,2025-06-29 00:00:00,2025-05-29 00:00:00,2025-05-29 00:00:00,2025-05-29 00:00:00,2025-05-29 00:00:00,2025-05-29 00:00:00,2025-05-29 00:00:00,2025-05-29 00:00:00,2025-04-29 00:00:00,2025-04-29 00:00:00,2025-04-29 00:00:00,2025-04-29 00:00:00,2025-04-29 00:00:00,2025-04-29 00:00:00,2025-04-29 00:00:00,2025-03-29 00:00:00,2025-03-29 00:00:00,2025-03-29 00:00:00,2025-03-29 00:00:00,2025-03-29 00:00:00,2025-03-29 00:00:00,2025-03-29 00:00:00
area,unit_no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
その他,2208,20633,-1000,73,63,0.984,327.5,151.7,3264.0,-100.0,11.0,10.0,0.99,326.4,155.4,6633.0,-500.0,23.0,22.0,0.975,301.5,147.4,5301.0,1300.0,26.0,16.0,1.082,331.3,126.2,2961.0,-400.0,9.0,8.0,0.955,370.1,174.2,2474.0,-1300.0,4.0,7.0,0.825,353.4,224.9
その他,2209,16962,600,65,49,1.012,346.2,148.8,256.0,-200.0,0.0,0.0,0.74,,,905.0,-400.0,2.0,0.0,0.853,,452.5,7074.0,300.0,27.0,21.0,1.014,336.9,147.4,7394.0,1500.0,33.0,25.0,1.068,295.8,127.5,1333.0,-600.0,3.0,3.0,0.85,444.3,222.2
その他,2210,6932,-1800,23,11,0.913,630.2,203.9,440.0,-200.0,1.0,1.0,0.848,440.0,220.0,1045.0,-800.0,2.0,0.0,0.745,,522.5,1149.0,-1100.0,1.0,0.0,0.681,,1149.0,2894.0,500.0,14.0,7.0,1.058,413.4,137.8,1404.0,-200.0,5.0,3.0,0.953,468.0,175.5
その他,2211,12838,-1200,48,26,0.969,493.8,173.5,526.0,-500.0,1.0,0.0,0.683,,526.0,2678.0,-1000.0,7.0,7.0,0.876,382.6,191.3,1876.0,200.0,9.0,2.0,1.036,938.0,170.5,5008.0,-300.0,18.0,13.0,0.98,385.2,161.5,2750.0,400.0,13.0,4.0,1.048,687.5,161.8
その他,2212,12301,-1300,44,30,0.965,410.0,166.2,1224.0,-600.0,3.0,2.0,0.837,612.0,244.8,2036.0,-1300.0,3.0,5.0,0.787,407.2,254.5,315.0,-400.0,0.0,0.0,0.577,,,2729.0,300.0,12.0,7.0,1.037,389.9,143.6,5997.0,700.0,26.0,16.0,1.039,374.8,142.8
その他,2213,21986,1700,84,67,1.026,328.1,145.6,4329.0,400.0,18.0,14.0,1.031,309.2,135.3,1305.0,-700.0,2.0,2.0,0.821,652.5,326.2,2573.0,-100.0,8.0,9.0,0.987,285.9,151.4,7849.0,1600.0,34.0,24.0,1.068,327.0,135.3,5930.0,500.0,22.0,18.0,1.028,329.4,148.2
その他,2214,17974,-100,63,58,0.998,309.9,148.5,421.0,-100.0,1.0,1.0,0.921,421.0,210.5,2588.0,-400.0,9.0,6.0,0.948,431.3,172.5,946.0,400.0,5.0,1.0,1.141,946.0,157.7,5391.0,-1100.0,14.0,20.0,0.932,269.6,158.6,8628.0,1100.0,34.0,30.0,1.042,287.6,134.8
その他,2215,21671,1100,82,66,1.017,328.3,146.4,1383.0,-400.0,3.0,5.0,0.904,276.6,172.9,6927.0,1200.0,30.0,22.0,1.058,314.9,133.2,2545.0,-1400.0,3.0,10.0,0.817,254.5,195.8,7572.0,2300.0,34.0,25.0,1.101,302.9,128.3,3244.0,-600.0,12.0,4.0,0.938,811.0,202.8
その他,2216,26616,-900,92,83,0.989,320.7,152.1,6399.0,-1200.0,17.0,19.0,0.937,336.8,177.8,9168.0,1000.0,37.0,29.0,1.036,316.1,138.9,1576.0,400.0,8.0,3.0,1.085,525.3,143.3,1467.0,-1200.0,1.0,5.0,0.727,293.4,244.5,8006.0,100.0,29.0,27.0,1.004,296.5,143.0
その他,2217,24575,-200,82,94,0.997,261.4,139.6,6850.0,2500.0,28.0,37.0,1.122,185.1,105.4,2218.0,-1100.0,5.0,6.0,0.835,369.7,201.6,6449.0,-1100.0,19.0,24.0,0.943,268.7,150.0,1843.0,-1200.0,2.0,5.0,0.783,368.6,263.3,7215.0,700.0,28.0,22.0,1.032,328.0,144.3
その他,2218,23637,6600,116,63,1.093,375.2,132.1,7200.0,3400.0,39.0,26.0,1.157,276.9,110.8,4147.0,-200.0,15.0,7.0,0.984,592.4,188.5,1251.0,-400.0,3.0,2.0,0.893,625.5,250.2,8607.0,3400.0,46.0,25.0,1.132,344.3,121.2,2432.0,400.0,13.0,3.0,1.055,810.7,152.0
その他,2219,22365,1100,85,71,1.016,315.0,143.4,0.0,0.0,0.0,0.0,,,,4499.0,-500.0,16.0,10.0,0.963,449.9,173.0,3072.0,0.0,10.0,10.0,1.0,307.2,153.6,7868.0,1100.0,30.0,30.0,1.047,262.3,131.1,6926.0,500.0,29.0,21.0,1.024,329.8,138.5
その他,2220,13632,-2800,44,27,0.932,504.9,192.0,3725.0,-200.0,12.0,11.0,0.982,338.6,162.0,1613.0,-900.0,4.0,2.0,0.814,806.5,268.8,2857.0,-300.0,10.0,6.0,0.965,476.2,178.6,2757.0,-1100.0,8.0,6.0,0.867,459.5,196.9,2680.0,-300.0,10.0,2.0,0.963,1340.0,223.3
その他,2221,25517,200,97,62,1.003,411.6,160.5,1939.0,0.0,8.0,5.0,1.0,387.8,149.2,7570.0,300.0,30.0,18.0,1.013,420.6,157.7,3834.0,-400.0,12.0,10.0,0.965,383.4,174.3,6617.0,-500.0,23.0,15.0,0.975,441.1,174.1,5557.0,800.0,24.0,14.0,1.048,396.9,146.2
その他,2222,22461,4800,101,72,1.071,312.0,129.8,2803.0,-300.0,10.0,6.0,0.964,467.2,175.2,8889.0,2000.0,39.0,30.0,1.075,296.3,128.8,1957.0,0.0,8.0,3.0,1.0,652.3,177.9,1149.0,-600.0,2.0,2.0,0.826,574.5,287.2,7663.0,3700.0,42.0,31.0,1.161,247.2,105.0
その他,2223,20883,-800,70,60,0.987,348.0,160.6,3013.0,200.0,12.0,6.0,1.022,502.2,167.4,1595.0,-800.0,3.0,2.0,0.833,797.5,319.0,6443.0,0.0,22.0,20.0,1.0,322.2,153.4,4145.0,-600.0,11.0,15.0,0.952,276.3,159.4,5687.0,400.0,22.0,17.0,1.023,334.5,145.8
その他,2224,22640,-2000,82,48,0.971,471.7,174.2,1939.0,-1200.0,2.0,7.0,0.794,277.0,215.4,7570.0,800.0,32.0,18.0,1.035,420.6,151.4,2398.0,-500.0,9.0,1.0,0.93,2398.0,239.8,6222.0,100.0,25.0,14.0,1.005,444.4,159.5,4511.0,-1200.0,14.0,8.0,0.911,563.9,205.0
