,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE
day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,total
model_name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アイムジャグラーEX-TP,1.022,1.011,0.998,1.004,1.031,0.996,1.012,0.985,1.011,0.998,1.019,1.015,1.003,0.995,1.037,1.017,1.013,1.02,1.029,1.004,1.01,1.015,0.982,0.997,1.034,0.989,0.997,1.003,1.004,1.029,0.969,1.011
ウルトラミラクルジャグラー,0.997,0.977,0.963,1.034,1.033,0.973,1.031,1.006,1.055,1.011,1.013,1.013,0.971,0.979,1.024,0.979,1.017,0.998,1.026,0.957,1.038,1.04,1.021,0.993,0.953,1.015,1.042,0.963,1.022,0.988,1.07,1.013
ゴーゴージャグラー3,0.998,1.011,1.007,0.998,1.012,0.988,1.011,1.002,1.021,0.975,1.039,1.007,0.99,1.009,1.019,1.009,1.01,0.969,1.011,1.0,1.02,1.024,1.014,1.02,0.989,0.972,1.016,0.972,1.004,1.001,1.013,1.006
ジャグラーガールズ,1.01,1.024,1.044,1.006,0.964,0.979,1.037,1.087,1.017,1.011,0.975,1.003,1.005,1.005,1.012,1.025,1.007,0.947,0.933,0.965,1.08,1.034,0.945,0.994,1.096,0.962,1.03,1.012,0.956,1.026,1.071,1.016
ハッピージャグラーVIII,0.999,1.022,1.015,1.047,1.032,0.983,1.021,1.002,1.015,1.041,1.016,1.037,1.002,1.008,1.001,1.001,1.038,0.996,0.98,1.081,0.963,0.97,1.021,0.95,1.006,0.966,0.994,0.962,1.022,1.019,1.027,1.012
ファンキージャグラー2,1.044,0.986,0.993,0.979,1.002,1.006,1.025,0.998,1.016,1.012,1.02,1.004,1.001,1.003,1.015,1.003,1.015,1.016,0.992,1.003,1.017,0.979,1.002,1.007,1.006,1.0,1.003,1.016,0.988,1.013,1.01,1.008
マイジャグラーV,1.016,1.009,1.007,0.998,1.008,1.004,1.016,0.997,0.993,1.004,1.042,0.978,0.999,0.972,1.006,1.01,1.011,0.985,1.007,0.998,1.021,1.023,0.997,1.002,1.007,1.012,1.014,1.004,1.015,1.017,0.972,1.007
ミスタージャグラー,1.017,0.992,1.015,0.988,1.037,0.987,1.024,1.01,0.986,0.961,0.983,0.988,1.045,0.987,1.038,0.949,0.979,0.999,0.947,1.041,1.01,0.998,1.04,0.976,0.981,0.989,1.005,0.987,0.964,0.999,1.054,1.003
total,1.018,1.006,1.004,1.001,1.016,0.996,1.018,1.0,1.011,1.002,1.026,1.003,1.0,0.995,1.019,1.007,1.013,0.997,1.007,1.005,1.018,1.011,1.002,1.001,1.01,0.994,1.009,0.997,1.003,1.015,1.006,1.009
