,,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE
day,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,total,count_1.05+
その他,2208,1.003,0.968,0.955,0.991,0.981,1.007,1.029,1.042,1.019,1.067,1.037,1.03,0.966,1.009,0.953,1.031,1.043,1.037,0.876,1.025,0.954,0.957,1.055,1.031,1.015,0.977,1.028,0.979,0.984,1.032,0.971,1.007,2
その他,2209,0.981,0.994,1.087,0.995,1.041,0.945,1.062,0.979,0.945,0.945,1.109,0.989,0.937,1.018,1.063,0.874,1.05,1.018,0.992,0.991,1.022,0.981,0.977,0.995,1.048,1.034,1.0,1.02,1.012,1.005,0.954,1.019,5
その他,2210,1.027,0.94,1.022,1.071,0.988,1.027,1.087,1.049,0.958,1.1,1.05,1.057,0.971,0.958,1.023,1.025,0.944,1.012,1.01,1.03,1.067,0.913,1.038,1.071,0.818,1.04,1.033,0.943,0.913,1.051,1.071,1.028,9
その他,2211,1.06,1.062,0.982,0.946,1.011,1.028,1.072,1.015,0.991,0.968,1.009,1.0,1.006,0.876,0.981,1.009,0.986,1.033,1.012,0.991,1.031,1.016,1.022,1.071,0.994,1.022,0.944,0.941,0.969,0.944,1.012,1.008,4
その他,2212,1.049,1.015,1.057,0.99,0.932,1.005,1.007,0.986,1.051,1.056,1.02,0.918,0.991,1.025,1.033,1.019,1.03,1.049,1.044,0.984,0.998,0.949,0.95,1.008,1.002,1.048,1.024,1.065,0.965,1.018,1.033,1.012,4
その他,2213,0.956,1.0,1.045,0.943,1.001,1.03,1.091,1.0,0.909,1.006,0.982,1.011,1.065,0.99,0.954,1.029,1.07,1.035,1.08,0.987,0.986,1.023,0.897,0.905,0.98,0.919,0.954,0.993,1.026,0.984,1.0,1.006,4
その他,2214,0.987,1.023,1.008,1.033,1.035,1.019,1.032,0.937,1.092,0.984,0.908,0.979,1.036,1.011,1.005,1.049,0.901,0.942,1.004,0.971,1.046,1.007,0.931,0.992,1.003,0.99,0.95,0.981,0.998,1.002,0.974,0.999,1
その他,2215,1.004,1.028,1.017,1.02,0.985,0.978,0.985,1.035,0.924,1.025,0.984,0.874,1.003,0.948,1.025,0.962,0.982,1.015,1.0,1.033,1.013,0.988,0.962,0.993,1.008,0.972,1.001,1.022,1.017,1.043,0.975,1.0,0
その他,2216,0.973,1.028,1.025,0.999,1.014,1.017,1.009,0.855,1.012,1.032,1.029,1.071,1.011,0.954,1.028,0.989,1.006,1.021,0.976,0.985,0.962,1.005,1.016,1.0,1.01,1.053,0.991,0.964,0.989,0.994,0.989,1.007,2
その他,2217,0.98,0.986,0.977,0.98,0.919,1.007,1.032,1.059,0.945,1.015,1.0,1.03,1.091,0.871,1.032,0.949,1.031,1.044,1.002,1.068,1.031,1.004,0.934,1.083,0.983,1.0,1.037,0.978,0.997,1.035,1.019,1.011,4
その他,2218,0.983,1.059,0.917,0.981,1.026,0.919,0.946,1.019,0.932,0.963,1.114,1.038,1.018,0.95,1.033,1.063,1.002,1.002,1.034,0.973,1.06,1.028,0.888,0.985,1.007,1.064,1.0,1.028,1.093,1.016,0.948,1.014,6
その他,2219,1.035,0.94,0.99,1.044,1.017,1.064,1.047,1.017,1.022,0.977,1.057,0.956,0.994,1.004,0.979,0.986,1.029,0.906,0.995,0.971,1.046,1.011,1.018,0.984,0.978,1.04,0.982,0.987,1.016,0.994,0.937,1.01,2
その他,2220,0.968,1.007,0.985,0.991,1.03,1.093,1.022,0.874,1.038,0.976,1.038,0.954,1.017,0.968,1.063,0.922,0.995,1.023,1.003,1.051,1.03,0.988,1.022,0.981,1.048,1.023,1.029,1.044,0.932,1.031,0.882,1.012,3
その他,2221,1.011,1.018,1.042,0.999,0.987,1.061,0.977,1.04,1.022,0.946,1.06,0.972,0.98,1.037,0.98,1.042,1.059,1.068,0.964,0.939,1.048,1.022,0.975,0.939,1.003,0.973,0.993,0.995,1.003,0.967,0.913,1.006,4
その他,2222,1.037,0.988,1.001,0.986,1.041,0.985,1.021,0.958,0.965,1.07,0.985,0.957,0.959,1.024,0.906,1.068,1.048,1.039,1.006,0.984,1.006,1.078,0.952,1.033,0.984,0.969,1.033,1.031,1.071,0.949,0.995,1.011,4
その他,2223,1.013,1.016,1.063,1.042,1.085,0.974,1.0,0.879,0.993,0.981,1.021,0.982,0.975,0.985,0.961,0.991,0.949,0.908,1.049,0.916,1.072,1.016,0.948,0.936,1.009,1.022,0.981,0.986,0.987,1.023,1.05,1.004,4
その他,2224,1.068,1.042,0.977,1.015,1.002,0.989,1.03,1.018,0.961,0.997,1.012,0.988,0.966,1.023,0.954,1.004,1.021,0.996,1.001,1.028,1.057,0.971,0.99,1.006,1.025,0.952,1.071,0.938,0.971,0.993,1.03,1.006,3
その他,2225,1.02,1.001,1.056,0.989,0.998,0.959,1.022,0.955,0.985,1.004,1.013,0.978,0.893,0.971,1.034,0.999,1.004,1.023,0.982,0.983,1.041,1.043,0.96,0.939,1.051,1.02,1.005,1.018,1.003,0.97,0.968,1.003,2
その他,2226,1.01,1.023,0.983,0.989,1.03,0.941,0.964,1.017,1.012,0.965,1.093,0.956,0.974,1.01,1.014,1.017,0.964,0.88,1.002,0.982,1.037,0.959,1.019,1.018,0.92,1.033,1.05,0.97,1.03,0.972,0.964,1.003,2
その他,2227,1.046,1.074,0.969,1.033,0.984,1.011,1.051,1.057,0.996,1.004,1.048,0.985,1.017,0.924,0.983,1.046,1.059,1.009,0.951,1.047,1.071,1.071,0.916,0.945,1.026,0.964,0.996,0.987,1.013,1.045,1.0,1.02,6
その他,2228,1.041,1.018,1.058,1.058,0.961,0.983,0.963,0.971,0.865,1.0,1.052,1.034,0.995,1.018,1.062,0.985,1.026,1.036,1.008,0.974,1.089,1.027,0.989,1.04,1.017,0.954,1.067,1.043,0.958,1.074,0.952,1.021,7
その他,2229,0.963,0.897,0.978,0.984,1.037,0.982,0.976,1.0,1.005,1.03,1.105,0.994,1.0,0.966,1.009,0.973,0.953,0.897,0.997,0.993,0.979,1.007,0.998,1.014,1.021,0.979,0.962,1.02,1.032,1.043,0.977,0.996,1
その他,2230,0.948,0.944,0.976,0.969,0.966,1.002,1.01,1.007,1.0,0.987,0.964,1.025,1.109,0.974,0.932,1.011,1.018,0.979,1.034,1.008,1.111,0.964,1.028,0.985,1.012,1.093,0.98,1.038,0.896,0.98,1.045,1.003,3
その他,2231,1.087,0.987,1.035,0.996,1.012,0.977,1.014,1.089,0.896,0.987,1.022,1.039,1.006,0.929,1.033,0.947,1.008,1.088,1.028,1.008,1.006,0.887,0.982,1.025,1.0,0.991,1.015,1.059,0.981,1.0,0.982,1.013,4
その他,2232,1.037,1.021,0.933,0.958,0.989,0.968,1.004,1.016,1.071,1.062,1.04,1.032,1.0,0.955,1.023,1.005,1.075,1.021,1.028,0.943,0.974,1.004,0.909,0.995,0.997,1.019,1.006,1.087,1.056,1.047,1.038,1.018,5
その他,2233,1.03,1.086,0.991,0.997,1.061,1.021,0.957,0.981,1.098,0.987,0.981,1.046,1.004,0.929,0.949,0.9,1.039,0.953,1.015,0.9,1.071,0.971,1.0,1.022,1.015,0.947,1.097,1.033,1.021,1.037,0.953,1.015,5
その他,2234,1.035,1.021,0.978,1.071,1.095,0.968,1.012,1.04,1.014,1.036,1.002,1.008,0.922,0.99,1.052,1.02,1.053,1.115,0.935,1.01,1.037,0.976,0.957,1.006,0.901,1.012,1.034,0.925,0.971,1.015,0.941,1.019,5
その他,2235,0.994,1.014,1.012,0.997,0.99,1.011,1.058,1.01,0.986,0.97,0.959,1.071,0.994,0.952,1.061,0.984,0.988,0.977,0.968,0.98,1.021,0.977,1.031,1.037,1.061,0.942,0.984,0.952,0.977,1.028,0.986,1.007,4
その他,2236,1.114,1.023,0.99,1.097,1.087,0.964,0.995,1.058,1.09,0.981,0.969,0.991,0.952,1.02,0.992,0.954,1.025,0.973,0.994,0.98,1.037,0.956,0.97,0.918,0.904,0.93,0.917,0.94,1.0,1.086,0.92,1.007,6
その他,2237,1.034,1.018,0.97,1.022,0.948,1.017,1.019,0.938,0.985,1.069,1.05,1.019,1.027,0.996,0.97,1.033,1.053,1.055,1.007,1.04,0.96,1.054,1.032,0.954,0.962,1.009,1.018,0.974,0.945,0.939,1.083,1.017,6
その他,2238,1.044,0.984,1.035,1.032,1.047,0.89,0.959,1.043,0.962,1.068,0.991,1.037,1.028,1.031,0.978,0.933,1.064,1.0,1.013,1.035,0.884,0.955,1.0,0.961,1.038,0.961,1.064,1.052,0.996,1.066,0.831,1.015,5
その他,2239,0.983,1.041,1.01,1.022,0.985,0.924,0.995,0.996,0.934,1.02,1.023,1.066,1.036,0.985,1.024,0.963,0.986,1.078,1.006,1.021,0.994,0.994,1.004,0.94,0.895,1.025,0.951,0.987,0.922,1.047,0.924,1.004,2
その他,2240,1.005,0.932,1.042,1.016,1.028,0.989,1.016,0.945,0.915,0.987,0.959,1.102,0.968,0.941,1.018,0.995,1.0,0.978,0.971,0.983,1.028,0.957,1.034,0.96,1.044,1.081,1.006,0.982,1.004,1.077,0.905,1.006,3
その他,2241,0.993,0.941,1.007,0.91,1.006,0.893,1.066,0.923,1.058,0.956,1.013,0.852,1.016,1.033,0.98,1.046,1.008,1.009,0.953,0.989,0.943,1.022,0.943,0.958,0.976,0.986,0.988,1.128,1.041,0.986,0.993,0.999,3
その他,2242,1.055,1.027,1.014,1.023,1.029,0.979,0.948,1.076,1.08,1.038,1.056,1.04,1.037,1.07,0.987,1.007,0.988,1.073,1.027,1.033,1.034,0.996,0.971,1.005,1.017,0.857,1.039,0.959,0.986,1.036,0.993,1.02,6
その他,2243,1.047,0.936,1.048,1.008,1.073,0.997,0.979,1.0,0.954,0.956,0.945,0.927,1.039,0.984,0.971,1.066,1.042,0.978,1.007,1.027,1.042,0.976,0.979,0.984,1.015,0.997,0.968,0.924,0.963,1.004,0.928,1.002,2
その他,2244,0.979,1.021,1.033,1.022,1.005,1.03,1.03,1.114,0.954,0.905,1.027,1.046,0.915,0.96,1.056,1.019,0.995,0.973,1.019,0.967,1.027,0.986,1.035,1.0,1.005,1.042,0.972,0.955,1.005,1.072,0.92,1.013,3
その他,2245,0.984,1.024,0.934,1.0,1.056,1.051,0.969,0.987,1.061,0.944,1.069,0.937,1.031,1.111,1.072,0.925,1.053,1.002,1.043,1.054,0.883,0.997,0.962,0.969,1.054,1.03,1.03,1.07,0.975,0.988,0.987,1.02,10
その他,2246,1.009,1.04,0.951,1.009,1.039,0.988,0.982,0.89,0.998,1.027,1.066,1.083,1.025,1.003,1.032,0.973,1.024,0.988,0.986,1.045,1.006,1.056,0.916,0.989,0.951,1.03,0.962,1.0,0.983,1.06,0.984,1.01,4
その他,2247,1.035,1.004,1.005,0.991,1.009,1.009,1.0,0.995,0.959,1.025,0.91,1.008,1.0,0.956,1.057,1.072,1.032,0.926,0.982,0.998,1.035,1.035,0.972,1.054,1.083,0.952,1.08,0.959,0.982,0.993,1.006,1.01,5
その他,2248,1.011,1.101,1.0,1.003,0.972,0.948,1.015,1.01,0.993,1.047,1.125,1.01,0.963,0.997,1.088,0.996,1.051,1.058,0.81,1.005,0.98,1.054,1.044,1.015,0.983,0.987,0.939,0.981,1.0,1.026,0.958,1.015,6
その他,2249,0.976,1.067,1.026,1.003,1.106,1.011,0.988,1.004,1.012,1.008,0.939,1.062,0.929,1.009,0.928,1.033,0.98,1.044,0.964,1.006,1.005,0.937,0.919,0.984,0.947,0.947,1.023,1.055,1.042,1.058,1.0,1.008,5
その他,2250,1.066,0.975,0.948,0.97,1.031,0.987,1.048,0.973,1.097,1.042,1.042,1.048,0.821,0.944,1.031,1.009,1.064,1.109,1.028,1.051,1.025,0.907,0.968,1.002,1.062,1.0,1.02,0.882,1.0,1.013,1.028,1.018,6
