,,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE
date,,total,total,total,total,total,total,total,2025-06-26 00:00:00,2025-06-26 00:00:00,2025-06-26 00:00:00,2025-06-26 00:00:00,2025-06-26 00:00:00,2025-06-26 00:00:00,2025-06-26 00:00:00
area,unit_no,,,,,,,,,,,,,,
その他,1,0,-48,15,8,,0.0,0.0,0,-48,15,8,,0.0,0.0
その他,2,0,-476,2,2,,0.0,0.0,0,-476,2,2,,0.0,0.0
その他,3,0,-714,6,8,,0.0,0.0,0,-714,6,8,,0.0,0.0
その他,5,0,953,17,17,,0.0,0.0,0,953,17,17,,0.0,0.0
その他,6,0,-666,0,2,,0.0,0.0,0,-666,0,2,,0.0,0.0
その他,7,0,-619,8,6,,0.0,0.0,0,-619,8,6,,0.0,0.0
その他,8,0,2000,27,26,,0.0,0.0,0,2000,27,26,,0.0,0.0
その他,10,0,191,7,3,,0.0,0.0,0,191,7,3,,0.0,0.0
その他,11,0,715,22,15,,0.0,0.0,0,715,22,15,,0.0,0.0
その他,12,0,-190,11,6,,0.0,0.0,0,-190,11,6,,0.0,0.0
その他,13,0,-1762,10,16,,0.0,0.0,0,-1762,10,16,,0.0,0.0
その他,15,0,-809,2,1,,0.0,0.0,0,-809,2,1,,0.0,0.0
その他,16,0,-428,1,0,,,0.0,0,-428,1,0,,,0.0
その他,17,0,-238,5,4,,0.0,0.0,0,-238,5,4,,0.0,0.0
その他,18,0,-1142,3,4,,0.0,0.0,0,-1142,3,4,,0.0,0.0
その他,20,0,-428,2,1,,0.0,0.0,0,-428,2,1,,0.0,0.0
その他,21,0,238,13,10,,0.0,0.0,0,238,13,10,,0.0,0.0
その他,22,0,-619,3,3,,0.0,0.0,0,-619,3,3,,0.0,0.0
その他,23,0,-1000,6,7,,0.0,0.0,0,-1000,6,7,,0.0,0.0
その他,25,0,619,33,22,,0.0,0.0,0,619,33,22,,0.0,0.0
その他,26,0,-238,1,1,,0.0,0.0,0,-238,1,1,,0.0,0.0
その他,27,0,-476,6,3,,0.0,0.0,0,-476,6,3,,0.0,0.0
その他,28,0,-523,1,1,,0.0,0.0,0,-523,1,1,,0.0,0.0
その他,30,0,-714,8,13,,0.0,0.0,0,-714,8,13,,0.0,0.0
その他,31,0,3524,29,12,,0.0,0.0,0,3524,29,12,,0.0,0.0
その他,32,0,-142,0,0,,,,0,-142,0,0,,,
その他,33,0,-714,0,2,,0.0,0.0,0,-714,0,2,,0.0,0.0
その他,35,0,-142,28,11,,0.0,0.0,0,-142,28,11,,0.0,0.0
その他,36,0,524,20,15,,0.0,0.0,0,524,20,15,,0.0,0.0
その他,37,0,-190,3,2,,0.0,0.0,0,-190,3,2,,0.0,0.0
その他,38,0,-190,9,5,,0.0,0.0,0,-190,9,5,,0.0,0.0
その他,50,0,2334,18,16,,0.0,0.0,0,2334,18,16,,0.0,0.0
その他,51,0,286,8,5,,0.0,0.0,0,286,8,5,,0.0,0.0
その他,52,0,429,10,3,,0.0,0.0,0,429,10,3,,0.0,0.0
その他,53,0,-1619,5,11,,0.0,0.0,0,-1619,5,11,,0.0,0.0
その他,55,0,-952,3,2,,0.0,0.0,0,-952,3,2,,0.0,0.0
その他,56,0,-142,13,7,,0.0,0.0,0,-142,13,7,,0.0,0.0
その他,57,0,-1095,11,4,,0.0,0.0,0,-1095,11,4,,0.0,0.0
その他,58,0,-714,22,14,,0.0,0.0,0,-714,22,14,,0.0,0.0
その他,60,0,-285,3,1,,0.0,0.0,0,-285,3,1,,0.0,0.0
その他,61,0,-95,7,5,,0.0,0.0,0,-95,7,5,,0.0,0.0
その他,62,0,-238,6,1,,0.0,0.0,0,-238,6,1,,0.0,0.0
その他,63,0,-142,11,3,,0.0,0.0,0,-142,11,3,,0.0,0.0
その他,65,0,572,9,6,,0.0,0.0,0,572,9,6,,0.0,0.0
その他,66,0,191,9,5,,0.0,0.0,0,191,9,5,,0.0,0.0
その他,67,0,96,15,7,,0.0,0.0,0,96,15,7,,0.0,0.0
その他,68,0,-1000,3,5,,0.0,0.0,0,-1000,3,5,,0.0,0.0
その他,70,0,191,13,6,,0.0,0.0,0,191,13,6,,0.0,0.0
その他,71,0,-381,2,1,,0.0,0.0,0,-381,2,1,,0.0,0.0
その他,72,0,1477,23,14,,0.0,0.0,0,1477,23,14,,0.0,0.0
その他,73,0,-285,1,0,,,0.0,0,-285,1,0,,,0.0
その他,75,0,1477,30,19,,0.0,0.0,0,1477,30,19,,0.0,0.0
その他,76,0,-762,4,3,,0.0,0.0,0,-762,4,3,,0.0,0.0
その他,77,0,191,12,12,,0.0,0.0,0,191,12,12,,0.0,0.0
その他,78,0,96,11,10,,0.0,0.0,0,96,11,10,,0.0,0.0
その他,80,0,953,30,15,,0.0,0.0,0,953,30,15,,0.0,0.0
total,,0,-3121,577,401,,0.0,0.0,0,-3121,577,401,,0.0,0.0
