,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE
day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,total
area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
その他,,,,,,,,,,,0.927,,0.999,1.027,1.093,0.947,,,,,,,,,,,,,,,,1.012
アイムジャグラーEX-TP a,1.014,0.979,0.99,0.981,1.0,0.996,0.987,1.005,0.989,0.996,1.017,1.023,1.004,1.005,1.014,0.993,1.001,1.011,0.988,1.0,0.995,1.002,0.999,0.987,0.986,1.004,1.007,1.019,0.997,1.008,0.886,1.0
アイムジャグラーEX-TP b,0.977,0.936,0.945,0.97,0.984,0.963,1.001,1.02,1.003,1.015,0.971,1.005,0.988,1.016,0.978,0.995,0.976,1.02,1.007,0.991,0.996,0.951,1.018,1.01,1.057,0.988,0.957,1.004,0.99,1.009,0.822,0.99
ウルトラミラクルジャグラー,1.003,1.0,1.007,0.985,1.015,1.017,0.986,0.994,1.013,1.032,0.968,1.002,0.939,1.015,1.006,0.983,0.974,0.994,1.036,1.002,0.988,1.019,0.956,1.012,1.021,0.981,0.981,0.98,1.022,0.995,0.953,0.999
ゴーゴージャグラー3,0.981,0.998,0.981,0.995,0.992,0.988,0.984,0.995,1.013,1.015,0.994,0.997,1.007,1.002,0.981,0.992,0.997,0.98,1.007,1.001,0.99,0.996,0.988,1.003,1.017,0.983,1.023,0.996,1.005,1.006,0.976,0.997
ジャグラーガールズ,1.044,1.014,1.013,1.009,0.92,0.998,1.02,0.982,0.978,0.957,1.014,1.041,0.977,1.035,0.947,1.012,0.976,0.974,1.015,1.011,1.014,1.001,1.019,1.015,1.031,0.984,0.994,0.952,0.996,1.02,1.125,0.999
ハッピージャグラーVIII,1.0,1.025,1.006,0.994,1.03,0.997,1.039,1.004,1.007,1.017,1.001,0.962,0.974,1.031,0.988,1.026,0.997,0.999,1.035,0.985,0.972,0.993,1.002,0.998,0.982,1.0,0.982,0.981,0.974,1.0,0.913,0.999
ファンキージャグラー2,1.011,0.985,1.012,1.019,1.027,0.97,0.88,1.016,0.985,1.055,0.944,1.026,0.979,0.972,0.926,0.951,0.974,0.967,0.957,1.024,0.99,0.937,1.003,0.976,1.011,0.978,1.016,0.956,0.994,0.993,0.82,0.989
マイジャグラーV,1.001,0.978,0.994,0.988,0.992,0.991,1.026,1.012,0.984,0.984,0.999,1.0,1.008,1.011,1.01,0.999,0.994,1.017,1.003,0.995,1.0,0.996,1.002,1.005,1.018,0.993,1.001,1.008,1.009,1.039,1.035,1.002
ミスタージャグラー,1.036,1.024,1.016,1.008,1.006,1.004,0.999,0.988,1.016,0.957,1.009,1.007,0.988,0.988,0.991,0.98,0.987,1.033,1.001,1.005,1.004,0.929,0.97,0.958,0.962,0.979,0.986,0.964,1.017,1.012,1.056,0.995
total,1.002,0.988,0.992,0.99,0.997,0.992,1.007,1.005,0.996,1.0,0.997,1.005,0.999,1.009,0.998,0.995,0.992,1.005,1.004,0.999,0.995,0.99,0.997,0.999,1.011,0.991,1.001,1.001,1.003,1.018,0.977,0.999
