,,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE
date,,total,total,total,total,total,total,total,2025-05-23 00:00:00,2025-05-23 00:00:00,2025-05-23 00:00:00,2025-05-23 00:00:00,2025-05-23 00:00:00,2025-05-23 00:00:00,2025-05-23 00:00:00,2025-04-23 00:00:00,2025-04-23 00:00:00,2025-04-23 00:00:00,2025-04-23 00:00:00,2025-04-23 00:00:00,2025-04-23 00:00:00,2025-04-23 00:00:00,2025-03-23 00:00:00,2025-03-23 00:00:00,2025-03-23 00:00:00,2025-03-23 00:00:00,2025-03-23 00:00:00,2025-03-23 00:00:00,2025-03-23 00:00:00
area,unit_no,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アイムジャグラーEX-TP a,1,15094,1186,63,39,1.026,387.0,148.0,5549,2404,31,15,1.144,369.9,120.6,4721,-1361,13,11,0.904,429.2,196.7,4824,143,19,13,1.01,371.1,150.8
アイムジャグラーEX-TP a,2,10614,-1581,35,25,0.95,424.6,176.9,3887,336,16,11,1.029,353.4,144.0,4585,-934,14,10,0.932,458.5,191.0,2142,-983,5,4,0.847,535.5,238.0
アイムジャグラーEX-TP a,3,12999,-1397,39,48,0.964,270.8,149.4,6439,-129,20,30,0.993,214.6,128.8,2048,-870,5,5,0.858,409.6,204.8,4512,-398,14,13,0.971,347.1,167.1
アイムジャグラーEX-TP a,5,10645,-2124,29,30,0.933,354.8,180.4,1274,-1111,1,3,0.709,424.7,318.5,3834,111,13,12,1.01,319.5,153.4,5537,-1124,15,15,0.932,369.1,184.6
アイムジャグラーEX-TP a,6,9751,1389,46,22,1.047,443.2,143.4,1718,-449,6,2,0.913,859.0,214.8,5640,1303,27,16,1.077,352.5,131.2,2393,535,13,4,1.075,598.2,140.8
アイムジャグラーEX-TP a,7,14287,792,57,37,1.018,386.1,152.0,4950,-1440,15,11,0.903,450.0,190.4,4664,2172,25,12,1.155,388.7,126.1,4673,60,17,14,1.004,333.8,150.7
アイムジャグラーEX-TP a,8,9406,-2237,26,27,0.921,348.4,177.5,1573,-712,2,8,0.849,196.6,157.3,3742,-982,11,9,0.913,415.8,187.1,4091,-543,13,10,0.956,409.1,177.9
アイムジャグラーEX-TP a,10,14815,1683,60,51,1.038,290.5,133.5,5349,1767,22,29,1.11,184.4,104.9,4799,-799,16,14,0.945,342.8,160.0,4667,715,22,8,1.051,583.4,155.6
