,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE
day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,total
model_name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アイムジャグラーEX-TP,1.004,0.968,0.978,0.979,0.998,0.984,0.992,1.004,0.991,1.002,1.006,1.018,1.0,1.008,1.005,0.993,0.995,1.013,0.993,0.993,0.995,0.988,1.001,0.993,1.006,1.0,0.994,1.015,0.995,1.008,0.867,0.997
ウルトラミラクルジャグラー,1.016,0.979,1.007,1.007,0.99,1.033,0.927,0.993,1.031,1.032,1.001,1.002,0.942,1.009,0.983,0.955,0.974,0.977,1.038,1.027,0.996,0.985,0.976,1.023,1.017,1.011,0.985,0.938,1.02,1.0,0.953,0.999
ゴーゴージャグラー3,0.981,0.998,0.981,0.995,0.992,0.988,0.984,0.995,1.013,1.015,0.994,0.997,1.007,1.002,0.981,0.992,0.997,0.98,1.007,1.001,0.99,0.996,0.988,1.003,1.017,0.983,1.023,0.996,1.005,1.006,0.976,0.997
ジャグラーガールズ,1.026,0.93,1.013,1.037,0.921,0.982,1.041,0.982,0.994,0.957,0.991,1.041,0.978,0.997,0.967,1.006,0.976,0.981,1.003,1.005,0.988,1.023,1.037,1.034,1.031,0.999,1.021,0.974,0.996,1.02,1.125,1.001
ハッピージャグラーVIII,1.009,0.993,1.006,0.995,1.026,1.001,1.005,1.018,0.991,1.017,0.99,0.962,0.966,1.026,1.003,0.98,0.997,0.986,1.029,1.001,0.977,0.951,0.98,0.987,0.982,0.969,0.972,0.965,0.99,0.986,0.913,0.993
ファンキージャグラー2,1.015,1.075,1.012,0.984,1.037,0.982,0.989,0.992,0.997,1.055,0.958,1.026,0.995,1.018,0.926,1.043,0.974,0.98,0.992,1.014,1.012,0.969,1.004,0.968,1.011,0.981,1.023,0.953,0.994,0.993,0.82,0.999
マイジャグラーV,1.001,0.978,0.994,0.988,0.992,0.991,1.026,1.012,0.984,0.984,0.999,1.0,1.008,1.011,1.01,0.999,0.994,1.017,1.003,0.995,1.0,0.996,1.002,1.005,1.018,0.993,1.001,1.008,1.009,1.039,1.035,1.002
ミスタージャグラー,1.033,1.038,1.016,0.984,1.019,0.996,1.037,1.007,1.003,0.957,0.986,1.007,0.987,0.992,1.013,1.011,0.987,1.045,0.996,0.996,0.995,0.975,0.976,0.941,0.964,0.969,0.972,1.003,1.002,1.023,1.056,0.998
total,1.002,0.988,0.992,0.99,0.997,0.992,1.007,1.005,0.996,1.0,0.997,1.005,0.999,1.009,0.998,0.995,0.992,1.005,1.004,0.999,0.995,0.99,0.997,0.999,1.011,0.991,1.001,1.001,1.003,1.018,0.977,0.999
