,,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE
day,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,total,count_1.05+
アイムジャグラーEX-TP a,1,1.007,0.903,1.003,1.023,1.012,1.026,0.917,0.987,1.007,0.94,0.998,1.037,1.05,0.953,0.971,0.998,0.998,1.012,1.065,1.064,1.082,0.981,1.034,0.954,0.885,1.075,1.039,1.02,1.009,0.999,0.776,1.005,5
アイムジャグラーEX-TP a,2,0.976,0.871,1.054,0.927,0.995,0.987,1.023,1.085,1.052,1.002,1.118,1.036,0.969,1.02,1.022,1.024,1.03,1.006,0.97,0.953,1.016,1.032,0.976,0.94,1.005,1.064,1.204,0.965,1.054,1.002,0.929,1.017,7
アイムジャグラーEX-TP a,3,1.016,1.062,0.951,0.962,1.061,0.995,0.857,0.971,1.074,0.977,1.05,1.033,0.975,0.936,1.053,0.987,1.064,1.075,0.964,1.051,0.984,0.996,0.961,1.017,0.9,1.007,1.052,1.06,0.95,1.032,0.98,1.012,10
アイムジャグラーEX-TP a,5,0.996,0.941,0.973,1.004,0.997,0.999,1.041,1.036,1.058,1.054,1.003,0.983,0.958,0.982,0.921,0.905,0.999,1.005,0.87,0.995,0.916,0.977,0.935,0.976,1.008,0.915,0.946,1.114,0.993,0.981,1.099,0.99,4
アイムジャグラーEX-TP a,6,1.004,0.816,0.988,1.008,0.965,0.971,0.913,0.96,0.891,1.013,0.972,0.951,1.088,1.062,1.044,1.012,0.971,1.078,1.039,0.974,0.992,0.98,1.039,1.053,1.041,0.986,0.929,0.941,0.961,1.004,0.768,0.997,4
アイムジャグラーEX-TP a,7,1.011,0.816,0.973,0.958,1.013,1.07,0.862,1.018,0.911,1.007,0.955,0.997,0.999,1.016,1.085,0.994,1.019,1.012,1.03,1.003,0.866,1.083,1.025,0.963,0.926,0.977,0.889,0.998,1.015,1.093,0.921,1.003,4
アイムジャグラーEX-TP a,8,1.018,0.924,0.974,0.895,1.03,0.985,0.925,1.049,1.026,0.933,0.996,1.05,0.959,1.028,1.01,0.931,0.951,0.981,0.887,0.941,0.908,0.97,0.894,1.001,0.975,1.081,1.031,1.007,0.939,0.952,0.867,0.986,2
アイムジャグラーEX-TP a,10,0.918,1.099,1.01,0.968,0.982,1.026,1.099,1.016,0.87,1.008,0.967,1.047,0.943,0.99,0.987,1.007,1.013,1.003,0.998,1.0,0.978,1.042,1.032,0.95,1.062,0.986,1.021,1.08,1.04,1.022,0.71,1.006,4
アイムジャグラーEX-TP b,107,0.977,0.97,0.945,1.01,0.968,0.937,1.004,1.02,0.957,1.054,1.011,1.042,0.991,0.89,0.899,0.949,1.031,1.048,0.957,0.913,0.989,0.951,1.047,1.103,0.998,1.062,0.982,1.043,0.94,1.139,0.889,0.997,4
