,,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE
date,,total,total,total,total,total,total,total,2025-07-29 00:00:00,2025-07-29 00:00:00,2025-07-29 00:00:00,2025-07-29 00:00:00,2025-07-29 00:00:00,2025-07-29 00:00:00,2025-07-29 00:00:00,2025-06-29 00:00:00,2025-06-29 00:00:00,2025-06-29 00:00:00,2025-06-29 00:00:00,2025-06-29 00:00:00,2025-06-29 00:00:00,2025-06-29 00:00:00
area,unit_no,,,,,,,,,,,,,,,,,,,,,
その他,562,10362,1704,45,30,1.055,345.4,138.2,2575,-681,7,7,0.912,367.9,183.9,7787,2385,38,23,1.102,338.6,127.7
その他,563,13651,4379,69,34,1.107,401.5,132.5,7491,2820,39,21,1.125,356.7,124.8,6160,1559,30,13,1.084,473.8,143.3
その他,564,14623,610,52,55,1.014,265.9,136.7,9067,1861,35,43,1.068,210.9,116.2,5556,-1251,17,12,0.925,463.0,191.6
その他,565,8631,-1114,27,25,0.957,345.2,166.0,1325,-813,2,2,0.795,662.5,331.2,7306,-301,25,23,0.986,317.7,152.2
その他,566,11248,-298,41,32,0.991,351.5,154.1,5448,-360,20,13,0.978,419.1,165.1,5800,62,21,19,1.004,305.3,145.0
その他,567,9271,1864,36,47,1.067,197.3,111.7,799,-328,2,2,0.863,399.5,199.8,8472,2192,34,45,1.086,188.3,107.2
その他,568,18932,3622,75,78,1.064,242.7,123.7,9767,1814,38,41,1.062,238.2,123.6,9165,1808,37,37,1.066,247.7,123.9
その他,569,2989,-1514,6,6,0.831,498.2,249.1,583,-431,1,1,0.754,583.0,291.5,2406,-1083,5,5,0.85,481.2,240.6
その他,570,7746,-1085,29,12,0.953,645.5,188.9,4769,501,22,9,1.035,529.9,153.8,2977,-1586,7,3,0.822,992.3,297.7
その他,571,10060,2138,42,34,1.071,295.9,132.4,1254,-311,4,2,0.917,627.0,209.0,8806,2449,38,32,1.093,275.2,125.8
その他,572,9360,-2451,22,33,0.913,283.6,170.2,4963,-1486,10,21,0.9,236.3,160.1,4397,-965,12,12,0.927,366.4,183.2
