,hall_name,date,model_name,unit_no,game,BB,RB,medals,BB_rate,RB_rate,Grape_rate,Total_rate,month,day,weekday,year,unit_last,area,5more
0,楽園大山店,2025-06-30,ハッピージャグラーVIII,2626,5431,17,16,-904,319.5,339.4,0.0,164.6,2025-06,30,0,2025,6,g: HJV3,0.08
1,楽園大山店,2025-06-30,ハッピージャグラーVIII,2627,9043,35,46,3096,258.4,196.6,0.0,111.6,2025-06,30,0,2025,7,g: HJV3,0.98
2,楽園大山店,2025-06-30,ハッピージャグラーVIII,2628,2273,5,5,-1142,454.6,454.6,0.0,227.3,2025-06,30,0,2025,8,g: HJV3,0.0
3,楽園大山店,2025-06-30,マイジャグラーV,2630,7777,33,24,1238,235.7,324.0,5.79,136.4,2025-06,30,0,2025,0,b: MJV,0.32999999999999996
4,楽園大山店,2025-06-30,マイジャグラーV,2631,9128,31,33,-48,294.5,276.6,5.85,142.6,2025-06,30,0,2025,1,b: MJV,0.41
5,楽園大山店,2025-06-30,マイジャグラーV,2632,6106,21,19,-142,290.8,321.4,5.76,152.6,2025-06,30,0,2025,2,b: MJV,0.2
6,楽園大山店,2025-06-30,マイジャグラーV,2633,8913,31,36,1238,287.5,247.6,5.51,133.0,2025-06,30,0,2025,3,b: MJV,0.87
7,楽園大山店,2025-06-30,マイジャグラーV,2635,8483,45,33,4191,188.5,257.1,5.78,108.8,2025-06,30,0,2025,5,b: MJV,0.9299999999999999
8,楽園大山店,2025-06-30,マイジャグラーV,2636,7876,34,21,1000,231.6,375.0,5.84,143.2,2025-06,30,0,2025,6,b: MJV,0.13
9,楽園大山店,2025-06-30,マイジャグラーV,2637,6445,25,17,96,257.8,379.1,5.86,153.5,2025-06,30,0,2025,7,b: MJV,0.07
10,楽園大山店,2025-06-30,マイジャグラーV,2638,9095,31,35,429,293.4,259.9,5.73,137.8,2025-06,30,0,2025,8,b: MJV,0.61
11,楽園大山店,2025-06-30,マイジャグラーV,2650,8378,37,29,1810,226.4,288.9,5.88,126.9,2025-06,30,0,2025,0,c: MJV,0.56
12,楽園大山店,2025-06-30,マイジャグラーV,2651,6058,20,20,-619,302.9,302.9,6.04,151.4,2025-06,30,0,2025,1,c: MJV,0.16
13,楽園大山店,2025-06-30,マイジャグラーV,2652,5232,12,12,-2285,436.0,436.0,6.03,218.0,2025-06,30,0,2025,2,c: MJV,0.0
14,楽園大山店,2025-06-30,マイジャグラーV,2653,9711,37,38,1334,262.5,255.6,5.78,129.5,2025-06,30,0,2025,3,c: MJV,0.72
15,楽園大山店,2025-06-30,マイジャグラーV,2655,5986,19,17,-1000,315.1,352.1,6.0,166.3,2025-06,30,0,2025,5,c: MJV,0.04
16,楽園大山店,2025-06-30,マイジャグラーV,2656,8801,40,35,2524,220.0,251.5,5.92,117.3,2025-06,30,0,2025,6,c: MJV,0.81
17,楽園大山店,2025-06-30,マイジャグラーV,2657,8424,46,33,4858,183.1,255.3,5.6,106.6,2025-06,30,0,2025,7,c: MJV,0.98
