,,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE
date,,total,total,total,total,total,total,total,2025-07-29 00:00:00,2025-07-29 00:00:00,2025-07-29 00:00:00,2025-07-29 00:00:00,2025-07-29 00:00:00,2025-07-29 00:00:00,2025-07-29 00:00:00,2025-06-29 00:00:00,2025-06-29 00:00:00,2025-06-29 00:00:00,2025-06-29 00:00:00,2025-06-29 00:00:00,2025-06-29 00:00:00,2025-06-29 00:00:00,2025-05-29 00:00:00,2025-05-29 00:00:00,2025-05-29 00:00:00,2025-05-29 00:00:00,2025-05-29 00:00:00,2025-05-29 00:00:00,2025-05-29 00:00:00,2025-04-29 00:00:00,2025-04-29 00:00:00,2025-04-29 00:00:00,2025-04-29 00:00:00,2025-04-29 00:00:00,2025-04-29 00:00:00,2025-04-29 00:00:00,2025-03-29 00:00:00,2025-03-29 00:00:00,2025-03-29 00:00:00,2025-03-29 00:00:00,2025-03-29 00:00:00,2025-03-29 00:00:00,2025-03-29 00:00:00
area,unit_no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a: GJ3,2682,21512,3382,96,74,1.052,290.7,126.5,5418,2238,30,17,1.138,318.7,115.3,4710,-619,15,16,0.956,294.4,151.9,1308,-142,6,2,0.964,654.0,163.5,7959,2238,37,33,1.094,241.2,113.7,2117,-333,8,6,0.948,352.8,151.2
a: GJ3,2683,21247,-807,83,64,0.987,332.0,144.5,7967,810,31,32,1.034,249.0,126.5,5805,858,30,12,1.049,483.8,138.2,621,-333,2,0,0.821,,310.5,1593,-1714,2,1,0.641,1593.0,531.0,5261,-428,18,19,0.973,276.9,142.2
a: GJ3,2685,22657,-1714,84,70,0.975,323.7,147.1,2692,-48,10,8,0.994,336.5,149.6,3668,-762,13,7,0.931,524.0,183.4,5630,1238,28,18,1.073,312.8,122.4,4529,-952,15,13,0.93,348.4,161.8,6138,-1190,18,24,0.935,255.8,146.1
a: GJ3,2686,28043,-1093,105,87,0.987,322.3,146.1,6801,-428,25,20,0.979,340.0,151.1,7095,-904,23,24,0.958,295.6,151.0,504,-381,1,0,0.748,,504.0,6701,-95,30,12,0.995,558.4,159.5,6942,715,26,31,1.034,223.9,121.8
a: GJ3,2687,11685,-2474,37,36,0.929,324.6,160.1,858,-381,2,2,0.852,429.0,214.5,3267,-952,10,8,0.903,408.4,181.5,3437,1096,16,13,1.106,264.4,118.5,1244,-1047,1,4,0.719,311.0,248.8,2879,-1190,8,9,0.862,319.9,169.4
a: GJ3,2688,15721,194,64,40,1.004,393.0,151.2,1136,-142,5,2,0.958,568.0,162.3,2746,-142,11,6,0.983,457.7,161.5,5262,1096,23,18,1.069,292.3,128.3,3916,-428,16,7,0.964,559.4,170.3,2661,-190,9,7,0.976,380.1,166.3
a: GJ3,2700,17504,574,74,47,1.011,372.4,144.7,2475,-190,10,5,0.974,495.0,165.0,4226,572,21,10,1.045,422.6,136.3,646,-238,2,0,0.877,,323.0,2972,-428,9,11,0.952,270.2,148.6,7185,858,32,21,1.04,342.1,135.6
a: GJ3,2701,15876,-2569,51,53,0.946,299.5,152.7,767,-142,3,1,0.938,767.0,191.8,3730,-1238,7,17,0.889,219.4,155.4,7183,1096,32,26,1.051,276.3,123.8,1737,-1095,3,4,0.79,434.2,248.1,2459,-1190,6,5,0.839,491.8,223.5
b: MJV,2630,32383,3478,129,103,1.036,314.4,139.6,5100,715,25,8,1.047,637.5,154.5,7797,381,26,28,1.016,278.5,144.4,6160,-762,22,16,0.959,385.0,162.1,7367,2858,32,35,1.129,210.5,110.0,5959,286,24,16,1.016,372.4,149.0
b: MJV,2631,18230,-3808,54,49,0.93,372.0,177.0,1790,-1000,3,3,0.814,596.7,298.3,5228,-333,19,14,0.979,373.4,158.4,2769,-1047,7,6,0.874,461.5,213.0,6337,-714,20,21,0.962,301.8,154.6,2106,-714,5,5,0.887,421.2,210.6
b: MJV,2632,26139,-379,95,83,0.995,314.9,146.8,7562,-285,26,28,0.987,270.1,140.0,6285,1619,30,20,1.086,314.2,125.7,2236,-476,7,5,0.929,447.2,186.3,4361,-142,16,10,0.989,436.1,167.7,5695,-1095,16,20,0.936,284.8,158.2
b: MJV,2633,33020,4526,131,116,1.046,284.7,133.7,8301,2762,37,36,1.111,230.6,113.7,2948,-1142,8,5,0.871,589.6,226.8,8958,2191,34,40,1.082,224.0,121.1,5332,-95,21,14,0.994,380.9,152.3,7481,810,31,21,1.036,356.2,143.9
b: MJV,2635,33671,4098,139,100,1.041,336.7,140.9,3144,-1047,7,7,0.889,449.1,224.6,7936,-1190,24,28,0.95,283.4,152.6,7280,1334,32,21,1.061,346.7,137.4,7511,1810,37,17,1.08,441.8,139.1,7800,3191,39,27,1.136,288.9,118.2
b: MJV,2636,28635,3955,120,94,1.046,304.6,133.8,8290,2477,37,33,1.1,251.2,118.4,4795,96,18,14,1.007,342.5,149.8,3902,619,16,13,1.053,300.2,134.6,8026,1096,37,22,1.046,364.8,136.0,3622,-333,12,12,0.969,301.8,150.9
b: MJV,2637,26809,765,85,73,1.01,367.2,169.7,1481,-190,6,1,0.957,1481.0,211.6,9710,3334,42,40,1.114,242.8,118.4,4053,-666,0,0,0.945,,,5789,-1809,13,18,0.896,321.6,186.7,5776,96,24,14,1.006,412.6,152.0
b: MJV,2638,27377,2382,108,84,1.029,325.9,142.6,9498,1048,33,40,1.037,237.4,130.1,2863,-904,8,4,0.895,715.8,238.6,5347,-476,19,12,0.97,445.6,172.5,7321,2762,38,24,1.126,305.0,118.1,2348,-48,10,4,0.993,587.0,167.7
c: MJV,2650,24436,-2093,86,60,0.971,407.3,167.4,2371,-428,6,5,0.94,474.2,215.5,5195,-95,22,10,0.994,519.5,162.3,2137,-190,9,2,0.97,1068.5,194.3,7381,-809,23,24,0.963,307.5,157.0,7352,-571,26,19,0.974,386.9,163.4
c: MJV,2651,33757,2621,121,126,1.026,267.9,136.7,5057,-428,17,16,0.972,316.1,153.2,8811,2334,39,29,1.088,303.8,129.6,9147,1667,34,42,1.061,217.8,120.4,7914,381,25,33,1.016,239.8,136.4,2828,-1333,6,6,0.843,471.3,235.7
c: MJV,2652,30798,3716,123,105,1.04,293.3,135.1,6505,2048,31,23,1.105,282.8,120.5,6879,667,24,30,1.032,229.3,127.4,7410,1524,34,19,1.069,390.0,139.8,6144,-142,22,19,0.992,323.4,149.9,3860,-381,12,14,0.967,275.7,148.5
c: MJV,2653,39413,6335,162,136,1.054,289.8,132.3,7540,1477,33,24,1.065,314.2,132.3,8352,1191,36,23,1.048,363.1,141.6,8694,1619,35,35,1.062,248.4,124.2,9442,3381,44,35,1.119,269.8,119.5,5385,-1333,14,19,0.917,283.4,163.2
c: MJV,2655,24520,-903,96,58,0.988,422.8,159.2,4514,524,21,7,1.039,644.9,161.2,3952,-1571,8,10,0.867,395.2,219.6,4370,-285,16,13,0.978,336.2,150.7,4441,-714,15,12,0.946,370.1,164.5,7243,1143,36,16,1.053,452.7,139.3
