,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE
day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,total
model_name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アイムジャグラーEX-TP,1.001,1.039,1.045,1.034,1.034,1.045,0.993,1.015,1.03,1.023,1.012,1.028,1.031,1.029,1.03,1.022,1.018,1.018,1.027,1.02,1.007,1.019,0.994,1.04,1.04,1.01,1.03,1.026,0.992,1.01,1.042,1.024
ウルトラミラクルジャグラー,1.041,1.022,1.016,0.987,1.021,1.027,1.015,0.995,0.982,1.041,1.024,0.958,0.974,1.018,1.035,1.013,1.046,0.991,0.993,1.047,0.959,1.023,1.012,1.022,1.035,1.015,1.015,0.983,1.021,1.022,0.98,1.014
ゴーゴージャグラー3,1.016,0.995,1.005,0.992,1.033,1.007,1.023,0.997,1.023,1.01,1.024,1.01,1.004,1.01,1.005,0.99,1.007,1.002,0.986,0.993,0.989,1.03,0.992,1.001,1.005,1.006,1.021,1.029,0.987,1.001,1.028,1.009
ハッピージャグラーVIII,1.0,1.028,1.006,1.0,1.065,1.014,1.029,0.999,1.01,1.02,1.02,0.973,0.998,0.985,1.014,1.006,0.981,0.998,0.985,0.982,1.008,1.011,1.012,1.007,1.005,1.038,1.018,1.005,1.07,1.033,1.02,1.012
ファンキージャグラー2,1.016,1.0,0.995,0.995,1.032,1.005,1.017,0.993,1.007,0.986,1.031,1.013,1.014,0.981,1.038,1.0,1.008,1.036,0.998,1.023,1.022,1.017,0.998,0.985,1.025,0.998,1.03,1.008,0.979,0.997,1.014,1.01
マイジャグラーV,1.024,1.005,1.023,1.024,1.021,1.014,1.011,0.993,1.01,1.019,1.014,0.994,0.994,1.015,1.029,1.012,1.009,1.012,1.006,1.014,1.001,1.008,1.013,1.02,1.022,1.023,1.002,1.001,1.012,1.001,1.017,1.012
ミスタージャグラー,1.044,1.022,1.015,1.0,1.012,1.01,1.04,0.993,1.013,1.023,1.026,0.972,0.988,1.022,1.032,1.006,1.04,1.014,1.001,1.003,1.014,1.042,1.033,1.001,1.044,1.031,1.014,1.045,0.999,1.062,1.066,1.023
total,1.02,1.011,1.019,1.014,1.027,1.016,1.015,0.997,1.013,1.016,1.019,1.0,1.002,1.011,1.027,1.009,1.013,1.013,1.004,1.013,1.002,1.017,1.008,1.015,1.024,1.017,1.013,1.011,1.006,1.008,1.023,1.014
