,,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE
day,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,total,count_1.05+
a: GJ3,2682,1.052,0.978,0.965,0.986,1.071,0.957,1.042,0.981,0.977,1.02,1.03,0.996,1.002,0.971,0.979,0.982,0.984,1.053,0.953,1.007,0.981,1.001,0.926,1.035,1.014,0.978,0.979,1.077,1.052,0.959,1.049,1.006,5
a: GJ3,2683,1.042,0.97,1.028,0.978,0.994,1.038,0.988,1.058,1.066,0.884,1.046,0.955,0.976,0.989,0.905,0.988,0.928,1.053,0.947,1.001,1.014,1.007,0.96,1.016,0.983,0.983,0.977,0.992,0.987,1.037,0.958,1.0,3
a: GJ3,2685,0.956,1.025,0.998,1.014,1.047,1.026,0.986,1.0,1.049,1.022,1.068,1.006,0.965,1.052,1.011,1.012,1.091,1.028,0.993,1.005,0.929,1.047,1.009,0.944,1.041,1.009,0.987,1.095,0.975,1.003,1.094,1.02,5
a: GJ3,2686,1.019,0.851,0.969,1.019,1.04,1.066,1.003,1.037,0.979,0.963,0.97,1.023,1.017,1.039,1.053,0.956,0.959,0.975,1.01,0.956,0.955,1.044,1.0,0.975,1.006,0.937,1.011,1.048,0.987,1.019,1.05,1.007,3
a: GJ3,2687,0.995,1.069,1.021,1.017,0.996,1.046,1.021,1.038,0.977,0.96,1.006,0.987,1.059,1.043,1.064,1.04,1.068,0.921,1.003,0.896,0.983,1.057,0.904,0.873,0.988,0.992,0.98,0.97,0.929,1.04,0.998,1.013,5
a: GJ3,2688,1.044,0.983,0.929,1.024,0.987,0.99,1.033,1.014,0.999,0.859,0.978,1.022,1.015,1.024,1.042,1.01,1.03,0.963,1.003,1.015,1.016,0.999,1.0,0.956,1.067,1.022,1.043,0.999,1.004,1.028,1.031,1.011,1
a: GJ3,2700,0.996,0.983,1.009,0.994,1.019,1.019,0.98,1.018,1.045,1.007,0.974,0.987,1.031,0.972,1.066,0.957,0.978,1.025,0.957,0.978,1.005,1.045,0.946,1.061,0.975,0.992,1.07,1.008,1.011,0.962,1.054,1.007,4
a: GJ3,2701,1.037,0.998,0.999,1.051,1.002,1.024,0.997,0.961,0.941,1.105,0.913,1.125,0.968,1.003,0.978,0.986,1.011,0.985,0.957,1.016,1.074,0.964,1.082,0.997,0.999,1.038,0.985,1.069,0.946,1.018,1.018,1.012,6
b: MJV,2630,1.038,1.031,1.043,1.0,1.033,1.007,1.051,1.055,1.072,1.059,0.971,1.054,0.991,0.981,1.012,1.028,1.017,1.012,1.049,0.998,0.981,0.992,1.052,1.003,0.992,1.076,0.991,0.991,1.036,1.011,1.0,1.023,7
