,,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE
date,,total,total,total,total,total,total,total,2025-04-25 00:00:00,2025-04-25 00:00:00,2025-04-25 00:00:00,2025-04-25 00:00:00,2025-04-25 00:00:00,2025-04-25 00:00:00,2025-04-25 00:00:00,2025-02-25 00:00:00,2025-02-25 00:00:00,2025-02-25 00:00:00,2025-02-25 00:00:00,2025-02-25 00:00:00,2025-02-25 00:00:00,2025-02-25 00:00:00,2025-01-25 00:00:00,2025-01-25 00:00:00,2025-01-25 00:00:00,2025-01-25 00:00:00,2025-01-25 00:00:00,2025-01-25 00:00:00,2025-01-25 00:00:00,2024-12-25 00:00:00,2024-12-25 00:00:00,2024-12-25 00:00:00,2024-12-25 00:00:00,2024-12-25 00:00:00,2024-12-25 00:00:00,2024-12-25 00:00:00,2024-11-25 00:00:00,2024-11-25 00:00:00,2024-11-25 00:00:00,2024-11-25 00:00:00,2024-11-25 00:00:00,2024-11-25 00:00:00,2024-11-25 00:00:00
area,unit_no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
その他,408,29150,818,103,96,1.009,303.6,146.5,8225.0,541.0,29.0,26.0,1.022,316.3,149.5,9101.0,2535.0,40.0,32.0,1.093,284.4,126.4,7114.0,398.0,26.0,26.0,1.019,273.6,136.8,2627.0,-1316.0,5.0,7.0,0.833,375.3,218.9,2083.0,-1340.0,3.0,5.0,0.786,416.6,260.4
その他,409,26004,5093,118,78,1.065,333.4,132.7,8388.0,4081.0,48.0,28.0,1.162,299.6,110.4,1754.0,-285.0,6.0,3.0,0.946,584.7,194.9,4414.0,-438.0,15.0,8.0,0.967,551.8,191.9,6957.0,91.0,24.0,28.0,1.004,248.5,133.8,4491.0,1644.0,25.0,11.0,1.122,408.3,124.8
その他,410,27092,1263,110,79,1.016,342.9,143.3,5462.0,-564.0,21.0,11.0,0.966,496.5,170.7,4983.0,192.0,19.0,17.0,1.013,293.1,138.4,8710.0,711.0,37.0,24.0,1.027,362.9,142.8,5489.0,440.0,21.0,21.0,1.027,261.4,130.7,2448.0,484.0,12.0,6.0,1.066,408.0,136.0
その他,411,12076,-2638,41,22,0.927,548.9,191.7,3493.0,-750.0,12.0,4.0,0.928,873.2,218.3,2372.0,-564.0,6.0,7.0,0.921,338.9,182.5,4794.0,-55.0,21.0,9.0,0.996,532.7,159.8,699.0,-472.0,1.0,2.0,0.775,349.5,233.0,718.0,-797.0,1.0,0.0,0.63,,718.0
その他,412,25074,601,96,73,1.008,343.5,148.4,3476.0,785.0,16.0,13.0,1.075,267.4,119.9,8812.0,1663.0,37.0,32.0,1.063,275.4,127.7,6268.0,-656.0,22.0,13.0,0.965,482.2,179.1,2485.0,-1018.0,6.0,6.0,0.863,414.2,207.1,4033.0,-173.0,15.0,9.0,0.986,448.1,168.0
その他,413,25548,6839,125,69,1.089,370.3,131.7,2422.0,-1105.0,4.0,7.0,0.848,346.0,220.2,9251.0,7116.0,63.0,27.0,1.256,342.6,102.8,5541.0,-205.0,21.0,14.0,0.988,395.8,158.3,6556.0,838.0,28.0,18.0,1.043,364.2,142.5,1778.0,195.0,9.0,3.0,1.037,592.7,148.2
その他,414,24115,-43,84,83,0.999,290.5,144.4,8626.0,1081.0,32.0,36.0,1.042,239.6,126.9,1393.0,-657.0,3.0,3.0,0.843,464.3,232.2,3834.0,-1026.0,13.0,7.0,0.911,547.7,191.7,2469.0,-1234.0,5.0,3.0,0.833,823.0,308.6,7793.0,1793.0,31.0,34.0,1.077,229.2,119.9
その他,415,22203,4360,95,80,1.065,277.5,126.9,3542.0,99.0,15.0,7.0,1.009,506.0,161.0,7350.0,3651.0,39.0,34.0,1.166,216.2,100.7,7947.0,602.0,26.0,35.0,1.025,227.1,130.3,2488.0,72.0,11.0,4.0,1.01,622.0,165.9,876.0,-64.0,4.0,0.0,0.976,,219.0
