,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE
day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,total
model_name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アイムジャグラーEX-TP,0.974,0.976,0.988,1.012,0.994,0.974,1.001,0.984,0.985,0.995,1.005,0.982,1.018,1.001,0.99,1.002,0.998,0.995,0.997,0.987,0.989,0.992,0.995,0.985,0.981,0.97,0.979,0.974,0.982,0.975,0.962,0.99
ウルトラミラクルジャグラー,0.988,0.945,1.056,0.996,0.982,0.953,0.962,1.01,0.952,0.99,0.965,0.958,0.986,0.972,1.005,0.972,0.988,1.006,0.899,1.005,0.993,0.953,0.977,0.976,1.003,0.98,0.923,1.009,0.983,1.015,0.988,0.981
ゴーゴージャグラー3,0.966,0.997,0.957,1.002,1.016,1.007,0.988,0.999,0.942,0.98,0.987,0.991,0.998,0.99,1.014,0.978,1.012,0.978,0.991,0.975,0.996,0.992,0.98,1.017,0.996,0.989,0.95,0.975,0.957,0.995,0.98,0.99
ジャグラーガールズ,0.959,0.98,1.006,0.963,0.963,0.986,0.941,0.98,0.945,0.963,0.97,0.968,0.959,0.994,1.0,0.985,0.998,0.953,0.978,0.991,0.996,0.921,1.012,0.941,0.966,0.991,1.039,0.966,1.002,0.892,0.928,0.976
ハッピージャグラーVIII,0.981,0.962,0.983,0.969,0.974,0.988,0.971,0.927,0.936,0.945,0.961,0.982,0.948,0.955,0.996,0.94,0.98,0.966,0.945,0.965,0.938,0.934,0.96,0.933,0.981,0.995,0.967,0.942,0.957,0.996,0.972,0.965
ファンキージャグラー2,0.96,0.97,0.988,0.999,0.996,0.932,0.981,0.986,0.99,0.965,0.957,1.008,0.971,0.988,0.998,0.968,0.946,0.958,0.96,0.971,0.98,0.988,0.959,0.988,0.986,0.973,1.001,0.959,0.991,0.976,0.95,0.976
マイジャグラーV,1.014,0.995,1.004,0.993,1.007,1.008,0.998,0.993,0.993,0.997,1.017,0.999,1.019,1.003,1.002,0.991,1.006,0.99,0.996,1.007,0.992,0.983,1.013,0.995,1.01,0.998,0.999,0.991,0.979,0.983,1.008,1.001
ミスタージャグラー,,,,,,,,,,,,,,,,,,,,1.054,0.991,0.948,1.025,0.988,,,,,,,,1.009
total,0.99,0.985,0.994,0.998,1.0,0.992,0.992,0.989,0.982,0.989,1.001,0.991,1.007,0.996,1.0,0.988,0.998,0.986,0.988,0.995,0.989,0.982,0.998,0.989,0.996,0.987,0.987,0.979,0.978,0.982,0.986,0.992
