,,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE
date,,total,total,total,total,total,total,total,2025-06-26 00:00:00,2025-06-26 00:00:00,2025-06-26 00:00:00,2025-06-26 00:00:00,2025-06-26 00:00:00,2025-06-26 00:00:00,2025-06-26 00:00:00
area,unit_no,,,,,,,,,,,,,,
その他,408,6628,-360,27,13,0.982,509.8,165.7,6628,-360,27,13,0.982,509.8,165.7
その他,409,3086,-936,9,5,0.899,617.2,220.4,3086,-936,9,5,0.899,617.2,220.4
その他,410,1602,-762,5,1,0.841,1602.0,267.0,1602,-762,5,1,0.841,1602.0,267.0
その他,411,2497,-610,8,3,0.919,832.3,227.0,2497,-610,8,3,0.919,832.3,227.0
その他,412,4236,-1314,14,6,0.897,706.0,211.8,4236,-1314,14,6,0.897,706.0,211.8
その他,413,1187,-1035,2,0,0.709,,593.5,1187,-1035,2,0,0.709,,593.5
その他,414,4539,308,18,15,1.023,302.6,137.5,4539,308,18,15,1.023,302.6,137.5
その他,415,1585,-494,5,3,0.896,528.3,198.1,1585,-494,5,3,0.896,528.3,198.1
その他,416,9470,1977,40,36,1.07,263.1,124.6,9470,1977,40,36,1.07,263.1,124.6
その他,417,2584,424,12,5,1.055,516.8,152.0,2584,424,12,5,1.055,516.8,152.0
その他,418,2566,1733,15,11,1.225,233.3,98.7,2566,1733,15,11,1.225,233.3,98.7
その他,419,1683,-517,6,2,0.898,841.5,210.4,1683,-517,6,2,0.898,841.5,210.4
その他,420,5597,-81,21,11,0.995,508.8,174.9,5597,-81,21,11,0.995,508.8,174.9
その他,421,3122,-413,11,9,0.956,346.9,156.1,3122,-413,11,9,0.956,346.9,156.1
その他,422,293,-390,0,0,0.556,,,293,-390,0,0,0.556,,
その他,423,7948,2023,34,30,1.085,264.9,124.2,7948,2023,34,30,1.085,264.9,124.2
その他,424,881,-355,2,3,0.866,293.7,176.2,881,-355,2,3,0.866,293.7,176.2
その他,425,1287,-297,4,3,0.923,429.0,183.9,1287,-297,4,3,0.923,429.0,183.9
その他,426,5674,2163,33,10,1.127,567.4,132.0,5674,2163,33,10,1.127,567.4,132.0
その他,427,916,-913,0,1,0.668,916.0,916.0,916,-913,0,1,0.668,916.0,916.0
その他,428,2278,145,10,4,1.021,569.5,162.7,2278,145,10,4,1.021,569.5,162.7
その他,429,1755,-99,7,3,0.981,585.0,175.5,1755,-99,7,3,0.981,585.0,175.5
その他,430,344,-366,0,1,0.645,344.0,344.0,344,-366,0,1,0.645,344.0,344.0
その他,431,6325,1407,28,23,1.074,275.0,124.0,6325,1407,28,23,1.074,275.0,124.0
その他,432,3561,-52,16,5,0.995,712.2,169.6,3561,-52,16,5,0.995,712.2,169.6
その他,433,1482,-541,4,3,0.878,494.0,211.7,1482,-541,4,3,0.878,494.0,211.7
その他,434,6817,1500,30,28,1.073,243.5,117.5,6817,1500,30,28,1.073,243.5,117.5
その他,435,3030,-1058,8,7,0.884,432.9,202.0,3030,-1058,8,7,0.884,432.9,202.0
その他,436,3296,-227,10,13,0.977,253.5,143.3,3296,-227,10,13,0.977,253.5,143.3
その他,437,3452,-1128,9,10,0.891,345.2,181.7,3452,-1128,9,10,0.891,345.2,181.7
その他,438,1082,-29,4,4,0.991,270.5,135.2,1082,-29,4,4,0.991,270.5,135.2
その他,439,1685,-634,5,4,0.875,421.2,187.2,1685,-634,5,4,0.875,421.2,187.2
その他,440,2235,657,10,5,1.098,447.0,149.0,2235,657,10,5,1.098,447.0,149.0
その他,441,1095,-552,3,2,0.832,547.5,219.0,1095,-552,3,2,0.832,547.5,219.0
その他,442,1123,-390,4,0,0.884,,280.8,1123,-390,4,0,0.884,,280.8
その他,443,2345,-390,7,6,0.945,390.8,180.4,2345,-390,7,6,0.945,390.8,180.4
その他,504,3231,-238,12,9,0.975,359.0,153.9,3231,-238,12,9,0.975,359.0,153.9
その他,505,392,-273,1,0,0.768,,392.0,392,-273,1,0,0.768,,392.0
その他,506,2961,145,12,6,1.016,493.5,164.5,2961,145,12,6,1.016,493.5,164.5
その他,507,2122,-692,7,3,0.891,707.3,212.2,2122,-692,7,3,0.891,707.3,212.2
その他,508,1656,-169,6,2,0.966,828.0,207.0,1656,-169,6,2,0.966,828.0,207.0
その他,509,1722,-901,3,5,0.826,344.4,215.2,1722,-901,3,5,0.826,344.4,215.2
その他,510,2580,-203,9,6,0.974,430.0,172.0,2580,-203,9,6,0.974,430.0,172.0
その他,511,657,-680,0,1,0.655,657.0,657.0,657,-680,0,1,0.655,657.0,657.0
その他,512,744,390,5,0,1.175,,148.8,744,390,5,0,1.175,,148.8
その他,513,2520,-948,6,7,0.875,360.0,193.8,2520,-948,6,7,0.875,360.0,193.8
その他,514,6837,331,26,28,1.016,244.2,126.6,6837,331,26,28,1.016,244.2,126.6
その他,515,2540,-1151,4,8,0.849,317.5,211.7,2540,-1151,4,8,0.849,317.5,211.7
その他,516,2187,-424,8,2,0.935,1093.5,218.7,2187,-424,8,2,0.935,1093.5,218.7
その他,517,8357,1128,33,28,1.045,298.5,137.0,8357,1128,33,28,1.045,298.5,137.0
その他,518,5140,157,20,14,1.01,367.1,151.2,5140,157,20,14,1.01,367.1,151.2
その他,519,3468,105,15,7,1.01,495.4,157.6,3468,105,15,7,1.01,495.4,157.6
その他,520,8408,2163,38,29,1.086,289.9,125.5,8408,2163,38,29,1.086,289.9,125.5
その他,521,5709,1326,27,16,1.077,356.8,132.8,5709,1326,27,16,1.077,356.8,132.8
その他,522,2686,610,12,7,1.076,383.7,141.4,2686,610,12,7,1.076,383.7,141.4
その他,523,2792,-785,8,5,0.906,558.4,214.8,2792,-785,8,5,0.906,558.4,214.8
その他,524,5431,616,22,19,1.038,285.8,132.5,5431,616,22,19,1.038,285.8,132.5
total,,181426,-1099,695,487,0.998,372.5,153.5,181426,-1099,695,487,0.998,372.5,153.5
