,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE
day,1,2,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,total
model_name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アイムジャグラーEX-TP,1.019,0.982,1.004,0.998,0.991,0.989,1.056,0.987,0.998,0.991,1.017,1.0,1.008,0.989,1.002,0.96,1.011,0.988,0.979,0.982,0.978,0.948,1.009,0.979,0.998,0.971,0.989,0.999,0.997
ウルトラミラクルジャグラー,1.027,1.015,0.943,0.911,0.995,0.905,0.997,0.983,0.943,0.958,0.958,1.046,0.933,1.094,0.925,0.741,0.959,0.994,0.885,1.137,1.064,1.0,1.023,0.925,0.996,1.067,1.002,1.038,0.988
ゴーゴージャグラー3,1.024,0.894,0.946,0.964,1.009,1.023,1.032,0.997,0.993,1.006,0.96,0.979,1.044,1.007,0.989,1.001,0.969,0.912,0.999,1.06,0.991,0.94,1.04,0.977,0.893,0.975,0.987,1.007,0.994
ジャグラーガールズ,0.917,0.991,1.065,0.913,1.062,0.926,0.964,0.944,1.024,0.987,0.934,0.951,0.972,0.938,0.946,0.96,0.912,1.02,1.064,1.065,1.054,0.932,0.97,1.095,0.938,1.056,0.958,1.011,0.99
ハッピージャグラーVIII,1.003,0.841,1.02,1.016,0.994,0.976,0.932,1.006,0.976,0.957,0.979,1.017,0.988,0.856,0.895,0.961,1.018,0.969,0.913,0.942,1.037,0.961,0.951,0.969,0.835,0.897,0.915,1.045,0.975
ファンキージャグラー2,1.019,0.93,1.009,1.042,0.925,1.054,0.956,0.971,0.999,1.042,0.918,1.003,0.956,0.994,0.978,0.897,0.953,0.96,1.036,1.08,0.981,0.92,0.973,1.041,0.975,1.012,0.964,1.017,0.993
マイジャグラーV,1.026,1.017,1.028,0.99,0.985,0.992,0.995,1.003,0.998,0.987,1.001,1.019,1.019,0.991,0.993,0.995,1.038,1.026,0.982,0.994,1.004,1.031,0.999,1.004,0.969,1.055,1.006,0.995,1.006
ミスタージャグラー,0.979,0.905,1.03,0.864,1.017,0.972,1.014,0.972,1.004,0.957,1.12,1.07,0.989,1.006,0.904,0.812,0.943,1.068,0.966,0.936,0.812,0.893,0.888,1.052,1.007,0.997,1.004,0.936,0.995
total,1.019,0.988,1.009,0.988,0.991,0.996,1.012,0.994,0.996,0.991,0.999,1.01,1.009,0.992,0.986,0.971,1.013,1.001,0.984,1.009,0.997,0.989,0.999,0.998,0.966,1.015,0.993,1.001,0.999
