,,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE
day,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,total,count_1.05+
その他,408,1.051,1.046,1.027,0.982,0.986,1.029,1.008,0.957,0.986,0.92,0.996,0.986,0.951,1.026,1.008,0.933,1.017,0.947,0.998,1.061,0.907,0.925,1.032,0.966,1.027,0.953,0.978,0.965,0.924,0.956,1.012,0.993,2
その他,409,1.055,0.955,1.053,0.993,0.989,1.049,1.004,0.931,0.934,0.979,1.01,1.01,0.964,1.104,1.014,0.993,0.994,1.025,1.06,0.988,0.988,0.984,1.059,1.007,1.053,1.027,1.069,0.949,0.96,0.935,1.066,1.01,8
その他,410,1.028,0.998,1.002,0.951,1.039,1.054,0.975,0.98,1.015,0.939,1.05,0.955,1.071,1.052,0.961,0.923,0.985,1.009,1.07,1.004,0.957,1.03,1.055,1.013,1.011,0.965,1.011,0.918,0.953,0.978,1.023,1.005,6
その他,411,0.981,0.939,1.041,1.044,0.974,1.056,1.061,0.961,0.957,0.973,1.049,1.02,0.984,0.952,0.973,1.024,0.953,0.995,0.979,1.065,0.969,0.971,1.082,0.94,0.946,0.919,1.016,0.988,0.931,1.079,0.981,1.001,5
その他,412,0.991,0.994,0.953,0.989,1.038,1.035,0.972,0.976,0.981,0.979,1.04,1.053,1.051,0.968,0.936,0.953,1.025,1.062,0.982,1.046,0.987,0.947,1.048,1.035,1.012,1.081,1.053,1.036,1.007,1.0,0.995,1.011,5
その他,413,1.035,0.886,1.0,1.027,0.865,0.988,0.965,0.972,0.909,0.982,0.988,0.98,1.025,0.965,1.06,1.065,1.025,0.981,0.931,0.984,1.063,0.967,0.942,0.905,1.093,0.929,0.879,0.984,1.026,0.909,0.913,0.99,4
その他,414,0.966,1.007,0.95,0.969,1.024,1.019,0.978,1.018,1.008,0.963,1.03,0.998,1.079,0.972,1.045,0.976,1.031,1.038,0.985,0.945,0.984,0.986,0.938,1.132,0.963,1.047,1.045,1.011,1.052,0.961,1.021,1.011,3
その他,415,1.022,0.966,0.999,0.985,1.038,1.086,0.98,0.928,1.01,0.989,0.946,1.0,1.052,1.024,0.972,0.965,0.954,1.019,1.005,0.961,1.033,0.998,0.967,0.974,1.069,1.018,0.959,1.071,0.92,1.006,0.969,1.003,4
その他,416,1.009,0.967,0.92,0.896,0.991,1.041,0.964,0.997,0.953,0.978,1.033,0.954,0.984,1.019,0.978,1.0,1.014,1.011,0.961,0.978,0.979,0.98,0.99,1.035,0.969,1.007,1.005,0.992,0.935,1.053,0.884,0.992,1
その他,417,0.967,1.004,0.936,1.039,1.025,0.94,0.971,0.946,1.001,1.057,1.076,0.985,1.01,0.951,0.898,0.905,0.985,0.896,1.012,1.038,0.95,0.895,1.003,0.943,1.005,1.034,1.058,0.969,0.909,0.894,1.103,0.991,4
その他,418,0.963,1.052,1.075,0.946,0.98,1.003,0.927,1.004,1.002,0.952,0.948,0.994,0.949,1.043,1.01,0.919,1.068,0.92,0.983,0.96,1.014,0.969,1.085,0.839,1.003,0.975,0.962,0.978,0.988,0.938,1.02,0.991,4
