,,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE
date,,total,total,total,total,total,2025-05-11 00:00:00,2025-05-11 00:00:00,2025-05-11 00:00:00,2025-05-11 00:00:00,2025-05-11 00:00:00,2025-04-11 00:00:00,2025-04-11 00:00:00,2025-04-11 00:00:00,2025-04-11 00:00:00,2025-04-11 00:00:00,2025-03-11 00:00:00,2025-03-11 00:00:00,2025-03-11 00:00:00,2025-03-11 00:00:00,2025-03-11 00:00:00,2025-02-11 00:00:00,2025-02-11 00:00:00,2025-02-11 00:00:00,2025-02-11 00:00:00,2025-02-11 00:00:00,2025-01-11 00:00:00,2025-01-11 00:00:00,2025-01-11 00:00:00,2025-01-11 00:00:00,2025-01-11 00:00:00,2024-12-11 00:00:00,2024-12-11 00:00:00,2024-12-11 00:00:00,2024-12-11 00:00:00,2024-12-11 00:00:00,2024-11-11 00:00:00,2024-11-11 00:00:00,2024-11-11 00:00:00,2024-11-11 00:00:00,2024-11-11 00:00:00
area,unit_no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a: アイムジャグラーEX-TP,663,9125,-1510,0.945,380.2,172.2,940.0,-552.0,0.804,470.0,235.0,351.0,-110.0,0.896,351.0,175.5,4752.0,-645.0,0.955,365.5,169.7,3082.0,-203.0,0.978,385.2,162.2,,,,,,,,,,,,,,,
a: アイムジャグラーEX-TP,664,4888,-489,0.967,444.4,168.6,1038.0,-320.0,0.897,346.0,173.0,663.0,-157.0,0.921,331.5,165.8,497.0,-157.0,0.895,165.7,124.2,2690.0,145.0,1.018,896.7,179.3,,,,,,,,,,,,,,,
a: アイムジャグラーEX-TP,665,7823,1146,1.049,521.5,150.4,5308.0,1151.0,1.072,589.8,147.4,861.0,634.0,1.245,287.0,107.6,530.0,-122.0,0.923,530.0,176.7,1124.0,-517.0,0.847,562.0,224.8,,,,,,,,,,,,,,,
a: アイムジャグラーEX-TP,666,3421,178,1.017,684.2,162.9,281.0,-2.0,0.998,281.0,140.5,1425.0,-76.0,0.982,1425.0,178.1,529.0,-145.0,0.909,,264.5,1186.0,401.0,1.113,395.3,131.8,,,,,,,,,,,,,,,
b: アイムジャグラーEX-TP,856,24209,507,1.007,474.7,160.3,2012.0,-407.0,0.933,503.0,201.2,1618.0,-738.0,0.848,404.5,231.1,3673.0,640.0,1.058,459.1,146.9,3352.0,-645.0,0.936,419.0,176.4,7000.0,1744.0,1.083,411.8,137.3,1205.0,-517.0,0.857,1205.0,241.0,5349.0,430.0,1.027,594.3,157.3
b: アイムジャグラーEX-TP,857,25218,-389,0.995,646.6,176.3,1503.0,-564.0,0.875,,300.6,2748.0,-413.0,0.95,916.0,196.3,2041.0,-436.0,0.929,680.3,204.1,3646.0,453.0,1.041,911.5,165.7,4901.0,640.0,1.044,544.6,158.1,6004.0,919.0,1.051,461.8,153.9,4375.0,-988.0,0.925,625.0,198.9
b: アイムジャグラーEX-TP,858,23908,-1000,0.986,419.4,161.5,4186.0,-663.0,0.947,523.2,190.3,2188.0,29.0,1.004,437.6,156.3,1299.0,-122.0,0.969,649.5,185.6,913.0,-203.0,0.926,,304.3,5195.0,-128.0,0.992,288.6,144.3,3002.0,616.0,1.068,750.5,150.1,7125.0,-529.0,0.975,356.2,154.9
b: アイムジャグラーEX-TP,859,30273,-4098,0.955,378.4,169.1,2838.0,-180.0,0.979,2838.0,202.7,1599.0,-1081.0,0.775,,399.8,2515.0,-250.0,0.967,1257.5,193.5,7101.0,384.0,1.018,338.1,151.1,6326.0,-2070.0,0.891,253.0,166.5,3112.0,134.0,1.014,311.2,148.2,6782.0,-1035.0,0.949,323.0,161.5
