,,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE
date,,total,total,total,total,total,2025-03-31 00:00:00,2025-03-31 00:00:00,2025-03-31 00:00:00,2025-03-31 00:00:00,2025-03-31 00:00:00,2025-01-31 00:00:00,2025-01-31 00:00:00,2025-01-31 00:00:00,2025-01-31 00:00:00,2025-01-31 00:00:00,2024-12-31 00:00:00,2024-12-31 00:00:00,2024-12-31 00:00:00,2024-12-31 00:00:00,2024-12-31 00:00:00
area,unit_no,,,,,,,,,,,,,,,,,,,,
a: アイムジャグラーEX-TP,663,3532,849,1.08,321.1,126.1,0.0,0.0,,,,3532.0,849.0,1.08,321.1,126.1,,,,,
a: アイムジャグラーEX-TP,664,374,-168,0.85,374.0,187.0,29.0,-46.0,0.471,,,345.0,-122.0,0.882,345.0,172.5,,,,,
a: アイムジャグラーEX-TP,665,33,-42,0.576,,,33.0,-42.0,0.576,,,,,,,,,,,,
a: アイムジャグラーEX-TP,666,0,0,,,,0.0,0.0,,,,,,,,,,,,,
b: アイムジャグラーEX-TP,856,5077,-1180,0.923,362.6,175.1,2569.0,-680.0,0.912,428.2,183.5,1523.0,-203.0,0.956,507.7,190.4,985.0,-297.0,0.899,197.0,140.7
b: アイムジャグラーEX-TP,857,4426,-837,0.937,368.8,177.0,1127.0,-471.0,0.861,375.7,225.4,841.0,-366.0,0.855,,280.3,2458.0,0.0,1.0,273.1,144.6
b: アイムジャグラーEX-TP,858,3559,-366,0.966,508.4,187.3,1746.0,-180.0,0.966,349.2,174.6,950.0,331.0,1.116,950.0,158.3,863.0,-517.0,0.8,863.0,287.7
b: アイムジャグラーEX-TP,859,5732,-139,0.992,337.2,154.9,3177.0,1105.0,1.116,264.8,117.7,454.0,-564.0,0.586,,,2101.0,-680.0,0.892,420.2,210.1
c: アイムジャグラーEX-TP,866,8495,-1063,0.958,386.1,166.6,1010.0,-459.0,0.849,,336.7,4991.0,-87.0,0.994,383.9,156.0,2494.0,-517.0,0.931,277.1,155.9
c: アイムジャグラーEX-TP,867,10903,1488,1.045,294.7,133.0,2638.0,-645.0,0.918,329.8,175.9,790.0,-169.0,0.929,790.0,197.5,7475.0,2302.0,1.103,267.0,118.7
c: アイムジャグラーEX-TP,868,15491,5197,1.112,227.8,112.3,6297.0,4081.0,1.216,185.2,91.3,5457.0,843.0,1.051,259.9,129.9,3737.0,273.0,1.024,287.5,138.4
c: アイムジャグラーEX-TP,869,7040,832,1.039,320.0,138.0,3683.0,1477.0,1.134,283.3,115.1,3357.0,-645.0,0.936,373.0,176.7,,,,,
c: アイムジャグラーEX-TP,870,8657,-907,0.965,254.6,146.7,5773.0,779.0,1.045,222.0,122.8,2884.0,-1686.0,0.805,360.5,240.3,,,,,
c: アイムジャグラーEX-TP,871,3907,-151,0.987,300.5,150.3,3155.0,87.0,1.009,286.8,143.4,752.0,-238.0,0.895,376.0,188.0,,,,,
c: アイムジャグラーEX-TP,872,4378,-954,0.927,625.4,208.5,2230.0,-413.0,0.938,557.5,185.8,2148.0,-541.0,0.916,716.0,238.7,,,,,
c: アイムジャグラーEX-TP,873,2448,430,1.059,244.8,116.6,2257.0,750.0,1.111,225.7,107.5,191.0,-320.0,0.442,,,,,,,
c: アイムジャグラーEX-TP,874,7774,1843,1.079,555.3,141.3,4266.0,1500.0,1.117,474.0,125.5,3508.0,343.0,1.033,701.6,167.0,,,,,
c: アイムジャグラーEX-TP,875,1796,-581,0.892,1796.0,256.6,1647.0,-366.0,0.926,1647.0,235.3,149.0,-215.0,0.519,,,,,,,
c: アイムジャグラーEX-TP,876,981,500,1.17,,140.1,748.0,820.0,1.365,,106.9,233.0,-320.0,0.542,,,,,,,
c: アイムジャグラーEX-TP,877,2165,-372,0.943,309.3,154.6,1184.0,-99.0,0.972,592.0,169.1,981.0,-273.0,0.907,196.2,140.1,,,,,
c: アイムジャグラーEX-TP,878,840,-802,0.682,420.0,420.0,419.0,-436.0,0.653,419.0,419.0,421.0,-366.0,0.71,421.0,421.0,,,,,
c: アイムジャグラーEX-TP,879,3612,-500,0.954,361.2,164.2,3322.0,-238.0,0.976,369.1,158.2,290.0,-262.0,0.699,290.0,290.0,,,,,
c: アイムジャグラーEX-TP,880,1102,-1093,0.669,1102.0,551.0,632.0,-541.0,0.715,632.0,316.0,470.0,-552.0,0.609,,,,,,,
c: アイムジャグラーEX-TP,881,2699,-1116,0.862,539.8,224.9,1032.0,-738.0,0.762,516.0,344.0,1667.0,-378.0,0.924,555.7,185.2,,,,,
c: アイムジャグラーEX-TP,882,885,-1093,0.588,885.0,885.0,528.0,-715.0,0.549,,,357.0,-378.0,0.647,357.0,357.0,,,,,
d: マイジャグラーV,789,10518,-2372,0.925,404.5,187.8,1724.0,-320.0,0.938,574.7,191.6,4181.0,-738.0,0.941,522.6,190.0,4613.0,-1314.0,0.905,307.5,184.5
d: マイジャグラーV,790,13945,-134,0.997,367.0,154.9,4166.0,52.0,1.004,347.2,154.3,5434.0,-709.0,0.957,339.6,159.8,4345.0,523.0,1.04,434.5,149.8
d: マイジャグラーV,791,15099,-1105,0.976,351.1,155.7,8572.0,1035.0,1.04,267.9,129.9,4866.0,-663.0,0.955,442.4,167.8,1661.0,-1477.0,0.704,,830.5
d: マイジャグラーV,792,8267,-3937,0.841,551.1,236.2,769.0,-355.0,0.846,256.3,192.2,2433.0,-1919.0,0.737,811.0,347.6,5065.0,-1663.0,0.891,562.8,211.0
d: マイジャグラーV,793,13247,-308,0.992,401.4,157.7,1950.0,-750.0,0.872,390.0,195.0,6443.0,0.0,1.0,495.6,161.1,4854.0,442.0,1.03,323.6,142.8
d: マイジャグラーV,794,9927,-64,0.998,342.3,150.4,2317.0,-17.0,0.998,772.3,178.2,4040.0,-378.0,0.969,237.6,144.3,3570.0,331.0,1.031,396.7,142.8
d: マイジャグラーV,795,11110,1408,1.042,326.8,135.5,474.0,-17.0,0.988,474.0,158.0,5828.0,1198.0,1.069,342.8,132.5,4808.0,227.0,1.016,300.5,137.4
d: マイジャグラーV,796,10931,2041,1.062,496.9,143.8,1888.0,436.0,1.077,944.0,171.6,5279.0,1058.0,1.067,527.9,142.7,3764.0,547.0,1.048,376.4,134.4
d: マイジャグラーV,797,4145,-1029,0.917,1036.2,218.2,1425.0,-657.0,0.846,475.0,237.5,876.0,-320.0,0.878,,292.0,1844.0,-52.0,0.991,1844.0,184.4
d: マイジャグラーV,798,14611,-599,0.986,332.1,153.8,4208.0,145.0,1.011,323.7,150.3,5559.0,250.0,1.015,264.7,135.6,4844.0,-994.0,0.932,484.4,186.3
d: マイジャグラーV,799,11140,-128,0.996,337.6,146.6,668.0,-657.0,0.672,,668.0,5128.0,-971.0,0.937,394.5,176.8,5344.0,1500.0,1.094,267.2,116.2
d: マイジャグラーV,800,2716,-1820,0.777,679.0,301.8,484.0,-552.0,0.62,484.0,484.0,925.0,-669.0,0.759,462.5,308.3,1307.0,-599.0,0.847,1307.0,261.4
d: マイジャグラーV,801,14833,1239,1.028,285.2,134.8,5688.0,1012.0,1.059,299.4,132.3,5571.0,-267.0,0.984,278.6,142.8,3574.0,494.0,1.046,274.9,127.6
