,,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE
date,,total,total,total,total,total,2025-05-06 00:00:00,2025-05-06 00:00:00,2025-05-06 00:00:00,2025-05-06 00:00:00,2025-05-06 00:00:00,2025-04-06 00:00:00,2025-04-06 00:00:00,2025-04-06 00:00:00,2025-04-06 00:00:00,2025-04-06 00:00:00,2025-03-06 00:00:00,2025-03-06 00:00:00,2025-03-06 00:00:00,2025-03-06 00:00:00,2025-03-06 00:00:00,2025-02-06 00:00:00,2025-02-06 00:00:00,2025-02-06 00:00:00,2025-02-06 00:00:00,2025-02-06 00:00:00,2025-01-06 00:00:00,2025-01-06 00:00:00,2025-01-06 00:00:00,2025-01-06 00:00:00,2025-01-06 00:00:00,2024-12-06 00:00:00,2024-12-06 00:00:00,2024-12-06 00:00:00,2024-12-06 00:00:00,2024-12-06 00:00:00
area,unit_no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a: アイムジャグラーEX-TP,663,5566,-755,0.955,292.9,154.6,2445.0,657.0,1.09,305.6,122.2,1690.0,-285.0,0.944,422.5,187.8,265.0,-92.0,0.884,132.5,132.5,1166.0,-1035.0,0.704,233.2,233.2,,,,,,,,,,
a: アイムジャグラーEX-TP,664,763,-25,0.989,381.5,152.6,194.0,-215.0,0.631,,,1.0,-3.0,0.0,,,26.0,-45.0,0.423,,,542.0,238.0,1.146,271.0,108.4,,,,,,,,,,
a: アイムジャグラーEX-TP,665,4478,3157,1.235,497.6,109.2,3293.0,1977.0,1.2,411.6,113.6,857.0,802.0,1.312,,107.1,29.0,-46.0,0.471,,,299.0,424.0,1.473,299.0,74.8,,,,,,,,,,
a: アイムジャグラーEX-TP,666,1106,-231,0.93,553.0,221.2,651.0,-134.0,0.931,651.0,217.0,145.0,59.0,1.136,,145.0,271.0,-110.0,0.865,271.0,271.0,39.0,-46.0,0.607,,,,,,,,,,,,
b: アイムジャグラーEX-TP,856,14217,842,1.02,406.2,151.2,4441.0,459.0,1.034,493.4,148.0,2779.0,1198.0,1.144,463.2,126.3,1078.0,-576.0,0.822,215.6,179.7,2475.0,-99.0,0.987,412.5,176.8,1684.0,-1012.0,0.8,1684.0,336.8,1760.0,872.0,1.165,220.0,103.5
b: アイムジャグラーEX-TP,857,9360,-1280,0.954,550.6,183.5,1039.0,-64.0,0.979,346.3,148.4,3002.0,523.0,1.058,333.6,136.5,1243.0,-855.0,0.771,,621.5,1636.0,262.0,1.053,545.3,148.7,1921.0,-663.0,0.885,960.5,240.1,519.0,-483.0,0.69,,519.0
b: アイムジャグラーEX-TP,858,11453,523,1.015,394.9,150.7,1615.0,1384.0,1.286,323.0,100.9,3208.0,64.0,1.007,356.4,145.8,916.0,-506.0,0.816,458.0,229.0,1673.0,-169.0,0.966,836.5,209.1,3522.0,-250.0,0.976,352.2,153.1,519.0,0.0,1.0,519.0,173.0
b: アイムジャグラーEX-TP,859,9880,-2635,0.911,329.3,179.6,1337.0,-750.0,0.813,668.5,267.4,1094.0,-390.0,0.881,1094.0,218.8,848.0,-355.0,0.86,212.0,169.6,537.0,-320.0,0.801,537.0,268.5,5400.0,-919.0,0.943,257.1,158.8,664.0,99.0,1.05,664.0,166.0
c: アイムジャグラーEX-TP,866,13952,-2470,0.941,422.8,178.9,2029.0,-1802.0,0.704,2029.0,507.2,4031.0,-738.0,0.939,447.9,183.2,2139.0,203.0,1.032,237.7,125.8,717.0,-29.0,0.987,717.0,179.2,4479.0,134.0,1.01,373.2,154.4,557.0,-238.0,0.858,557.0,278.5
c: アイムジャグラーEX-TP,867,14135,1546,1.036,344.8,142.8,1211.0,-994.0,0.726,605.5,403.7,3565.0,1198.0,1.112,297.1,122.9,1176.0,52.0,1.015,588.0,168.0,5501.0,1465.0,1.089,275.0,125.0,2362.0,-297.0,0.958,472.4,168.7,320.0,122.0,1.127,,160.0
c: アイムジャグラーEX-TP,868,14942,-361,0.992,304.9,149.4,1778.0,-890.0,0.833,355.6,222.2,471.0,-308.0,0.782,,471.0,3496.0,-453.0,0.957,317.8,166.5,1741.0,965.0,1.185,290.2,108.8,5924.0,145.0,1.008,246.8,134.6,1532.0,180.0,1.039,510.7,153.2
c: アイムジャグラーEX-TP,869,9424,-2215,0.922,554.4,196.3,2153.0,0.0,1.0,717.7,179.4,4108.0,-262.0,0.979,456.4,164.3,1094.0,-1081.0,0.671,364.7,364.7,2069.0,-872.0,0.86,1034.5,258.6,,,,,,,,,,
c: アイムジャグラーEX-TP,870,6141,-1663,0.91,307.0,170.6,980.0,-576.0,0.804,980.0,326.7,755.0,-831.0,0.633,755.0,755.0,370.0,-401.0,0.639,,,4036.0,145.0,1.012,224.2,126.1,,,,,,,,,,
