,,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE
date,,total,total,total,total,total,2025-03-07 00:00:00,2025-03-07 00:00:00,2025-03-07 00:00:00,2025-03-07 00:00:00,2025-03-07 00:00:00,2025-02-07 00:00:00,2025-02-07 00:00:00,2025-02-07 00:00:00,2025-02-07 00:00:00,2025-02-07 00:00:00,2025-01-07 00:00:00,2025-01-07 00:00:00,2025-01-07 00:00:00,2025-01-07 00:00:00,2025-01-07 00:00:00,2024-12-07 00:00:00,2024-12-07 00:00:00,2024-12-07 00:00:00,2024-12-07 00:00:00,2024-12-07 00:00:00,2024-11-07 00:00:00,2024-11-07 00:00:00,2024-11-07 00:00:00,2024-11-07 00:00:00,2024-11-07 00:00:00
area,unit_no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a: アイムジャグラーEX-TP,663,735,-976,0.557,,,216.0,-273.0,0.579,,,519.0,-703.0,0.548,,,,,,,,,,,,,,,,,
a: アイムジャグラーEX-TP,664,52,-91,0.417,,,8.0,-11.0,0.542,,,44.0,-80.0,0.394,,,,,,,,,,,,,,,,,
a: アイムジャグラーEX-TP,665,3,-12,-0.333,,,0.0,0.0,,,,3.0,-12.0,-0.333,,,,,,,,,,,,,,,,,
a: アイムジャグラーEX-TP,666,3711,-1430,0.872,618.5,231.9,3711.0,-1430.0,0.872,618.5,231.9,0.0,0.0,,,,,,,,,,,,,,,,,,
b: アイムジャグラーEX-TP,856,6727,884,1.044,672.7,172.5,900.0,-238.0,0.912,,900.0,3546.0,1198.0,1.113,591.0,141.8,760.0,587.0,1.257,,126.7,992.0,-355.0,0.881,330.7,198.4,529.0,-308.0,0.806,529.0,264.5
b: アイムジャグラーEX-TP,857,5426,-564,0.965,775.1,193.8,376.0,-169.0,0.85,,376.0,1197.0,99.0,1.028,,199.5,1648.0,110.0,1.022,824.0,183.1,781.0,-366.0,0.844,781.0,260.3,1424.0,-238.0,0.944,356.0,158.2
b: アイムジャグラーEX-TP,858,5476,-190,0.988,365.1,156.5,1278.0,-122.0,0.968,319.5,159.8,390.0,-203.0,0.826,390.0,195.0,875.0,297.0,1.113,218.8,109.4,1309.0,-52.0,0.987,654.5,187.0,1624.0,-110.0,0.977,406.0,162.4
b: アイムジャグラーEX-TP,859,12514,-919,0.976,568.8,176.3,355.0,-413.0,0.612,,,3007.0,-1058.0,0.883,751.8,231.3,4483.0,1360.0,1.101,747.2,144.6,2358.0,-1058.0,0.85,393.0,196.5,2311.0,250.0,1.036,385.2,154.1
c: アイムジャグラーEX-TP,866,5130,-1431,0.907,427.5,197.3,234.0,-343.0,0.511,,,1618.0,-669.0,0.862,404.5,231.1,1636.0,-41.0,0.992,327.2,163.6,1642.0,-378.0,0.923,547.3,182.4,,,,,
c: アイムジャグラーEX-TP,867,2977,-849,0.905,1488.5,248.1,165.0,-215.0,0.566,,,293.0,-320.0,0.636,,,1134.0,99.0,1.029,,189.0,1385.0,-413.0,0.901,692.5,230.8,,,,,
c: アイムジャグラーEX-TP,868,7990,703,1.029,332.9,135.4,100.0,-122.0,0.593,,,306.0,-506.0,0.449,,,197.0,-192.0,0.675,,,7387.0,1523.0,1.069,307.8,125.2,,,,,
c: アイムジャグラーEX-TP,869,7988,796,1.033,285.3,137.7,2618.0,-634.0,0.919,654.5,201.4,5370.0,1430.0,1.089,223.8,119.3,,,,,,,,,,,,,,,
c: アイムジャグラーEX-TP,870,3246,-1058,0.891,405.8,216.4,480.0,-64.0,0.956,480.0,240.0,2766.0,-994.0,0.88,395.1,212.8,,,,,,,,,,,,,,,
c: アイムジャグラーEX-TP,871,2715,-755,0.907,339.4,169.7,1486.0,-17.0,0.996,297.2,135.1,1229.0,-738.0,0.8,409.7,245.8,,,,,,,,,,,,,,,
c: アイムジャグラーEX-TP,872,2422,453,1.062,807.3,161.5,1128.0,-355.0,0.895,1128.0,225.6,1294.0,808.0,1.208,647.0,129.4,,,,,,,,,,,,,,,
c: アイムジャグラーEX-TP,873,1727,-70,0.986,1727.0,191.9,654.0,-436.0,0.778,654.0,327.0,1073.0,366.0,1.114,,153.3,,,,,,,,,,,,,,,
c: アイムジャグラーEX-TP,874,2094,1183,1.188,299.1,110.2,2089.0,1198.0,1.191,298.4,109.9,5.0,-15.0,0.0,,,,,,,,,,,,,,,,,
c: アイムジャグラーEX-TP,875,4733,383,1.027,236.6,127.9,1627.0,203.0,1.042,232.4,125.2,3106.0,180.0,1.019,238.9,129.4,,,,,,,,,,,,,,,
c: アイムジャグラーEX-TP,876,4387,890,1.068,337.5,137.1,906.0,-52.0,0.981,302.0,151.0,3481.0,942.0,1.09,348.1,133.9,,,,,,,,,,,,,,,
c: アイムジャグラーEX-TP,877,2530,-361,0.952,316.2,180.7,468.0,-99.0,0.929,,468.0,2062.0,-262.0,0.958,257.8,158.6,,,,,,,,,,,,,,,
c: アイムジャグラーEX-TP,878,2508,419,1.056,501.6,147.5,775.0,122.0,1.052,387.5,155.0,1733.0,297.0,1.057,577.7,144.4,,,,,,,,,,,,,,,
c: アイムジャグラーEX-TP,879,1726,163,1.031,863.0,172.6,1366.0,-99.0,0.976,683.0,170.8,360.0,262.0,1.243,,180.0,,,,,,,,,,,,,,,
c: アイムジャグラーEX-TP,880,3500,523,1.05,583.3,159.1,1234.0,308.0,1.083,617.0,154.2,2266.0,215.0,1.032,566.5,161.9,,,,,,,,,,,,,,,
c: アイムジャグラーEX-TP,881,1236,-302,0.919,309.0,176.6,654.0,134.0,1.068,654.0,163.5,582.0,-436.0,0.75,194.0,194.0,,,,,,,,,,,,,,,
c: アイムジャグラーEX-TP,882,3828,419,1.036,348.0,147.2,1967.0,843.0,1.143,327.8,122.9,1861.0,-424.0,0.924,372.2,186.1,,,,,,,,,,,,,,,
d: マイジャグラーV,789,21951,-594,0.991,277.9,142.5,7259.0,2395.0,1.11,207.4,110.0,2831.0,-1919.0,0.774,314.6,235.9,1728.0,-448.0,0.914,432.0,192.0,5242.0,483.0,1.031,349.5,141.7,4891.0,-1105.0,0.925,305.7,163.0
d: マイジャグラーV,790,21809,878,1.013,325.5,141.6,4597.0,320.0,1.023,229.8,124.2,5076.0,-773.0,0.949,507.6,181.3,4219.0,663.0,1.052,301.4,127.8,7177.0,1465.0,1.068,326.2,130.5,740.0,-797.0,0.641,740.0,740.0
d: マイジャグラーV,791,9270,-1517,0.945,356.5,171.7,1347.0,-238.0,0.941,224.5,149.7,740.0,-587.0,0.736,,740.0,1001.0,-436.0,0.855,333.7,200.2,4008.0,-227.0,0.981,364.4,154.2,2174.0,-29.0,0.996,362.3,167.2
d: マイジャグラーV,792,12839,-1598,0.959,513.6,175.9,2199.0,-145.0,0.978,733.0,183.2,4598.0,-308.0,0.978,510.9,164.2,3551.0,733.0,1.069,355.1,131.5,1204.0,-750.0,0.792,1204.0,401.3,1287.0,-1128.0,0.708,643.5,429.0
d: マイジャグラーV,793,11963,-64,0.998,412.5,159.5,3706.0,785.0,1.071,370.6,137.3,1366.0,-331.0,0.919,341.5,195.1,1754.0,343.0,1.065,584.7,159.5,3209.0,-355.0,0.963,401.1,160.4,1928.0,-506.0,0.913,482.0,192.8
d: マイジャグラーV,794,8300,-1215,0.951,436.8,169.4,337.0,-273.0,0.73,337.0,337.0,1520.0,41.0,1.009,506.7,152.0,1028.0,-576.0,0.813,514.0,257.0,2634.0,-657.0,0.917,376.3,175.6,2781.0,250.0,1.03,463.5,146.4
d: マイジャグラーV,795,14609,-1006,0.977,417.4,162.3,945.0,-320.0,0.887,945.0,236.2,5122.0,820.0,1.053,426.8,142.3,597.0,-785.0,0.562,,,3470.0,-808.0,0.922,433.8,182.6,4475.0,87.0,1.006,319.6,144.4
d: マイジャグラーV,796,11255,-1307,0.961,363.1,165.5,2562.0,-331.0,0.957,256.2,142.3,1643.0,-413.0,0.916,410.8,182.6,1675.0,-52.0,0.99,837.5,186.1,2922.0,-610.0,0.93,324.7,182.6,2453.0,99.0,1.013,408.8,153.3
d: マイジャグラーV,797,12982,-1424,0.963,360.6,166.4,2769.0,192.0,1.023,276.9,138.4,3886.0,-448.0,0.962,388.6,169.0,2771.0,-517.0,0.938,307.9,163.0,2830.0,-610.0,0.928,471.7,202.1,726.0,-41.0,0.981,726.0,181.5
d: マイジャグラーV,798,9675,87,1.003,276.4,142.3,1704.0,192.0,1.038,568.0,170.4,802.0,-297.0,0.877,,401.0,428.0,-180.0,0.86,428.0,214.0,3318.0,424.0,1.043,221.2,122.9,3423.0,-52.0,0.995,213.9,126.8
d: マイジャグラーV,799,15018,1906,1.042,405.9,145.8,4422.0,2116.0,1.16,491.3,126.3,2945.0,1221.0,1.138,420.7,122.7,1590.0,-529.0,0.889,530.0,198.8,4955.0,-919.0,0.938,291.5,165.2,1106.0,17.0,1.005,1106.0,184.3
