,,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,MEDAL_RATE,RB_RATE,TOTAL_RATE
date,,total,total,total,total,total,2025-05-21 00:00:00,2025-05-21 00:00:00,2025-05-21 00:00:00,2025-05-21 00:00:00,2025-05-21 00:00:00,2025-05-20 00:00:00,2025-05-20 00:00:00,2025-05-20 00:00:00,2025-05-20 00:00:00,2025-05-20 00:00:00,2025-05-19 00:00:00,2025-05-19 00:00:00,2025-05-19 00:00:00,2025-05-19 00:00:00,2025-05-19 00:00:00,2025-05-18 00:00:00,2025-05-18 00:00:00,2025-05-18 00:00:00,2025-05-18 00:00:00,2025-05-18 00:00:00,2025-05-17 00:00:00,2025-05-17 00:00:00,2025-05-17 00:00:00,2025-05-17 00:00:00,2025-05-17 00:00:00,2025-05-16 00:00:00,2025-05-16 00:00:00,2025-05-16 00:00:00,2025-05-16 00:00:00,2025-05-16 00:00:00,2025-05-15 00:00:00,2025-05-15 00:00:00,2025-05-15 00:00:00,2025-05-15 00:00:00,2025-05-15 00:00:00,2025-05-14 00:00:00,2025-05-14 00:00:00,2025-05-14 00:00:00,2025-05-14 00:00:00,2025-05-14 00:00:00,2025-05-13 00:00:00,2025-05-13 00:00:00,2025-05-13 00:00:00,2025-05-13 00:00:00,2025-05-13 00:00:00,2025-05-12 00:00:00,2025-05-12 00:00:00,2025-05-12 00:00:00,2025-05-12 00:00:00,2025-05-12 00:00:00,2025-05-11 00:00:00,2025-05-11 00:00:00,2025-05-11 00:00:00,2025-05-11 00:00:00,2025-05-11 00:00:00,2025-05-10 00:00:00,2025-05-10 00:00:00,2025-05-10 00:00:00,2025-05-10 00:00:00,2025-05-10 00:00:00,2025-05-09 00:00:00,2025-05-09 00:00:00,2025-05-09 00:00:00,2025-05-09 00:00:00,2025-05-09 00:00:00,2025-05-08 00:00:00,2025-05-08 00:00:00,2025-05-08 00:00:00,2025-05-08 00:00:00,2025-05-08 00:00:00,2025-05-07 00:00:00,2025-05-07 00:00:00,2025-05-07 00:00:00,2025-05-07 00:00:00,2025-05-07 00:00:00,2025-05-06 00:00:00,2025-05-06 00:00:00,2025-05-06 00:00:00,2025-05-06 00:00:00,2025-05-06 00:00:00,2025-05-05 00:00:00,2025-05-05 00:00:00,2025-05-05 00:00:00,2025-05-05 00:00:00,2025-05-05 00:00:00,2025-05-04 00:00:00,2025-05-04 00:00:00,2025-05-04 00:00:00,2025-05-04 00:00:00,2025-05-04 00:00:00,2025-05-03 00:00:00,2025-05-03 00:00:00,2025-05-03 00:00:00,2025-05-03 00:00:00,2025-05-03 00:00:00,2025-05-02 00:00:00,2025-05-02 00:00:00,2025-05-02 00:00:00,2025-05-02 00:00:00,2025-05-02 00:00:00,2025-05-01 00:00:00,2025-05-01 00:00:00,2025-05-01 00:00:00,2025-05-01 00:00:00,2025-05-01 00:00:00,2025-04-30 00:00:00,2025-04-30 00:00:00,2025-04-30 00:00:00,2025-04-30 00:00:00,2025-04-30 00:00:00,2025-04-29 00:00:00,2025-04-29 00:00:00,2025-04-29 00:00:00,2025-04-29 00:00:00,2025-04-29 00:00:00,2025-04-28 00:00:00,2025-04-28 00:00:00,2025-04-28 00:00:00,2025-04-28 00:00:00,2025-04-28 00:00:00,2025-04-27 00:00:00,2025-04-27 00:00:00,2025-04-27 00:00:00,2025-04-27 00:00:00,2025-04-27 00:00:00,2025-04-26 00:00:00,2025-04-26 00:00:00,2025-04-26 00:00:00,2025-04-26 00:00:00,2025-04-26 00:00:00,2025-04-25 00:00:00,2025-04-25 00:00:00,2025-04-25 00:00:00,2025-04-25 00:00:00,2025-04-25 00:00:00,2025-04-24 00:00:00,2025-04-24 00:00:00,2025-04-24 00:00:00,2025-04-24 00:00:00,2025-04-24 00:00:00,2025-04-23 00:00:00,2025-04-23 00:00:00,2025-04-23 00:00:00,2025-04-23 00:00:00,2025-04-23 00:00:00,2025-04-22 00:00:00,2025-04-22 00:00:00,2025-04-22 00:00:00,2025-04-22 00:00:00,2025-04-22 00:00:00,2025-04-21 00:00:00,2025-04-21 00:00:00,2025-04-21 00:00:00,2025-04-21 00:00:00,2025-04-21 00:00:00,2025-04-20 00:00:00,2025-04-20 00:00:00,2025-04-20 00:00:00,2025-04-20 00:00:00,2025-04-20 00:00:00,2025-04-19 00:00:00,2025-04-19 00:00:00,2025-04-19 00:00:00,2025-04-19 00:00:00,2025-04-19 00:00:00,2025-04-18 00:00:00,2025-04-18 00:00:00,2025-04-18 00:00:00,2025-04-18 00:00:00,2025-04-18 00:00:00,2025-04-17 00:00:00,2025-04-17 00:00:00,2025-04-17 00:00:00,2025-04-17 00:00:00,2025-04-17 00:00:00,2025-04-16 00:00:00,2025-04-16 00:00:00,2025-04-16 00:00:00,2025-04-16 00:00:00,2025-04-16 00:00:00,2025-04-15 00:00:00,2025-04-15 00:00:00,2025-04-15 00:00:00,2025-04-15 00:00:00,2025-04-15 00:00:00,2025-04-14 00:00:00,2025-04-14 00:00:00,2025-04-14 00:00:00,2025-04-14 00:00:00,2025-04-14 00:00:00,2025-04-13 00:00:00,2025-04-13 00:00:00,2025-04-13 00:00:00,2025-04-13 00:00:00,2025-04-13 00:00:00,2025-04-12 00:00:00,2025-04-12 00:00:00,2025-04-12 00:00:00,2025-04-12 00:00:00,2025-04-12 00:00:00,2025-04-11 00:00:00,2025-04-11 00:00:00,2025-04-11 00:00:00,2025-04-11 00:00:00,2025-04-11 00:00:00,2025-04-10 00:00:00,2025-04-10 00:00:00,2025-04-10 00:00:00,2025-04-10 00:00:00,2025-04-10 00:00:00,2025-04-09 00:00:00,2025-04-09 00:00:00,2025-04-09 00:00:00,2025-04-09 00:00:00,2025-04-09 00:00:00,2025-04-08 00:00:00,2025-04-08 00:00:00,2025-04-08 00:00:00,2025-04-08 00:00:00,2025-04-08 00:00:00,2025-04-07 00:00:00,2025-04-07 00:00:00,2025-04-07 00:00:00,2025-04-07 00:00:00,2025-04-07 00:00:00,2025-04-06 00:00:00,2025-04-06 00:00:00,2025-04-06 00:00:00,2025-04-06 00:00:00,2025-04-06 00:00:00,2025-04-05 00:00:00,2025-04-05 00:00:00,2025-04-05 00:00:00,2025-04-05 00:00:00,2025-04-05 00:00:00,2025-04-04 00:00:00,2025-04-04 00:00:00,2025-04-04 00:00:00,2025-04-04 00:00:00,2025-04-04 00:00:00,2025-04-03 00:00:00,2025-04-03 00:00:00,2025-04-03 00:00:00,2025-04-03 00:00:00,2025-04-03 00:00:00,2025-04-02 00:00:00,2025-04-02 00:00:00,2025-04-02 00:00:00,2025-04-02 00:00:00,2025-04-02 00:00:00,2025-04-01 00:00:00,2025-04-01 00:00:00,2025-04-01 00:00:00,2025-04-01 00:00:00,2025-04-01 00:00:00
area,unit_no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
その他,1001,249294,-7435,0.99,331.9,146.6,5013,-768,0.949,294.9,151.9,2843,-832,0.902,315.9,177.7,6527,-226,0.988,251.0,133.2,3578,-1359,0.873,596.3,210.5,6083,959,1.053,196.2,114.8,7275,-76,0.997,279.8,132.3,5675,-1112,0.935,298.7,162.1,4412,1335,1.101,490.2,129.8,6293,2885,1.153,299.7,112.4,3302,-668,0.933,366.9,165.1,6197,1147,1.062,309.8,121.5,4821,1182,1.082,253.7,114.8,3655,-865,0.921,304.6,166.1,701,-238,0.887,,233.7,5005,2744,1.183,312.8,111.2,3781,-303,0.973,290.8,140.0,7050,-562,0.973,335.7,150.0,4123,68,1.005,458.1,152.7,2810,-1018,0.879,351.2,175.6,5317,-68,0.996,295.4,136.3,4672,-1279,0.909,584.0,186.9,5513,-750,0.955,275.6,141.4,6625,959,1.048,301.1,127.4,6386,-253,0.987,304.1,141.9,3380,-2674,0.736,422.5,307.3,8716,2303,1.088,272.4,117.8,8256,1076,1.043,294.9,131.0,3613,-1088,0.9,451.6,190.2,2593,-1606,0.794,648.2,288.1,2168,-191,0.971,361.3,166.8,3165,-391,0.959,452.1,175.8,4388,9,1.001,2194.0,175.5,6937,182,1.009,385.4,150.8,3212,-1124,0.883,356.9,178.4,5488,-1382,0.916,288.8,161.4,4838,-206,0.986,268.8,134.4,6118,-344,0.981,291.3,142.3,2617,-1229,0.843,327.1,186.9,665,-562,0.718,332.5,332.5,5743,-1112,0.935,441.8,174.0,4941,-453,0.969,494.1,176.5,2734,-815,0.901,911.3,227.8,5909,1332,1.075,369.3,134.3,5433,-1809,0.889,271.6,175.3,4212,524,1.041,702.0,162.0,6813,879,1.043,324.4,136.3,5375,-332,0.979,537.5,173.4,4661,-1371,0.902,388.4,186.4,7407,865,1.039,224.5,123.4,5376,838,1.052,413.5,137.8,6879,344,1.017,286.6,143.3
その他,1002,171153,1267,1.002,307.8,141.6,2270,-209,0.969,324.3,151.3,1337,-526,0.869,445.7,222.8,720,-485,0.775,360.0,240.0,5827,221,1.013,233.1,126.7,1584,-668,0.859,528.0,198.0,697,-415,0.802,348.5,232.3,8232,2056,1.083,228.7,114.3,1294,3,1.001,647.0,161.8,318,-403,0.578,318.0,318.0,1396,-991,0.763,349.0,232.7,6351,618,1.032,288.7,129.6,1203,-91,0.975,601.5,200.5,2064,-226,0.964,688.0,172.0,3544,-876,0.918,236.3,147.7,1395,-662,0.842,348.8,199.3,6987,3,1.0,317.6,142.6,6583,-215,0.989,243.8,131.7,1380,-121,0.971,345.0,153.3,3963,841,1.071,440.3,132.1,635,-238,0.875,635.0,211.7,7842,1862,1.079,201.1,110.5,1430,-550,0.872,238.3,158.9,929,-274,0.902,929.0,232.2,345,-356,0.656,345.0,345.0,3439,-491,0.952,382.1,172.0,8278,1332,1.054,285.4,125.4,859,-768,0.702,429.5,286.3,5375,1418,1.088,298.6,116.8,3106,853,1.092,443.7,135.0,5061,947,1.062,266.4,123.4,5216,-1006,0.936,306.8,163.0,5193,735,1.047,273.3,129.8,2092,-1018,0.838,418.4,232.4,2074,-968,0.844,518.5,207.4,800,-626,0.739,400.0,266.7,2406,-326,0.955,401.0,171.9,8315,712,1.029,286.7,127.9,2473,-974,0.869,1236.5,274.8,8848,2497,1.094,305.1,128.2,1259,-1065,0.718,629.5,419.7,2852,-1888,0.779,356.5,259.3,2488,126,1.017,497.6,155.5,3472,1276,1.123,248.0,112.0,1458,-703,0.839,364.5,243.0,1090,-721,0.78,1090.0,363.3,5540,1759,1.106,277.0,120.4,7159,497,1.023,511.4,162.7,2100,-403,0.936,700.0,190.9,6947,2003,1.096,267.2,119.8,3486,221,1.021,193.7,116.2,1441,-450,0.896,480.3,180.1
その他,1003,175873,4881,1.009,322.1,140.7,8640,-88,0.997,240.0,130.9,860,-226,0.912,430.0,172.0,1024,-685,0.777,512.0,256.0,3532,744,1.07,321.1,126.1,2558,-2321,0.698,1279.0,511.6,1485,-1359,0.695,371.2,297.0,2008,-1253,0.792,502.0,251.0,3404,256,1.025,340.4,136.2,3933,1700,1.144,231.4,103.5,1088,-9,0.997,544.0,155.4,8820,6938,1.262,200.5,90.0,4359,-768,0.941,229.4,145.3,2066,-674,0.891,229.6,158.9,447,-603,0.55,,,5135,-524,0.966,302.1,142.6,1870,-726,0.871,267.1,170.0,7308,171,1.008,292.3,137.9,1452,-421,0.903,484.0,181.5,1338,168,1.042,1338.0,167.2,1386,-385,0.907,346.5,173.2,7421,1253,1.056,239.4,119.7,1884,-1171,0.793,376.8,235.5,3803,-85,0.993,271.6,135.8,5573,818,1.049,371.5,132.7,6981,191,1.009,218.2,122.5,5510,-1618,0.902,324.1,167.0,2727,568,1.069,454.5,136.4,957,174,1.061,478.5,136.7,1389,-315,0.924,277.8,154.3,246,-50,0.932,,246.0,3427,268,1.026,571.2,149.0,2589,-538,0.931,323.6,172.6,2522,-709,0.906,504.4,194.0,910,-409,0.85,455.0,227.5,6994,2197,1.105,349.7,120.6,4506,121,1.009,346.6,140.8,5806,-241,0.986,483.8,161.3,3898,-432,0.963,205.2,129.9,4079,1335,1.109,370.8,127.5,1371,-709,0.828,457.0,228.5,8272,2859,1.115,376.0,123.5,720,-185,0.914,720.0,180.0,2116,-732,0.885,423.2,176.3,502,-450,0.701,502.0,502.0,3537,-215,0.98,707.4,176.8,2892,415,1.048,482.0,152.2,4310,-1053,0.919,538.8,195.9,5693,1182,1.069,247.5,123.8,3610,-503,0.954,361.0,171.9,1224,-326,0.911,612.0,204.0,7691,3306,1.143,427.3,128.2
その他,1004,176139,-4681,0.991,356.6,149.0,1857,232,1.042,371.4,132.6,1532,-85,0.982,383.0,153.2,2675,-615,0.923,243.2,140.8,2295,-1418,0.794,382.5,229.5,3569,97,1.009,446.1,155.2,3183,168,1.018,318.3,138.4,6281,2074,1.11,196.3,106.5,2790,688,1.082,465.0,139.5,4600,818,1.059,418.2,139.4,172,-250,0.516,,,6507,-618,0.968,342.5,154.9,2725,-888,0.891,454.2,194.6,2287,191,1.028,326.7,134.5,718,-326,0.849,718.0,239.3,6173,-1594,0.914,771.6,212.9,7252,735,1.034,207.2,113.3,7272,-429,0.98,269.3,139.8,4901,-735,0.95,445.5,163.4,2379,-726,0.898,1189.5,237.9,3288,332,1.034,234.9,121.8,4573,-347,0.975,304.9,142.9,1962,726,1.123,245.2,109.0,7532,-1559,0.931,396.4,167.4,211,-291,0.54,,,3625,-209,0.981,453.1,157.6,7950,1335,1.056,418.4,137.1,2642,-291,0.963,440.3,165.1,3202,679,1.071,533.7,139.2,1918,168,1.029,383.6,137.0,3534,994,1.094,504.9,130.9,7154,491,1.023,298.1,135.0,3693,-782,0.929,335.7,160.6,3735,56,1.005,1245.0,177.9,3883,-44,0.996,258.9,125.3,1695,38,1.007,339.0,141.2,686,-491,0.761,686.0,343.0,7398,1897,1.085,336.3,125.4,1517,-968,0.787,379.2,252.8,1150,-726,0.79,575.0,287.5,2374,-368,0.948,593.5,197.8,1754,-450,0.914,438.5,194.9,8674,1226,1.047,347.0,139.9,547,-221,0.865,,273.5,1660,-924,0.814,415.0,237.1,4086,-171,0.986,255.4,140.9,2562,-700,0.909,427.0,213.5,5757,-512,0.97,442.8,169.3,1783,-250,0.953,356.6,162.1,1052,-438,0.861,1052.0,263.0,862,-426,0.835,431.0,215.5,4512,226,1.017,410.2,150.4
その他,1005,224092,4070,1.006,308.2,140.0,4248,-332,0.974,326.8,151.7,603,-132,0.927,,301.5,5961,2903,1.162,238.4,101.0,4320,-759,0.941,480.0,180.0,5429,924,1.057,417.6,142.9,3132,-338,0.964,447.4,174.0,6139,-771,0.958,279.0,139.5,1699,-921,0.819,566.3,283.2,391,-232,0.802,,391.0,6174,1888,1.102,205.8,104.6,3424,-1747,0.83,380.4,201.4,3248,1065,1.109,232.0,108.3,5708,1826,1.107,317.1,121.4,7943,-1018,0.957,248.2,141.8,3659,-979,0.911,281.5,159.1,1236,-409,0.89,1236.0,206.0,6908,-994,0.952,406.4,164.5,4179,465,1.037,348.2,130.6,3514,-415,0.961,292.8,146.4,894,-556,0.793,894.0,298.0,7349,574,1.026,306.2,136.1,1277,-732,0.809,319.2,212.8,3383,-1629,0.839,307.5,187.9,3421,1324,1.129,263.2,114.0,7061,1006,1.047,441.3,138.5,8479,1947,1.077,197.2,110.1,3093,-1041,0.888,343.7,181.9,5347,-253,0.984,381.9,157.3,3798,-947,0.917,253.2,158.2,2646,-350,0.956,330.8,155.6,1210,-568,0.844,1210.0,242.0,6567,-62,0.997,364.8,142.8,3575,256,1.024,223.4,119.2,586,-556,0.684,,586.0,4432,432,1.032,260.7,123.1,5430,-762,0.953,285.8,150.8,6706,-1735,0.914,268.2,156.0,9033,1650,1.061,291.4,129.0,2641,-262,0.967,440.2,155.4,1813,-1124,0.793,362.6,259.0,8748,2162,1.082,257.3,121.5,3586,1218,1.113,448.2,128.1,5006,-182,0.988,263.5,135.3,6874,-41,0.998,404.4,159.9,547,-468,0.715,547.0,273.5,4940,-562,0.962,449.1,164.7,6668,1065,1.053,392.2,145.0,3005,-1829,0.797,375.6,250.4,9461,3612,1.127,236.5,112.6,6749,2621,1.129,270.0,114.4,1852,-162,0.971,1852.0,185.2
その他,1006,179802,242,1.0,339.9,144.2,1874,-821,0.854,312.3,187.4,6050,229,1.013,318.4,137.5,2244,609,1.09,448.8,140.2,6911,-818,0.961,383.9,150.2,6678,65,1.003,267.1,130.9,1200,-1206,0.665,600.0,400.0,5788,-38,0.998,643.1,165.4,2336,-1053,0.85,389.3,212.4,354,-138,0.87,354.0,177.0,1824,-215,0.961,260.6,140.3,8389,2497,1.099,349.5,121.6,7966,1841,1.077,248.9,118.9,2705,-226,0.972,338.1,135.2,3097,97,1.01,516.2,147.5,4133,-1194,0.904,413.3,179.7,3005,-468,0.948,375.6,158.2,4129,-756,0.939,412.9,172.0,1550,-1076,0.769,516.7,310.0,1630,-503,0.897,271.7,163.0,537,-326,0.798,,537.0,7617,1418,1.062,245.7,119.0,4845,732,1.05,692.1,151.4,3214,-509,0.947,321.4,146.1,567,-244,0.857,,283.5,2527,79,1.01,361.0,140.4,7236,3376,1.156,212.8,100.5,3701,312,1.028,264.4,123.4,1967,-332,0.944,245.9,140.5,500,-326,0.783,,500.0,383,-285,0.752,,383.0,4334,-88,0.993,333.4,144.5,3247,-609,0.937,324.7,162.4,5894,297,1.017,453.4,147.4,7578,2144,1.094,280.7,116.6,1163,-426,0.878,290.8,166.1,3899,-721,0.938,324.9,162.5,7811,6,1.0,252.0,130.2,1778,-332,0.938,592.7,177.8,2414,1488,1.205,804.7,127.1,3873,462,1.04,430.3,143.4,1669,-779,0.844,1669.0,333.8,3800,-332,0.971,316.7,152.0,1475,-303,0.932,368.8,184.4,2845,268,1.031,474.2,158.1,6614,-135,0.993,300.6,150.3,3407,132,1.013,486.7,162.2,5640,32,1.002,313.3,152.4,1109,-450,0.865,554.5,221.8,1037,-621,0.8,1037.0,345.7,1346,150,1.037,269.2,134.6,3912,-662,0.944,391.2,170.1
その他,1007,185774,486,1.001,317.0,143.1,6343,979,1.051,253.7,122.0,733,-91,0.959,,244.3,1585,-444,0.907,264.2,158.5,5913,168,1.009,268.8,131.4,7659,1088,1.047,182.4,111.0,4546,-903,0.934,252.6,151.5,1978,-1276,0.785,989.0,282.6,990,-968,0.674,990.0,495.0,3240,515,1.053,360.0,140.9,4521,-450,0.967,251.2,150.7,8443,-335,0.987,205.9,127.9,455,-309,0.774,,455.0,1515,56,1.012,378.8,137.7,2876,2215,1.257,479.3,102.7,2395,356,1.05,479.0,140.9,746,-532,0.762,,746.0,7654,2568,1.112,283.5,116.0,6633,747,1.038,301.5,125.2,4779,-1218,0.915,341.4,170.7,3763,-1582,0.86,342.1,179.2,6995,497,1.024,349.8,137.2,1806,-309,0.943,301.0,150.5,526,-162,0.897,,263.0,2108,-409,0.935,263.5,150.6,5649,1500,1.089,313.8,122.8,7081,1312,1.062,354.0,133.6,5249,-862,0.945,328.1,164.0,1545,-544,0.883,386.2,193.1,3064,138,1.015,191.5,122.6,2567,-715,0.907,427.8,183.4,4093,-2126,0.827,292.4,194.9,2929,-6,0.999,732.2,162.7,1640,-1029,0.791,328.0,234.3,647,-268,0.862,215.7,161.8,5660,2162,1.127,332.9,117.9,1167,26,1.007,583.5,166.7,6425,-56,0.997,356.9,146.0,2898,-144,0.983,362.2,144.9,892,-403,0.849,892.0,223.0,4426,-171,0.987,737.7,184.4,4365,-1359,0.896,363.8,181.9,4052,782,1.064,450.2,144.7,1292,-779,0.799,430.7,258.4,719,-232,0.892,719.0,239.7,607,-585,0.679,607.0,607.0,6881,1756,1.085,312.8,132.3,6981,1526,1.073,232.7,120.4,7036,571,1.027,305.9,135.3,3913,-462,0.961,434.8,170.1,1940,268,1.046,485.0,149.2,3854,-15,0.999,550.6,175.2
その他,1008,184425,2718,1.005,323.0,141.8,2052,-491,0.92,513.0,171.0,2931,-1065,0.879,418.7,195.4,655,-50,0.975,655.0,163.8,1377,-285,0.931,688.5,229.5,5577,2303,1.138,348.6,118.7,892,-479,0.821,892.0,223.0,6899,771,1.037,287.5,127.8,2323,-50,0.993,580.8,154.9,6171,2285,1.123,257.1,110.2,656,-391,0.801,,328.0,8764,2674,1.102,199.2,108.2,4096,-779,0.937,409.6,163.8,1914,44,1.008,382.8,136.7,639,-226,0.882,,319.5,6392,1135,1.059,336.4,130.4,4331,579,1.045,254.8,123.7,5388,-665,0.959,299.3,149.7,480,-79,0.945,,240.0,2088,-491,0.922,348.0,160.6,1024,-103,0.966,,256.0,6376,1594,1.083,289.8,118.1,6604,-429,0.978,287.1,140.5,7541,1065,1.047,342.8,132.3,5069,-326,0.979,281.6,144.8,3140,-1735,0.816,523.3,241.5,5400,938,1.058,284.2,125.6,8384,171,1.007,215.0,125.1,411,-256,0.792,411.0,205.5,242,-21,0.971,,242.0,1374,-497,0.879,458.0,196.3,1362,-174,0.957,454.0,170.2,5012,197,1.013,358.0,139.2,5074,-126,0.992,338.3,145.0,1616,-591,0.878,269.3,146.9,2968,68,1.008,269.8,134.9,4777,735,1.051,367.5,136.5,3747,-629,0.944,340.6,149.9,3282,-850,0.914,410.2,164.1,4322,109,1.008,308.7,144.1,3078,-774,0.916,307.8,171.0,5238,-1441,0.908,436.5,187.1,2296,756,1.11,191.3,104.4,1438,-168,0.961,719.0,205.4,426,-309,0.758,,426.0,1647,-503,0.898,329.4,183.0,7928,3165,1.133,304.9,120.1,5016,-162,0.989,385.8,167.2,2804,-326,0.961,280.4,147.6,6506,124,1.006,309.8,144.6,1897,-650,0.886,948.5,237.1,4801,-874,0.939,600.1,200.0
