,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE
day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,total
area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a: アイムジャグラーEX-TP,0.993,1.021,1.011,0.919,0.881,1.06,0.814,0.992,0.936,0.849,0.991,0.987,1.072,0.746,1.029,1.035,1.061,0.981,0.965,1.031,1.0,0.97,0.997,0.945,0.909,0.964,0.893,0.981,0.92,0.971,1.054,0.983
b: アイムジャグラーEX-TP,0.986,0.98,0.979,0.957,1.003,0.981,0.991,1.005,0.974,0.965,0.984,0.945,0.967,0.927,0.998,0.963,0.973,0.983,0.974,0.916,1.041,0.919,0.98,0.971,0.943,0.956,0.973,0.977,0.949,0.969,0.955,0.976
c: アイムジャグラーEX-TP,0.998,0.985,0.945,0.993,0.979,0.977,1.006,0.966,1.0,0.99,1.0,0.988,1.016,0.977,1.021,0.984,0.984,1.014,1.002,0.97,0.983,0.954,0.967,0.995,1.006,0.996,0.979,0.984,0.96,0.982,1.007,0.99
d: マイジャグラーV,0.992,0.983,0.988,0.981,0.979,0.986,0.972,0.985,1.0,0.986,0.996,0.991,0.993,0.995,0.976,0.973,0.977,0.995,0.995,0.992,0.984,0.993,0.983,0.993,0.973,0.978,0.994,0.98,0.976,0.979,0.988,0.986
e: ファンキージャグラー2,0.985,0.991,0.975,0.963,0.972,0.998,0.965,0.995,0.939,0.964,0.984,0.971,1.006,0.971,0.974,0.964,0.96,0.997,0.979,0.945,0.98,0.958,0.928,0.985,0.966,1.026,0.976,0.978,0.977,0.981,0.985,0.979
f: ウルトラミラクルジャグラー,0.981,0.997,0.944,0.963,0.99,1.008,0.977,0.998,0.957,0.938,0.979,1.04,1.003,0.973,0.978,0.995,0.992,0.986,0.972,0.939,0.968,0.997,0.987,0.99,0.943,1.026,0.982,1.005,1.026,1.0,0.978,0.987
g: ジャグラーガールズ,0.963,0.971,1.0,0.974,0.955,0.933,0.991,0.966,0.97,0.989,1.037,0.979,0.95,0.986,0.98,0.985,1.007,0.968,0.941,0.982,0.993,0.936,0.937,1.011,0.969,0.962,0.933,1.008,1.025,0.955,0.985,0.979
h: ハッピージャグラーVIII,0.959,0.95,0.961,0.96,0.961,0.997,0.972,0.987,0.99,0.98,0.986,0.988,0.978,0.983,0.984,0.963,0.952,0.986,0.98,0.966,0.971,0.948,1.0,0.981,1.012,0.973,0.991,1.021,0.994,0.96,1.026,0.98
i: ゴーゴージャグラー3,1.013,0.987,0.989,0.969,1.006,0.985,0.986,0.993,0.981,0.986,1.007,0.995,0.978,0.971,0.998,0.988,0.977,0.987,0.982,0.994,0.992,0.969,0.965,0.983,0.981,0.987,0.969,0.987,0.992,0.999,0.975,0.99
その他,,,,,,,,,,,,,,,,,,,,,0.983,,,,,,,,,,,0.983
total,0.996,0.984,0.981,0.973,0.988,0.988,0.979,0.988,0.985,0.98,0.999,0.993,0.991,0.98,0.99,0.979,0.977,0.993,0.986,0.981,0.987,0.972,0.972,0.988,0.979,0.989,0.98,0.989,0.984,0.985,0.988,0.986
