,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE
day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,total
model_name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アイムジャグラーEX-TP,0.993,0.992,0.979,0.978,0.98,0.981,1.006,0.983,0.981,0.986,1.003,0.981,0.998,0.975,1.001,0.988,0.983,0.999,0.996,0.97,0.998,0.951,0.965,0.993,0.979,0.971,0.962,0.975,0.966,0.98,0.991,0.986
ウルトラミラクルジャグラー,0.981,0.997,0.944,0.963,0.99,1.008,0.977,0.998,0.957,0.938,0.979,1.04,1.003,0.973,0.978,0.995,0.992,0.986,0.972,0.939,0.969,0.997,0.987,0.99,0.943,1.026,0.982,1.005,1.026,1.0,0.978,0.987
ゴーゴージャグラー3,1.019,0.985,0.985,0.971,1.013,0.985,0.957,0.995,0.989,0.985,1.008,0.998,0.981,0.966,1.006,0.986,0.977,0.99,0.977,0.996,0.99,0.969,0.969,0.982,0.988,1.0,0.972,0.993,0.996,1.003,0.972,0.992
ジャグラーガールズ,0.968,0.942,1.01,0.959,0.995,0.957,0.98,0.97,0.971,0.966,1.01,0.975,0.97,0.944,0.984,0.984,0.977,0.95,0.928,1.02,0.993,0.971,0.964,0.964,0.978,0.977,0.981,0.994,1.003,0.998,1.003,0.978
ハッピージャグラーVIII,0.962,0.951,0.95,0.953,0.957,0.997,0.97,0.982,0.988,0.982,0.987,0.988,0.969,0.99,0.984,0.959,0.964,0.987,0.98,0.952,0.962,0.946,0.987,0.98,1.007,0.968,0.996,1.027,1.001,0.952,1.026,0.979
ファンキージャグラー2,0.985,0.991,0.975,0.963,0.972,0.998,0.965,0.995,0.939,0.964,0.984,0.971,1.006,0.971,0.974,0.964,0.96,0.997,0.979,0.945,0.987,0.958,0.928,0.985,0.966,1.026,0.976,0.978,0.977,0.981,0.985,0.979
マイジャグラーV,0.992,0.983,0.988,0.981,0.979,0.986,0.972,0.985,1.0,0.986,0.996,0.991,0.993,0.995,0.976,0.973,0.977,0.995,0.995,0.992,0.984,0.993,0.983,0.993,0.973,0.978,0.994,0.98,0.976,0.979,0.988,0.986
total,0.996,0.984,0.981,0.973,0.988,0.988,0.979,0.988,0.985,0.98,0.999,0.993,0.991,0.98,0.99,0.979,0.977,0.993,0.986,0.981,0.987,0.972,0.972,0.988,0.979,0.989,0.98,0.989,0.984,0.985,0.988,0.986
