,,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE
day,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,total,1.05+
その他,1001,0.973,1.024,0.995,0.951,0.976,1.018,1.118,0.889,1.016,1.016,1.021,0.934,1.111,1.005,0.959,0.992,0.988,0.878,0.999,0.962,0.953,0.971,0.794,0.9,1.043,1.088,0.736,0.987,1.048,0.955,0.99,3
その他,1002,1.051,0.999,1.087,0.95,1.007,1.047,0.814,0.895,1.063,1.003,0.954,0.742,1.076,0.914,1.056,0.92,0.819,0.968,0.822,1.011,0.946,1.062,1.092,1.088,0.702,1.054,0.952,0.656,0.902,0.872,1.002,9
その他,1003,1.101,0.909,0.977,1.036,0.975,0.978,0.972,0.63,0.888,0.937,1.191,0.903,1.126,0.992,0.936,0.931,0.996,1.025,0.869,0.926,1.005,0.932,0.924,1.061,1.069,0.902,1.009,1.049,0.993,0.793,1.009,5
その他,1004,0.996,0.992,0.887,0.951,0.976,1.001,0.943,0.825,0.996,1.01,0.957,0.919,1.005,0.978,1.097,0.972,1.009,0.921,0.971,0.945,1.027,1.094,1.029,1.071,0.963,1.056,0.981,0.54,0.931,1.123,0.991,5
その他,1005,1.015,1.09,1.082,0.937,1.002,0.948,0.885,0.976,1.051,1.111,1.011,1.032,0.946,1.023,0.935,0.957,1.046,0.911,1.11,0.991,0.945,0.956,0.917,0.984,0.888,1.077,1.047,1.129,0.839,0.809,1.006,7
その他,1006,1.022,0.969,0.86,0.809,0.975,0.983,0.959,1.02,0.958,1.043,1.057,1.014,1.163,0.888,0.999,0.874,0.985,1.031,1.037,0.986,0.951,0.752,0.783,0.944,1.028,1.156,1.01,0.857,0.947,1.05,1.0,4
その他,1007,1.015,0.923,0.936,1.032,1.093,1.053,0.975,1.184,0.914,1.035,0.956,0.977,1.009,0.905,0.947,0.949,1.081,0.995,0.848,0.991,0.963,0.907,1.015,0.883,0.945,1.062,1.089,0.935,0.897,0.943,1.001,6
その他,1008,1.021,0.914,0.986,0.959,0.974,1.102,1.026,0.833,0.988,0.999,1.029,0.896,1.076,0.946,1.004,1.015,1.092,0.902,0.99,0.964,0.935,0.879,0.971,0.792,1.007,1.058,0.816,0.979,1.047,0.978,1.005,4
その他,1009,1.043,0.817,0.997,0.945,0.959,1.03,1.045,0.908,1.097,1.058,1.019,1.011,1.032,1.012,0.998,0.904,1.013,0.922,1.11,0.936,1.018,1.082,1.027,1.147,0.97,0.915,1.018,0.745,0.981,0.772,1.01,5
