,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE
day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,total
area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a: アイムジャグラーEX-TP,0.992,1.01,1.042,0.903,0.78,0.991,0.814,1.004,0.936,0.895,0.982,0.977,1.057,0.675,1.038,1.021,0.946,0.967,0.899,0.972,1.029,0.978,0.996,0.946,0.923,0.957,0.865,0.976,0.91,0.971,1.054,0.973
b: アイムジャグラーEX-TP,0.982,0.962,0.95,0.937,1.024,0.967,0.995,1.011,0.988,0.967,0.995,0.942,0.994,0.911,1.001,0.914,0.957,0.983,0.973,0.925,1.055,0.893,0.978,0.969,0.938,0.956,0.977,0.959,0.939,0.969,0.955,0.974
c: アイムジャグラーEX-TP,1.004,0.992,0.966,1.005,0.978,0.986,1.006,0.968,1.0,0.984,0.993,0.981,1.021,0.97,1.023,0.984,1.002,1.014,0.997,0.97,0.983,0.954,0.967,0.995,1.006,0.996,0.979,0.984,0.96,0.982,1.007,0.991
d: マイジャグラーV,0.99,0.976,0.99,0.982,0.978,0.987,0.975,0.981,1.008,0.992,0.992,0.987,0.99,0.99,0.971,0.952,0.977,0.987,0.996,0.989,0.977,1.0,0.98,1.0,0.972,0.977,0.997,0.977,0.979,0.979,0.988,0.984
e: ファンキージャグラー2,0.987,1.0,1.015,0.965,0.948,1.01,0.966,0.993,0.946,0.968,0.984,0.965,1.002,0.959,0.957,0.963,0.96,1.005,0.964,0.929,0.966,0.957,0.928,0.974,0.977,1.03,0.975,0.972,0.976,0.981,0.985,0.978
f: ウルトラミラクルジャグラー,0.988,0.991,0.956,0.957,0.98,1.014,0.977,1.001,0.957,0.93,0.982,1.047,1.009,0.968,0.981,0.996,0.995,0.98,0.965,0.939,0.968,0.997,0.987,0.99,0.943,1.026,0.982,1.005,1.026,1.0,0.978,0.988
g: ジャグラーガールズ,0.985,0.96,0.983,0.943,0.97,0.925,0.972,0.969,0.978,0.96,1.027,0.978,0.953,0.962,0.972,0.976,0.987,0.941,0.945,1.008,0.977,0.924,0.933,0.962,0.961,0.954,0.952,1.006,1.023,0.955,0.985,0.972
h: ハッピージャグラーVIII,0.967,0.968,0.907,0.948,0.947,0.997,0.945,0.978,0.991,0.979,0.97,0.994,0.971,0.989,0.982,0.935,0.964,1.002,0.985,0.957,0.951,0.948,0.986,0.977,1.015,0.971,1.001,1.026,1.008,0.96,1.026,0.98
i: ゴーゴージャグラー3,1.004,0.989,0.985,0.969,1.006,0.979,0.98,0.991,0.99,0.978,1.005,0.997,0.968,0.98,1.004,0.982,0.986,0.993,0.978,1.0,0.99,0.954,0.966,0.986,0.982,0.994,0.967,0.984,0.992,0.999,0.975,0.989
total,0.994,0.984,0.981,0.972,0.985,0.987,0.977,0.986,0.992,0.978,0.995,0.993,0.99,0.978,0.991,0.968,0.98,0.993,0.983,0.981,0.982,0.97,0.97,0.989,0.98,0.991,0.981,0.987,0.986,0.985,0.988,0.985
