,,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE
date,,total,total,total,total,total,total,total,2025-06-26 00:00:00,2025-06-26 00:00:00,2025-06-26 00:00:00,2025-06-26 00:00:00,2025-06-26 00:00:00,2025-06-26 00:00:00,2025-06-26 00:00:00
area,unit_no,,,,,,,,,,,,,,
d: マイジャグラーV,789,2460,-797,7,4,0.892,615.0,223.6,2460,-797,7,4,0.892,615.0,223.6
d: マイジャグラーV,790,5752,3093,36,13,1.179,442.5,117.4,5752,3093,36,13,1.179,442.5,117.4
d: マイジャグラーV,791,1858,-1128,3,4,0.798,464.5,265.4,1858,-1128,3,4,0.798,464.5,265.4
d: マイジャグラーV,792,3211,541,14,8,1.056,401.4,146.0,3211,541,14,8,1.056,401.4,146.0
d: マイジャグラーV,793,2272,517,12,3,1.076,757.3,151.5,2272,517,12,3,1.076,757.3,151.5
d: マイジャグラーV,794,4389,-52,16,11,0.996,399.0,162.6,4389,-52,16,11,0.996,399.0,162.6
d: マイジャグラーV,795,990,-494,3,1,0.834,990.0,247.5,990,-494,3,1,0.834,990.0,247.5
d: マイジャグラーV,796,6064,285,26,18,1.016,336.9,137.8,6064,285,26,18,1.016,336.9,137.8
d: マイジャグラーV,797,4484,-128,18,11,0.99,407.6,154.6,4484,-128,18,11,0.99,407.6,154.6
d: マイジャグラーV,798,1809,285,8,6,1.053,301.5,129.2,1809,285,8,6,1.053,301.5,129.2
d: マイジャグラーV,799,5566,-622,19,16,0.963,347.9,159.0,5566,-622,19,16,0.963,347.9,159.0
d: マイジャグラーV,800,1664,-866,3,3,0.827,554.7,277.3,1664,-866,3,3,0.827,554.7,277.3
d: マイジャグラーV,801,1729,-308,5,4,0.941,432.2,192.1,1729,-308,5,4,0.941,432.2,192.1
d: マイジャグラーV,802,5595,267,24,11,1.016,508.6,159.9,5595,267,24,11,1.016,508.6,159.9
d: マイジャグラーV,803,1091,-773,2,2,0.764,545.5,272.8,1091,-773,2,2,0.764,545.5,272.8
d: マイジャグラーV,804,4141,942,19,10,1.076,414.1,142.8,4141,942,19,10,1.076,414.1,142.8
d: マイジャグラーV,805,3910,-2070,7,11,0.824,355.5,217.2,3910,-2070,7,11,0.824,355.5,217.2
d: マイジャグラーV,806,2961,-913,9,3,0.897,987.0,246.8,2961,-913,9,3,0.897,987.0,246.8
d: マイジャグラーV,807,3721,-1547,9,9,0.861,413.4,206.7,3721,-1547,9,9,0.861,413.4,206.7
d: マイジャグラーV,808,1733,-1314,3,3,0.747,577.7,288.8,1733,-1314,3,3,0.747,577.7,288.8
e: ファンキージャグラー2,819,1659,-576,4,5,0.884,331.8,184.3,1659,-576,4,5,0.884,331.8,184.3
e: ファンキージャグラー2,820,4019,-407,13,12,0.966,334.9,160.8,4019,-407,13,12,0.966,334.9,160.8
e: ファンキージャグラー2,821,823,-41,4,0,0.983,,205.8,823,-41,4,0,0.983,,205.8
e: ファンキージャグラー2,822,638,-76,3,1,0.96,638.0,159.5,638,-76,3,1,0.96,638.0,159.5
e: ファンキージャグラー2,823,1373,-459,4,4,0.889,343.2,171.6,1373,-459,4,4,0.889,343.2,171.6
e: ファンキージャグラー2,824,2177,128,10,6,1.02,362.8,136.1,2177,128,10,6,1.02,362.8,136.1
e: ファンキージャグラー2,825,288,-77,1,0,0.911,,288.0,288,-77,1,0,0.911,,288.0
e: ファンキージャグラー2,826,1902,855,10,7,1.15,271.7,111.9,1902,855,10,7,1.15,271.7,111.9
g: ジャグラーガールズ,816,1342,599,9,1,1.149,1342.0,134.2,1342,599,9,1,1.149,1342.0,134.2
g: ジャグラーガールズ,817,802,-192,2,3,0.92,267.3,160.4,802,-192,2,3,0.92,267.3,160.4
g: ジャグラーガールズ,818,3711,1081,18,12,1.097,309.2,123.7,3711,1081,18,12,1.097,309.2,123.7
i: ゴーゴージャグラー3,809,2928,-29,11,11,0.997,266.2,133.1,2928,-29,11,11,0.997,266.2,133.1
i: ゴーゴージャグラー3,810,941,-448,2,2,0.841,470.5,235.2,941,-448,2,2,0.841,470.5,235.2
i: ゴーゴージャグラー3,811,946,-297,3,3,0.895,315.3,157.7,946,-297,3,3,0.895,315.3,157.7
i: ゴーゴージャグラー3,812,374,-401,0,1,0.643,374.0,374.0,374,-401,0,1,0.643,374.0,374.0
i: ゴーゴージャグラー3,813,700,-273,2,1,0.87,700.0,233.3,700,-273,2,1,0.87,700.0,233.3
i: ゴーゴージャグラー3,814,281,-262,0,1,0.689,281.0,281.0,281,-262,0,1,0.689,281.0,281.0
i: ゴーゴージャグラー3,815,4054,-134,17,10,0.989,405.4,150.1,4054,-134,17,10,0.989,405.4,150.1
i: ゴーゴージャグラー3,827,687,-424,2,1,0.794,687.0,229.0,687,-424,2,1,0.794,687.0,229.0
i: ゴーゴージャグラー3,828,816,-552,1,2,0.775,408.0,272.0,816,-552,1,2,0.775,408.0,272.0
i: ゴーゴージャグラー3,829,2572,-122,11,6,0.984,428.7,151.3,2572,-122,11,6,0.984,428.7,151.3
i: ゴーゴージャグラー3,830,163,-203,0,0,0.585,,,163,-203,0,0,0.585,,
i: ゴーゴージャグラー3,831,482,-413,1,0,0.714,,482.0,482,-413,1,0,0.714,,482.0
i: ゴーゴージャグラー3,832,237,-297,0,0,0.582,,,237,-297,0,0,0.582,,
i: ゴーゴージャグラー3,833,3584,622,17,12,1.058,298.7,123.6,3584,622,17,12,1.058,298.7,123.6
i: ゴーゴージャグラー3,834,561,99,3,1,1.059,561.0,140.2,561,99,3,1,1.059,561.0,140.2
i: ゴーゴージャグラー3,835,1685,-471,6,3,0.907,561.7,187.2,1685,-471,6,3,0.907,561.7,187.2
i: ゴーゴージャグラー3,836,1364,-343,4,5,0.916,272.8,151.6,1364,-343,4,5,0.916,272.8,151.6
i: ゴーゴージャグラー3,837,216,-308,0,0,0.525,,,216,-308,0,0,0.525,,
i: ゴーゴージャグラー3,838,2030,779,11,7,1.128,290.0,112.8,2030,779,11,7,1.128,290.0,112.8
i: ゴーゴージャグラー3,839,284,-145,1,0,0.83,,284.0,284,-145,1,0,0.83,,284.0
i: ゴーゴージャグラー3,840,2948,483,13,8,1.055,368.5,140.4,2948,483,13,8,1.055,368.5,140.4
i: ゴーゴージャグラー3,841,551,-64,3,0,0.961,,183.7,551,-64,3,0,0.961,,183.7
i: ゴーゴージャグラー3,842,270,-297,0,1,0.633,270.0,270.0,270,-297,0,1,0.633,270.0,270.0
i: ゴーゴージャグラー3,843,872,-669,1,2,0.744,436.0,290.7,872,-669,1,2,0.744,436.0,290.7
i: ゴーゴージャグラー3,844,508,-76,2,0,0.95,,254.0,508,-76,2,0,0.95,,254.0
i: ゴーゴージャグラー3,845,1622,180,8,2,1.037,811.0,162.2,1622,180,8,2,1.037,811.0,162.2
i: ゴーゴージャグラー3,846,800,-64,3,2,0.973,400.0,160.0,800,-64,3,2,0.973,400.0,160.0
i: ゴーゴージャグラー3,847,1021,-87,4,2,0.972,510.5,170.2,1021,-87,4,2,0.972,510.5,170.2
i: ゴーゴージャグラー3,848,2540,436,12,7,1.057,362.9,133.7,2540,436,12,7,1.057,362.9,133.7
その他,751,402,-308,0,2,0.745,201.0,201.0,402,-308,0,2,0.745,201.0,201.0
その他,752,2062,-610,6,6,0.901,343.7,171.8,2062,-610,6,6,0.901,343.7,171.8
その他,753,1513,-610,5,1,0.866,1513.0,252.2,1513,-610,5,1,0.866,1513.0,252.2
その他,754,1522,-529,4,3,0.884,507.3,217.4,1522,-529,4,3,0.884,507.3,217.4
その他,755,1157,-471,2,4,0.864,289.2,192.8,1157,-471,2,4,0.864,289.2,192.8
その他,756,861,-343,3,1,0.867,861.0,215.2,861,-343,3,1,0.867,861.0,215.2
その他,757,668,-599,0,2,0.701,334.0,334.0,668,-599,0,2,0.701,334.0,334.0
その他,758,644,-180,3,0,0.907,,214.7,644,-180,3,0,0.907,,214.7
その他,759,2106,203,10,5,1.032,421.2,140.4,2106,203,10,5,1.032,421.2,140.4
その他,760,289,-320,0,1,0.631,289.0,289.0,289,-320,0,1,0.631,289.0,289.0
その他,761,198,-273,0,0,0.54,,,198,-273,0,0,0.54,,
その他,762,4525,965,19,16,1.071,282.8,129.3,4525,965,19,16,1.071,282.8,129.3
その他,763,466,-134,1,1,0.904,466.0,233.0,466,-134,1,1,0.904,466.0,233.0
その他,764,963,-157,2,5,0.946,192.6,137.6,963,-157,2,5,0.946,192.6,137.6
その他,765,130,-169,0,0,0.567,,,130,-169,0,0,0.567,,
その他,766,467,215,3,1,1.153,467.0,116.8,467,215,3,1,1.153,467.0,116.8
その他,767,579,87,2,3,1.05,193.0,115.8,579,87,2,3,1.05,193.0,115.8
その他,768,1918,320,7,6,1.056,319.7,147.5,1918,320,7,6,1.056,319.7,147.5
その他,769,1015,378,6,3,1.124,338.3,112.8,1015,378,6,3,1.124,338.3,112.8
その他,770,489,-227,1,1,0.845,489.0,244.5,489,-227,1,1,0.845,489.0,244.5
その他,771,1061,-756,2,0,0.762,,530.5,1061,-756,2,0,0.762,,530.5
その他,772,788,-331,2,1,0.86,788.0,262.7,788,-331,2,1,0.86,788.0,262.7
その他,773,2010,453,10,3,1.075,670.0,154.6,2010,453,10,3,1.075,670.0,154.6
その他,774,943,-494,3,0,0.825,,314.3,943,-494,3,0,0.825,,314.3
その他,775,618,-378,1,1,0.796,618.0,309.0,618,-378,1,1,0.796,618.0,309.0
その他,776,1334,52,6,3,1.013,444.7,148.2,1334,52,6,3,1.013,444.7,148.2
その他,777,2786,-622,9,4,0.926,696.5,214.3,2786,-622,9,4,0.926,696.5,214.3
その他,778,270,-355,0,0,0.562,,,270,-355,0,0,0.562,,
その他,779,196,-262,0,0,0.554,,,196,-262,0,0,0.554,,
その他,780,3510,529,15,10,1.05,351.0,140.4,3510,529,15,10,1.05,351.0,140.4
その他,781,628,-262,2,1,0.861,628.0,209.3,628,-262,2,1,0.861,628.0,209.3
その他,782,3864,2349,24,13,1.203,297.2,104.4,3864,2349,24,13,1.203,297.2,104.4
その他,783,1532,-390,4,3,0.915,510.7,218.9,1532,-390,4,3,0.915,510.7,218.9
その他,784,1600,-99,7,3,0.979,533.3,160.0,1600,-99,7,3,0.979,533.3,160.0
その他,785,441,-343,0,1,0.741,441.0,441.0,441,-343,0,1,0.741,441.0,441.0
その他,786,618,-645,0,1,0.652,618.0,618.0,618,-645,0,1,0.652,618.0,618.0
その他,787,1064,-215,3,4,0.933,266.0,152.0,1064,-215,3,4,0.933,266.0,152.0
その他,788,1336,192,5,4,1.048,334.0,148.4,1336,192,5,4,1.048,334.0,148.4
total,,166744,-12366,626,405,0.975,411.7,161.7,166744,-12366,626,405,0.975,411.7,161.7
