,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE
day,1,2,7,8,10,11,12,13,14,15,16,17,18,19,20,21,22,23,25,26,27,28,29,30,total
model_name,,,,,,,,,,,,,,,,,,,,,,,,,
アイムジャグラーEX-TP,1.022,0.951,0.938,0.977,0.962,0.974,0.964,0.977,0.967,0.993,0.979,0.869,0.989,0.992,0.951,0.938,0.99,0.966,0.987,0.992,0.926,0.953,0.971,1.027,0.974
ウルトラミラクルジャグラー,0.963,0.97,0.899,0.969,0.83,0.985,1.098,0.964,1.0,0.946,0.795,0.963,0.863,1.011,1.032,0.967,0.964,0.886,0.932,1.015,0.861,1.065,0.974,1.018,0.978
ゴーゴージャグラー3,0.93,0.974,0.991,0.972,0.969,0.991,0.99,0.967,0.974,0.995,0.981,0.987,1.002,0.923,0.978,0.963,0.99,1.008,0.966,0.965,1.001,0.991,0.973,1.016,0.98
ジャグラーガールズ,1.034,1.071,0.925,1.09,0.982,0.939,0.84,1.053,1.037,1.04,0.937,0.925,0.988,0.921,0.986,0.894,1.041,0.85,0.877,0.95,1.035,0.996,0.963,1.048,0.991
ハッピージャグラーVIII,1.07,0.965,1.011,1.037,0.95,1.039,0.969,1.042,0.951,0.969,1.004,0.905,0.96,0.847,0.956,0.884,1.034,1.031,0.948,1.042,1.021,0.932,0.999,0.98,0.992
ファンキージャグラー2,0.979,1.049,1.006,0.947,0.957,0.962,0.999,0.913,1.022,1.026,0.96,1.004,1.004,0.887,0.88,0.92,0.969,1.035,1.006,0.862,0.845,0.986,0.994,0.967,0.978
マイジャグラーV,1.006,1.037,0.945,1.007,1.004,1.002,0.974,0.986,0.996,1.006,0.986,0.99,0.966,1.008,0.978,0.999,1.013,0.986,0.98,0.974,0.987,1.014,0.979,1.009,0.994
total,0.995,1.0,0.961,0.992,0.978,0.992,0.983,0.979,0.986,0.999,0.974,0.968,0.982,0.974,0.97,0.962,0.999,0.988,0.974,0.975,0.972,0.997,0.977,1.012,0.984
