,,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE
day,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,total,count_1.05+
a: アイムジャグラーEX-TP,663,1.003,1.004,,0.867,0.827,0.849,0.557,0.905,0.926,0.888,0.961,0.989,1.052,0.703,1.003,1.021,1.008,0.89,0.802,0.946,0.973,1.005,0.896,0.941,0.847,0.945,0.891,1.018,0.894,1.068,1.08,0.97,3
a: アイムジャグラーEX-TP,664,0.941,0.988,,0.806,0.796,1.111,0.417,1.056,1.096,0.944,0.985,0.948,1.023,0.614,0.991,1.095,0.762,1.052,1.02,0.589,0.937,0.722,0.938,1.009,0.965,1.013,0.897,0.787,0.821,1.032,0.85,0.978,5
a: アイムジャグラーEX-TP,665,0.615,1.261,0.0,0.964,0.73,1.332,-0.333,0.942,0.874,0.93,0.999,1.004,1.097,0.609,1.167,1.009,0.763,0.717,0.98,1.032,1.216,0.718,1.16,1.043,1.015,1.011,0.643,0.913,1.002,0.507,0.576,1.002,6
a: アイムジャグラーEX-TP,666,1.032,0.804,1.06,0.96,0.589,0.929,0.872,1.111,0.938,0.737,1.019,0.864,1.129,0.721,0.614,0.791,1.146,0.956,0.688,0.972,1.065,1.046,0.991,0.712,0.818,0.631,0.84,1.034,0.904,0.64,,0.949,5
b: アイムジャグラーEX-TP,856,0.998,0.938,1.016,1.01,1.073,1.013,1.064,0.963,0.993,0.967,1.01,0.792,0.966,0.953,0.972,0.94,0.991,0.939,1.007,0.847,1.063,0.93,1.057,0.926,0.743,0.968,0.939,0.947,0.957,0.965,0.923,0.979,4
b: アイムジャグラーEX-TP,857,0.959,0.971,0.885,0.851,0.781,0.951,0.973,1.018,1.022,1.002,1.02,0.951,0.958,0.889,1.041,0.95,0.93,1.018,0.868,0.869,1.041,0.901,0.949,0.97,0.924,0.941,0.994,0.993,0.959,0.993,0.937,0.973,0
b: アイムジャグラーEX-TP,858,0.972,0.96,0.953,0.902,1.049,0.971,0.993,1.042,0.924,0.835,1.005,0.839,0.884,0.971,0.941,0.895,0.975,1.015,0.957,1.008,1.051,0.908,1.015,0.983,0.95,1.019,0.978,0.887,0.947,0.946,0.966,0.975,1
b: アイムジャグラーEX-TP,859,0.988,0.971,0.953,0.927,0.994,0.926,0.962,1.012,0.985,0.98,0.953,1.031,1.067,0.807,1.004,0.869,0.937,0.955,0.979,0.857,1.062,0.809,0.837,0.978,0.994,0.885,0.983,0.955,0.898,0.969,0.992,0.969,2
c: アイムジャグラーEX-TP,866,1.012,0.944,0.963,0.965,1.04,0.981,0.907,0.95,1.032,0.953,1.015,0.864,0.953,1.009,0.979,0.946,1.042,1.008,1.013,0.99,0.977,0.982,0.867,1.023,1.085,0.943,0.921,0.998,0.984,0.973,0.958,0.987,1
c: アイムジャグラーEX-TP,867,1.058,1.006,0.99,0.991,0.976,1.066,0.905,0.95,0.991,1.041,1.042,1.072,0.961,0.972,0.99,0.918,1.029,0.974,0.977,1.055,0.888,1.046,0.998,1.02,0.945,0.995,1.037,0.962,0.881,1.048,1.045,1.006,4
c: アイムジャグラーEX-TP,868,1.01,1.039,1.014,0.963,0.963,1.013,1.029,1.021,0.974,0.962,0.977,0.989,0.942,0.913,1.035,1.016,1.058,1.027,0.877,0.735,0.99,0.945,0.947,0.937,1.049,1.084,0.945,0.948,0.944,0.995,1.112,0.996,3
c: アイムジャグラーEX-TP,869,1.009,0.926,0.66,0.964,0.846,0.898,1.033,0.95,0.913,0.945,0.969,0.96,1.059,0.918,1.058,1.006,1.016,1.091,1.044,0.908,1.082,0.964,1.062,0.922,1.024,1.0,0.938,0.839,0.982,0.926,1.039,0.988,5
c: アイムジャグラーEX-TP,870,1.044,0.96,0.92,1.032,1.032,0.93,0.891,0.945,1.062,0.979,0.949,1.096,0.949,1.003,0.983,0.715,1.102,1.008,0.968,0.894,0.887,0.934,0.962,1.082,1.034,0.931,0.966,0.857,0.898,1.004,0.965,0.987,4
c: アイムジャグラーEX-TP,871,1.057,0.922,0.903,1.108,1.029,0.992,0.907,0.996,0.926,1.084,1.0,1.046,1.132,1.064,1.007,0.979,0.975,1.084,0.977,1.025,1.069,1.025,0.931,1.061,0.828,1.016,1.049,1.003,0.865,0.973,0.987,1.013,8
c: アイムジャグラーEX-TP,872,0.958,1.011,1.169,1.028,0.971,1.009,1.062,1.021,0.979,1.021,0.887,0.962,0.927,0.98,1.025,1.032,0.939,1.034,0.883,0.985,0.867,0.941,0.97,0.933,0.993,0.865,0.961,0.989,1.022,0.862,0.927,0.977,2
