,,7RANK,3RANK,1RANK,7ROLLING,3ROLLING,MEDALS,RATE_MEDAL,GAME,RB_RATE,TOTAL_RATE,GRAPE_RATE,5MORE,7RANK,3RANK,1RANK,7ROLLING,3ROLLING,MEDALS,RATE_MEDAL,GAME,RB_RATE,TOTAL_RATE,GRAPE_RATE,5MORE,7RANK,3RANK,1RANK,7ROLLING,3ROLLING,MEDALS,RATE_MEDAL,GAME,RB_RATE,TOTAL_RATE,GRAPE_RATE,5MORE
date,,2025-05-31 00:00:00,2025-05-31 00:00:00,2025-05-31 00:00:00,2025-05-31 00:00:00,2025-05-31 00:00:00,2025-05-31 00:00:00,2025-05-31 00:00:00,2025-05-31 00:00:00,2025-05-31 00:00:00,2025-05-31 00:00:00,2025-05-31 00:00:00,2025-05-31 00:00:00,2025-05-30 00:00:00,2025-05-30 00:00:00,2025-05-30 00:00:00,2025-05-30 00:00:00,2025-05-30 00:00:00,2025-05-30 00:00:00,2025-05-30 00:00:00,2025-05-30 00:00:00,2025-05-30 00:00:00,2025-05-30 00:00:00,2025-05-30 00:00:00,2025-05-30 00:00:00,2025-05-29 00:00:00,2025-05-29 00:00:00,2025-05-29 00:00:00,2025-05-29 00:00:00,2025-05-29 00:00:00,2025-05-29 00:00:00,2025-05-29 00:00:00,2025-05-29 00:00:00,2025-05-29 00:00:00,2025-05-29 00:00:00,2025-05-29 00:00:00,2025-05-29 00:00:00
model_name,unit_no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アイムジャグラーEX-TP,321,1,1,1,0.0,0.0,0,1.0,6832,244.0,117.8,7.58,0.77,1,1,1,0.0,0.0,0,1.0,3415,1138.3,148.5,8.05,0.0,1,1,1,0.0,0.0,0,1.0,5615,311.9,140.4,6.36,0.19
アイムジャグラーEX-TP,322,1,1,1,0.0,0.0,0,1.0,5096,364.0,124.3,8.37,0.19,1,1,1,0.0,0.0,0,1.0,1009,0.0,144.1,9.93,0.0,1,1,1,0.0,0.0,0,1.0,208,0.0,0.0,3.14,0.0
アイムジャグラーEX-TP,323,1,1,1,0.0,0.0,0,1.0,3591,299.2,156.1,5.48,0.0,1,1,1,0.0,0.0,0,1.0,4003,400.3,154.0,6.12,0.0,1,1,1,0.0,0.0,0,1.0,331,0.0,0.0,3.14,0.0
アイムジャグラーEX-TP,324,1,1,1,0.0,0.0,0,1.0,3784,420.4,164.5,5.75,0.0,1,1,1,0.0,0.0,0,1.0,1165,1165.0,233.0,4.99,0.0,1,1,1,0.0,0.0,0,1.0,7316,197.7,121.9,6.27,0.9400000000000001
アイムジャグラーEX-TP,325,1,1,1,0.0,0.0,0,1.0,3154,350.4,175.2,5.13,0.0,1,1,1,0.0,0.0,0,1.0,3703,462.9,132.2,8.12,0.0,1,1,1,0.0,0.0,0,1.0,758,0.0,252.7,5.15,0.0
アイムジャグラーEX-TP,326,1,1,1,0.0,0.0,0,1.0,2328,1164.0,388.0,3.93,0.0,1,1,1,0.0,0.0,0,1.0,797,265.7,159.4,5.13,0.0,1,1,1,0.0,0.0,0,1.0,1211,1211.0,173.0,6.53,0.0
アイムジャグラーEX-TP,327,1,1,1,0.0,0.0,0,1.0,6018,334.3,128.0,7.6,0.22,1,1,1,0.0,0.0,0,1.0,192,0.0,0.0,3.14,0.0,1,1,1,0.0,0.0,0,1.0,4991,277.3,108.5,10.06,0.0
アイムジャグラーEX-TP,418,1,1,1,0.0,0.0,0,1.0,2406,401.0,267.3,4.0,0.0,1,1,1,0.0,0.0,0,1.0,4824,482.4,172.3,5.66,0.0,1,1,1,0.0,0.0,0,1.0,1622,540.7,162.2,6.21,0.0
 , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ファンキージャグラー2,328,1,1,1,0.0,0.0,0,1.0,2084,297.7,160.3,5.2,0.0,1,1,1,0.0,0.0,0,1.0,6531,284.0,133.3,6.36,0.09999999999999999,1,1,1,0.0,0.0,0,1.0,4065,369.5,145.2,6.21,0.0
ファンキージャグラー2,329,1,1,1,0.0,0.0,0,1.0,2996,428.0,199.7,4.75,0.0,1,1,1,0.0,0.0,0,1.0,1423,474.3,237.2,4.35,0.0,1,1,1,0.0,0.0,0,1.0,288,0.0,144.0,9.05,0.0
ファンキージャグラー2,330,1,1,1,0.0,0.0,0,1.0,1025,0.0,256.2,4.96,0.0,1,1,1,0.0,0.0,0,1.0,539,269.5,179.7,4.58,0.0,1,1,1,0.0,0.0,0,1.0,2714,387.7,135.7,6.93,0.0
ファンキージャグラー2,331,1,1,1,0.0,0.0,0,1.0,1211,605.5,242.2,4.45,0.0,1,1,1,0.0,0.0,0,1.0,3051,435.9,160.6,5.77,0.0,1,1,1,0.0,0.0,0,1.0,1268,317.0,158.5,5.37,0.0
ファンキージャグラー2,332,1,1,1,0.0,0.0,0,1.0,4544,349.5,181.8,4.87,0.0,1,1,1,0.0,0.0,0,1.0,2213,553.2,138.3,7.43,0.0,1,1,1,0.0,0.0,0,1.0,1438,719.0,359.5,3.85,0.0
 , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ウルトラミラクルジャグラー,333,1,1,1,0.0,0.0,0,1.0,4803,436.6,160.1,0.0,0.0,1,1,1,0.0,0.0,0,1.0,1397,698.5,199.6,0.0,0.0,1,1,1,0.0,0.0,0,1.0,2097,349.5,161.3,0.0,0.0
ウルトラミラクルジャグラー,334,1,1,1,0.0,0.0,0,1.0,1143,381.0,190.5,0.0,0.0,1,1,1,0.0,0.0,0,1.0,1086,1086.0,271.5,0.0,0.0,1,1,1,0.0,0.0,0,1.0,645,645.0,322.5,0.0,0.0
 , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ゴーゴージャグラー3,335,1,1,1,0.0,0.0,0.0,1.0,7319.0,261.4,114.4,7.9,0.0,1,1,1,0.0,0.0,0.0,1.0,4625.0,462.5,144.5,6.61,0.0,1,1,1,0.0,0.0,0.0,1.0,1505.0,376.2,136.8,6.74,0.0
ゴーゴージャグラー3,336,1,1,1,0.0,0.0,0.0,1.0,2298.0,287.2,153.2,5.36,0.0,1,1,1,0.0,0.0,0.0,1.0,105.0,0.0,0.0,3.14,0.0,1,1,1,0.0,0.0,0.0,1.0,894.0,894.0,178.8,5.81,0.0
ゴーゴージャグラー3,337,1,1,1,0.0,0.0,0.0,1.0,1063.0,0.0,177.2,6.65,0.0,1,1,1,0.0,0.0,0.0,1.0,6935.0,266.7,113.7,8.09,0.0,1,1,1,0.0,0.0,0.0,1.0,724.0,362.0,181.0,4.91,0.0
ゴーゴージャグラー3,338,1,1,1,0.0,0.0,0.0,1.0,6422.0,291.9,133.8,6.36,0.06999999999999999,1,1,1,0.0,0.0,0.0,1.0,329.0,329.0,329.0,3.54,0.0,1,1,1,0.0,0.0,0.0,1.0,1435.0,478.3,143.5,6.74,0.0
ゴーゴージャグラー3,339,1,1,1,0.0,0.0,0.0,1.0,557.0,557.0,557.0,3.36,0.0,1,1,1,0.0,0.0,0.0,1.0,463.0,0.0,231.5,5.27,0.0,1,1,1,0.0,0.0,0.0,1.0,863.0,863.0,287.7,4.24,0.0
ゴーゴージャグラー3,340,1,1,1,0.0,0.0,0.0,1.0,7628.0,231.2,123.0,6.49,0.21000000000000002,1,1,1,0.0,0.0,0.0,1.0,2782.0,309.1,132.5,6.59,0.0,1,1,1,0.0,0.0,0.0,1.0,934.0,311.3,233.5,4.02,0.0
ゴーゴージャグラー3,341,1,1,1,0.0,0.0,0.0,1.0,4342.0,482.4,155.1,6.11,0.0,1,1,1,0.0,0.0,0.0,1.0,788.0,788.0,197.0,5.26,0.0,1,1,1,0.0,0.0,0.0,1.0,4415.0,245.3,119.3,7.04,0.0
ゴーゴージャグラー3,342,1,1,1,0.0,0.0,0.0,1.0,5526.0,251.2,122.8,6.79,0.060000000000000005,1,1,1,0.0,0.0,0.0,1.0,5170.0,224.8,112.4,7.51,0.02,1,1,1,0.0,0.0,0.0,1.0,598.0,299.0,199.3,4.36,0.0
ゴーゴージャグラー3,343,1,1,1,0.0,0.0,0.0,1.0,1067.0,533.5,213.4,4.7,0.0,1,1,1,0.0,0.0,0.0,1.0,667.0,667.0,166.8,6.0,0.0,1,1,1,0.0,0.0,0.0,1.0,1660.0,553.3,184.4,5.28,0.0
 , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ゴーゴージャグラー3,351,0,1,1,,0.0,0.0,1.0,674.0,674.0,337.0,3.89,0.0,0,1,1,,0.0,0.0,1.0,642.0,642.0,107.0,14.75,0.0,0,1,1,,0.0,0.0,1.0,988.0,329.3,247.0,3.96,0.0
ゴーゴージャグラー3,352,0,1,1,,0.0,0.0,1.0,4659.0,274.1,145.6,5.57,0.0,0,1,1,,0.0,0.0,1.0,2513.0,359.0,179.5,4.93,0.0,0,1,1,,0.0,0.0,1.0,204.0,0.0,204.0,5.8,0.0
 , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ジャグラーガールズ,344,1,1,1,0.0,0.0,0,1.0,1153,576.5,230.6,0.0,0.0,1,1,1,0.0,0.0,0,1.0,217,217.0,217.0,0.0,0.0,1,1,1,0.0,0.0,0,1.0,1145,572.5,190.8,0.0,0.0
ジャグラーガールズ,345,1,1,1,0.0,0.0,0,1.0,5693,437.9,138.9,0.0,0.0,1,1,1,0.0,0.0,0,1.0,3613,240.9,120.4,0.0,0.0,1,1,1,0.0,0.0,0,1.0,707,707.0,141.4,0.0,0.0
 , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
