,,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE,GAME,MEDALS,BB,RB,MEDAL_RATE,RB_RATE,TOTAL_RATE
date,,total,total,total,total,total,total,total,2025-06-26 00:00:00,2025-06-26 00:00:00,2025-06-26 00:00:00,2025-06-26 00:00:00,2025-06-26 00:00:00,2025-06-26 00:00:00,2025-06-26 00:00:00
area,unit_no,,,,,,,,,,,,,,
アイムジャグラーEX-TP,321,3565,0,15,10,1.0,356.5,142.6,3565,0,15,10,1.0,356.5,142.6
アイムジャグラーEX-TP,322,2756,0,14,6,1.0,459.3,137.8,2756,0,14,6,1.0,459.3,137.8
アイムジャグラーEX-TP,323,4025,0,16,12,1.0,335.4,143.8,4025,0,16,12,1.0,335.4,143.8
アイムジャグラーEX-TP,324,3797,0,16,7,1.0,542.4,165.1,3797,0,16,7,1.0,542.4,165.1
アイムジャグラーEX-TP,325,443,0,2,0,1.0,,221.5,443,0,2,0,1.0,,221.5
アイムジャグラーEX-TP,326,1823,0,5,4,1.0,455.8,202.6,1823,0,5,4,1.0,455.8,202.6
アイムジャグラーEX-TP,327,2108,0,11,8,1.0,263.5,110.9,2108,0,11,8,1.0,263.5,110.9
アイムジャグラーEX-TP,418,1720,0,5,3,1.0,573.3,215.0,1720,0,5,3,1.0,573.3,215.0
ウルトラミラクルジャグラー,333,298,0,0,1,1.0,298.0,298.0,298,0,0,1,1.0,298.0,298.0
ウルトラミラクルジャグラー,334,2644,0,10,8,1.0,330.5,146.9,2644,0,10,8,1.0,330.5,146.9
ゴーゴージャグラー3,335,926,0,5,1,1.0,926.0,154.3,926,0,5,1,1.0,926.0,154.3
ゴーゴージャグラー3,336,1653,0,2,5,1.0,330.6,236.1,1653,0,2,5,1.0,330.6,236.1
ゴーゴージャグラー3,337,311,0,2,2,1.0,155.5,77.8,311,0,2,2,1.0,155.5,77.8
ゴーゴージャグラー3,338,1124,0,7,1,1.0,1124.0,140.5,1124,0,7,1,1.0,1124.0,140.5
ゴーゴージャグラー3,339,93,0,0,0,1.0,,,93,0,0,0,1.0,,
ゴーゴージャグラー3,340,6445,0,34,29,1.0,222.2,102.3,6445,0,34,29,1.0,222.2,102.3
ゴーゴージャグラー3,341,632,0,1,1,1.0,632.0,316.0,632,0,1,1,1.0,632.0,316.0
ゴーゴージャグラー3,342,1267,0,1,3,1.0,422.3,316.8,1267,0,1,3,1.0,422.3,316.8
ゴーゴージャグラー3,343,692,0,2,0,1.0,,346.0,692,0,2,0,1.0,,346.0
ゴーゴージャグラー3,416,778,0,3,1,1.0,778.0,194.5,778,0,3,1,1.0,778.0,194.5
ゴーゴージャグラー3,417,1593,0,4,5,1.0,318.6,177.0,1593,0,4,5,1.0,318.6,177.0
ジャグラーガールズ,344,299,0,1,0,1.0,,299.0,299,0,1,0,1.0,,299.0
ジャグラーガールズ,345,1253,0,4,3,1.0,417.7,179.0,1253,0,4,3,1.0,417.7,179.0
ハッピージャグラーVIII,351,8434,0,30,37,1.0,227.9,125.9,8434,0,30,37,1.0,227.9,125.9
ハッピージャグラーVIII,352,3362,0,18,8,1.0,420.2,129.3,3362,0,18,8,1.0,420.2,129.3
マイジャグラーV,328,2599,0,15,5,1.0,519.8,130.0,2599,0,15,5,1.0,519.8,130.0
マイジャグラーV,329,694,0,4,1,1.0,694.0,138.8,694,0,4,1,1.0,694.0,138.8
マイジャグラーV,330,1272,0,3,3,1.0,424.0,212.0,1272,0,3,3,1.0,424.0,212.0
マイジャグラーV,331,2399,0,9,8,1.0,299.9,141.1,2399,0,9,8,1.0,299.9,141.1
マイジャグラーV,332,3593,0,17,8,1.0,449.1,143.7,3593,0,17,8,1.0,449.1,143.7
マイジャグラーV,353,963,0,3,0,1.0,,321.0,963,0,3,0,1.0,,321.0
マイジャグラーV,354,5446,0,22,18,1.0,302.6,136.2,5446,0,22,18,1.0,302.6,136.2
マイジャグラーV,355,593,0,1,0,1.0,,593.0,593,0,1,0,1.0,,593.0
マイジャグラーV,356,2363,0,7,4,1.0,590.8,214.8,2363,0,7,4,1.0,590.8,214.8
マイジャグラーV,357,3867,0,14,9,1.0,429.7,168.1,3867,0,14,9,1.0,429.7,168.1
マイジャグラーV,358,949,0,1,3,1.0,316.3,237.2,949,0,1,3,1.0,316.3,237.2
マイジャグラーV,359,3502,0,7,10,1.0,350.2,206.0,3502,0,7,10,1.0,350.2,206.0
マイジャグラーV,360,5176,0,22,12,1.0,431.3,152.2,5176,0,22,12,1.0,431.3,152.2
ミスタージャグラー,346,641,0,1,0,1.0,,641.0,641,0,1,0,1.0,,641.0
ミスタージャグラー,347,668,0,2,1,1.0,668.0,222.7,668,0,2,1,1.0,668.0,222.7
ミスタージャグラー,348,2483,0,11,6,1.0,413.8,146.1,2483,0,11,6,1.0,413.8,146.1
ミスタージャグラー,349,1755,0,7,4,1.0,438.8,159.5,1755,0,7,4,1.0,438.8,159.5
ミスタージャグラー,350,335,0,0,1,1.0,335.0,335.0,335,0,0,1,1.0,335.0,335.0
total,,91339,0,354,248,1.0,368.3,151.7,91339,0,354,248,1.0,368.3,151.7
