,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE
day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,total
model_name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
アイムジャグラーEX-TP,1.009,0.99,1.01,1.0,1.004,0.999,1.009,0.989,1.015,1.008,0.99,0.974,0.984,0.993,1.014,0.987,1.0,0.998,0.996,0.993,0.996,0.993,1.002,1.009,0.989,1.0,0.988,1.004,1.0,1.0,1.0,0.999
ウルトラミラクルジャグラー,0.993,0.961,0.99,1.0,0.999,0.982,0.98,0.959,1.0,0.982,1.035,0.982,1.052,1.002,0.968,1.001,1.0,1.018,1.045,0.99,0.999,0.998,0.954,1.025,0.996,1.025,1.008,0.977,1.0,1.0,1.0,0.999
ゴーゴージャグラー3,1.0,0.998,0.984,1.0,1.001,0.994,1.003,0.991,1.004,1.002,1.001,0.998,1.022,1.005,0.991,1.012,1.0,0.992,1.0,0.986,0.993,1.005,0.998,0.988,1.0,0.995,0.997,0.999,1.0,1.0,1.0,0.999
ジャグラーガールズ,1.001,0.962,0.997,1.0,0.999,1.007,0.999,0.965,0.971,0.984,1.006,0.985,1.005,1.0,0.996,1.031,1.0,0.981,0.986,0.974,0.99,0.983,0.97,1.0,1.001,0.977,1.018,0.975,1.0,1.0,1.0,0.995
ハッピージャグラーVIII,1.063,1.026,0.983,1.0,0.982,0.99,0.946,0.98,0.999,0.954,0.981,1.015,0.993,0.965,0.959,0.995,1.0,1.033,0.962,0.982,0.996,0.993,0.961,1.004,0.998,1.0,0.995,0.994,1.0,1.0,1.0,0.994
ファンキージャグラー2,0.982,0.996,1.008,1.0,0.993,0.993,1.018,0.979,0.998,0.992,0.982,0.976,0.973,0.99,1.011,0.983,1.0,0.994,1.003,0.997,1.001,0.999,1.011,0.987,1.01,0.988,0.997,0.992,1.0,1.0,1.0,0.995
マイジャグラーV,1.001,1.001,1.008,1.0,0.996,1.016,1.01,1.006,1.003,1.007,0.995,0.986,0.985,0.968,0.99,1.007,1.0,0.982,0.994,1.006,0.994,0.987,0.988,0.996,1.0,1.001,0.994,0.994,1.0,1.0,1.0,0.997
ミスタージャグラー,1.014,1.0,1.01,1.0,0.987,0.994,0.98,0.986,0.993,0.997,0.988,1.006,1.01,0.975,0.974,1.015,1.0,0.957,0.983,0.991,0.991,0.99,0.989,0.991,0.998,0.993,1.014,0.98,1.0,1.0,1.0,0.993
total,1.004,0.997,1.001,1.0,0.997,1.0,1.001,0.991,1.003,1.001,0.995,0.989,0.999,0.989,0.995,1.003,1.0,0.991,0.997,0.994,0.995,0.995,0.993,0.996,0.999,0.998,0.998,0.994,1.0,1.0,1.0,0.997
