,,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE,MEDAL_RATE
day,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,total,count_1.05+
その他,414,0.918,0.983,0.847,1.0,1.041,0.995,1.056,0.952,1.004,1.076,0.955,0.93,1.032,1.065,0.952,1.083,,0.967,0.908,0.983,0.958,1.018,1.003,0.996,1.051,0.966,0.987,0.979,1.0,1.0,1.0,1.005,5
その他,415,0.961,0.872,0.885,1.0,1.0,0.993,1.026,1.016,1.065,0.776,1.039,0.932,1.182,1.103,0.876,0.833,,1.062,0.996,0.972,1.038,0.997,0.96,0.967,0.945,1.05,0.965,0.986,1.0,1.0,1.0,1.001,5
アイムジャグラーEX-TP,321,0.983,1.023,1.004,1.0,0.957,1.075,1.041,0.975,0.975,1.006,0.98,0.98,0.95,0.991,0.957,0.942,1.0,0.977,0.987,1.012,1.021,0.994,1.016,0.967,1.004,0.996,1.013,0.991,1.0,1.0,1.0,0.994,1
アイムジャグラーEX-TP,322,0.979,0.979,0.998,1.0,1.038,1.009,1.007,0.985,0.999,0.981,0.995,1.0,1.0,0.974,1.061,1.047,1.0,0.996,0.975,0.974,1.006,0.988,1.008,0.968,1.006,0.998,0.965,0.999,1.0,1.0,1.0,1.002,1
アイムジャグラーEX-TP,323,0.977,0.961,1.045,1.0,0.999,0.989,1.023,0.969,1.018,0.993,0.99,0.954,0.972,0.975,1.057,0.95,1.0,0.994,1.007,1.025,1.001,1.01,0.923,0.983,0.998,0.966,0.978,0.984,1.0,1.0,1.0,0.994,1
アイムジャグラーEX-TP,324,0.994,1.024,0.995,1.0,0.986,0.963,1.014,0.964,1.008,0.976,0.989,0.965,0.989,1.049,1.006,1.005,1.0,1.002,0.996,0.983,0.984,1.002,0.986,0.984,1.029,0.974,0.987,0.977,1.0,1.0,1.0,0.996,0
アイムジャグラーEX-TP,325,0.979,0.983,0.973,1.0,0.983,0.95,1.0,1.018,1.001,0.999,0.979,1.013,0.943,0.931,0.977,0.93,1.0,1.005,1.037,0.989,0.98,1.007,1.036,1.026,0.994,1.006,1.012,1.008,1.0,1.0,1.0,0.993,0
アイムジャグラーEX-TP,326,1.012,0.967,0.998,1.0,1.004,1.01,1.048,0.994,1.078,1.027,0.982,0.987,0.986,0.948,1.017,0.99,1.0,1.0,1.011,1.0,0.981,1.017,1.002,0.97,0.971,0.988,0.996,1.024,1.0,1.0,1.0,1.002,1
アイムジャグラーEX-TP,327,1.019,0.952,1.043,1.0,0.972,0.986,0.983,1.012,0.998,1.023,0.987,0.949,0.946,0.985,1.029,0.983,1.0,0.994,1.005,0.989,1.0,1.007,0.978,0.964,0.981,0.993,0.98,1.022,1.0,1.0,1.0,0.994,0
アイムジャグラーEX-TP,418,0.99,0.979,0.988,1.0,1.003,1.009,1.016,0.978,0.98,0.999,1.004,0.941,1.032,0.956,0.988,0.936,1.0,1.026,1.012,0.991,0.981,1.031,1.0,1.009,0.986,1.023,1.015,0.973,1.0,1.0,1.0,0.998,0
ウルトラミラクルジャグラー,333,0.984,1.003,0.978,1.0,0.99,0.99,0.959,0.937,0.991,0.959,0.961,1.037,0.986,0.976,0.991,1.015,1.0,1.056,1.098,0.985,0.991,0.978,0.973,0.995,0.993,0.989,1.007,1.082,1.0,1.0,1.0,0.999,3
ウルトラミラクルジャグラー,334,1.091,0.982,0.996,1.0,0.992,0.988,0.919,0.998,1.007,0.972,0.972,0.984,0.985,0.987,0.949,1.009,1.0,1.009,0.984,0.979,0.993,0.988,0.922,0.999,1.014,0.991,0.986,0.988,1.0,1.0,1.0,0.993,1
ゴーゴージャグラー3,335,1.028,1.074,0.953,1.0,0.975,0.887,1.002,0.977,0.968,0.996,0.965,0.972,1.001,0.991,0.971,0.965,1.0,0.997,0.961,0.977,1.001,0.994,0.973,1.016,0.98,1.008,1.004,1.003,1.0,1.0,1.0,0.992,1
ゴーゴージャグラー3,336,1.02,0.979,0.995,1.0,0.994,1.044,0.982,0.951,0.98,0.964,0.985,0.925,0.993,0.979,1.021,0.995,1.0,1.003,1.023,0.985,0.962,1.024,1.055,1.0,0.997,0.974,0.984,0.992,1.0,1.0,1.0,0.998,1
ゴーゴージャグラー3,337,0.989,1.065,1.006,1.0,0.995,0.998,1.017,1.036,0.987,1.02,1.008,0.975,0.988,0.949,0.983,1.032,1.0,0.981,0.982,0.974,0.997,0.979,1.046,1.003,0.981,0.985,1.004,0.966,1.0,1.0,1.0,0.998,1
