,,GAME_RANK,7RANK,3RANK,1RANK,7ROLLING,3ROLLING,MEDALS,BB,RB,RATE_MEDAL,GAME,RB_RATE,TOTAL_RATE,GRAPE_RATE,5MORE,GAME_RANK,7RANK,3RANK,1RANK,7ROLLING,3ROLLING,MEDALS,BB,RB,RATE_MEDAL,GAME,RB_RATE,TOTAL_RATE,GRAPE_RATE,5MORE,GAME_RANK,7RANK,3RANK,1RANK,7ROLLING,3ROLLING,MEDALS,BB,RB,RATE_MEDAL,GAME,RB_RATE,TOTAL_RATE,GRAPE_RATE,5MORE,GAME_RANK,7RANK,3RANK,1RANK,7ROLLING,3ROLLING,MEDALS,BB,RB,RATE_MEDAL,GAME,RB_RATE,TOTAL_RATE,GRAPE_RATE,5MORE,GAME_RANK,7RANK,3RANK,1RANK,7ROLLING,3ROLLING,MEDALS,BB,RB,RATE_MEDAL,GAME,RB_RATE,TOTAL_RATE,GRAPE_RATE,5MORE,GAME_RANK,7RANK,3RANK,1RANK,7ROLLING,3ROLLING,MEDALS,BB,RB,RATE_MEDAL,GAME,RB_RATE,TOTAL_RATE,GRAPE_RATE,5MORE,GAME_RANK,7RANK,3RANK,1RANK,7ROLLING,3ROLLING,MEDALS,BB,RB,RATE_MEDAL,GAME,RB_RATE,TOTAL_RATE,GRAPE_RATE,5MORE,GAME_RANK,7RANK,3RANK,1RANK,7ROLLING,3ROLLING,MEDALS,BB,RB,RATE_MEDAL,GAME,RB_RATE,TOTAL_RATE,GRAPE_RATE,5MORE,GAME_RANK,7RANK,3RANK,1RANK,7ROLLING,3ROLLING,MEDALS,BB,RB,RATE_MEDAL,GAME,RB_RATE,TOTAL_RATE,GRAPE_RATE,5MORE,GAME_RANK,7RANK,3RANK,1RANK,7ROLLING,3ROLLING,MEDALS,BB,RB,RATE_MEDAL,GAME,RB_RATE,TOTAL_RATE,GRAPE_RATE,5MORE,GAME_RANK,7RANK,3RANK,1RANK,7ROLLING,3ROLLING,MEDALS,BB,RB,RATE_MEDAL,GAME,RB_RATE,TOTAL_RATE,GRAPE_RATE,5MORE,GAME_RANK,7RANK,3RANK,1RANK,7ROLLING,3ROLLING,MEDALS,BB,RB,RATE_MEDAL,GAME,RB_RATE,TOTAL_RATE,GRAPE_RATE,5MORE,GAME_RANK,7RANK,3RANK,1RANK,7ROLLING,3ROLLING,MEDALS,BB,RB,RATE_MEDAL,GAME,RB_RATE,TOTAL_RATE,GRAPE_RATE,5MORE,GAME_RANK,7RANK,3RANK,1RANK,7ROLLING,3ROLLING,MEDALS,BB,RB,RATE_MEDAL,GAME,RB_RATE,TOTAL_RATE,GRAPE_RATE,5MORE,GAME_RANK,7RANK,3RANK,1RANK,7ROLLING,3ROLLING,MEDALS,BB,RB,RATE_MEDAL,GAME,RB_RATE,TOTAL_RATE,GRAPE_RATE,5MORE,GAME_RANK,7RANK,3RANK,1RANK,7ROLLING,3ROLLING,MEDALS,BB,RB,RATE_MEDAL,GAME,RB_RATE,TOTAL_RATE,GRAPE_RATE,5MORE,GAME_RANK,7RANK,3RANK,1RANK,7ROLLING,3ROLLING,MEDALS,BB,RB,RATE_MEDAL,GAME,RB_RATE,TOTAL_RATE,GRAPE_RATE,5MORE,GAME_RANK,7RANK,3RANK,1RANK,7ROLLING,3ROLLING,MEDALS,BB,RB,RATE_MEDAL,GAME,RB_RATE,TOTAL_RATE,GRAPE_RATE,5MORE,GAME_RANK,7RANK,3RANK,1RANK,7ROLLING,3ROLLING,MEDALS,BB,RB,RATE_MEDAL,GAME,RB_RATE,TOTAL_RATE,GRAPE_RATE,5MORE,GAME_RANK,7RANK,3RANK,1RANK,7ROLLING,3ROLLING,MEDALS,BB,RB,RATE_MEDAL,GAME,RB_RATE,TOTAL_RATE,GRAPE_RATE,5MORE,GAME_RANK,7RANK,3RANK,1RANK,7ROLLING,3ROLLING,MEDALS,BB,RB,RATE_MEDAL,GAME,RB_RATE,TOTAL_RATE,GRAPE_RATE,5MORE,GAME_RANK,7RANK,3RANK,1RANK,7ROLLING,3ROLLING,MEDALS,BB,RB,RATE_MEDAL,GAME,RB_RATE,TOTAL_RATE,GRAPE_RATE,5MORE
date,,2025-08-04 00:00:00,2025-08-04 00:00:00,2025-08-04 00:00:00,2025-08-04 00:00:00,2025-08-04 00:00:00,2025-08-04 00:00:00,2025-08-04 00:00:00,2025-08-04 00:00:00,2025-08-04 00:00:00,2025-08-04 00:00:00,2025-08-04 00:00:00,2025-08-04 00:00:00,2025-08-04 00:00:00,2025-08-04 00:00:00,2025-08-04 00:00:00,2025-08-03 00:00:00,2025-08-03 00:00:00,2025-08-03 00:00:00,2025-08-03 00:00:00,2025-08-03 00:00:00,2025-08-03 00:00:00,2025-08-03 00:00:00,2025-08-03 00:00:00,2025-08-03 00:00:00,2025-08-03 00:00:00,2025-08-03 00:00:00,2025-08-03 00:00:00,2025-08-03 00:00:00,2025-08-03 00:00:00,2025-08-03 00:00:00,2025-07-31 00:00:00,2025-07-31 00:00:00,2025-07-31 00:00:00,2025-07-31 00:00:00,2025-07-31 00:00:00,2025-07-31 00:00:00,2025-07-31 00:00:00,2025-07-31 00:00:00,2025-07-31 00:00:00,2025-07-31 00:00:00,2025-07-31 00:00:00,2025-07-31 00:00:00,2025-07-31 00:00:00,2025-07-31 00:00:00,2025-07-31 00:00:00,2025-07-30 00:00:00,2025-07-30 00:00:00,2025-07-30 00:00:00,2025-07-30 00:00:00,2025-07-30 00:00:00,2025-07-30 00:00:00,2025-07-30 00:00:00,2025-07-30 00:00:00,2025-07-30 00:00:00,2025-07-30 00:00:00,2025-07-30 00:00:00,2025-07-30 00:00:00,2025-07-30 00:00:00,2025-07-30 00:00:00,2025-07-30 00:00:00,2025-07-29 00:00:00,2025-07-29 00:00:00,2025-07-29 00:00:00,2025-07-29 00:00:00,2025-07-29 00:00:00,2025-07-29 00:00:00,2025-07-29 00:00:00,2025-07-29 00:00:00,2025-07-29 00:00:00,2025-07-29 00:00:00,2025-07-29 00:00:00,2025-07-29 00:00:00,2025-07-29 00:00:00,2025-07-29 00:00:00,2025-07-29 00:00:00,2025-07-28 00:00:00,2025-07-28 00:00:00,2025-07-28 00:00:00,2025-07-28 00:00:00,2025-07-28 00:00:00,2025-07-28 00:00:00,2025-07-28 00:00:00,2025-07-28 00:00:00,2025-07-28 00:00:00,2025-07-28 00:00:00,2025-07-28 00:00:00,2025-07-28 00:00:00,2025-07-28 00:00:00,2025-07-28 00:00:00,2025-07-28 00:00:00,2025-07-27 00:00:00,2025-07-27 00:00:00,2025-07-27 00:00:00,2025-07-27 00:00:00,2025-07-27 00:00:00,2025-07-27 00:00:00,2025-07-27 00:00:00,2025-07-27 00:00:00,2025-07-27 00:00:00,2025-07-27 00:00:00,2025-07-27 00:00:00,2025-07-27 00:00:00,2025-07-27 00:00:00,2025-07-27 00:00:00,2025-07-27 00:00:00,2025-07-26 00:00:00,2025-07-26 00:00:00,2025-07-26 00:00:00,2025-07-26 00:00:00,2025-07-26 00:00:00,2025-07-26 00:00:00,2025-07-26 00:00:00,2025-07-26 00:00:00,2025-07-26 00:00:00,2025-07-26 00:00:00,2025-07-26 00:00:00,2025-07-26 00:00:00,2025-07-26 00:00:00,2025-07-26 00:00:00,2025-07-26 00:00:00,2025-07-25 00:00:00,2025-07-25 00:00:00,2025-07-25 00:00:00,2025-07-25 00:00:00,2025-07-25 00:00:00,2025-07-25 00:00:00,2025-07-25 00:00:00,2025-07-25 00:00:00,2025-07-25 00:00:00,2025-07-25 00:00:00,2025-07-25 00:00:00,2025-07-25 00:00:00,2025-07-25 00:00:00,2025-07-25 00:00:00,2025-07-25 00:00:00,2025-07-24 00:00:00,2025-07-24 00:00:00,2025-07-24 00:00:00,2025-07-24 00:00:00,2025-07-24 00:00:00,2025-07-24 00:00:00,2025-07-24 00:00:00,2025-07-24 00:00:00,2025-07-24 00:00:00,2025-07-24 00:00:00,2025-07-24 00:00:00,2025-07-24 00:00:00,2025-07-24 00:00:00,2025-07-24 00:00:00,2025-07-24 00:00:00,2025-07-23 00:00:00,2025-07-23 00:00:00,2025-07-23 00:00:00,2025-07-23 00:00:00,2025-07-23 00:00:00,2025-07-23 00:00:00,2025-07-23 00:00:00,2025-07-23 00:00:00,2025-07-23 00:00:00,2025-07-23 00:00:00,2025-07-23 00:00:00,2025-07-23 00:00:00,2025-07-23 00:00:00,2025-07-23 00:00:00,2025-07-23 00:00:00,2025-07-22 00:00:00,2025-07-22 00:00:00,2025-07-22 00:00:00,2025-07-22 00:00:00,2025-07-22 00:00:00,2025-07-22 00:00:00,2025-07-22 00:00:00,2025-07-22 00:00:00,2025-07-22 00:00:00,2025-07-22 00:00:00,2025-07-22 00:00:00,2025-07-22 00:00:00,2025-07-22 00:00:00,2025-07-22 00:00:00,2025-07-22 00:00:00,2025-07-21 00:00:00,2025-07-21 00:00:00,2025-07-21 00:00:00,2025-07-21 00:00:00,2025-07-21 00:00:00,2025-07-21 00:00:00,2025-07-21 00:00:00,2025-07-21 00:00:00,2025-07-21 00:00:00,2025-07-21 00:00:00,2025-07-21 00:00:00,2025-07-21 00:00:00,2025-07-21 00:00:00,2025-07-21 00:00:00,2025-07-21 00:00:00,2025-07-20 00:00:00,2025-07-20 00:00:00,2025-07-20 00:00:00,2025-07-20 00:00:00,2025-07-20 00:00:00,2025-07-20 00:00:00,2025-07-20 00:00:00,2025-07-20 00:00:00,2025-07-20 00:00:00,2025-07-20 00:00:00,2025-07-20 00:00:00,2025-07-20 00:00:00,2025-07-20 00:00:00,2025-07-20 00:00:00,2025-07-20 00:00:00,2025-07-19 00:00:00,2025-07-19 00:00:00,2025-07-19 00:00:00,2025-07-19 00:00:00,2025-07-19 00:00:00,2025-07-19 00:00:00,2025-07-19 00:00:00,2025-07-19 00:00:00,2025-07-19 00:00:00,2025-07-19 00:00:00,2025-07-19 00:00:00,2025-07-19 00:00:00,2025-07-19 00:00:00,2025-07-19 00:00:00,2025-07-19 00:00:00,2025-07-17 00:00:00,2025-07-17 00:00:00,2025-07-17 00:00:00,2025-07-17 00:00:00,2025-07-17 00:00:00,2025-07-17 00:00:00,2025-07-17 00:00:00,2025-07-17 00:00:00,2025-07-17 00:00:00,2025-07-17 00:00:00,2025-07-17 00:00:00,2025-07-17 00:00:00,2025-07-17 00:00:00,2025-07-17 00:00:00,2025-07-17 00:00:00,2025-07-16 00:00:00,2025-07-16 00:00:00,2025-07-16 00:00:00,2025-07-16 00:00:00,2025-07-16 00:00:00,2025-07-16 00:00:00,2025-07-16 00:00:00,2025-07-16 00:00:00,2025-07-16 00:00:00,2025-07-16 00:00:00,2025-07-16 00:00:00,2025-07-16 00:00:00,2025-07-16 00:00:00,2025-07-16 00:00:00,2025-07-16 00:00:00,2025-07-15 00:00:00,2025-07-15 00:00:00,2025-07-15 00:00:00,2025-07-15 00:00:00,2025-07-15 00:00:00,2025-07-15 00:00:00,2025-07-15 00:00:00,2025-07-15 00:00:00,2025-07-15 00:00:00,2025-07-15 00:00:00,2025-07-15 00:00:00,2025-07-15 00:00:00,2025-07-15 00:00:00,2025-07-15 00:00:00,2025-07-15 00:00:00,2025-07-14 00:00:00,2025-07-14 00:00:00,2025-07-14 00:00:00,2025-07-14 00:00:00,2025-07-14 00:00:00,2025-07-14 00:00:00,2025-07-14 00:00:00,2025-07-14 00:00:00,2025-07-14 00:00:00,2025-07-14 00:00:00,2025-07-14 00:00:00,2025-07-14 00:00:00,2025-07-14 00:00:00,2025-07-14 00:00:00,2025-07-14 00:00:00,2025-07-13 00:00:00,2025-07-13 00:00:00,2025-07-13 00:00:00,2025-07-13 00:00:00,2025-07-13 00:00:00,2025-07-13 00:00:00,2025-07-13 00:00:00,2025-07-13 00:00:00,2025-07-13 00:00:00,2025-07-13 00:00:00,2025-07-13 00:00:00,2025-07-13 00:00:00,2025-07-13 00:00:00,2025-07-13 00:00:00,2025-07-13 00:00:00,2025-07-12 00:00:00,2025-07-12 00:00:00,2025-07-12 00:00:00,2025-07-12 00:00:00,2025-07-12 00:00:00,2025-07-12 00:00:00,2025-07-12 00:00:00,2025-07-12 00:00:00,2025-07-12 00:00:00,2025-07-12 00:00:00,2025-07-12 00:00:00,2025-07-12 00:00:00,2025-07-12 00:00:00,2025-07-12 00:00:00,2025-07-12 00:00:00,2025-07-10 00:00:00,2025-07-10 00:00:00,2025-07-10 00:00:00,2025-07-10 00:00:00,2025-07-10 00:00:00,2025-07-10 00:00:00,2025-07-10 00:00:00,2025-07-10 00:00:00,2025-07-10 00:00:00,2025-07-10 00:00:00,2025-07-10 00:00:00,2025-07-10 00:00:00,2025-07-10 00:00:00,2025-07-10 00:00:00,2025-07-10 00:00:00
model_name,unit_no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
マイジャグラーV,313,3,1,1,1,0.0,0.0,0,19,13,1.0,4518,347.5,141.2,6.4,0.0,6,1,1,1,0.0,0.0,0,30,8,1.0,6174,771.8,162.5,6.43,0.0,6,1,1,1,0.0,0.0,0,20,19,1.0,6144,323.4,157.5,5.49,0.26,3,1,1,1,0.0,0.0,0,8,3,1.0,2273,757.7,206.6,5.12,0.0,3,1,1,1,0.0,0.0,0,9,11,1.0,3648,331.6,182.4,4.84,0.0,6,1,1,1,0.0,0.0,0,24,23,1.0,5159,224.3,109.8,8.06,0.4,3,1,1,1,0.0,0.0,0,18,22,1.0,4861,221.0,121.5,6.59,0.0,6,1,1,1,0.0,0.0,0,37,21,1.0,8037,382.7,138.6,6.78,0.01,6,1,1,1,0.0,0.0,0,20,12,1.0,4397,366.4,137.4,6.77,0.0,3,1,1,1,0.0,0.0,0,11,7,1.0,3365,480.7,186.9,5.16,0.0,2,1,1,1,0.0,0.0,0,3,2,1.0,1206,603.0,241.2,4.5,0.0,3,1,1,1,0.0,0.0,0,9,3,1.0,1909,636.3,159.1,6.39,0.0,6,1,1,1,0.0,0.0,0,39,22,1.0,8991,408.7,147.4,6.35,0.01,2,1,1,1,0.0,0.0,0,11,7,1.0,3300,471.4,183.3,5.23,0.0,2,1,1,1,0.0,0.0,0,16,3,1.0,3140,1046.7,165.3,6.56,0.0,6,1,1,1,0.0,0.0,0,29,28,1.0,6721,240.0,117.9,7.26,0.42,6,1,1,1,0.0,0.0,0,27,18,1.0,6618,367.7,147.1,6.18,0.05,5,1,1,1,0.0,0.0,0,2,4,1.0,1492,373.0,248.7,4.09,0.0,5,1,1,1,0.0,0.0,0,13,13,1.0,4059,312.2,156.1,5.48,0.0,4,1,1,1,0.0,0.0,0,10,17,1.0,3854,226.7,142.7,5.37,0.0,5,1,1,1,0.0,0.0,0,22,17,1.0,5683,334.3,145.7,6.06,0.14,6,1,1,1,0.0,0.0,0,21,6,1.0,4620,770.0,171.1,6.06,0.0
マイジャグラーV,314,4,1,1,1,0.0,0.0,0,18,15,1.0,4722,314.8,143.1,6.08,0.0,1,1,1,1,0.0,0.0,0,2,4,1.0,1493,373.2,248.8,4.09,0.0,2,1,1,1,0.0,0.0,0,1,4,1.0,1096,274.0,219.2,4.07,0.0,2,1,1,1,0.0,0.0,0,10,3,1.0,1573,524.3,121.0,9.66,0.0,1,1,1,1,0.0,0.0,0,0,0,1.0,335,0.0,0.0,3.16,0.0,1,1,1,1,0.0,0.0,0,3,1,1.0,1213,1213.0,303.2,4.3,0.0,6,1,1,1,0.0,0.0,0,29,16,1.0,6037,377.3,134.2,7.09,0.02,5,1,1,1,0.0,0.0,0,25,13,1.0,5018,386.0,132.1,7.33,0.02,1,1,1,1,0.0,0.0,0,6,2,1.0,1806,903.0,225.8,4.91,0.0,6,1,1,1,0.0,0.0,0,26,20,1.0,5739,287.0,124.8,7.18,0.15,4,1,1,1,0.0,0.0,0,10,6,1.0,2772,462.0,173.2,5.47,0.0,2,1,1,1,0.0,0.0,0,4,2,1.0,1246,623.0,207.7,4.97,0.0,2,1,1,1,0.0,0.0,0,10,12,1.0,2817,234.8,128.0,6.27,0.0,5,1,1,1,0.0,0.0,0,21,13,1.0,5163,397.2,151.9,6.07,0.05,3,1,1,1,0.0,0.0,0,12,11,1.0,3297,299.7,143.3,5.96,0.0,2,1,1,1,0.0,0.0,0,15,6,1.0,2824,470.7,134.5,7.57,0.0,1,1,1,1,0.0,0.0,0,1,1,1.0,990,990.0,495.0,3.65,0.0,6,1,1,1,0.0,0.0,0,12,7,1.0,2579,368.4,135.7,6.9,0.0,2,1,1,1,0.0,0.0,0,0,6,1.0,1044,174.0,174.0,4.03,0.0,2,1,1,1,0.0,0.0,0,1,1,1.0,1187,1187.0,593.5,3.56,0.0,2,1,1,1,0.0,0.0,0,4,1,1.0,1682,1682.0,336.4,4.2,0.0,1,1,1,1,0.0,0.0,0,3,1,1.0,822,822.0,205.5,5.19,0.0
マイジャグラーV,315,5,1,1,1,0.0,0.0,0,20,16,1.0,5305,331.6,147.4,5.96,0.16999999999999998,4,1,1,1,0.0,0.0,0,23,9,1.0,5506,611.8,172.1,5.82,0.01,1,1,1,1,0.0,0.0,0,2,2,1.0,879,439.5,219.8,4.52,0.0,6,1,1,1,0.0,0.0,0,13,6,1.0,3617,602.8,190.4,5.29,0.0,6,1,1,1,0.0,0.0,0,20,25,1.0,7477,299.1,166.2,5.09,0.58,3,1,1,1,0.0,0.0,0,19,6,1.0,3542,590.3,141.7,7.37,0.0,5,1,1,1,0.0,0.0,0,27,12,1.0,5645,470.4,144.7,6.76,0.01,2,1,1,1,0.0,0.0,0,8,11,1.0,3590,326.4,188.9,4.69,0.0,4,1,1,1,0.0,0.0,0,5,11,1.0,2886,262.4,180.4,4.56,0.0,1,1,1,1,0.0,0.0,0,2,2,1.0,1134,567.0,283.5,4.12,0.0,6,1,1,1,0.0,0.0,0,15,7,1.0,3265,466.4,148.4,6.52,0.0,4,1,1,1,0.0,0.0,0,5,4,1.0,2022,505.5,224.7,4.57,0.0,3,1,1,1,0.0,0.0,0,14,6,1.0,3826,637.7,191.3,5.31,0.0,6,1,1,1,0.0,0.0,0,24,16,1.0,5694,355.9,142.4,6.38,0.07,1,1,1,1,0.0,0.0,0,6,3,1.0,1607,535.7,178.6,5.48,0.0,1,1,1,1,0.0,0.0,0,8,6,1.0,1996,332.7,142.6,6.22,0.0,2,1,1,1,0.0,0.0,0,4,2,1.0,1252,626.0,208.7,4.96,0.0,4,1,1,1,0.0,0.0,0,4,4,1.0,1433,358.2,179.1,5.01,0.0,1,1,1,1,0.0,0.0,0,4,1,1.0,900,900.0,180.0,5.88,0.0,5,1,1,1,0.0,0.0,0,13,12,1.0,4431,369.2,177.2,5.09,0.0,4,1,1,1,0.0,0.0,0,29,11,1.0,5646,513.3,141.2,7.17,0.0,3,1,1,1,0.0,0.0,0,6,3,1.0,1607,535.7,178.6,5.48,0.0
マイジャグラーV,316,2,1,1,1,0.0,0.0,0,9,4,1.0,1655,413.8,127.3,8.01,0.0,3,1,1,1,0.0,0.0,0,34,12,1.0,5395,449.6,117.3,9.87,0.0,3,1,1,1,0.0,0.0,0,8,10,1.0,2903,290.3,161.3,5.18,0.0,4,1,1,1,0.0,0.0,0,3,6,1.0,2340,390.0,260.0,4.04,0.0,2,1,1,1,0.0,0.0,0,3,1,1.0,842,842.0,210.5,5.11,0.0,2,1,1,1,0.0,0.0,0,5,4,1.0,2257,564.2,250.8,4.37,0.0,1,1,1,1,0.0,0.0,0,8,7,1.0,2747,392.4,183.1,5.03,0.0,4,1,1,1,0.0,0.0,0,18,12,1.0,4112,342.7,137.1,6.64,0.0,3,1,1,1,0.0,0.0,0,8,8,1.0,2290,286.2,143.1,5.87,0.0,2,1,1,1,0.0,0.0,0,10,11,1.0,3166,287.8,150.8,5.54,0.0,1,1,1,1,0.0,0.0,0,5,2,1.0,956,478.0,136.6,7.41,0.0,5,1,1,1,0.0,0.0,0,6,4,1.0,2205,551.2,220.5,4.69,0.0,5,1,1,1,0.0,0.0,0,21,16,1.0,5749,359.3,155.4,5.75,0.12,1,1,1,1,0.0,0.0,0,4,3,1.0,1813,604.3,259.0,4.34,0.0,6,1,1,1,0.0,0.0,0,26,28,1.0,6483,231.5,120.1,6.9,0.51,4,1,1,1,0.0,0.0,0,9,9,1.0,3496,388.4,194.2,4.79,0.0,5,1,1,1,0.0,0.0,0,22,19,1.0,6445,339.2,157.2,5.58,0.19,1,1,1,1,0.0,0.0,0,2,1,1.0,471,471.0,157.0,6.1,0.0,3,1,1,1,0.0,0.0,0,4,5,1.0,1718,343.6,190.9,4.72,0.0,6,1,1,1,0.0,0.0,0,19,9,1.0,4815,535.0,172.0,5.68,0.0,1,1,1,1,0.0,0.0,0,4,2,1.0,1289,644.5,214.8,4.88,0.0,2,1,1,1,0.0,0.0,0,3,1,1.0,1233,1233.0,308.2,4.28,0.0
マイジャグラーV,317,1,1,1,1,0.0,0.0,0,3,6,1.0,1611,268.5,179.0,4.62,0.0,5,1,1,1,0.0,0.0,0,25,20,1.0,5793,289.6,128.7,6.84,0.18000000000000002,5,1,1,1,0.0,0.0,0,13,12,1.0,4035,336.2,161.4,5.42,0.0,1,1,1,1,0.0,0.0,0,0,0,1.0,381,0.0,0.0,3.16,0.0,4,1,1,1,0.0,0.0,0,14,10,1.0,4066,406.6,169.4,5.43,0.0,4,1,1,1,0.0,0.0,0,24,11,1.0,4128,375.3,117.9,9.03,0.0,4,1,1,1,0.0,0.0,0,26,15,1.0,5512,367.5,134.4,7.0,0.03,1,1,1,1,0.0,0.0,0,6,8,1.0,3585,448.1,256.1,4.17,0.0,5,1,1,1,0.0,0.0,0,17,10,1.0,3711,371.1,137.4,6.79,0.0,4,1,1,1,0.0,0.0,0,18,22,1.0,5139,233.6,128.5,6.23,0.56,5,1,1,1,0.0,0.0,0,7,9,1.0,3156,350.7,197.2,4.63,0.0,1,1,1,1,0.0,0.0,0,2,3,1.0,1045,348.3,209.0,4.45,0.0,1,1,1,1,0.0,0.0,0,12,8,1.0,2731,341.4,136.6,6.67,0.0,3,1,1,1,0.0,0.0,0,14,8,1.0,3571,446.4,162.3,5.8,0.0,4,1,1,1,0.0,0.0,0,16,10,1.0,3489,348.9,134.2,6.89,0.0,5,1,1,1,0.0,0.0,0,23,14,1.0,5821,415.8,157.3,5.9,0.04,3,1,1,1,0.0,0.0,0,5,2,1.0,1976,988.0,282.3,4.37,0.0,2,1,1,1,0.0,0.0,0,0,2,1.0,756,378.0,378.0,3.51,0.0,4,1,1,1,0.0,0.0,0,14,3,1.0,2031,677.0,119.5,10.8,0.0,3,1,1,1,0.0,0.0,0,4,2,1.0,1782,891.0,297.0,4.24,0.0,3,1,1,1,0.0,0.0,0,10,12,1.0,3976,331.3,180.7,4.87,0.0,4,1,1,1,0.0,0.0,0,9,11,1.0,2550,231.8,127.5,6.27,0.0
マイジャグラーV,318,6,1,1,1,0.0,0.0,0,25,7,1.0,5587,798.1,174.6,5.97,0.0,2,1,1,1,0.0,0.0,0,9,6,1.0,2622,437.0,174.8,5.36,0.0,4,1,1,1,0.0,0.0,0,10,9,1.0,2970,330.0,156.3,5.57,0.0,5,1,1,1,0.0,0.0,0,16,3,1.0,2619,873.0,137.8,8.34,0.0,5,1,1,1,0.0,0.0,0,21,8,1.0,4202,525.2,144.9,6.94,0.0,5,1,1,1,0.0,0.0,0,16,9,1.0,4431,492.3,177.2,5.43,0.0,2,1,1,1,0.0,0.0,0,12,6,1.0,2923,487.2,162.4,5.91,0.0,3,1,1,1,0.0,0.0,0,17,11,1.0,3765,342.3,134.5,6.83,0.0,2,1,1,1,0.0,0.0,0,2,7,1.0,1829,261.3,203.2,4.2,0.0,5,1,1,1,0.0,0.0,0,16,19,1.0,5629,296.3,160.8,5.23,0.49,3,1,1,1,0.0,0.0,0,7,1,1.0,1541,1541.0,192.6,5.79,0.0,6,1,1,1,0.0,0.0,0,20,15,1.0,5720,381.3,163.4,5.54,0.12000000000000001,4,1,1,1,0.0,0.0,0,12,14,1.0,4907,350.5,188.7,4.78,0.0,4,1,1,1,0.0,0.0,0,14,13,1.0,5034,387.2,186.4,4.94,0.25,5,1,1,1,0.0,0.0,0,23,10,1.0,4079,407.9,123.6,8.44,0.0,3,1,1,1,0.0,0.0,0,10,6,1.0,3279,546.5,204.9,4.92,0.0,4,1,1,1,0.0,0.0,0,17,14,1.0,5378,384.1,173.5,5.24,0.16999999999999998,3,1,1,1,0.0,0.0,0,4,4,1.0,1085,271.2,135.6,6.17,0.0,6,1,1,1,0.0,0.0,0,16,17,1.0,5707,335.7,172.9,5.08,0.36,1,1,1,1,0.0,0.0,0,5,2,1.0,1033,516.5,147.6,6.73,0.0,6,1,1,1,0.0,0.0,0,34,16,1.0,6566,410.4,131.3,7.55,0.0,5,1,1,1,0.0,0.0,0,4,5,1.0,2662,532.4,295.8,4.02,0.0
 , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
